Date, Open, High, Low, Close, Volume
04/24/25, 59.00, 59.00, 56.00, 58.30, 24581
04/23/25, 57.80, 59.00, 56.80, 58.80, 286624
04/22/25, 56.80, 57.00, 56.80, 57.90, 76
04/21/25, 56.80, 58.00, 56.80, 57.90, 583
04/17/25, 56.80, 58.30, 56.80, 57.90, 3913
04/16/25, 55.20, 58.50, 55.10, 55.50, 21506
04/11/25, 57.00, 58.70, 57.00, 58.70, 333288
04/10/25, 58.90, 58.90, 57.00, 57.00, 4860
04/09/25, 57.70, 57.70, 56.00, 56.10, 21239
04/08/25, 56.00, 58.20, 56.00, 56.20, 5545
04/07/25, 56.10, 58.90, 53.00, 55.10, 113629
04/04/25, 59.20, 60.00, 55.10, 57.00, 95697
04/03/25, 59.90, 60.00, 57.10, 58.00, 3300
04/02/25, 60.00, 60.00, 59.90, 60.00, 5032
04/01/25, 59.50, 60.00, 59.00, 59.30, 32713
03/28/25, 59.50, 59.50, 56.10, 58.10, 1102
03/27/25, 59.90, 59.90, 58.70, 59.50, 150
03/26/25, 58.60, 60.00, 58.60, 59.60, 19722
03/25/25, 58.70, 60.00, 58.60, 60.00, 8065
03/24/25, 58.80, 60.00, 58.60, 60.00, 14603
03/21/25, 57.50, 60.00, 57.50, 59.50, 2847
03/20/25, 57.20, 60.00, 57.20, 59.90, 21712
03/19/25, 59.80, 59.80, 57.00, 58.00, 2532
03/18/25, 61.00, 61.00, 58.60, 58.60, 7392
03/17/25, 62.00, 62.00, 60.20, 61.00, 1500
03/14/25, 58.50, 62.10, 58.40, 61.20, 11045
03/12/25, 60.90, 61.00, 58.40, 60.70, 4065
03/11/25, 60.00, 60.00, 58.30, 59.10, 11974
03/10/25, 60.80, 62.50, 60.00, 62.10, 20320
03/07/25, 62.80, 63.00, 60.00, 62.80, 58941
03/06/25, 55.20, 63.00, 55.20, 59.70, 117805
03/05/25, 57.00, 59.80, 56.00, 58.90, 37419
03/04/25, 55.10, 58.00, 55.00, 57.10, 44112
03/03/25, 58.70, 58.70, 54.00, 56.80, 109277
02/28/25, 58.20, 60.70, 58.00, 58.50, 12992
02/27/25, 59.70, 61.30, 58.00, 60.70, 5825
02/25/25, 59.10, 60.00, 57.00, 57.80, 25612
02/24/25, 61.00, 61.00, 58.10, 59.00, 71315
02/21/25, 61.20, 63.00, 61.00, 61.00, 64323
02/20/25, 61.30, 62.90, 61.10, 61.10, 708
02/19/25, 61.20, 64.00, 61.20, 63.00, 28729
02/18/25, 63.40, 65.00, 61.10, 62.90, 119122
02/17/25, 64.00, 64.30, 62.50, 62.50, 847656
02/14/25, 67.90, 67.90, 61.10, 63.40, 345624
02/13/25, 61.00, 69.00, 61.00, 66.40, 5823998
02/11/25, 62.50, 62.50, 60.10, 60.70, 84787
02/10/25, 65.00, 67.50, 62.50, 62.80, 22476
02/07/25, 62.00, 68.00, 61.00, 65.00, 169107
02/06/25, 60.00, 63.90, 59.00, 61.90, 63951
02/05/25, 60.00, 62.00, 59.00, 60.40, 1441560
02/03/25, 60.00, 62.40, 58.50, 59.70, 82809
01/31/25, 63.90, 63.90, 60.00, 61.40, 51148
01/30/25, 63.90, 66.00, 62.00, 62.90, 177475
01/29/25, 57.50, 65.00, 57.50, 63.90, 1323173
01/28/25, 54.50, 58.60, 53.00, 57.50, 580283
01/27/25, 54.50, 54.50, 53.00, 53.20, 20149
01/24/25, 53.10, 55.00, 53.00, 53.10, 82857
01/23/25, 55.00, 55.00, 52.50, 54.00, 104154
01/22/25, 53.90, 55.00, 53.50, 54.70, 98097
01/21/25, 54.00, 55.00, 52.60, 53.20, 98475
01/20/25, 53.00, 54.70, 53.00, 53.70, 94837
01/17/25, 53.50, 54.70, 51.40, 53.70, 14859
01/16/25, 48.60, 57.80, 48.60, 54.20, 656447
01/15/25, 46.00, 49.30, 46.00, 48.90, 32285
01/10/25, 48.20, 48.70, 47.00, 48.40, 54979
01/09/25, 47.00, 49.00, 46.90, 47.70, 81257
01/08/25, 45.00, 47.10, 45.00, 47.00, 217488
01/07/25, 45.00, 45.50, 44.70, 45.00, 1055
01/06/25, 44.10, 46.00, 43.60, 44.10, 34499
01/03/25, 45.00, 47.30, 43.90, 44.10, 43943
01/02/25, 45.50, 45.50, 43.50, 44.70, 60351
12/31/24, 47.50, 47.50, 44.50, 45.50, 14833
12/30/24, 47.30, 48.40, 46.60, 46.80, 61838
12/27/24, 47.30, 47.50, 45.20, 45.70, 65646
12/26/24, 45.10, 47.30, 45.10, 47.20, 91590
12/24/24, 46.00, 46.00, 44.00, 44.00, 23430
12/23/24, 46.10, 46.70, 45.10, 45.20, 38633
12/20/24, 46.20, 46.70, 45.70, 46.10, 29714
12/19/24, 46.00, 46.50, 44.00, 46.00, 34975
12/18/24, 41.80, 45.90, 41.80, 44.20, 137366
12/17/24, 40.40, 41.40, 40.40, 41.00, 46151
12/16/24, 40.70, 41.80, 40.10, 40.70, 34671
12/13/24, 41.60, 41.60, 40.70, 40.80, 20034
12/12/24, 41.60, 41.80, 41.50, 41.50, 7262
12/11/24, 41.70, 41.70, 40.50, 41.30, 10266
12/10/24, 41.60, 41.80, 41.20, 41.30, 8315
12/09/24, 41.70, 41.70, 40.00, 41.60, 20872
12/06/24, 41.90, 42.00, 40.00, 40.40, 63234
12/05/24, 41.90, 42.70, 41.10, 41.10, 51614
12/04/24, 41.80, 41.90, 41.10, 41.80, 4007
12/03/24, 41.00, 41.80, 41.00, 41.00, 3448
12/02/24, 41.40, 41.90, 41.00, 41.00, 18413
11/29/24, 40.80, 42.00, 40.60, 41.40, 60391
11/28/24, 40.50, 40.80, 39.90, 39.90, 46859
11/27/24, 40.00, 40.50, 40.00, 40.00, 46832
11/26/24, 39.80, 40.50, 39.50, 40.00, 48118
11/25/24, 40.00, 40.80, 39.50, 39.60, 13810
11/22/24, 40.00, 41.30, 39.80, 39.80, 1666
11/21/24, 41.30, 41.30, 40.00, 40.00, 1193
11/20/24, 41.00, 41.30, 39.50, 40.10, 22854
11/19/24, 41.40, 41.40, 40.00, 40.30, 22843
11/18/24, 42.50, 43.00, 39.90, 40.00, 132521
11/14/24, 44.70, 44.70, 42.60, 42.80, 10706
11/13/24, 43.50, 44.90, 43.00, 43.00, 33514
11/12/24, 44.30, 44.90, 44.00, 44.70, 9460
11/11/24, 43.10, 44.40, 43.10, 44.10, 12190
11/08/24, 43.10, 44.00, 43.10, 44.00, 6401
11/07/24, 44.00, 44.00, 43.00, 43.20, 7327
11/06/24, 44.00, 44.20, 43.20, 43.20, 6106
11/05/24, 44.30, 44.30, 43.50, 43.50, 3735
11/04/24, 44.30, 44.30, 43.50, 43.60, 16111
11/01/24, 43.20, 44.40, 43.10, 43.30, 21404
10/30/24, 44.40, 44.40, 43.20, 43.20, 10333
10/29/24, 44.40, 44.40, 43.50, 43.90, 829
10/28/24, 43.50, 45.80, 43.50, 44.20, 20523
10/25/24, 43.10, 44.20, 43.00, 43.10, 6591
10/24/24, 42.80, 44.30, 42.80, 42.70, 26
10/23/24, 43.60, 44.20, 42.50, 42.70, 12556
10/22/24, 43.80, 43.80, 43.50, 43.50, 1148
10/21/24, 43.80, 44.50, 43.70, 43.80, 4280
10/18/24, 44.70, 44.70, 43.80, 44.00, 3569
10/16/24, 44.00, 45.50, 43.70, 43.70, 4796
10/15/24, 44.00, 44.00, 44.00, 44.00, 6
10/14/24, 44.20, 44.30, 43.90, 44.00, 2149
10/11/24, 43.20, 44.20, 43.00, 43.50, 580
10/10/24, 42.50, 44.20, 42.50, 43.60, 1752
