Date, Open, High, Low, Close, Volume
04/24/25, 15.40, 15.80, 15.40, 15.70, 1455184
04/23/25, 15.40, 15.50, 15.40, 15.40, 131892
04/22/25, 15.70, 15.70, 15.40, 15.40, 151938
04/21/25, 15.60, 15.80, 15.50, 15.60, 189836
04/17/25, 15.70, 15.90, 15.50, 15.60, 572077
04/16/25, 16.00, 16.00, 15.70, 15.80, 544434
04/11/25, 16.00, 16.00, 15.60, 15.80, 596205
04/10/25, 15.50, 16.00, 15.30, 16.00, 10321950
04/09/25, 15.00, 15.10, 14.80, 14.90, 1265753
04/08/25, 14.50, 15.60, 14.50, 15.10, 5798181
04/07/25, 14.80, 14.80, 14.10, 14.50, 5055165
04/04/25, 15.20, 15.30, 14.70, 15.10, 4372741
04/03/25, 14.70, 15.70, 14.70, 15.20, 2028337
04/02/25, 15.60, 15.80, 15.40, 15.50, 560436
04/01/25, 15.30, 15.90, 15.00, 15.50, 1602566
03/28/25, 15.00, 15.30, 15.00, 15.10, 470596
03/27/25, 15.10, 15.10, 14.90, 15.00, 191400
03/26/25, 15.30, 15.30, 15.00, 15.10, 2252199
03/25/25, 15.50, 15.50, 15.00, 15.00, 473038
03/24/25, 15.80, 15.80, 15.20, 15.30, 536767
03/21/25, 14.80, 15.80, 14.80, 15.50, 7124053
03/20/25, 14.40, 15.00, 14.40, 14.80, 615756
03/19/25, 14.30, 14.80, 14.20, 14.30, 923678
03/18/25, 14.80, 14.80, 14.30, 14.30, 1563377
03/17/25, 15.40, 15.40, 14.70, 14.80, 162344
03/14/25, 15.30, 15.60, 15.00, 15.10, 1458293
03/12/25, 15.00, 15.30, 14.70, 15.10, 477941
03/11/25, 14.70, 14.90, 14.70, 14.80, 6386225
03/10/25, 15.10, 15.30, 14.70, 14.80, 1677401
03/07/25, 15.10, 15.30, 15.00, 15.00, 7721722
03/06/25, 15.40, 15.40, 14.90, 15.10, 1109079
03/05/25, 14.80, 15.40, 14.80, 15.30, 1670849
03/04/25, 15.10, 15.20, 14.70, 14.90, 2015660
