Date, Open, High, Low, Close, Volume
04/24/25, 9.30, 9.70, 9.10, 9.40, 649307
04/23/25, 9.40, 9.40, 9.10, 9.30, 292927
04/22/25, 9.40, 9.50, 9.00, 9.10, 674245
04/21/25, 9.80, 9.80, 9.40, 9.40, 328418
04/17/25, 9.90, 10.00, 9.50, 9.50, 457543
04/16/25, 9.80, 10.00, 9.70, 9.80, 507217
04/11/25, 9.70, 9.80, 9.60, 9.70, 672492
04/10/25, 9.50, 9.90, 9.50, 9.70, 1360812
04/09/25, 9.50, 9.50, 9.00, 9.40, 579931
04/08/25, 9.70, 10.00, 9.50, 9.60, 960837
04/07/25, 9.00, 9.80, 8.60, 9.70, 4930170
04/04/25, 9.30, 9.60, 8.90, 9.50, 3107547
04/03/25, 8.50, 9.40, 8.30, 9.30, 5426679
04/02/25, 8.60, 8.70, 8.50, 8.60, 2325432
04/01/25, 8.50, 8.60, 8.40, 8.60, 1363086
03/28/25, 8.00, 8.60, 8.00, 8.50, 3001310
03/27/25, 7.90, 8.00, 7.90, 8.00, 115688
03/26/25, 8.40, 8.40, 7.90, 7.90, 219950
03/25/25, 8.00, 8.40, 7.90, 8.00, 755116
03/24/25, 7.50, 8.50, 7.50, 7.80, 314383
03/21/25, 7.50, 7.90, 7.50, 7.80, 376377
03/20/25, 7.50, 7.50, 7.40, 7.40, 30220
03/19/25, 7.50, 7.50, 7.00, 7.00, 371283
03/18/25, 7.70, 7.70, 7.40, 7.40, 129843
03/17/25, 7.80, 7.80, 7.70, 7.70, 20765
03/14/25, 7.80, 7.80, 7.80, 7.80, 204
03/12/25, 7.60, 7.70, 7.50, 7.50, 60250
03/11/25, 7.80, 7.80, 7.60, 7.60, 61315
03/10/25, 7.80, 7.80, 7.70, 7.80, 26656
03/07/25, 7.80, 7.90, 7.80, 7.80, 80850
03/06/25, 7.60, 7.90, 7.60, 7.70, 7209
03/05/25, 7.50, 8.00, 7.40, 7.90, 26002
03/04/25, 7.80, 7.80, 7.50, 7.50, 47076
03/03/25, 7.90, 7.90, 7.70, 7.70, 111343
02/28/25, 7.90, 8.00, 7.90, 8.00, 211
02/27/25, 7.90, 8.00, 7.90, 7.90, 64328
02/25/25, 8.00, 8.00, 7.80, 7.80, 140204
02/24/25, 8.10, 8.10, 7.90, 7.90, 260477
02/21/25, 8.30, 8.40, 8.10, 8.10, 49123
02/20/25, 8.50, 8.50, 8.00, 8.00, 321769
02/19/25, 8.30, 8.50, 8.10, 8.40, 255448
02/18/25, 8.60, 8.60, 8.30, 8.30, 361144
02/17/25, 8.80, 8.80, 8.50, 8.60, 147199
02/14/25, 8.10, 8.80, 8.10, 8.70, 323096
02/13/25, 8.30, 8.50, 8.10, 8.20, 23449
02/11/25, 8.50, 8.50, 8.10, 8.10, 204309
02/10/25, 8.50, 8.50, 8.30, 8.50, 229777
02/07/25, 8.30, 8.60, 8.20, 8.50, 197062
02/06/25, 8.10, 8.30, 8.00, 8.20, 132360
02/05/25, 8.50, 8.60, 7.90, 8.00, 252320
02/03/25, 8.70, 8.70, 8.40, 8.40, 151600
01/31/25, 8.70, 8.70, 8.50, 8.60, 159499
01/30/25, 8.40, 8.70, 8.40, 8.50, 235655
01/29/25, 8.40, 8.50, 8.30, 8.40, 31753
01/28/25, 8.20, 8.50, 8.10, 8.30, 46128
