Date, Open, High, Low, Close, Volume
04/24/25, 27.40, 29.00, 27.40, 29.60, 70
04/23/25, 29.60, 29.70, 29.40, 29.60, 125
04/21/25, 29.00, 29.00, 29.00, 29.00, 1201
04/17/25, 29.60, 29.60, 29.60, 29.00, 10
04/16/25, 29.80, 29.80, 29.00, 29.00, 819
04/10/25, 28.00, 28.00, 28.00, 28.00, 300
04/08/25, 27.00, 29.60, 26.50, 28.80, 1302
04/07/25, 27.50, 27.50, 27.00, 27.10, 772
04/04/25, 27.60, 28.20, 27.00, 28.20, 2767
04/03/25, 29.50, 29.80, 29.50, 29.40, 55
04/02/25, 29.00, 29.50, 29.00, 29.40, 755
04/01/25, 28.00, 28.00, 28.00, 28.00, 707
03/28/25, 28.00, 28.00, 28.00, 28.00, 10
03/27/25, 29.00, 29.00, 28.00, 28.00, 2802
03/25/25, 30.40, 30.50, 30.40, 30.40, 100
03/21/25, 29.80, 30.50, 28.70, 30.40, 366
03/20/25, 28.90, 29.80, 28.90, 29.60, 1593
03/19/25, 28.40, 28.40, 28.40, 28.90, 51
03/18/25, 29.00, 29.00, 28.90, 28.90, 290
03/17/25, 28.50, 32.00, 28.00, 29.00, 11322
03/14/25, 29.50, 33.90, 29.50, 33.90, 595
03/12/25, 28.50, 29.00, 27.20, 27.50, 1789
03/11/25, 30.00, 30.00, 28.90, 29.20, 522
03/10/25, 29.00, 29.00, 29.00, 29.00, 531
03/07/25, 30.00, 30.00, 28.90, 29.00, 446
03/06/25, 33.00, 33.00, 30.00, 30.00, 5081
03/05/25, 35.90, 35.90, 35.90, 33.50, 1
03/04/25, 33.50, 33.50, 33.50, 33.50, 110
03/03/25, 33.40, 33.40, 33.40, 33.50, 3
02/24/25, 33.10, 33.50, 33.10, 33.50, 1002
02/20/25, 33.40, 33.40, 33.40, 33.00, 21
02/19/25, 33.00, 33.00, 33.00, 33.00, 447
02/18/25, 33.40, 33.40, 33.40, 33.40, 280
02/17/25, 33.50, 33.50, 33.00, 33.40, 301
02/14/25, 33.50, 33.50, 33.50, 33.50, 2
02/13/25, 33.50, 33.50, 33.50, 33.50, 169
02/11/25, 32.40, 32.40, 32.40, 32.40, 760
02/10/25, 33.50, 33.50, 33.50, 33.50, 1000
02/07/25, 33.10, 33.50, 33.00, 33.50, 543
02/06/25, 32.20, 35.50, 32.20, 32.80, 1323
02/05/25, 34.90, 34.90, 34.10, 34.10, 47
02/03/25, 35.90, 35.90, 35.80, 34.10, 47
01/31/25, 34.10, 35.90, 34.10, 34.10, 1097
01/30/25, 35.90, 35.90, 35.90, 35.10, 10
01/29/25, 36.00, 36.00, 35.00, 35.10, 702
01/28/25, 36.00, 36.00, 35.50, 35.90, 266
01/27/25, 38.00, 38.00, 36.00, 36.00, 5323
01/24/25, 34.20, 38.00, 34.20, 37.50, 8
01/23/25, 36.70, 38.00, 36.20, 37.50, 5815
01/22/25, 35.80, 36.00, 34.00, 36.00, 14170
01/21/25, 35.60, 35.70, 35.60, 35.70, 151
01/20/25, 35.80, 36.00, 32.30, 34.00, 3486
01/17/25, 35.90, 35.90, 35.90, 35.90, 308
01/16/25, 35.80, 35.90, 35.00, 35.10, 333
01/15/25, 35.90, 35.90, 33.70, 33.70, 5603
01/10/25, 35.20, 35.90, 34.00, 34.50, 1182
01/09/25, 36.00, 36.00, 35.90, 34.10, 7
01/08/25, 33.90, 36.00, 33.50, 34.10, 2819
01/07/25, 34.10, 34.10, 33.90, 33.90, 4927
01/06/25, 34.30, 35.90, 34.10, 34.10, 3178
01/03/25, 34.80, 35.70, 34.20, 35.30, 732
01/02/25, 34.30, 35.00, 34.30, 34.70, 3202
12/31/24, 36.00, 36.00, 34.50, 34.80, 2515
12/30/24, 34.10, 35.00, 34.10, 34.20, 1284
12/27/24, 35.00, 35.00, 34.00, 35.00, 3009
12/26/24, 36.00, 36.00, 35.90, 36.00, 218
12/24/24, 34.10, 36.00, 34.00, 36.00, 1839
12/23/24, 34.60, 35.90, 33.20, 34.90, 487
12/20/24, 36.10, 36.10, 36.10, 36.10, 117
12/19/24, 36.10, 36.10, 34.70, 36.00, 572
12/18/24, 34.20, 36.50, 34.00, 36.50, 462
12/17/24, 34.00, 35.50, 34.00, 35.40, 1861
12/16/24, 37.30, 37.30, 34.00, 36.10, 224
12/13/24, 34.00, 37.50, 34.00, 36.10, 342
12/12/24, 32.50, 39.00, 32.50, 37.00, 8583
12/11/24, 31.90, 33.90, 31.90, 31.90, 3140
12/10/24, 33.40, 33.40, 31.50, 31.50, 3250
12/09/24, 33.40, 33.50, 33.40, 33.40, 446
12/06/24, 33.40, 33.40, 33.40, 33.40, 101
12/05/24, 33.60, 33.60, 33.40, 32.00, 4
12/04/24, 34.90, 34.90, 30.10, 32.00, 4930
12/03/24, 34.90, 35.00, 34.30, 34.90, 1571
12/02/24, 34.90, 35.00, 34.80, 34.90, 4440
11/29/24, 34.90, 34.90, 34.90, 35.00, 39
11/28/24, 34.90, 35.00, 34.00, 35.00, 1684
11/27/24, 31.10, 35.00, 31.10, 34.90, 1386
11/26/24, 31.10, 31.10, 31.10, 30.00, 3
11/25/24, 30.00, 31.10, 30.00, 30.00, 1015
11/22/24, 31.00, 31.10, 31.00, 30.00, 65
11/21/24, 31.20, 31.30, 30.00, 30.00, 4109
11/20/24, 31.50, 31.50, 29.40, 31.30, 43
11/19/24, 30.80, 31.70, 30.80, 31.30, 6646
11/18/24, 29.30, 31.10, 28.50, 30.80, 3081
11/13/24, 28.40, 28.40, 26.70, 28.30, 1361
11/12/24, 27.40, 28.30, 26.40, 27.40, 1014
11/11/24, 28.20, 28.20, 28.20, 28.30, 11
11/08/24, 28.40, 28.40, 28.30, 28.30, 501
11/07/24, 26.30, 26.30, 26.30, 27.60, 1
11/06/24, 28.40, 28.40, 28.40, 27.60, 10
11/05/24, 27.60, 27.80, 27.50, 27.60, 5377
11/04/24, 26.70, 26.70, 26.30, 26.30, 1405
11/01/24, 27.80, 27.80, 26.80, 26.90, 109
10/30/24, 26.50, 27.90, 26.50, 26.50, 8552
10/29/24, 28.00, 28.00, 28.00, 28.00, 3
10/28/24, 28.00, 28.00, 28.00, 28.00, 7
10/25/24, 27.00, 27.00, 26.90, 28.00, 42
10/23/24, 28.00, 28.00, 28.00, 28.00, 30
10/16/24, 28.50, 28.50, 28.50, 28.00, 5
10/15/24, 28.00, 28.00, 28.00, 28.00, 155
10/10/24, 28.00, 28.00, 28.00, 28.00, 106
10/09/24, 26.10, 28.40, 26.10, 28.30, 1203
10/07/24, 28.30, 28.30, 28.30, 27.00, 3
10/04/24, 27.00, 27.00, 27.00, 27.00, 200
10/02/24, 27.00, 27.00, 27.00, 27.00, 206
09/30/24, 27.50, 27.50, 27.00, 27.50, 945
09/27/24, 26.10, 27.50, 26.10, 26.10, 21
09/26/24, 28.00, 28.00, 26.00, 26.10, 512
09/25/24, 29.50, 29.50, 26.10, 27.20, 660
09/20/24, 25.20, 26.20, 25.20, 26.20, 4475
09/19/24, 25.20, 26.90, 25.20, 26.90, 119
09/13/24, 27.00, 27.00, 27.00, 25.40, 14
09/10/24, 25.40, 25.40, 25.40, 25.40, 10
09/09/24, 26.00, 26.00, 25.30, 25.40, 1400
09/04/24, 26.50, 26.50, 26.50, 26.50, 519
09/03/24, 27.40, 27.40, 27.40, 27.00, 9
09/02/24, 25.30, 25.30, 25.30, 27.00, 1
08/26/24, 28.10, 28.10, 28.10, 27.00, 4
08/22/24, 28.30, 28.30, 28.30, 27.00, 2
08/21/24, 28.40, 28.40, 28.40, 27.00, 5
08/20/24, 28.90, 28.90, 28.50, 27.00, 40
08/16/24, 27.80, 28.90, 27.00, 27.00, 223
08/15/24, 26.70, 28.90, 26.70, 28.90, 5
08/14/24, 28.90, 29.00, 28.90, 28.90, 2
08/13/24, 28.80, 28.90, 28.80, 28.90, 498
08/12/24, 27.20, 27.20, 27.00, 27.10, 299
08/09/24, 28.90, 28.90, 28.90, 27.80, 2
08/08/24, 26.30, 27.80, 26.30, 27.80, 407
08/06/24, 26.40, 26.40, 26.30, 26.30, 505
08/02/24, 26.10, 26.10, 26.00, 26.00, 100
08/01/24, 27.90, 27.90, 27.90, 27.90, 100
07/31/24, 26.00, 26.00, 26.00, 26.00, 100
07/29/24, 25.50, 28.30, 25.50, 25.50, 202
07/15/24, 28.60, 28.80, 28.60, 28.60, 140
07/12/24, 28.80, 28.80, 28.80, 28.80, 100
07/09/24, 28.50, 28.90, 28.50, 28.70, 385
07/08/24, 26.80, 26.80, 26.20, 26.30, 300
07/04/24, 28.60, 28.70, 28.50, 28.50, 206
07/02/24, 26.80, 28.70, 24.40, 28.00, 950
06/26/24, 26.70, 26.70, 26.70, 28.10, 5
06/18/24, 29.60, 29.60, 29.20, 28.10, 2
06/14/24, 29.40, 29.90, 28.00, 28.10, 1025
