Date, Open, High, Low, Close, Volume
04/24/25, 3.60, 3.60, 3.50, 3.60, 4006
04/23/25, 3.50, 3.60, 3.50, 3.60, 38030
04/22/25, 3.60, 3.60, 3.50, 3.60, 5325
04/21/25, 3.60, 3.60, 3.40, 3.60, 263772
04/17/25, 3.60, 3.60, 3.50, 3.60, 3669
04/16/25, 3.60, 3.60, 3.40, 3.50, 223102
04/11/25, 3.60, 3.60, 3.40, 3.50, 77551
04/10/25, 3.60, 3.70, 3.50, 3.50, 262446
04/09/25, 3.50, 3.60, 3.40, 3.40, 473450
04/08/25, 3.20, 3.60, 3.20, 3.50, 1283897
04/07/25, 3.60, 3.60, 3.30, 3.30, 760105
04/04/25, 3.60, 3.60, 3.40, 3.50, 123448
04/03/25, 3.40, 3.60, 3.40, 3.50, 458707
04/02/25, 3.60, 3.70, 3.50, 3.70, 178489
04/01/25, 3.50, 3.60, 3.40, 3.50, 69355
03/28/25, 3.50, 3.50, 3.40, 3.40, 148089
03/27/25, 3.50, 3.50, 3.40, 3.40, 49909
03/26/25, 3.60, 3.60, 3.40, 3.40, 474609
03/25/25, 3.50, 3.60, 3.40, 3.50, 110840
03/24/25, 3.60, 3.60, 3.40, 3.50, 85022
03/21/25, 3.50, 3.60, 3.50, 3.50, 78610
03/20/25, 3.50, 3.50, 3.30, 3.40, 365844
03/19/25, 3.50, 3.50, 3.40, 3.50, 458311
03/18/25, 3.50, 3.50, 3.40, 3.40, 346325
03/17/25, 3.60, 3.60, 3.50, 3.50, 107495
03/14/25, 3.70, 3.70, 3.50, 3.60, 382186
03/12/25, 3.60, 3.70, 3.60, 3.70, 54613
03/11/25, 3.50, 3.70, 3.50, 3.50, 132641
03/10/25, 3.70, 3.80, 3.60, 3.60, 96262
03/07/25, 3.80, 3.80, 3.60, 3.60, 27697
03/06/25, 3.80, 3.90, 3.60, 3.70, 189107
03/05/25, 3.70, 3.80, 3.70, 3.80, 167199
03/04/25, 3.60, 3.70, 3.50, 3.60, 147535
03/03/25, 3.70, 3.70, 3.60, 3.60, 125664
02/28/25, 3.70, 3.70, 3.60, 3.60, 82226
02/27/25, 3.60, 3.70, 3.60, 3.60, 391801
02/25/25, 3.60, 3.70, 3.50, 3.60, 497802
02/24/25, 3.70, 3.80, 3.60, 3.70, 336131
02/21/25, 3.80, 3.80, 3.70, 3.70, 174823
02/20/25, 3.80, 3.80, 3.70, 3.80, 293249
02/19/25, 3.80, 3.90, 3.70, 3.80, 301736
02/18/25, 3.90, 4.00, 3.70, 3.80, 980802
02/17/25, 4.10, 4.10, 3.80, 3.90, 276065
02/14/25, 4.00, 4.10, 3.90, 4.00, 1244838
02/13/25, 3.80, 4.00, 3.80, 3.90, 127713
02/11/25, 4.00, 4.00, 3.80, 3.90, 307369
02/10/25, 4.00, 4.10, 3.80, 3.90, 586015
02/07/25, 4.00, 4.10, 3.90, 3.90, 531616
02/06/25, 4.00, 4.10, 3.90, 4.00, 1155250
02/05/25, 4.00, 4.10, 3.90, 4.00, 1184934
02/03/25, 4.10, 4.20, 4.00, 4.00, 3278663
01/31/25, 4.20, 4.30, 4.00, 4.10, 2792050
01/30/25, 4.00, 4.30, 3.80, 4.20, 9902689
