Date, Open, High, Low, Close, Volume
04/24/25, 410.50, 479.25, 410.25, 472.00, 38
04/22/25, 484.75, 484.75, 484.75, 472.00, 4
04/21/25, 489.75, 489.75, 489.75, 472.00, 1
04/17/25, 493.50, 493.50, 451.25, 472.00, 152
04/16/25, 450.50, 489.25, 448.00, 484.75, 10357
04/11/25, 475.00, 475.00, 460.00, 450.50, 70
04/10/25, 469.25, 469.25, 450.00, 450.50, 478
04/09/25, 445.25, 445.25, 435.00, 435.50, 470
04/08/25, 431.00, 474.00, 431.00, 434.25, 90
04/07/25, 451.25, 451.25, 430.00, 434.25, 109
04/04/25, 451.00, 499.00, 451.00, 451.50, 101
04/02/25, 489.50, 489.50, 489.50, 475.50, 1
04/01/25, 489.25, 489.25, 489.25, 475.50, 10
03/26/25, 451.00, 451.00, 451.00, 475.50, 9
03/25/25, 450.25, 475.00, 450.00, 475.50, 65
03/24/25, 488.75, 495.00, 475.00, 475.50, 25945
03/21/25, 469.75, 488.75, 461.00, 468.25, 558
03/20/25, 469.75, 469.75, 450.00, 469.75, 382
03/19/25, 468.75, 469.00, 468.75, 450.00, 49
03/18/25, 470.00, 470.00, 450.00, 450.00, 356
03/17/25, 455.00, 475.00, 450.00, 450.25, 139
03/14/25, 465.00, 470.00, 462.00, 462.50, 1052
03/12/25, 479.75, 479.75, 464.00, 464.00, 775
03/11/25, 460.00, 480.00, 460.00, 464.75, 13040
03/10/25, 470.50, 489.00, 470.00, 471.00, 3153
03/07/25, 477.00, 488.00, 470.25, 495.00, 38
03/05/25, 470.50, 488.00, 470.50, 495.00, 3
03/04/25, 494.00, 494.00, 470.25, 495.00, 31
03/03/25, 494.75, 495.00, 493.75, 495.00, 4642
02/28/25, 495.00, 495.00, 480.00, 460.00, 24
02/27/25, 495.00, 495.00, 492.00, 460.00, 4
02/25/25, 495.00, 495.00, 460.00, 460.00, 2537
02/24/25, 488.00, 490.00, 450.00, 467.00, 536
02/20/25, 488.00, 500.00, 488.00, 509.50, 3
02/19/25, 527.50, 527.50, 487.25, 509.50, 119
02/18/25, 485.00, 528.00, 485.00, 500.50, 510
02/17/25, 508.75, 508.75, 481.00, 504.50, 356
02/14/25, 500.00, 508.75, 500.00, 500.00, 1054
02/13/25, 501.00, 508.00, 501.00, 501.25, 602
02/11/25, 522.00, 524.00, 500.25, 501.25, 2562
02/10/25, 530.00, 530.00, 525.00, 522.75, 30
02/07/25, 522.00, 522.00, 522.00, 522.75, 20
02/06/25, 510.25, 525.00, 510.00, 522.75, 1330
02/05/25, 525.00, 539.75, 510.25, 523.75, 240
02/03/25, 529.50, 550.00, 510.00, 546.25, 1226
01/31/25, 479.75, 560.00, 460.00, 529.50, 62584
01/30/25, 458.00, 475.00, 458.00, 466.50, 45583
01/29/25, 458.00, 458.00, 445.00, 446.50, 1056
01/28/25, 459.00, 459.00, 450.00, 451.00, 587
01/27/25, 459.00, 459.00, 441.00, 456.75, 7313
01/24/25, 440.00, 459.00, 440.00, 459.00, 19756
01/23/25, 431.00, 456.00, 430.00, 450.25, 5920
01/22/25, 449.00, 459.00, 449.00, 456.00, 7014
01/21/25, 430.00, 450.00, 430.00, 440.25, 29618
01/20/25, 430.00, 430.00, 430.00, 430.00, 102
01/17/25, 435.00, 435.00, 435.00, 435.00, 100
01/16/25, 439.75, 440.00, 426.50, 439.75, 3196
01/15/25, 439.75, 439.75, 439.75, 439.75, 132
01/10/25, 425.25, 425.25, 420.00, 420.00, 1151
01/08/25, 423.50, 430.00, 422.00, 423.00, 1022
01/07/25, 420.00, 440.00, 413.00, 440.00, 1432
01/06/25, 422.00, 425.00, 421.00, 424.75, 544
01/03/25, 440.00, 440.00, 421.00, 421.00, 827
01/02/25, 415.00, 440.00, 415.00, 440.00, 8333
12/31/24, 425.00, 439.75, 412.50, 429.75, 1569
12/30/24, 411.50, 428.00, 411.50, 426.75, 771
12/27/24, 430.00, 430.00, 411.00, 412.00, 404
12/26/24, 408.50, 430.00, 408.50, 410.00, 216
12/24/24, 412.00, 433.00, 408.25, 409.50, 4384
12/23/24, 434.00, 434.00, 406.50, 408.25, 5011
12/20/24, 434.75, 434.75, 406.00, 406.00, 2010
12/19/24, 425.00, 434.50, 403.50, 429.75, 536
12/18/24, 404.00, 425.00, 403.50, 423.00, 3465
12/17/24, 404.00, 414.75, 403.50, 403.75, 862
12/16/24, 414.00, 414.50, 403.50, 414.25, 266
12/13/24, 403.00, 403.00, 403.00, 400.75, 1
12/12/24, 402.50, 405.00, 400.25, 400.75, 534
12/11/24, 405.00, 405.00, 405.00, 407.50, 2
12/10/24, 402.00, 420.00, 402.00, 407.50, 147
12/09/24, 425.00, 425.00, 423.50, 419.25, 10
12/06/24, 415.00, 420.00, 401.25, 419.25, 2007
12/05/24, 410.00, 410.25, 401.00, 410.25, 945
12/04/24, 407.50, 410.25, 407.50, 410.00, 1663
12/03/24, 410.25, 410.25, 410.00, 407.50, 35
12/02/24, 420.00, 420.00, 390.75, 407.50, 425
11/29/24, 399.50, 410.00, 390.00, 397.00, 1393
11/28/24, 390.00, 399.75, 383.25, 399.25, 611
11/27/24, 383.25, 390.00, 383.25, 390.00, 2024
11/26/24, 389.75, 390.00, 389.75, 390.00, 656
11/25/24, 390.00, 390.00, 390.00, 389.75, 10
11/22/24, 390.00, 390.00, 390.00, 389.75, 12
11/21/24, 394.75, 399.00, 388.75, 389.75, 638
11/20/24, 366.75, 394.75, 366.75, 389.00, 1046
11/19/24, 387.75, 390.00, 380.00, 387.75, 1611
11/18/24, 383.75, 389.50, 380.00, 380.00, 20611
11/13/24, 383.75, 384.00, 362.75, 364.50, 350
11/12/24, 378.75, 384.00, 378.75, 379.50, 200
11/11/24, 361.50, 361.50, 361.25, 361.25, 25
11/06/24, 352.75, 379.00, 352.75, 361.25, 65
11/01/24, 365.00, 366.00, 360.00, 361.25, 691
10/30/24, 377.25, 377.50, 365.00, 374.00, 100
10/29/24, 377.00, 377.50, 365.00, 375.25, 298
10/28/24, 360.00, 360.00, 360.00, 356.50, 32
10/25/24, 375.00, 377.50, 375.00, 356.50, 70
10/23/24, 378.25, 379.25, 377.50, 356.50, 65
10/22/24, 357.00, 357.00, 357.00, 356.50, 4
10/21/24, 359.00, 359.00, 356.00, 356.50, 500
10/18/24, 380.00, 380.00, 356.00, 370.25, 114
10/16/24, 378.50, 384.00, 354.75, 380.50, 530
10/14/24, 378.00, 379.00, 378.00, 378.50, 27
10/11/24, 378.00, 379.00, 378.00, 378.50, 100
10/09/24, 379.00, 379.00, 379.00, 379.50, 3
10/08/24, 341.00, 379.50, 341.00, 379.50, 192
10/07/24, 342.25, 342.25, 342.25, 388.75, 3
10/04/24, 380.00, 380.00, 380.00, 388.75, 11
10/03/24, 381.50, 381.50, 381.50, 388.75, 3
09/30/24, 383.50, 383.50, 383.50, 388.75, 14
09/26/24, 388.75, 388.75, 388.75, 388.75, 112
09/25/24, 360.00, 390.00, 360.00, 360.50, 6509
09/24/24, 363.00, 363.00, 363.00, 360.00, 55
09/23/24, 363.00, 363.00, 345.00, 360.00, 14
09/19/24, 359.50, 359.50, 340.25, 360.00, 2
09/13/24, 325.75, 325.75, 325.75, 360.00, 1
09/10/24, 360.00, 360.00, 360.00, 360.00, 5009
09/05/24, 370.00, 370.00, 370.00, 370.00, 6066
09/04/24, 369.75, 370.00, 369.75, 370.00, 157
09/03/24, 327.25, 371.25, 327.25, 371.00, 6005
09/02/24, 370.00, 370.00, 370.00, 378.00, 1
08/30/24, 374.75, 374.75, 374.75, 378.00, 1
08/26/24, 378.00, 378.00, 378.00, 378.00, 22
08/21/24, 377.75, 378.00, 377.75, 378.00, 1300
08/16/24, 360.25, 360.25, 360.25, 380.00, 1
08/15/24, 380.00, 380.00, 379.50, 380.00, 2
08/14/24, 360.00, 380.00, 360.00, 380.00, 3133
08/09/24, 369.00, 369.00, 369.00, 379.75, 1
08/08/24, 368.75, 380.00, 351.00, 379.75, 6516
08/06/24, 374.25, 374.25, 351.25, 360.00, 2
