Date, Open, High, Low, Close, Volume
04/23/25, 17.80, 17.90, 17.50, 17.90, 3105
04/22/25, 17.00, 17.80, 17.00, 17.40, 5498
04/21/25, 17.90, 17.90, 17.70, 17.90, 2536
04/17/25, 17.80, 17.80, 17.80, 17.90, 1
04/16/25, 17.90, 17.90, 17.80, 17.90, 290
04/10/25, 17.90, 17.90, 17.90, 17.90, 3201
04/09/25, 16.50, 17.50, 16.50, 17.40, 2
04/08/25, 15.60, 17.80, 15.60, 17.40, 2326
04/07/25, 16.10, 17.20, 16.10, 17.10, 9024
04/04/25, 17.00, 17.40, 15.30, 17.20, 108234
04/03/25, 17.50, 18.10, 16.80, 17.90, 91032
04/02/25, 17.70, 18.40, 17.60, 18.00, 1622
04/01/25, 17.40, 18.10, 17.40, 17.50, 10377
03/28/25, 18.20, 18.20, 18.00, 18.00, 16740
03/27/25, 18.20, 18.20, 18.00, 18.00, 1111
03/26/25, 18.20, 18.20, 18.20, 18.20, 201
03/25/25, 18.20, 18.20, 17.60, 17.60, 994
03/24/25, 17.20, 18.20, 17.20, 18.10, 1714
03/21/25, 18.30, 18.30, 18.30, 18.30, 750
03/20/25, 17.70, 18.20, 17.70, 18.20, 2020
03/19/25, 17.70, 17.70, 17.70, 17.70, 100
03/18/25, 17.20, 18.10, 17.20, 17.60, 16244
03/17/25, 17.20, 18.10, 17.20, 18.10, 1100
03/14/25, 17.20, 18.10, 17.20, 18.10, 5040
03/12/25, 17.50, 18.10, 17.50, 18.10, 12010
03/11/25, 17.40, 18.00, 17.30, 17.80, 3311
03/10/25, 18.80, 18.80, 18.80, 18.20, 10
03/07/25, 17.60, 18.20, 17.10, 18.20, 8254
03/06/25, 17.40, 18.50, 17.40, 18.40, 7375
03/05/25, 18.50, 18.60, 17.10, 18.60, 44447
03/04/25, 18.10, 18.50, 18.10, 18.30, 90
03/03/25, 18.30, 18.30, 18.30, 18.30, 500
02/28/25, 18.30, 19.00, 18.30, 19.00, 200
02/27/25, 19.00, 19.00, 18.10, 18.70, 4047
02/25/25, 19.10, 19.10, 18.10, 19.00, 5700
02/24/25, 19.20, 19.40, 19.20, 19.30, 10801
02/21/25, 19.20, 19.40, 19.20, 19.40, 386
02/20/25, 19.10, 19.10, 19.10, 20.00, 89
02/19/25, 19.50, 20.00, 19.40, 20.00, 6992
02/18/25, 20.50, 20.50, 19.50, 19.50, 267381
02/17/25, 20.30, 20.90, 20.00, 20.20, 175606
02/14/25, 19.70, 20.50, 19.70, 20.30, 68143
02/13/25, 18.90, 20.00, 18.90, 19.60, 71609
02/11/25, 19.50, 19.80, 18.80, 19.70, 6825
02/10/25, 19.60, 19.70, 19.10, 19.50, 60374
02/07/25, 19.10, 19.60, 19.10, 19.40, 8774
02/06/25, 19.00, 19.70, 19.00, 19.20, 24979
02/05/25, 20.60, 20.70, 19.00, 19.40, 94612
02/03/25, 22.00, 22.00, 20.60, 20.90, 125177
01/31/25, 22.10, 22.10, 21.80, 22.00, 591086
01/30/25, 20.00, 22.70, 19.90, 22.10, 1671623
01/29/25, 20.00, 20.30, 19.90, 20.00, 679753
01/28/25, 19.20, 20.40, 19.10, 20.00, 683419
01/27/25, 18.50, 20.00, 18.50, 19.40, 709029
01/24/25, 18.20, 18.50, 18.00, 18.50, 36610
01/23/25, 18.80, 18.80, 18.20, 18.40, 208824
01/22/25, 18.80, 18.90, 18.40, 18.50, 270618
01/21/25, 18.00, 19.00, 17.80, 18.40, 161598
01/20/25, 17.60, 18.30, 17.60, 18.00, 268852
01/17/25, 17.20, 17.70, 17.10, 17.70, 2531
01/16/25, 17.30, 17.70, 17.00, 17.20, 10344
01/15/25, 17.60, 17.60, 17.20, 17.20, 10400
01/10/25, 17.00, 17.90, 17.00, 17.60, 11672
01/09/25, 17.90, 18.00, 17.00, 17.10, 55910
01/08/25, 17.00, 18.00, 17.00, 17.50, 3965
01/07/25, 17.20, 18.00, 16.80, 17.00, 35191
01/06/25, 17.80, 18.40, 17.00, 17.30, 50118
01/03/25, 18.50, 19.00, 17.50, 17.80, 400692
01/02/25, 18.80, 18.90, 18.30, 18.50, 32563
12/31/24, 18.90, 18.90, 18.30, 18.40, 157845
12/30/24, 19.80, 19.80, 18.00, 18.90, 160044
12/27/24, 20.00, 20.20, 18.90, 19.10, 73553
12/26/24, 19.80, 20.30, 19.50, 20.00, 7928927
12/24/24, 18.80, 20.00, 18.80, 19.90, 1884800
12/23/24, 19.00, 19.20, 17.80, 18.00, 202014
12/20/24, 18.50, 19.10, 17.80, 19.00, 1610415
12/19/24, 18.50, 18.50, 17.90, 18.50, 129870
12/18/24, 18.80, 18.80, 17.80, 18.20, 87094
12/17/24, 18.80, 18.80, 17.80, 18.40, 71014
12/16/24, 19.40, 19.40, 18.60, 19.00, 125728
12/13/24, 18.00, 19.20, 18.00, 18.90, 672074
12/12/24, 18.00, 18.00, 17.90, 18.00, 150093
12/11/24, 18.00, 18.30, 17.90, 18.00, 1274888
12/10/24, 18.20, 18.40, 18.00, 18.00, 102747
