Date, Open, High, Low, Close, Volume
04/24/25, 27.10, 27.10, 27.00, 27.00, 57214
04/23/25, 27.40, 27.40, 26.50, 26.90, 10184
04/22/25, 27.30, 27.30, 27.30, 27.40, 1
04/21/25, 27.00, 27.40, 26.40, 27.40, 5040
04/17/25, 27.00, 27.30, 26.50, 27.00, 10320
04/16/25, 27.00, 27.00, 27.00, 27.00, 850
04/11/25, 26.20, 27.00, 25.70, 27.00, 48578
04/10/25, 26.80, 26.90, 26.00, 26.90, 16801
04/09/25, 27.00, 27.00, 25.80, 26.10, 11139
04/08/25, 25.80, 27.40, 25.80, 27.00, 41116
04/07/25, 25.80, 27.30, 25.60, 25.80, 34478
04/04/25, 26.70, 27.70, 24.00, 25.90, 91252
04/03/25, 27.00, 28.90, 26.40, 27.80, 21715
04/02/25, 27.70, 27.70, 27.00, 27.50, 2104
04/01/25, 27.80, 27.80, 26.00, 27.50, 30299
03/28/25, 27.50, 27.50, 26.00, 26.50, 19270
03/27/25, 27.00, 27.60, 26.90, 27.00, 2276
03/26/25, 27.70, 27.70, 27.00, 27.00, 20
03/25/25, 27.80, 27.80, 27.00, 27.00, 71097
03/24/25, 27.80, 27.80, 27.00, 27.00, 8747
03/21/25, 27.50, 27.90, 27.10, 27.50, 4459
03/20/25, 27.50, 27.50, 27.40, 27.50, 60428
03/19/25, 27.40, 27.40, 27.20, 27.20, 1320
03/18/25, 27.30, 27.50, 27.30, 27.40, 106552
03/17/25, 27.40, 27.50, 27.30, 27.30, 22555
03/14/25, 27.00, 27.20, 26.90, 26.90, 1659
03/12/25, 26.80, 26.90, 26.60, 26.80, 21192
03/11/25, 27.60, 27.60, 26.80, 26.80, 6507
03/10/25, 27.90, 27.90, 27.50, 27.50, 21777
03/07/25, 28.00, 28.00, 28.00, 28.00, 11001
03/06/25, 28.00, 28.00, 27.60, 28.00, 121677
03/05/25, 27.70, 27.80, 27.70, 27.80, 1100
03/04/25, 27.40, 27.40, 27.30, 27.30, 10784
03/03/25, 28.00, 28.00, 27.40, 27.40, 13354
02/28/25, 28.10, 28.30, 28.00, 28.00, 92271
02/27/25, 27.70, 28.30, 27.30, 28.00, 399403
02/25/25, 27.70, 27.70, 27.00, 27.00, 28605
02/24/25, 27.80, 27.90, 26.50, 27.50, 66241
02/21/25, 28.20, 28.40, 27.00, 27.80, 63366
02/20/25, 28.50, 28.50, 28.10, 28.20, 6909
02/19/25, 28.80, 28.80, 28.50, 28.50, 99199
02/18/25, 29.00, 29.00, 28.30, 28.80, 74990
02/17/25, 28.80, 29.00, 28.40, 29.00, 266594
02/14/25, 28.80, 28.80, 27.90, 28.40, 423858
02/13/25, 28.40, 28.90, 27.70, 28.80, 47391
02/11/25, 28.50, 28.90, 27.50, 27.50, 25467
02/10/25, 29.00, 30.90, 28.00, 28.50, 70693
02/07/25, 29.10, 31.00, 28.90, 29.80, 2705
02/06/25, 29.30, 29.60, 29.00, 29.10, 169731
02/05/25, 31.00, 31.00, 29.20, 29.50, 70873
02/03/25, 31.20, 31.20, 30.70, 30.70, 12542
01/31/25, 31.00, 31.50, 30.90, 31.00, 27231
01/30/25, 30.80, 31.80, 30.80, 31.20, 105883
01/29/25, 32.00, 32.00, 31.00, 31.10, 36276
01/28/25, 30.40, 32.00, 30.40, 31.90, 2579650
01/27/25, 30.20, 30.50, 29.70, 30.30, 78870
01/24/25, 29.50, 30.80, 29.20, 30.00, 127600
01/23/25, 31.00, 31.00, 29.50, 29.90, 140389
01/22/25, 31.60, 31.90, 30.50, 30.60, 345457
01/21/25, 31.90, 31.90, 31.10, 31.20, 61605
01/20/25, 30.50, 32.00, 30.50, 32.00, 793475
01/17/25, 29.80, 31.00, 29.80, 30.50, 1065860
01/16/25, 29.70, 29.90, 29.60, 29.80, 40909
01/15/25, 29.10, 30.00, 29.00, 29.70, 132814
01/10/25, 29.50, 29.50, 29.00, 29.00, 12716
01/09/25, 30.00, 30.00, 28.90, 29.50, 104600
01/08/25, 29.20, 30.00, 28.80, 29.80, 61246
01/07/25, 30.00, 30.40, 28.50, 28.60, 87520
01/06/25, 30.20, 30.70, 27.70, 29.90, 179313
01/03/25, 30.90, 31.80, 28.00, 29.20, 1626595
01/02/25, 27.60, 32.50, 27.30, 30.90, 2233528
12/31/24, 27.90, 28.00, 27.30, 27.60, 98992
12/30/24, 27.70, 27.90, 27.30, 27.60, 15643
12/27/24, 27.90, 28.00, 27.50, 27.50, 26587
12/26/24, 27.80, 28.40, 27.30, 28.00, 75462
12/24/24, 28.30, 28.50, 27.50, 27.90, 63191
12/23/24, 29.20, 29.20, 28.30, 28.60, 452637
12/20/24, 27.80, 28.90, 27.80, 28.80, 314428
12/19/24, 27.50, 28.00, 27.40, 28.00, 601789
12/18/24, 27.20, 27.50, 27.10, 27.40, 106379
12/17/24, 27.40, 27.60, 27.10, 27.10, 184570
12/16/24, 27.10, 27.50, 26.70, 27.50, 122686
12/13/24, 27.00, 27.10, 26.50, 26.90, 24918
12/12/24, 27.00, 27.50, 27.00, 27.20, 329980
12/11/24, 27.10, 28.00, 27.00, 27.60, 313440
12/10/24, 27.30, 27.90, 27.00, 27.10, 15513
12/09/24, 27.90, 27.90, 27.10, 27.50, 8034
12/06/24, 27.50, 27.50, 27.10, 27.50, 179981
12/05/24, 28.40, 28.40, 27.00, 27.50, 4580
12/04/24, 26.20, 30.00, 26.20, 27.90, 940323
12/03/24, 26.40, 27.30, 26.00, 27.00, 77124
12/02/24, 26.70, 26.90, 26.30, 26.40, 24464
11/29/24, 27.20, 27.20, 26.50, 26.60, 55340
11/28/24, 27.00, 27.50, 26.90, 27.00, 27248
11/27/24, 27.40, 27.90, 26.70, 27.90, 206858
11/26/24, 26.50, 27.10, 26.40, 27.00, 106582
11/25/24, 26.90, 26.90, 26.40, 26.40, 60135
11/22/24, 26.90, 26.90, 26.50, 26.90, 16169
11/21/24, 26.90, 26.90, 26.40, 26.70, 41765
11/20/24, 27.00, 27.00, 26.70, 26.80, 60059
11/19/24, 28.00, 28.00, 26.70, 27.00, 18179
11/18/24, 28.40, 28.40, 27.20, 27.40, 43472
11/14/24, 27.80, 28.00, 27.50, 27.90, 25270
11/13/24, 27.00, 27.90, 27.00, 27.00, 611846
11/12/24, 26.90, 27.10, 26.50, 26.90, 123030
11/11/24, 26.30, 27.70, 26.10, 26.90, 74149
11/08/24, 27.70, 27.70, 26.20, 26.50, 131327
11/07/24, 27.60, 28.70, 27.10, 27.30, 93691
11/06/24, 28.50, 28.80, 27.10, 27.80, 258765
11/05/24, 29.00, 29.20, 28.50, 29.00, 20501
11/04/24, 28.80, 30.00, 28.80, 29.00, 385334
11/01/24, 27.90, 29.00, 27.50, 28.50, 336890
10/30/24, 27.50, 27.90, 27.50, 27.70, 29218
10/29/24, 27.60, 28.10, 27.50, 28.00, 620167
10/28/24, 28.30, 28.30, 27.20, 27.60, 63064
10/25/24, 28.00, 28.40, 27.60, 28.20, 410347
10/24/24, 26.20, 28.50, 26.20, 27.80, 5150766
10/23/24, 26.20, 26.30, 25.50, 26.00, 278731
10/22/24, 24.70, 26.50, 24.70, 26.10, 1159918
10/21/24, 24.20, 24.90, 24.00, 24.80, 698065
10/18/24, 24.30, 24.50, 24.00, 24.20, 54873
10/16/24, 23.90, 24.50, 23.40, 24.50, 34816
