Date, Open, High, Low, Close, Volume
04/24/25, 374.00, 380.00, 373.00, 373.50, 814
04/23/25, 381.50, 381.50, 371.50, 378.00, 893
04/22/25, 383.00, 383.00, 383.00, 378.00, 2
04/21/25, 379.00, 384.00, 370.00, 378.00, 182
04/17/25, 379.00, 380.00, 379.00, 370.00, 43
04/16/25, 363.00, 377.75, 363.00, 370.00, 2083
04/11/25, 371.00, 371.00, 370.00, 371.00, 1305
04/10/25, 380.00, 385.00, 370.00, 371.75, 3362
04/09/25, 378.25, 378.25, 373.00, 378.00, 1068
04/08/25, 355.00, 380.00, 355.00, 378.25, 1239
04/07/25, 360.50, 365.00, 355.00, 360.50, 1064
04/04/25, 365.00, 370.00, 360.25, 360.50, 2490
04/03/25, 375.00, 377.75, 370.00, 371.75, 5234
04/02/25, 379.75, 385.00, 379.75, 382.25, 104
04/01/25, 383.75, 384.00, 380.00, 383.75, 128
03/28/25, 375.25, 384.75, 373.25, 375.00, 464
03/27/25, 377.50, 384.75, 375.00, 375.75, 307
03/26/25, 387.00, 387.00, 377.00, 374.25, 19
03/25/25, 385.00, 385.00, 380.00, 374.25, 12
03/24/25, 371.00, 371.00, 371.00, 374.25, 35
03/21/25, 379.75, 388.00, 379.75, 374.25, 48
03/20/25, 375.00, 379.75, 370.25, 374.25, 356
03/19/25, 371.25, 376.00, 371.25, 375.50, 387
03/18/25, 370.25, 378.00, 370.00, 370.25, 2775
03/17/25, 380.00, 380.00, 370.50, 372.00, 892
03/14/25, 389.75, 389.75, 389.75, 384.00, 81
03/12/25, 380.00, 385.00, 380.00, 384.00, 114
03/11/25, 380.00, 380.00, 378.25, 379.50, 107
03/10/25, 389.75, 389.75, 377.25, 384.25, 1135
03/07/25, 389.00, 389.00, 388.00, 388.00, 142
03/06/25, 385.00, 385.00, 376.25, 376.75, 4466
03/05/25, 388.00, 390.00, 375.75, 390.00, 6116
03/04/25, 391.25, 396.75, 385.25, 390.50, 13428
03/03/25, 394.50, 397.00, 391.00, 391.00, 315
02/28/25, 397.00, 397.00, 394.50, 394.75, 176
02/27/25, 395.00, 397.00, 394.50, 395.50, 328
02/25/25, 398.00, 398.00, 388.25, 388.75, 3565
02/24/25, 397.75, 397.75, 390.00, 388.25, 43
02/21/25, 398.00, 398.00, 388.00, 388.25, 1232
02/20/25, 395.00, 395.00, 385.00, 387.00, 2655
02/19/25, 398.00, 398.00, 394.00, 394.75, 1437
02/18/25, 398.00, 399.00, 396.00, 396.75, 2884
02/17/25, 393.00, 399.75, 393.00, 392.00, 72
02/14/25, 399.75, 400.00, 390.25, 392.00, 2278
02/13/25, 399.75, 400.00, 390.00, 394.00, 782
02/11/25, 395.00, 400.00, 386.00, 398.75, 3817
02/10/25, 405.00, 405.00, 400.00, 401.50, 1171
02/07/25, 413.50, 413.50, 410.00, 403.50, 97
02/06/25, 400.00, 413.75, 400.00, 403.50, 1269
02/05/25, 416.00, 416.00, 400.00, 400.25, 6136
02/03/25, 423.00, 423.00, 414.50, 417.25, 1281
01/31/25, 412.25, 424.25, 412.25, 414.75, 417
01/30/25, 420.00, 425.00, 401.00, 415.75, 4371
01/29/25, 417.25, 420.00, 413.00, 415.50, 1230
01/28/25, 405.00, 430.00, 404.00, 417.25, 6443
01/27/25, 407.00, 414.75, 390.25, 400.25, 6303
01/24/25, 404.00, 410.00, 403.00, 407.00, 1941
01/23/25, 403.50, 410.00, 402.00, 410.00, 2989
01/22/25, 409.75, 409.75, 401.75, 402.75, 1947
01/21/25, 403.00, 409.75, 400.00, 408.25, 3412
01/20/25, 406.75, 409.00, 402.00, 405.75, 1393
01/17/25, 409.00, 416.25, 400.00, 400.00, 3304
01/16/25, 404.25, 407.25, 404.25, 405.50, 162
01/15/25, 403.00, 405.00, 398.00, 399.75, 1953
01/10/25, 402.00, 405.00, 399.75, 400.25, 1599
01/09/25, 408.50, 408.50, 400.25, 401.75, 427
01/08/25, 405.75, 417.50, 400.00, 408.50, 1157
01/07/25, 400.25, 408.75, 397.25, 402.50, 2337
01/06/25, 414.75, 419.00, 400.00, 409.00, 8877
01/03/25, 418.25, 418.25, 401.00, 402.00, 16768
01/02/25, 401.50, 418.50, 401.00, 405.25, 5516
12/31/24, 425.00, 425.00, 387.00, 419.25, 5042
12/30/24, 425.00, 430.00, 411.25, 412.00, 6413
12/27/24, 430.00, 435.00, 418.00, 424.50, 10523
12/26/24, 409.75, 440.00, 409.75, 424.75, 33933
12/24/24, 394.00, 424.00, 388.00, 400.25, 52928
12/23/24, 399.00, 399.00, 385.75, 389.25, 6701
12/20/24, 386.25, 398.00, 386.25, 390.75, 8214
12/19/24, 390.00, 395.00, 385.00, 389.75, 13530
12/18/24, 399.75, 399.75, 388.00, 391.00, 1929
12/17/24, 399.00, 399.75, 389.00, 389.75, 4127
12/16/24, 392.00, 399.00, 392.00, 395.00, 947
12/13/24, 394.00, 400.00, 390.00, 390.50, 8429
12/12/24, 392.00, 396.00, 392.00, 395.00, 676
12/11/24, 396.25, 396.50, 395.00, 395.00, 1205
12/10/24, 390.75, 397.75, 390.75, 395.00, 4089
12/09/24, 395.00, 395.00, 389.00, 394.25, 5526
12/06/24, 395.00, 395.00, 388.25, 392.75, 1714
12/05/24, 395.00, 395.00, 387.00, 391.50, 5562
12/04/24, 390.00, 397.00, 380.00, 387.50, 8531
12/03/24, 395.00, 395.00, 388.00, 391.50, 1517
12/02/24, 392.00, 395.00, 392.00, 390.00, 25
11/29/24, 393.25, 398.00, 385.00, 390.00, 13993
11/28/24, 400.00, 400.00, 393.00, 395.00, 753
11/27/24, 400.00, 400.00, 395.00, 400.00, 528
11/26/24, 399.75, 449.50, 395.25, 400.00, 1263
11/25/24, 394.00, 397.00, 391.25, 397.00, 56
