Date, Open, High, Low, Close, Volume
04/24/25, 37.30, 37.80, 37.30, 37.60, 47801
04/23/25, 37.50, 37.50, 37.00, 37.20, 45024
04/22/25, 37.50, 37.60, 37.20, 37.50, 91803
04/21/25, 37.00, 37.60, 37.00, 37.50, 332303
04/17/25, 38.00, 38.00, 36.90, 37.30, 56519
04/16/25, 37.90, 38.40, 37.10, 37.70, 101407
04/11/25, 37.50, 38.30, 37.50, 37.60, 527991
04/10/25, 38.20, 38.50, 37.50, 38.00, 1325142
04/09/25, 36.80, 37.30, 36.10, 36.40, 479695
04/08/25, 36.00, 37.60, 36.00, 37.00, 504992
04/07/25, 36.90, 36.90, 34.80, 35.90, 575204
04/04/25, 37.60, 37.60, 36.50, 37.20, 276744
04/03/25, 38.60, 38.60, 36.50, 37.70, 352099
04/02/25, 38.00, 39.30, 38.00, 39.00, 370617
04/01/25, 37.00, 38.00, 37.00, 38.00, 262088
03/28/25, 36.90, 37.00, 36.40, 37.00, 200677
03/27/25, 36.80, 36.90, 36.30, 36.50, 185080
03/26/25, 36.90, 37.00, 36.70, 36.80, 148379
03/25/25, 36.90, 37.00, 36.60, 36.90, 238019
03/24/25, 37.00, 37.20, 36.90, 37.00, 178979
03/21/25, 37.00, 37.00, 36.70, 37.00, 627837
03/20/25, 35.90, 37.00, 35.80, 36.70, 519386
03/19/25, 36.50, 36.90, 36.00, 36.10, 563643
03/18/25, 37.40, 37.50, 36.50, 36.50, 586853
03/17/25, 38.70, 38.70, 37.70, 37.80, 295238
03/14/25, 38.70, 39.90, 38.40, 38.80, 79150
03/12/25, 38.60, 39.00, 37.80, 39.00, 74405
03/11/25, 38.10, 39.00, 37.90, 38.30, 236383
03/10/25, 39.10, 39.50, 38.10, 38.60, 118564
03/07/25, 39.10, 39.70, 38.70, 39.00, 365540
03/06/25, 39.70, 39.70, 38.80, 38.90, 388709
03/05/25, 38.50, 39.50, 38.00, 39.10, 1306639
03/04/25, 38.70, 38.70, 37.70, 38.00, 1748740
03/03/25, 39.80, 39.90, 38.60, 38.80, 191621
02/28/25, 39.40, 40.30, 39.40, 39.90, 494260
02/27/25, 39.00, 40.00, 39.00, 39.60, 435266
02/25/25, 40.00, 40.00, 38.70, 38.90, 1067850
02/24/25, 40.10, 40.10, 39.00, 40.00, 571725
02/21/25, 40.00, 40.80, 40.00, 40.50, 799042
02/20/25, 41.00, 41.10, 40.00, 40.30, 495868
02/19/25, 41.00, 41.30, 40.20, 40.70, 926976
02/18/25, 41.50, 42.00, 40.20, 40.80, 468214
02/17/25, 40.80, 41.20, 40.00, 41.00, 871503
02/14/25, 39.50, 40.70, 39.50, 40.10, 1161580
02/13/25, 38.60, 39.80, 38.40, 39.50, 293869
02/11/25, 39.00, 39.00, 38.50, 38.60, 673685
02/10/25, 39.80, 40.00, 38.70, 39.10, 458552
02/07/25, 39.50, 40.00, 39.00, 39.90, 820465
02/06/25, 38.60, 40.30, 38.60, 39.00, 1246080
02/05/25, 40.60, 41.20, 38.60, 38.90, 1498550
02/03/25, 42.00, 42.00, 40.70, 40.80, 285965
01/31/25, 42.40, 42.40, 41.10, 42.00, 714398
01/30/25, 43.30, 43.90, 42.00, 42.50, 1033295
01/29/25, 43.20, 43.90, 42.70, 43.50, 1729539
01/28/25, 42.50, 43.40, 42.30, 43.00, 726491
01/27/25, 42.10, 43.00, 42.00, 42.50, 805116
01/24/25, 43.00, 43.20, 41.90, 42.10, 882921
01/23/25, 43.40, 43.90, 42.60, 43.00, 1955369
01/22/25, 44.20, 44.40, 42.90, 43.20, 1312677
01/21/25, 41.90, 44.30, 41.80, 44.20, 3117480
01/20/25, 41.90, 41.90, 41.20, 41.50, 738121
01/17/25, 41.10, 42.00, 41.10, 41.70, 204107
01/16/25, 41.70, 41.90, 41.20, 41.30, 202146
01/15/25, 41.00, 42.20, 40.50, 41.50, 487188
01/10/25, 40.30, 41.50, 39.10, 41.20, 732790
01/09/25, 41.00, 41.50, 40.00, 40.10, 783689
01/08/25, 40.50, 41.70, 40.30, 41.10, 459360
01/07/25, 40.50, 41.50, 39.60, 40.80, 1801024
01/06/25, 41.00, 42.50, 39.40, 40.90, 3370843
01/03/25, 43.10, 43.90, 41.00, 41.70, 3083686
01/02/25, 43.70, 44.20, 42.30, 42.60, 4119549
12/31/24, 44.40, 44.40, 43.10, 43.50, 2900251
12/30/24, 43.50, 45.30, 43.50, 44.20, 7552818
12/27/24, 40.70, 43.20, 40.70, 43.10, 5255333
12/26/24, 39.50, 40.90, 39.50, 40.60, 3465844
12/24/24, 39.80, 39.80, 38.60, 39.50, 4835328
12/23/24, 39.50, 40.00, 38.70, 39.00, 4239164
12/20/24, 37.70, 39.90, 37.50, 39.10, 7714272
12/19/24, 37.80, 37.90, 37.50, 37.70, 1788751
12/18/24, 37.50, 37.70, 36.50, 37.50, 1009785
12/17/24, 37.60, 38.30, 36.50, 37.50, 2056552
12/16/24, 38.00, 38.50, 37.00, 37.50, 1488613
12/13/24, 36.30, 38.60, 35.80, 37.60, 5433557
12/12/24, 35.60, 36.50, 35.60, 36.00, 1427330
12/11/24, 35.50, 35.90, 35.50, 35.50, 409162
12/10/24, 35.70, 35.90, 35.40, 35.50, 1106236
12/09/24, 36.00, 36.20, 35.60, 35.80, 922624
12/06/24, 35.20, 36.10, 35.00, 35.90, 2429313
12/05/24, 35.70, 35.90, 34.90, 35.00, 1503313
12/04/24, 34.60, 36.00, 34.30, 35.70, 3819572
12/03/24, 33.30, 34.70, 33.30, 34.50, 1957213
12/02/24, 33.50, 33.50, 32.80, 33.00, 268220
11/29/24, 33.50, 33.70, 33.00, 33.30, 318046
11/28/24, 33.20, 33.60, 33.00, 33.40, 2292212
11/27/24, 32.70, 33.50, 32.60, 33.00, 221367
11/26/24, 32.70, 33.00, 32.60, 32.70, 100452
11/25/24, 33.00, 33.00, 32.70, 32.80, 424385
11/22/24, 33.20, 33.20, 32.80, 33.00, 211933
11/21/24, 33.10, 33.10, 32.80, 33.00, 1343530
11/20/24, 33.00, 33.50, 32.90, 33.10, 1218619
11/19/24, 33.00, 33.50, 32.90, 33.00, 887087
11/18/24, 33.60, 33.90, 32.90, 33.00, 1064966
11/14/24, 33.60, 33.90, 33.30, 33.50, 671747
11/13/24, 33.50, 33.80, 33.40, 33.50, 991364
11/12/24, 32.90, 33.50, 32.80, 33.50, 731373
11/11/24, 33.00, 33.20, 32.70, 32.90, 254915
11/08/24, 32.00, 33.00, 32.00, 32.90, 5245399
11/07/24, 32.40, 32.50, 32.00, 32.00, 1593345
11/06/24, 32.80, 32.90, 32.10, 32.20, 745403
11/05/24, 33.00, 33.00, 32.40, 32.60, 527182
11/04/24, 33.70, 33.80, 32.90, 33.00, 1234200
11/01/24, 34.10, 34.10, 33.50, 33.60, 243633
10/30/24, 34.00, 34.40, 33.70, 33.70, 380217
10/29/24, 33.50, 34.20, 33.50, 33.80, 756378
10/28/24, 33.70, 33.90, 33.40, 33.70, 183593
10/25/24, 33.80, 33.90, 33.40, 33.60, 997388
10/24/24, 33.10, 33.90, 33.10, 33.50, 474506
10/23/24, 33.10, 34.00, 33.00, 33.40, 229678
10/22/24, 33.00, 33.60, 33.00, 33.30, 198615
10/21/24, 33.90, 33.90, 33.10, 33.20, 207857
10/18/24, 33.60, 34.50, 33.60, 34.00, 730282
10/16/24, 33.50, 34.00, 33.20, 33.80, 518357
10/15/24, 33.50, 33.60, 33.00, 33.10, 118341
10/14/24, 33.40, 33.50, 33.00, 33.50, 296335
10/11/24, 32.90, 33.30, 32.70, 33.20, 1476017
10/10/24, 32.80, 32.90, 32.10, 32.70, 479570
10/09/24, 33.20, 33.40, 32.50, 32.80, 417787
10/08/24, 33.20, 33.40, 32.90, 33.10, 179182
10/07/24, 33.40, 33.40, 32.90, 32.90, 229482
10/04/24, 32.60, 33.40, 32.30, 33.00, 250854
10/03/24, 33.10, 33.50, 32.40, 32.50, 441136
10/02/24, 33.50, 33.80, 33.10, 33.20, 565476
10/01/24, 33.20, 33.80, 33.10, 33.50, 471966
09/30/24, 33.70, 33.90, 33.00, 33.20, 811606
09/27/24, 32.70, 33.70, 32.20, 33.40, 269467
09/26/24, 34.00, 34.30, 32.50, 32.80, 836901
09/25/24, 33.00, 34.10, 32.50, 33.60, 1350254
09/24/24, 31.00, 33.00, 30.90, 32.50, 1116614
09/23/24, 29.80, 31.40, 29.60, 30.80, 1289542
09/20/24, 30.60, 30.80, 30.20, 30.50, 192430
09/19/24, 30.50, 30.90, 30.00, 30.40, 255531
09/18/24, 29.50, 30.50, 29.50, 30.00, 604902
09/13/24, 29.60, 29.80, 29.20, 29.50, 97150
09/12/24, 29.40, 29.80, 29.10, 29.30, 118991
09/11/24, 29.00, 29.50, 28.70, 29.40, 48368
09/10/24, 29.00, 29.00, 28.30, 28.50, 487299
09/09/24, 30.40, 30.40, 28.00, 28.50, 2118913
09/06/24, 30.00, 30.40, 29.80, 29.90, 45305
09/05/24, 30.50, 30.60, 29.90, 30.00, 199974
09/04/24, 30.00, 30.40, 29.70, 30.40, 116762
09/03/24, 29.00, 29.90, 28.80, 29.80, 222918
09/02/24, 29.80, 29.80, 29.00, 29.10, 207646
08/30/24, 30.00, 30.50, 29.70, 30.00, 66714
08/29/24, 29.90, 30.20, 29.50, 29.70, 182459
08/28/24, 30.20, 30.40, 29.00, 29.50, 358813
08/27/24, 30.90, 30.90, 30.00, 30.20, 186402
08/26/24, 31.20, 31.20, 30.70, 30.70, 528256
08/23/24, 31.50, 31.60, 31.00, 31.30, 163691
08/22/24, 31.50, 31.80, 31.20, 31.50, 154236
08/21/24, 31.40, 31.50, 31.30, 31.40, 34736
08/20/24, 32.00, 32.00, 31.40, 31.40, 32537
08/16/24, 31.60, 31.70, 31.30, 31.50, 232040
