Date, Open, High, Low, Close, Volume
4/22/2025,36.3,36.3,36.3,36.4,6
4/21/2025,34.8,36.9,34.8,36.4,8321
4/17/2025,33.5,33.5,33.5,34.3,10
4/16/2025,34.3,34.3,34.3,34.3,500
4/10/2025,34.6,36,34.6,35.9,102
4/8/2025,31.7,35,31.7,32,6
4/7/2025,32,32,32,32,10
4/4/2025,31.7,32.1,31.7,32,490
4/3/2025,33,35.5,33,34.5,3225
4/2/2025,33,33,31.6,33,1303
4/1/2025,33,33,33,33,1
3/28/2025,32.6,33,32.5,33,800
3/27/2025,33.6,33.6,32.6,33.1,14
3/26/2025,33.7,33.7,33,33.1,740
3/25/2025,33.6,33.6,33.6,33.6,500
3/24/2025,33.3,33.3,32.5,33,12316
3/21/2025,33.8,33.8,32,33.5,718
3/20/2025,33.9,33.9,33.5,33.7,201
3/19/2025,34.4,34.4,30.5,31,5964
3/18/2025,31,33.3,30,33,3053
3/17/2025,32.5,32.5,28.3,31.8,8404
3/14/2025,36,36,32.1,33.3,1454
3/12/2025,36,36,35,35.3,300
3/11/2025,36.5,36.5,34.8,34.8,515
3/10/2025,35,37.1,35,36.5,400
3/5/2025,34,37.9,33.7,35.3,1955
3/4/2025,34,36.4,34,34.2,550
3/3/2025,36.9,36.9,36.9,36.6,51
2/28/2025,34.7,36.9,32.5,36.6,584
2/27/2025,35.5,36.9,35,35.5,1098
2/25/2025,36.9,36.9,35.5,36,2070
2/24/2025,37,37,36,36,1002
2/21/2025,38.9,38.9,38.9,38.4,2
2/20/2025,39,39,36,38.4,6213
2/18/2025,38,38,37,37.5,1059
2/17/2025,40,40,38,38,4060
2/14/2025,37.9,37.9,37,37,3529
2/13/2025,36.7,37,36.6,36.7,11500
2/11/2025,37.9,37.9,37.9,38.2,21
2/10/2025,38,40.3,38,38.2,404
2/7/2025,40.5,40.5,38.1,38.1,1610
2/6/2025,37.3,40.6,36.6,37.2,7445
2/5/2025,40,40,37.5,37.8,14805
2/3/2025,40.6,40.6,40,40,1518
1/31/2025,38.5,38.5,38.5,38.5,951
1/30/2025,40,40,38.4,38.4,201
1/29/2025,39,39,39,39,1250
1/28/2025,40.9,40.9,39.5,39.5,332
1/27/2025,40.8,40.8,40,40,1156
1/24/2025,40,40.7,39.5,39.6,1006
1/23/2025,41,41,40,40,15034
1/22/2025,41,41,41,41,885
1/21/2025,41,41.4,39.2,40.1,15693
1/20/2025,39.5,41.5,39.3,40,7460
1/17/2025,41.5,41.5,41.5,39,1
1/16/2025,40.9,41,39,39,39800
1/15/2025,41,41,39.2,39.2,202
1/10/2025,39,41,39,39.7,607
1/9/2025,40,41.5,39.1,40,2526
1/8/2025,39,41.9,39,39.6,579
1/7/2025,40,43,38,40,116279
1/6/2025,39,40.9,37.1,40,74125
1/3/2025,42.5,42.5,38.5,39.1,108133
1/2/2025,39.5,41.5,39.5,41.5,18887
12/31/2024,40.5,40.5,39.5,39.5,14731
12/30/2024,39.5,40.8,39.5,39.6,7455
12/27/2024,39.5,41.3,39.5,40.3,84663
12/26/2024,38.6,42,38.6,38.9,34048
12/24/2024,36.6,39.8,36.6,39,18236
12/23/2024,38.4,38.4,35.9,36.6,3973
12/20/2024,37.6,38.5,36.6,36.8,4213
12/19/2024,38,38.2,36.5,36.6,6408
12/18/2024,37,38.5,37,37,9620
12/17/2024,37.1,38.9,36,38.5,30492
12/16/2024,37.8,37.8,37,37.5,19114
12/13/2024,39.7,39.7,37.5,38.4,3098
12/12/2024,37.5,40.5,37.5,38.7,139025
12/11/2024,36.9,37,36,36,199
12/10/2024,36.7,36.7,36.7,36.9,11
12/9/2024,35,37,35,36.9,12530
12/6/2024,36.9,36.9,36,36,1091
12/5/2024,36.2,36.2,36,36.1,4903
12/4/2024,37,37,36.2,36.2,8865
12/3/2024,36.9,37.3,36.9,37.1,24840
12/2/2024,36.8,36.8,34.5,35.4,5160
11/29/2024,33.5,36.8,32.9,36.7,39314
11/28/2024,31.3,33,31.3,32.7,7500
11/27/2024,31.3,32.2,31.3,31.6,140
11/26/2024,31.3,32,31.3,32,4551
11/25/2024,31.3,31.3,31.2,31.3,7891
11/22/2024,31,32,31,32,11785
11/21/2024,31.9,31.9,31,31,6801
11/20/2024,31.2,32,31.2,31.8,23844
11/19/2024,31.4,33.8,29.2,31.5,53280
11/18/2024,29.8,31.6,29.8,30,23695
11/14/2024,29.3,29.5,28.5,29.4,4319
11/13/2024,29.5,29.5,29,29.1,15935
11/12/2024,29,29.7,29,29,12528
11/7/2024,29.8,29.8,29.8,28.5,1
11/6/2024,29.1,29.1,28.3,28.5,17784
11/5/2024,29.1,29.1,29.1,30,65
11/4/2024,29.8,30.4,29,30,40953
11/1/2024,29.3,29.6,29.3,28.8,6
10/29/2024,29,29,28.6,28.8,170
10/28/2024,29,29,28.8,28.8,3105
10/25/2024,29,29,29,28.1,15
10/24/2024,29,29,27.7,28.1,8566
10/23/2024,28.6,28.6,28.6,29,15
10/22/2024,29,29,29,29,515
10/21/2024,29.3,29.3,28.6,28.7,28800
10/18/2024,29.3,29.5,29.3,29.3,2778
10/16/2024,30.3,30.3,30.3,30.3,2750
10/15/2024,30.1,30.3,29.3,30.2,6177
10/14/2024,30,30,29.1,29.3,8850
10/11/2024,30.1,30.2,30,30,2043
10/10/2024,29.1,29.1,29,29,8120
10/9/2024,30,30.2,30,30,690
10/8/2024,29.1,30,29.1,29.4,802
10/4/2024,30,30.3,29.8,29.9,5145
10/3/2024,29.2,29.2,29,29,8300
10/2/2024,29,29.1,29,28.5,2
10/1/2024,30.3,30.3,28.5,28.5,970
9/30/2024,30,30.4,30,30.4,3465
9/27/2024,29,30.7,29,30.5,27135
9/26/2024,29.2,29.2,29.2,29,5
9/25/2024,28.8,29.2,28.8,29,280
9/24/2024,26.3,28,26.3,28,13544
9/23/2024,26.3,27.5,26,27.5,1500
9/19/2024,26.7,27.4,26.7,27,15
9/18/2024,27,27,27,27,219
9/13/2024,25.6,27,25.6,27,782
9/12/2024,27.5,27.5,27.5,27.4,10
9/11/2024,26.7,27.5,26.7,27.4,1107
9/6/2024,27.5,27.5,27,27.5,1670
9/3/2024,27.5,27.5,27.5,28.3,76
