Date, Open, High, Low, Close, Volume
04/24/25, 111.00, 111.00, 110.50, 111.00, 164328
04/23/25, 111.50, 111.50, 110.50, 110.75, 134393
04/22/25, 111.00, 111.50, 110.50, 110.75, 346467
04/21/25, 112.00, 113.00, 110.50, 111.00, 1061551
04/17/25, 112.00, 112.00, 110.50, 110.75, 745764
04/16/25, 111.75, 113.50, 111.50, 112.00, 172162
04/11/25, 113.00, 113.50, 109.25, 111.25, 1798068
04/10/25, 110.50, 115.00, 110.25, 112.75, 9969427
04/09/25, 107.00, 107.00, 103.50, 104.00, 1231529
04/08/25, 102.75, 108.50, 102.75, 107.25, 2837712
04/07/25, 109.00, 109.00, 99.90, 102.75, 6189461
04/04/25, 113.00, 113.00, 107.75, 109.25, 4347216
04/03/25, 115.00, 115.00, 112.50, 113.25, 1554052
04/02/25, 115.50, 116.00, 115.00, 115.50, 754415
04/01/25, 116.00, 116.25, 113.00, 115.50, 1538397
03/28/25, 122.00, 123.00, 121.25, 122.50, 1502652
03/27/25, 121.75, 122.25, 121.25, 122.00, 925056
03/26/25, 122.00, 122.75, 120.75, 121.25, 806650
03/25/25, 121.75, 122.00, 121.50, 121.75, 1010958
03/24/25, 122.25, 123.00, 121.00, 121.75, 693779
03/21/25, 120.75, 122.50, 120.75, 122.00, 799274
03/20/25, 118.50, 121.00, 118.50, 120.75, 562435
03/19/25, 118.00, 119.50, 117.50, 118.75, 260168
03/18/25, 118.50, 119.00, 117.25, 117.75, 1160616
03/17/25, 121.00, 122.00, 118.50, 118.75, 964074
03/14/25, 120.00, 122.00, 120.00, 120.75, 424489
03/12/25, 118.75, 121.25, 117.75, 120.00, 1823854
03/11/25, 120.00, 120.00, 118.00, 118.50, 850173
03/10/25, 121.75, 121.75, 119.75, 120.00, 461635
03/07/25, 122.00, 122.00, 120.25, 120.50, 875264
03/06/25, 122.00, 122.75, 121.00, 121.75, 690391
03/05/25, 118.75, 122.25, 118.75, 122.00, 1310014
03/04/25, 120.25, 120.50, 117.25, 118.50, 989668
03/03/25, 123.00, 123.75, 120.25, 120.75, 525673
02/28/25, 121.00, 123.00, 120.75, 122.50, 2476457
02/27/25, 120.50, 122.00, 120.50, 121.00, 581666
02/25/25, 122.00, 122.00, 120.00, 120.50, 1242084
02/24/25, 122.50, 122.75, 121.00, 121.75, 2059003
02/21/25, 122.00, 124.00, 121.50, 122.25, 5897055
02/20/25, 123.25, 123.25, 120.00, 121.50, 2260550
