Date, Open, High, Low, Close, Volume
04/17/25, 150.50, 151.00, 150.50, 150.25, 24
04/11/25, 164.00, 164.00, 163.00, 150.25, 11
04/10/25, 150.75, 150.75, 150.00, 150.25, 3500
04/09/25, 158.00, 158.75, 158.00, 158.25, 190
04/04/25, 145.75, 154.75, 145.75, 158.75, 12
04/02/25, 158.75, 159.00, 158.75, 158.75, 180
04/01/25, 145.50, 145.50, 145.50, 167.50, 20
03/27/25, 168.25, 169.50, 167.25, 167.50, 122
03/26/25, 150.00, 150.00, 145.00, 145.25, 145
03/25/25, 145.00, 145.00, 145.00, 151.00, 2
03/24/25, 150.00, 150.00, 150.00, 151.00, 6
03/20/25, 164.50, 164.50, 150.00, 151.00, 224
03/19/25, 140.25, 164.75, 140.25, 154.75, 2
03/12/25, 155.00, 155.00, 155.00, 154.75, 7
03/04/25, 155.50, 155.50, 154.25, 154.75, 172
03/03/25, 160.00, 160.00, 160.00, 160.50, 4
02/27/25, 155.00, 155.00, 155.00, 160.50, 30
02/24/25, 158.00, 158.00, 158.00, 160.50, 24
02/19/25, 167.00, 167.00, 160.00, 160.50, 326
02/18/25, 160.00, 160.00, 158.00, 160.00, 51
02/17/25, 167.00, 167.00, 160.25, 160.00, 17
02/14/25, 160.00, 160.00, 160.00, 160.00, 778
02/13/25, 155.00, 155.00, 155.00, 160.00, 50
02/11/25, 162.00, 162.00, 161.75, 160.00, 52
02/10/25, 160.25, 160.25, 160.00, 160.00, 125
02/07/25, 160.50, 160.50, 160.00, 161.00, 44
02/06/25, 164.50, 164.50, 161.00, 161.00, 534
02/05/25, 161.00, 161.00, 161.00, 161.00, 500
02/03/25, 160.25, 160.25, 160.25, 160.25, 224
01/31/25, 160.25, 164.75, 160.25, 167.50, 11
01/30/25, 165.75, 165.75, 162.00, 167.50, 11
01/29/25, 168.00, 168.00, 161.75, 167.50, 215
01/28/25, 159.00, 163.50, 159.00, 160.00, 131
01/24/25, 165.00, 165.00, 160.00, 160.00, 584
01/22/25, 165.00, 170.00, 165.00, 165.00, 1041
01/21/25, 164.50, 164.50, 164.50, 160.00, 1
01/20/25, 160.00, 160.00, 160.00, 160.00, 476
01/17/25, 160.00, 160.00, 160.00, 160.00, 215
01/16/25, 160.00, 160.00, 160.00, 158.25, 7
01/15/25, 160.00, 160.00, 158.25, 158.25, 14
01/10/25, 158.00, 160.00, 158.00, 158.25, 82
01/09/25, 157.50, 158.00, 157.50, 158.25, 45
01/08/25, 160.00, 160.00, 158.00, 158.25, 641
01/07/25, 160.50, 167.00, 159.25, 159.75, 241
01/06/25, 158.00, 161.00, 158.00, 168.00, 45
01/03/25, 159.00, 189.00, 157.50, 168.00, 3489
01/02/25, 160.00, 160.00, 159.00, 159.00, 1183
12/31/24, 156.75, 156.75, 156.25, 156.25, 211
12/30/24, 156.50, 160.00, 156.00, 157.25, 238
12/27/24, 158.00, 159.75, 156.00, 156.00, 213
12/26/24, 160.00, 160.00, 155.00, 159.75, 140
12/23/24, 160.00, 160.00, 160.00, 160.00, 283
12/20/24, 149.25, 160.00, 149.00, 158.75, 230624
12/19/24, 153.75, 153.75, 148.50, 149.50, 474
12/18/24, 154.25, 154.25, 149.00, 149.00, 486
12/17/24, 155.00, 155.00, 154.00, 154.25, 125
12/16/24, 154.25, 155.00, 154.25, 155.00, 711
12/13/24, 154.75, 158.50, 154.25, 155.00, 551
12/12/24, 155.50, 158.00, 155.00, 155.75, 590
12/11/24, 155.00, 158.75, 155.00, 160.00, 53
12/10/24, 155.25, 161.00, 155.00, 160.00, 527
12/09/24, 156.00, 159.75, 155.25, 157.00, 125
12/06/24, 160.00, 161.50, 155.00, 155.75, 169
12/05/24, 155.00, 160.00, 154.75, 164.00, 72
12/04/24, 154.00, 163.00, 154.00, 164.00, 88
12/03/24, 165.00, 165.00, 154.25, 164.00, 302
12/02/24, 153.75, 153.75, 153.75, 153.75, 140
11/29/24, 153.25, 162.00, 153.25, 154.75, 71
11/28/24, 166.50, 166.50, 153.00, 154.75, 83
11/27/24, 160.75, 160.75, 155.00, 154.75, 50
11/26/24, 154.75, 154.75, 154.75, 154.75, 334
11/25/24, 154.75, 155.00, 154.75, 155.00, 255
11/22/24, 159.50, 159.50, 154.75, 157.75, 165
11/21/24, 154.00, 157.00, 154.00, 154.50, 464
11/20/24, 159.75, 159.75, 154.75, 156.75, 1645
11/19/24, 155.75, 164.75, 153.00, 154.25, 1382
11/18/24, 160.00, 168.00, 160.00, 166.75, 364
11/14/24, 153.50, 158.75, 153.00, 153.50, 1980
11/13/24, 154.00, 154.00, 153.50, 153.50, 578
11/12/24, 168.00, 170.00, 154.00, 154.00, 374
11/11/24, 158.50, 174.00, 158.50, 152.00, 52
11/08/24, 153.00, 153.00, 151.75, 152.00, 655
11/06/24, 156.00, 156.00, 153.25, 154.25, 51
11/05/24, 154.50, 154.50, 154.00, 154.25, 263
11/04/24, 154.50, 159.00, 154.25, 154.50, 164
11/01/24, 156.00, 156.00, 155.00, 155.50, 60
10/30/24, 159.50, 164.00, 155.00, 155.50, 1025
10/29/24, 160.00, 160.00, 159.00, 153.75, 6
10/28/24, 159.75, 160.00, 159.75, 153.75, 37
10/25/24, 154.00, 160.00, 154.00, 153.75, 32
10/24/24, 160.00, 160.00, 153.75, 153.75, 103
10/23/24, 153.75, 160.75, 153.00, 153.25, 507
10/22/24, 164.00, 164.00, 157.00, 153.00, 46
10/21/24, 164.00, 164.00, 164.00, 153.00, 1
10/18/24, 163.00, 163.00, 162.00, 153.00, 3
10/16/24, 153.00, 162.50, 153.00, 153.00, 101
10/14/24, 162.50, 162.50, 152.00, 151.25, 2
10/11/24, 164.00, 164.00, 155.00, 151.25, 5
10/08/24, 163.75, 163.75, 162.00, 151.25, 2
10/07/24, 160.00, 164.50, 151.00, 151.25, 478
10/04/24, 160.00, 160.00, 160.00, 160.00, 101
10/03/24, 158.00, 159.25, 158.00, 150.00, 11
10/02/24, 157.75, 157.75, 157.75, 150.00, 1
10/01/24, 150.25, 158.00, 150.25, 150.00, 2
09/27/24, 161.00, 161.00, 155.00, 150.00, 11
09/26/24, 164.00, 164.00, 150.00, 150.00, 729
09/25/24, 159.00, 166.75, 155.00, 158.50, 340
09/24/24, 150.00, 161.00, 150.00, 134.00, 86
09/23/24, 134.00, 134.75, 134.00, 134.00, 107
09/18/24, 146.50, 146.50, 146.50, 131.50, 5
09/12/24, 133.00, 133.00, 133.00, 131.50, 3
09/11/24, 148.00, 148.00, 148.00, 131.50, 3
09/06/24, 149.50, 149.50, 149.50, 131.50, 60
09/05/24, 150.00, 150.00, 150.00, 131.50, 10
09/04/24, 131.25, 155.00, 131.00, 131.50, 102
09/03/24, 131.00, 131.00, 131.00, 125.00, 1
09/02/24, 131.00, 131.00, 131.00, 125.00, 10
08/28/24, 155.50, 155.50, 155.50, 125.00, 5
08/27/24, 133.00, 158.00, 124.00, 125.00, 431
08/26/24, 140.00, 141.00, 140.00, 141.00, 101
08/23/24, 155.00, 155.00, 153.00, 141.75, 3
08/20/24, 159.00, 159.00, 158.00, 141.75, 99
08/16/24, 142.25, 142.25, 142.25, 141.75, 9
08/13/24, 144.00, 144.00, 144.00, 141.75, 1
08/12/24, 150.00, 168.00, 148.00, 141.75, 24
08/09/24, 143.00, 143.00, 141.50, 141.75, 1606
08/08/24, 141.50, 141.50, 141.50, 143.00, 21
08/05/24, 149.00, 149.00, 149.00, 143.00, 1
08/01/24, 133.25, 133.25, 133.25, 143.00, 2
07/31/24, 143.00, 143.00, 143.00, 143.00, 138
07/26/24, 160.00, 160.00, 160.00, 149.00, 1
07/25/24, 150.25, 150.25, 150.25, 149.00, 12
07/24/24, 163.00, 163.00, 155.00, 149.00, 6
07/23/24, 157.50, 174.00, 157.50, 149.00, 25
07/17/24, 140.25, 140.25, 140.25, 149.00, 5
07/16/24, 159.50, 159.50, 159.50, 149.00, 5
07/12/24, 142.25, 160.00, 142.25, 149.00, 31
07/09/24, 163.75, 163.75, 157.00, 149.00, 40
07/08/24, 164.00, 164.00, 162.75, 149.00, 16
07/01/24, 160.50, 160.50, 160.50, 149.00, 1
06/28/24, 155.00, 165.00, 141.00, 149.00, 340
06/27/24, 152.00, 152.00, 152.00, 167.50, 98
06/26/24, 169.00, 169.00, 169.00, 167.50, 2
06/20/24, 162.00, 162.00, 162.00, 167.50, 5
06/14/24, 150.50, 168.00, 150.50, 167.50, 39
06/10/24, 168.00, 168.00, 165.00, 167.50, 6
06/06/24, 162.50, 168.00, 162.00, 167.50, 9
06/04/24, 165.00, 169.75, 165.00, 167.50, 26
06/03/24, 176.50, 176.50, 163.00, 167.50, 159
05/31/24, 166.00, 180.00, 166.00, 152.50, 94
05/30/24, 152.50, 152.50, 152.50, 152.50, 3
05/29/24, 152.50, 167.00, 152.50, 152.50, 31
05/27/24, 167.25, 167.25, 167.00, 152.50, 9
05/22/24, 167.25, 167.25, 160.00, 152.50, 34
05/17/24, 151.00, 168.00, 151.00, 152.50, 353
05/16/24, 169.00, 169.00, 169.00, 159.50, 1
05/15/24, 160.00, 165.00, 156.00, 159.50, 133
05/14/24, 165.00, 165.00, 165.00, 169.75, 6
05/13/24, 169.75, 169.75, 165.00, 169.75, 42
05/10/24, 170.00, 170.00, 170.00, 169.75, 3
05/09/24, 170.00, 170.50, 170.00, 169.75, 28
05/07/24, 169.75, 170.00, 169.75, 169.75, 22
05/06/24, 170.00, 170.00, 170.00, 169.75, 1
05/03/24, 165.00, 170.00, 165.00, 169.75, 291
05/02/24, 160.00, 177.75, 160.00, 169.50, 662
04/30/24, 163.75, 165.00, 160.00, 162.00, 52
04/29/24, 163.25, 163.25, 163.25, 162.00, 9
04/26/24, 160.00, 165.00, 160.00, 162.00, 95
04/25/24, 164.00, 167.00, 162.00, 162.00, 53
04/24/24, 161.75, 164.00, 160.00, 162.00, 215
04/19/24, 164.00, 164.00, 164.00, 163.50, 3
04/18/24, 168.00, 168.00, 146.50, 163.50, 11
04/17/24, 155.00, 170.00, 154.75, 163.50, 556
04/15/24, 154.00, 155.75, 153.75, 149.00, 22
04/09/24, 149.75, 149.75, 149.50, 149.00, 7
04/08/24, 145.00, 150.00, 145.00, 149.00, 37
04/05/24, 145.00, 149.75, 140.00, 149.00, 975
04/04/24, 153.75, 154.00, 153.75, 147.50, 12
04/03/24, 154.50, 154.50, 154.25, 147.50, 4
03/27/24, 155.00, 155.00, 148.50, 147.50, 29
03/26/24, 147.50, 159.00, 144.75, 147.50, 357
03/25/24, 149.75, 149.75, 149.75, 139.50, 6
03/22/24, 139.75, 149.75, 139.00, 139.50, 620
03/21/24, 140.25, 140.25, 140.25, 139.50, 3
03/20/24, 144.75, 144.75, 144.75, 139.50, 1
03/18/24, 139.25, 140.00, 139.25, 139.50, 288
03/15/24, 142.00, 142.00, 142.00, 141.50, 20
03/14/24, 145.75, 145.75, 145.75, 141.50, 1
03/12/24, 144.75, 144.75, 144.75, 141.50, 3
03/11/24, 144.75, 144.75, 144.75, 141.50, 25
03/06/24, 141.50, 144.25, 141.50, 141.50, 14
03/05/24, 140.00, 140.00, 140.00, 141.50, 33
03/04/24, 135.00, 139.75, 135.00, 141.50, 4
03/01/24, 136.00, 147.75, 136.00, 141.50, 233
02/29/24, 136.25, 136.25, 136.25, 136.00, 55
02/27/24, 136.75, 136.75, 136.25, 136.00, 19
02/26/24, 137.00, 137.00, 136.50, 136.00, 10
02/21/24, 140.50, 140.50, 140.50, 136.00, 1
02/20/24, 136.50, 136.50, 136.00, 136.00, 111
02/19/24, 137.25, 137.25, 136.00, 136.50, 233
02/16/24, 136.75, 147.25, 136.75, 137.00, 255
02/13/24, 143.00, 143.00, 143.00, 143.00, 101
02/06/24, 140.00, 140.00, 140.00, 143.00, 69
02/02/24, 140.50, 140.50, 140.50, 143.00, 6
02/01/24, 140.00, 140.00, 140.00, 143.00, 26
01/30/24, 142.75, 143.00, 142.75, 143.00, 100
01/24/24, 144.00, 144.00, 143.00, 136.50, 8
01/19/24, 134.00, 134.00, 134.00, 136.50, 1
01/17/24, 138.50, 138.50, 137.75, 136.50, 33
01/16/24, 138.00, 138.00, 138.00, 136.50, 5
01/12/24, 138.00, 144.75, 138.00, 136.50, 2
01/10/24, 143.00, 143.00, 143.00, 136.50, 1
01/09/24, 147.75, 147.75, 147.75, 136.50, 10
01/05/24, 143.75, 143.75, 143.75, 136.50, 1
01/02/24, 148.75, 148.75, 148.75, 136.50, 3
12/22/23, 135.00, 139.75, 135.00, 136.50, 2
12/21/23, 135.25, 135.25, 135.00, 136.50, 35
12/20/23, 135.00, 139.75, 135.00, 136.50, 101
12/19/23, 136.00, 136.00, 136.00, 136.50, 4
12/18/23, 142.25, 142.25, 135.00, 136.50, 318
12/15/23, 140.00, 140.00, 137.00, 137.50, 639
12/13/23, 145.00, 159.50, 145.00, 144.00, 52
12/12/23, 138.00, 144.25, 138.00, 144.00, 703
12/11/23, 137.00, 137.00, 137.00, 143.75, 9
12/08/23, 138.50, 144.00, 126.00, 143.75, 788
12/07/23, 138.25, 138.25, 138.25, 144.75, 1
12/06/23, 144.25, 144.25, 138.25, 144.75, 17
12/05/23, 138.00, 144.50, 138.00, 144.75, 65
12/04/23, 144.75, 144.75, 144.75, 144.75, 3
12/01/23, 138.00, 138.00, 138.00, 144.75, 1
11/29/23, 145.75, 145.75, 137.00, 144.75, 11
11/27/23, 147.00, 147.00, 147.00, 144.75, 2
11/24/23, 144.75, 144.75, 140.00, 144.75, 19
11/22/23, 149.75, 149.75, 149.75, 144.75, 2
11/20/23, 144.25, 144.25, 144.25, 144.75, 69
11/17/23, 144.00, 144.00, 144.00, 144.75, 2
11/16/23, 143.00, 144.75, 141.50, 144.75, 238
11/15/23, 149.75, 149.75, 143.75, 149.75, 19
11/14/23, 149.75, 149.75, 149.75, 149.75, 5
11/10/23, 149.00, 149.00, 149.00, 149.75, 40
11/09/23, 149.50, 149.50, 149.50, 149.75, 2
11/08/23, 146.00, 149.75, 146.00, 149.75, 84
11/07/23, 150.00, 150.00, 143.00, 149.75, 749
11/06/23, 152.75, 152.75, 149.75, 149.75, 378
11/03/23, 153.00, 155.25, 151.75, 153.00, 62
11/02/23, 158.75, 158.75, 152.00, 153.00, 1842
11/01/23, 159.00, 159.00, 159.00, 168.75, 4
10/30/23, 153.25, 153.25, 141.00, 168.75, 5
10/26/23, 165.75, 168.75, 165.75, 168.75, 5
10/25/23, 167.00, 167.00, 167.00, 168.75, 1
10/24/23, 153.00, 153.00, 153.00, 168.75, 78
10/23/23, 153.00, 153.00, 153.00, 168.75, 2
10/20/23, 165.00, 170.00, 164.50, 168.75, 101
10/19/23, 155.00, 155.00, 155.00, 155.25, 97
10/18/23, 155.00, 155.00, 155.00, 155.25, 20
10/17/23, 164.75, 164.75, 160.00, 155.25, 3
10/13/23, 157.25, 157.25, 155.25, 155.25, 80
10/12/23, 157.25, 159.75, 157.25, 155.25, 6
10/11/23, 156.00, 156.00, 155.00, 155.25, 130
10/06/23, 160.00, 160.00, 160.00, 160.00, 100
10/05/23, 162.00, 162.00, 162.00, 161.00, 1
10/04/23, 161.75, 161.75, 160.00, 161.00, 123
10/03/23, 168.00, 168.00, 154.00, 168.00, 18
09/27/23, 194.75, 194.75, 167.75, 168.00, 320
09/26/23, 168.75, 168.75, 168.50, 161.00, 3
09/25/23, 167.25, 167.25, 167.25, 161.00, 2
09/22/23, 161.00, 166.25, 161.00, 161.00, 70
09/21/23, 161.00, 161.00, 161.00, 161.00, 188
09/20/23, 165.25, 165.25, 165.25, 160.50, 3
09/19/23, 169.75, 169.75, 161.00, 160.50, 9
09/18/23, 171.25, 171.25, 171.25, 160.50, 1
09/15/23, 160.75, 160.75, 160.50, 160.50, 310
09/14/23, 161.00, 161.00, 161.00, 164.00, 1
09/13/23, 170.25, 174.50, 163.50, 164.00, 293
09/12/23, 165.00, 169.75, 165.00, 163.25, 38
09/11/23, 169.75, 169.75, 163.00, 163.25, 11
09/08/23, 157.00, 185.00, 157.00, 163.25, 383
09/07/23, 163.75, 163.75, 163.75, 157.25, 2
09/06/23, 155.25, 161.75, 155.25, 157.25, 14
09/05/23, 164.00, 164.00, 160.00, 157.25, 20
09/04/23, 164.00, 164.00, 160.00, 157.25, 19
09/01/23, 164.00, 164.00, 164.00, 157.25, 1
08/29/23, 164.50, 164.50, 151.00, 157.25, 149
08/28/23, 162.00, 162.00, 162.00, 162.00, 125
08/25/23, 162.25, 166.00, 150.25, 162.00, 892
08/24/23, 169.50, 169.50, 162.00, 165.25, 481
08/23/23, 171.50, 171.50, 165.25, 167.00, 41
08/22/23, 169.00, 169.25, 167.00, 167.00, 707
08/21/23, 163.00, 168.00, 163.00, 167.00, 629
08/18/23, 163.25, 166.50, 163.00, 163.00, 1220
08/17/23, 165.00, 168.00, 161.25, 163.50, 2067
08/16/23, 163.75, 164.00, 158.00, 163.25, 1204
08/15/23, 182.25, 186.00, 150.00, 157.50, 21439
08/14/23, 189.75, 189.75, 189.75, 193.00, 97
08/08/23, 180.00, 180.00, 180.00, 193.00, 2
08/07/23, 193.00, 193.00, 187.50, 193.00, 515
08/02/23, 193.00, 193.00, 193.00, 193.00, 230
07/28/23, 195.00, 197.25, 195.00, 193.00, 10
07/27/23, 195.50, 195.50, 195.50, 193.00, 5
07/26/23, 192.00, 196.00, 192.00, 193.00, 200
07/24/23, 188.50, 194.25, 185.25, 188.50, 20
07/21/23, 188.50, 188.75, 188.50, 188.50, 669
07/19/23, 189.00, 189.00, 185.00, 189.00, 26
07/18/23, 189.50, 189.50, 188.75, 189.00, 276
07/17/23, 189.00, 189.00, 189.00, 189.00, 100
07/14/23, 182.25, 189.25, 182.25, 179.00, 64
07/13/23, 194.50, 194.50, 187.00, 179.00, 62
07/12/23, 194.75, 194.75, 194.75, 179.00, 1
07/11/23, 186.50, 186.50, 177.25, 179.00, 2606
07/07/23, 187.50, 187.50, 185.00, 186.25, 170
07/06/23, 195.25, 195.25, 186.25, 189.00, 180
07/05/23, 188.50, 199.25, 188.00, 194.50, 177
07/04/23, 190.00, 190.00, 186.00, 187.00, 542
06/26/23, 181.00, 199.75, 181.00, 210.00, 2
06/23/23, 210.00, 210.00, 210.00, 210.00, 39
06/21/23, 205.00, 210.00, 205.00, 210.00, 310
06/16/23, 195.25, 195.25, 195.25, 210.00, 5
06/15/23, 210.00, 210.00, 210.00, 210.00, 190
06/14/23, 195.25, 207.00, 195.25, 210.00, 2
06/13/23, 209.75, 209.75, 209.75, 210.00, 1
06/09/23, 210.00, 210.00, 195.00, 210.00, 16
06/08/23, 210.00, 210.00, 210.00, 210.00, 1
06/06/23, 220.00, 220.00, 220.00, 210.00, 6
06/05/23, 220.00, 220.00, 220.00, 210.00, 2
05/31/23, 175.00, 175.00, 175.00, 210.00, 3
05/29/23, 218.00, 218.00, 218.00, 210.00, 5
05/18/23, 170.00, 220.00, 170.00, 210.00, 61
05/17/23, 212.00, 212.00, 212.00, 210.00, 9
05/16/23, 231.00, 232.00, 212.00, 210.00, 56
05/15/23, 230.00, 230.00, 230.00, 210.00, 70
05/12/23, 228.25, 230.00, 228.25, 210.00, 30
05/11/23, 212.00, 228.75, 212.00, 210.00, 70
05/09/23, 229.75, 229.75, 229.75, 210.00, 1
05/03/23, 224.75, 224.75, 224.75, 210.00, 10
05/02/23, 210.00, 210.00, 208.00, 210.00, 301
04/24/23, 264.00, 264.00, 264.00, 240.00, 5
04/10/23, 253.25, 253.25, 253.25, 240.00, 50
04/04/23, 250.00, 253.25, 240.00, 240.00, 47
04/03/23, 241.00, 241.00, 240.00, 240.00, 220
03/28/23, 250.00, 250.00, 250.00, 253.75, 50
03/14/23, 250.00, 250.00, 250.00, 253.75, 7
03/10/23, 250.00, 250.00, 250.00, 253.75, 2
03/09/23, 250.00, 255.00, 250.00, 253.75, 106
03/07/23, 250.00, 252.00, 250.00, 250.50, 650
03/02/23, 221.50, 230.00, 221.50, 231.75, 60
03/01/23, 229.75, 235.00, 229.75, 231.75, 314
02/22/23, 221.00, 221.00, 221.00, 221.00, 100
02/17/23, 221.25, 221.25, 221.25, 221.25, 10
02/16/23, 206.00, 206.00, 206.00, 221.25, 5
02/14/23, 221.00, 221.00, 221.00, 221.25, 30
02/13/23, 210.00, 210.00, 210.00, 221.25, 84
02/10/23, 215.00, 215.00, 210.00, 221.25, 36
02/07/23, 201.25, 201.25, 201.25, 221.25, 11
02/03/23, 229.75, 229.75, 229.75, 221.25, 7
01/30/23, 222.25, 222.25, 221.25, 221.25, 90
01/27/23, 229.75, 230.00, 229.75, 221.25, 43
01/25/23, 221.25, 221.25, 221.25, 221.25, 101
01/23/23, 239.25, 239.50, 239.25, 216.00, 72
01/20/23, 225.00, 225.00, 225.00, 216.00, 18
01/18/23, 221.00, 221.25, 221.00, 216.00, 25
01/17/23, 220.50, 239.75, 220.50, 216.00, 5
01/13/23, 218.50, 218.50, 218.50, 216.00, 1
01/11/23, 208.00, 248.25, 205.25, 216.00, 377
12/16/22, 250.00, 250.00, 250.00, 250.00, 2
12/15/22, 241.25, 241.25, 241.25, 250.00, 10
12/13/22, 240.00, 240.00, 240.00, 250.00, 25
12/08/22, 267.75, 267.75, 240.00, 250.00, 12
12/06/22, 250.00, 250.00, 250.00, 250.00, 100
12/05/22, 220.25, 220.25, 220.25, 268.50, 15
11/30/22, 269.00, 269.00, 269.00, 268.50, 10
11/22/22, 235.00, 235.00, 235.00, 268.50, 4
11/15/22, 245.00, 245.00, 240.00, 268.50, 16
11/14/22, 242.00, 242.00, 242.00, 268.50, 1
11/11/22, 269.00, 269.50, 240.00, 268.50, 261
11/09/22, 269.00, 269.00, 230.25, 285.00, 56
11/08/22, 268.75, 269.00, 268.75, 285.00, 2
11/04/22, 269.50, 269.50, 268.75, 285.00, 10
11/01/22, 248.50, 248.50, 248.50, 285.00, 5
10/28/22, 280.00, 280.00, 280.00, 285.00, 2
10/26/22, 221.00, 221.00, 220.00, 285.00, 52
10/25/22, 238.75, 238.75, 230.00, 285.00, 11
10/20/22, 284.00, 285.00, 236.25, 285.00, 31
10/19/22, 275.00, 280.00, 275.00, 285.00, 10
10/14/22, 285.00, 285.00, 285.00, 285.00, 150
10/12/22, 260.00, 280.00, 260.00, 260.25, 20
10/11/22, 260.00, 260.00, 260.00, 260.25, 2
10/05/22, 260.00, 299.50, 260.00, 260.25, 1005
10/04/22, 259.50, 259.50, 259.50, 295.25, 3
09/30/22, 295.00, 299.50, 295.00, 295.25, 260
09/27/22, 273.50, 273.50, 273.50, 287.75, 5
09/23/22, 270.00, 294.00, 270.00, 287.75, 124
09/22/22, 295.00, 295.00, 253.25, 295.00, 40
09/16/22, 295.00, 295.00, 294.00, 295.00, 2950
09/15/22, 285.00, 295.00, 285.00, 295.00, 1625
09/13/22, 272.00, 272.00, 255.50, 292.50, 6
09/12/22, 288.00, 295.00, 251.00, 292.50, 4155
09/09/22, 260.00, 260.00, 260.00, 260.00, 970
09/07/22, 250.00, 258.75, 240.00, 253.25, 410
09/06/22, 249.00, 258.75, 249.00, 253.50, 601
09/05/22, 211.00, 211.00, 211.00, 207.00, 32
09/02/22, 207.00, 207.00, 207.00, 207.00, 200
09/01/22, 248.00, 250.00, 248.00, 240.00, 50
08/31/22, 213.00, 250.00, 213.00, 240.00, 1928
08/30/22, 215.00, 215.00, 215.00, 213.25, 20
08/29/22, 175.00, 175.00, 175.00, 213.25, 45
08/26/22, 215.00, 215.00, 210.00, 213.25, 113
08/25/22, 210.00, 210.00, 210.00, 213.50, 10
08/24/22, 213.00, 219.00, 210.00, 213.50, 937
08/23/22, 211.00, 213.00, 210.00, 211.25, 265
08/22/22, 209.75, 211.00, 209.75, 206.75, 55
08/19/22, 200.00, 209.75, 200.00, 206.75, 100
08/18/22, 190.00, 200.00, 190.00, 200.00, 14
08/16/22, 225.00, 225.00, 225.00, 200.00, 1
08/15/22, 200.00, 200.00, 200.00, 200.00, 268
08/12/22, 173.00, 200.00, 173.00, 160.00, 71
08/09/22, 170.00, 175.00, 170.00, 160.00, 35
08/08/22, 170.00, 170.00, 170.00, 160.00, 80
08/04/22, 162.50, 162.50, 159.00, 160.00, 104
08/03/22, 162.00, 162.00, 162.00, 150.00, 7
08/02/22, 169.75, 169.75, 169.75, 150.00, 20
07/29/22, 150.00, 159.50, 150.00, 150.00, 31
07/27/22, 150.00, 150.00, 150.00, 150.00, 24
07/26/22, 150.00, 150.00, 150.00, 150.00, 61
07/25/22, 140.25, 150.00, 140.25, 150.00, 48
07/22/22, 150.00, 150.00, 150.00, 150.00, 17
07/21/22, 150.00, 150.00, 150.00, 150.00, 270
07/19/22, 155.00, 155.00, 155.00, 136.25, 10
07/07/22, 136.00, 160.00, 136.00, 136.25, 5
07/06/22, 136.25, 136.25, 136.25, 136.25, 4
07/05/22, 136.25, 137.00, 136.25, 136.25, 13
07/04/22, 126.50, 126.50, 126.50, 136.25, 1
06/29/22, 144.75, 144.75, 126.50, 136.25, 14
06/17/22, 136.75, 136.75, 135.00, 136.25, 300
06/16/22, 141.00, 141.00, 141.00, 145.00, 2
06/15/22, 145.00, 145.00, 145.00, 145.00, 100
06/13/22, 145.00, 145.00, 145.00, 133.25, 1
06/10/22, 135.00, 146.75, 132.50, 133.25, 105
06/08/22, 130.00, 130.00, 130.00, 142.75, 50
06/06/22, 149.00, 149.00, 122.00, 142.75, 173
06/02/22, 152.00, 152.00, 152.00, 159.25, 96
06/01/22, 150.00, 151.00, 150.00, 159.25, 52
05/31/22, 180.00, 180.00, 157.00, 159.25, 122
05/30/22, 150.00, 150.00, 150.00, 150.00, 205
05/27/22, 150.00, 150.00, 150.00, 150.00, 100
