Date, Open, High, Low, Close, Volume
04/24/25, 34.00, 34.20, 33.80, 34.00, 72205
04/23/25, 34.50, 34.50, 33.50, 33.60, 52352
04/22/25, 35.00, 35.00, 34.00, 34.20, 89845
04/21/25, 35.50, 36.10, 34.90, 35.00, 26884
04/17/25, 36.10, 36.10, 35.50, 35.50, 10870
04/16/25, 36.10, 36.10, 35.40, 35.50, 2033
04/11/25, 36.00, 36.20, 35.80, 36.00, 14443
04/10/25, 36.00, 36.00, 34.50, 35.40, 28195
04/09/25, 35.00, 35.00, 33.60, 33.70, 6384
04/08/25, 34.90, 35.00, 34.10, 34.80, 9586
04/07/25, 34.30, 35.00, 33.10, 35.00, 54451
04/04/25, 36.00, 36.00, 34.60, 34.60, 14295
04/03/25, 36.50, 37.40, 35.00, 35.90, 38370
04/02/25, 38.00, 39.00, 36.60, 36.80, 103400
04/01/25, 36.90, 38.00, 36.20, 37.00, 19630
03/28/25, 37.40, 37.40, 36.10, 36.20, 25720
03/27/25, 37.50, 37.50, 35.70, 36.60, 101892
03/26/25, 38.00, 38.00, 35.60, 35.90, 59748
03/25/25, 38.20, 38.20, 37.60, 37.60, 896
03/24/25, 36.20, 39.60, 36.20, 37.80, 190659
03/21/25, 34.80, 36.50, 34.80, 35.90, 25412
03/20/25, 35.50, 35.70, 34.30, 34.80, 26626
03/19/25, 34.60, 36.00, 34.40, 34.50, 13605
03/18/25, 36.30, 36.30, 34.30, 34.70, 9227
03/17/25, 36.30, 36.30, 34.30, 34.30, 78175
03/14/25, 36.30, 36.50, 35.00, 35.50, 22103
03/12/25, 36.40, 36.40, 35.00, 35.50, 9339
03/11/25, 35.60, 36.50, 34.50, 34.70, 50575
03/10/25, 36.80, 36.80, 35.80, 35.90, 12314
03/07/25, 36.00, 36.80, 35.00, 35.90, 71243
03/06/25, 36.40, 38.00, 35.40, 36.40, 67810
03/05/25, 34.30, 36.60, 34.30, 36.40, 43641
03/04/25, 36.50, 37.00, 34.20, 34.30, 120017
03/03/25, 40.20, 40.20, 36.00, 36.40, 182813
02/28/25, 40.40, 41.00, 40.10, 40.20, 2145
02/27/25, 40.60, 40.60, 39.80, 40.00, 71836
02/25/25, 40.50, 40.90, 39.90, 40.00, 20899
02/24/25, 41.60, 41.60, 40.00, 40.80, 124408
02/21/25, 42.80, 42.80, 41.60, 42.00, 59024
02/20/25, 42.70, 43.50, 41.10, 41.50, 61423
02/19/25, 44.10, 44.10, 42.60, 43.30, 4155
02/18/25, 43.20, 44.10, 43.00, 43.20, 135314
02/17/25, 42.40, 43.00, 42.10, 42.80, 97722
02/14/25, 42.30, 42.50, 40.50, 42.00, 116931
02/13/25, 40.10, 42.80, 40.10, 42.00, 75350
02/11/25, 43.00, 43.00, 40.70, 41.00, 93099
02/10/25, 43.40, 43.50, 42.10, 42.20, 11940
02/07/25, 42.90, 43.00, 41.80, 42.30, 50942
02/06/25, 42.00, 43.00, 41.00, 42.00, 225402
02/05/25, 43.50, 43.50, 41.80, 41.90, 179173
02/03/25, 44.30, 44.30, 43.00, 43.90, 137479
01/31/25, 44.50, 45.00, 44.30, 44.40, 151145
01/30/25, 45.20, 45.50, 44.30, 44.90, 150799
01/29/25, 44.90, 45.60, 44.50, 45.10, 643720
01/28/25, 43.90, 45.20, 43.90, 44.90, 608102
01/27/25, 43.20, 44.00, 43.10, 43.80, 64292
01/24/25, 44.00, 44.00, 43.10, 43.20, 314819
01/23/25, 45.50, 45.50, 43.50, 43.70, 205165
01/22/25, 46.00, 46.30, 44.00, 44.90, 1530875
01/21/25, 43.00, 45.50, 42.10, 45.20, 2964935
01/20/25, 43.50, 43.50, 42.00, 42.10, 534680
01/17/25, 43.30, 43.30, 41.80, 42.20, 612613
01/16/25, 45.00, 45.40, 42.00, 42.10, 1639908
01/15/25, 43.20, 46.00, 43.20, 44.60, 424177
01/10/25, 43.50, 44.50, 42.50, 43.10, 698229
01/09/25, 44.50, 44.50, 43.00, 43.30, 166100
01/08/25, 44.20, 45.80, 44.20, 44.80, 600233
01/07/25, 44.20, 45.20, 43.10, 44.00, 373959
01/06/25, 45.00, 45.90, 42.00, 43.70, 1260180
01/03/25, 47.40, 48.20, 44.00, 44.80, 2331784
01/02/25, 47.20, 48.00, 46.70, 47.10, 5180481
12/31/24, 42.50, 46.80, 42.50, 45.90, 10494510
12/30/24, 41.40, 42.30, 40.50, 41.50, 5626048
12/27/24, 41.00, 41.50, 40.20, 40.50, 578294
12/26/24, 41.40, 41.90, 40.30, 41.00, 419419
12/24/24, 42.20, 42.50, 41.00, 41.40, 301493
12/23/24, 39.00, 43.50, 39.00, 42.00, 2041115
12/20/24, 33.90, 38.80, 33.80, 38.30, 2781019
12/19/24, 33.80, 34.10, 33.60, 33.90, 49441
12/18/24, 33.90, 33.90, 33.10, 33.80, 66374
12/17/24, 33.90, 34.20, 32.00, 33.00, 89403
12/16/24, 33.80, 34.20, 33.50, 33.90, 154548
12/13/24, 32.90, 33.80, 32.80, 33.30, 73482
12/12/24, 32.80, 33.40, 32.80, 33.00, 571287
12/11/24, 33.00, 33.50, 32.80, 33.00, 200321
12/10/24, 32.80, 33.00, 32.80, 32.90, 32783
12/09/24, 32.80, 33.20, 32.80, 33.10, 192399
12/06/24, 33.00, 33.50, 32.90, 32.90, 58960
12/05/24, 32.80, 33.50, 32.80, 33.00, 529600
12/04/24, 33.90, 34.00, 32.90, 33.20, 53992
12/03/24, 33.40, 33.80, 32.80, 32.80, 5939
12/02/24, 32.80, 33.50, 32.80, 33.40, 804
11/29/24, 33.00, 33.20, 33.00, 33.00, 10625
11/28/24, 33.00, 33.30, 32.90, 33.00, 2444
11/27/24, 32.70, 33.60, 32.20, 33.40, 1564
11/26/24, 33.40, 33.40, 32.20, 33.00, 70833
11/25/24, 34.00, 34.00, 32.90, 33.00, 26864
11/22/24, 32.10, 33.60, 32.10, 33.00, 41199
11/21/24, 33.10, 33.10, 32.20, 32.90, 48872
11/20/24, 33.70, 33.70, 33.00, 33.00, 112276
11/19/24, 34.40, 34.40, 33.00, 33.10, 827547
11/18/24, 34.70, 35.20, 33.70, 34.30, 31760
11/14/24, 33.50, 34.50, 33.50, 33.80, 24109
11/13/24, 33.50, 34.30, 33.50, 33.80, 19088
11/12/24, 33.50, 33.50, 32.80, 33.10, 1533
11/11/24, 33.30, 33.50, 32.70, 33.30, 12751
11/08/24, 33.30, 33.30, 33.00, 33.10, 525414
11/07/24, 33.40, 33.40, 32.90, 32.90, 10361
