Date, Open, High, Low, Close, Volume
04/24/25, 19.40, 19.40, 18.10, 18.10, 20014
04/23/25, 19.60, 19.60, 18.60, 18.70, 950
04/22/25, 19.50, 19.50, 18.60, 18.60, 2808
04/21/25, 19.00, 19.70, 18.50, 19.30, 2135
04/17/25, 19.00, 19.00, 19.00, 19.00, 211
04/16/25, 19.00, 19.00, 19.00, 19.00, 2641
04/11/25, 19.00, 20.00, 19.00, 19.70, 125185
04/10/25, 18.60, 19.00, 18.50, 18.60, 1010
04/09/25, 18.00, 18.00, 17.50, 17.50, 5068
04/08/25, 17.20, 19.00, 17.20, 18.00, 1845
04/07/25, 18.40, 19.50, 17.00, 17.20, 18552
04/04/25, 18.70, 19.60, 18.70, 19.50, 1979
04/03/25, 19.70, 19.70, 19.50, 19.70, 9080
04/02/25, 19.60, 19.60, 19.60, 19.60, 2705
04/01/25, 19.70, 19.70, 19.70, 18.90, 5
03/28/25, 19.70, 19.70, 19.70, 18.90, 52
03/27/25, 18.90, 19.00, 18.50, 18.90, 306
03/26/25, 18.90, 18.90, 18.90, 18.10, 2
03/25/25, 18.10, 19.00, 18.10, 18.10, 258
03/24/25, 18.80, 19.00, 18.10, 18.10, 1402
03/21/25, 19.00, 19.40, 18.90, 19.00, 176
03/20/25, 19.00, 19.70, 19.00, 19.00, 5002
03/19/25, 18.70, 18.90, 18.70, 18.90, 6066
03/18/25, 19.10, 19.10, 18.90, 18.90, 1424
03/17/25, 19.10, 19.10, 19.00, 19.00, 2610
03/14/25, 19.50, 19.60, 19.10, 19.10, 2934
03/12/25, 19.50, 19.50, 19.20, 19.50, 1120
03/11/25, 18.00, 19.50, 17.70, 19.70, 62
03/10/25, 19.80, 19.80, 19.80, 19.70, 6
03/07/25, 19.90, 19.90, 18.50, 19.70, 108
03/06/25, 19.90, 19.90, 19.80, 18.90, 90
03/05/25, 18.90, 19.00, 18.90, 18.90, 169
03/04/25, 18.90, 18.90, 17.60, 17.60, 11437
03/03/25, 19.00, 19.00, 18.50, 18.70, 1611
02/28/25, 19.00, 19.00, 18.90, 18.90, 1157
02/27/25, 18.50, 19.90, 18.50, 18.90, 551
02/25/25, 20.40, 20.40, 18.00, 18.40, 9691
02/24/25, 19.90, 20.60, 19.20, 19.60, 2322
02/21/25, 20.50, 21.00, 19.90, 20.80, 3266
02/20/25, 20.40, 20.40, 19.90, 20.40, 120
02/19/25, 20.70, 20.70, 19.80, 20.50, 2431
02/18/25, 21.10, 21.10, 19.60, 20.50, 15929
02/17/25, 19.60, 21.20, 19.50, 21.10, 199920
02/14/25, 19.20, 19.90, 19.00, 19.80, 378
02/13/25, 19.10, 19.10, 19.00, 19.00, 3000
02/11/25, 19.30, 19.30, 18.70, 18.80, 14254
02/10/25, 19.90, 19.90, 19.00, 19.20, 11962
02/07/25, 19.40, 20.00, 19.40, 19.60, 1627
02/06/25, 20.00, 20.00, 19.40, 19.40, 33230
02/05/25, 20.10, 20.10, 19.50, 19.50, 28728
02/03/25, 20.40, 20.90, 20.00, 20.10, 18651
01/31/25, 20.50, 23.00, 20.40, 20.50, 294628
01/30/25, 20.00, 20.00, 20.00, 20.00, 9406
01/29/25, 20.40, 20.50, 20.00, 20.00, 80800
01/28/25, 20.50, 20.50, 19.90, 20.00, 130652
01/27/25, 19.60, 20.50, 19.30, 20.00, 36849
01/24/25, 19.60, 20.00, 18.90, 19.90, 114317
01/23/25, 19.10, 19.10, 18.90, 18.90, 6600
01/22/25, 19.00, 19.00, 19.00, 19.00, 215299
01/21/25, 18.90, 19.10, 18.50, 18.60, 65134
01/20/25, 18.80, 18.90, 18.60, 18.80, 17647
01/17/25, 19.00, 19.00, 18.80, 18.80, 7167
01/16/25, 19.20, 19.40, 19.10, 19.10, 9588
01/15/25, 19.00, 19.50, 19.00, 19.00, 14641
01/10/25, 19.00, 19.00, 18.60, 18.60, 6282
01/09/25, 19.00, 19.00, 18.60, 18.60, 41176
01/08/25, 18.90, 19.00, 18.20, 19.00, 3076
01/07/25, 19.00, 19.00, 18.40, 18.40, 9205
01/06/25, 19.20, 19.20, 18.50, 18.90, 23400
01/03/25, 20.00, 20.50, 19.10, 19.20, 196422
01/02/25, 19.10, 20.60, 19.10, 20.00, 263761
12/31/24, 17.80, 19.00, 17.80, 18.70, 115709
12/30/24, 18.20, 18.20, 17.50, 17.80, 25356
12/27/24, 18.30, 18.30, 18.00, 18.20, 3258
12/26/24, 17.40, 18.50, 16.70, 17.30, 17472
12/24/24, 17.00, 17.50, 16.60, 17.20, 23398
12/23/24, 17.10, 17.30, 17.00, 17.00, 2170
12/20/24, 17.20, 17.20, 17.00, 17.00, 771
12/19/24, 17.10, 17.10, 16.30, 16.30, 5123
12/18/24, 16.50, 17.20, 16.50, 17.10, 33837
12/17/24, 16.10, 16.50, 15.70, 16.10, 19389
12/16/24, 16.80, 16.80, 16.00, 16.10, 10204
12/13/24, 16.80, 16.80, 16.30, 16.70, 18828
12/12/24, 16.30, 16.80, 16.00, 16.00, 114781
12/11/24, 15.50, 16.30, 15.50, 16.20, 5714
12/10/24, 15.40, 15.50, 15.00, 15.10, 4830
12/09/24, 15.30, 15.30, 15.00, 15.30, 11099
12/06/24, 15.50, 15.50, 15.00, 15.00, 8254
12/05/24, 15.50, 15.50, 15.00, 15.10, 2022
12/04/24, 15.00, 15.50, 15.00, 15.20, 13588
12/03/24, 14.90, 15.00, 14.90, 14.90, 6652
12/02/24, 14.90, 15.50, 14.90, 14.90, 1003
11/29/24, 15.20, 15.50, 15.20, 15.50, 25000
11/28/24, 16.20, 16.20, 14.90, 15.00, 2402
11/27/24, 15.60, 15.60, 15.00, 15.40, 1600
11/26/24, 15.10, 15.10, 14.70, 15.10, 103
11/25/24, 15.60, 15.60, 14.60, 14.90, 197
11/22/24, 15.60, 15.60, 14.90, 15.00, 11658
11/21/24, 14.90, 14.90, 14.80, 14.80, 2850
11/20/24, 15.00, 15.00, 14.80, 14.90, 6062
11/19/24, 15.20, 15.60, 15.20, 15.20, 1286
11/18/24, 15.60, 15.60, 15.40, 15.40, 4659
11/14/24, 15.60, 15.60, 15.00, 15.60, 1502
11/13/24, 15.40, 15.50, 15.10, 15.50, 8699
11/12/24, 15.00, 15.60, 15.00, 15.40, 1128
11/11/24, 15.50, 15.50, 14.80, 15.00, 6371
11/08/24, 14.90, 15.60, 14.80, 15.00, 9982
11/07/24, 15.10, 15.80, 14.90, 15.00, 1103
11/06/24, 15.10, 15.40, 15.10, 15.40, 15153
11/05/24, 15.80, 15.80, 15.00, 15.00, 23848
11/04/24, 15.40, 16.00, 15.40, 15.40, 17085
11/01/24, 15.00, 15.20, 15.00, 15.20, 10390
10/30/24, 14.60, 16.00, 14.60, 16.00, 131612
10/29/24, 14.60, 15.20, 14.30, 14.50, 25271
10/28/24, 15.20, 15.20, 15.20, 15.00, 1
10/25/24, 14.50, 15.20, 14.50, 15.00, 14156
10/24/24, 14.20, 14.90, 14.20, 14.80, 2646
10/23/24, 14.50, 14.90, 14.50, 14.50, 5009
10/22/24, 14.40, 15.20, 14.40, 14.50, 16111
10/21/24, 15.40, 15.70, 14.20, 14.20, 10495
10/18/24, 14.00, 15.80, 14.00, 15.20, 25651
10/16/24, 13.90, 13.90, 13.90, 13.90, 153
10/15/24, 13.20, 14.00, 13.20, 13.20, 505
10/10/24, 13.80, 13.80, 13.70, 13.70, 510
10/08/24, 13.90, 13.90, 13.80, 13.90, 7013
10/07/24, 13.90, 13.90, 13.80, 13.90, 6702
10/04/24, 13.90, 13.90, 13.90, 13.90, 200
10/03/24, 14.40, 14.40, 13.90, 14.00, 655
10/02/24, 14.40, 14.40, 14.40, 13.80, 5
10/01/24, 14.40, 14.40, 13.70, 13.80, 7
09/30/24, 14.40, 14.40, 13.70, 13.80, 4464
09/27/24, 13.30, 14.40, 13.30, 14.20, 49317
09/26/24, 13.60, 13.60, 13.30, 13.30, 1380
09/25/24, 12.80, 13.40, 12.50, 13.30, 5060
09/24/24, 13.40, 13.40, 13.40, 13.40, 431
09/23/24, 12.70, 13.60, 12.40, 12.70, 2307
09/19/24, 13.70, 13.70, 13.50, 12.50, 2
09/18/24, 13.00, 13.00, 12.50, 12.50, 2514
09/12/24, 13.00, 13.00, 12.40, 12.50, 1389
09/11/24, 13.40, 13.40, 12.50, 12.90, 5029
09/10/24, 13.20, 13.20, 12.40, 12.40, 7903
09/09/24, 13.20, 13.20, 13.20, 12.50, 70
09/06/24, 12.50, 13.20, 12.50, 12.50, 112
09/05/24, 12.70, 12.70, 12.50, 12.50, 752
09/03/24, 13.30, 13.30, 13.30, 13.30, 20
08/29/24, 13.30, 13.30, 13.20, 13.30, 7961
08/28/24, 12.90, 12.90, 12.70, 12.70, 2779
08/26/24, 13.60, 13.60, 13.00, 13.00, 1209
08/23/24, 12.90, 13.20, 12.50, 13.20, 5472
08/22/24, 13.50, 13.70, 12.60, 12.60, 9814
08/21/24, 13.70, 13.70, 12.60, 13.50, 455
08/20/24, 13.80, 13.80, 13.80, 13.70, 13
08/15/24, 13.80, 13.80, 12.00, 13.70, 448
08/13/24, 13.30, 13.40, 13.30, 12.70, 45
08/12/24, 12.80, 12.80, 12.70, 12.70, 750
08/09/24, 13.20, 13.20, 12.70, 12.80, 8950
08/08/24, 13.10, 13.80, 13.10, 13.50, 8100
08/07/24, 11.90, 11.90, 11.90, 11.90, 3577
08/06/24, 12.00, 12.50, 11.80, 11.80, 2753
08/05/24, 12.10, 12.10, 12.10, 12.10, 1423
08/02/24, 12.00, 12.00, 12.00, 12.00, 270
08/01/24, 13.00, 13.40, 11.90, 12.20, 5001
07/31/24, 12.60, 12.80, 12.60, 12.60, 2928
07/30/24, 13.00, 13.00, 13.00, 13.00, 4000
07/29/24, 12.80, 13.00, 12.50, 12.80, 2149
07/26/24, 12.80, 12.80, 12.80, 13.40, 2
07/24/24, 13.60, 13.60, 13.10, 13.40, 500
07/23/24, 13.00, 13.60, 13.00, 13.00, 18
07/22/24, 13.80, 13.80, 13.00, 13.00, 2553
07/19/24, 13.80, 13.80, 13.00, 13.80, 1218
07/18/24, 13.90, 13.90, 13.00, 13.50, 1505
07/17/24, 13.90, 13.90, 13.90, 13.20, 10
07/16/24, 13.00, 13.00, 13.00, 13.20, 9
07/15/24, 13.50, 13.50, 12.80, 13.20, 14119
07/12/24, 13.50, 13.50, 13.40, 13.50, 5160
07/11/24, 13.20, 13.20, 13.20, 12.80, 2
