Date, Open, High, Low, Close, Volume
04/24/25, 417.00, 417.00, 417.00, 416.00, 26
04/23/25, 420.00, 420.00, 416.00, 416.00, 101
04/22/25, 413.25, 413.50, 413.00, 413.25, 110
04/21/25, 411.00, 443.25, 411.00, 411.25, 3751
04/17/25, 447.50, 447.50, 418.25, 411.00, 30
04/16/25, 448.75, 448.75, 448.75, 411.00, 1
04/11/25, 424.25, 450.00, 401.00, 411.00, 8037
04/10/25, 474.50, 477.75, 423.25, 474.00, 56
04/09/25, 465.00, 475.00, 465.00, 474.00, 474
04/08/25, 440.00, 478.00, 413.25, 472.75, 308
04/07/25, 426.00, 460.00, 401.50, 404.00, 225
04/03/25, 430.00, 478.00, 415.25, 471.00, 19
04/02/25, 476.00, 479.00, 420.00, 471.00, 181
04/01/25, 436.75, 499.00, 436.75, 476.75, 105
03/27/25, 437.00, 437.75, 437.00, 437.50, 100
03/26/25, 433.75, 437.50, 416.00, 429.00, 1754
03/25/25, 425.00, 434.00, 425.00, 425.00, 411
03/24/25, 424.75, 438.00, 424.75, 425.25, 441
03/21/25, 440.50, 440.50, 400.00, 390.00, 68
03/20/25, 388.50, 413.00, 388.25, 390.00, 55
03/19/25, 395.25, 395.25, 395.00, 390.00, 6
03/18/25, 395.00, 448.00, 395.00, 390.00, 28
03/17/25, 390.00, 390.00, 390.00, 390.00, 300
03/14/25, 385.75, 423.50, 385.50, 420.50, 13
03/06/25, 425.00, 449.75, 425.00, 420.50, 39
03/04/25, 420.25, 421.00, 420.25, 420.50, 159
03/03/25, 449.75, 449.75, 449.75, 420.25, 3
02/28/25, 420.25, 420.25, 420.25, 420.25, 100
02/27/25, 450.00, 450.00, 450.00, 420.00, 1
02/25/25, 420.00, 420.00, 420.00, 420.00, 30
02/24/25, 420.00, 421.00, 420.00, 420.00, 356
02/21/25, 455.00, 455.00, 450.00, 455.00, 27
02/20/25, 450.25, 450.25, 450.25, 455.00, 16
02/19/25, 455.25, 455.25, 455.00, 455.00, 12
02/18/25, 468.00, 468.00, 468.00, 455.00, 10
02/17/25, 498.00, 498.00, 455.00, 455.00, 256
02/14/25, 498.00, 498.00, 450.25, 451.00, 4
02/11/25, 451.25, 455.00, 451.00, 451.00, 421
02/10/25, 473.00, 500.00, 451.25, 455.50, 2622
02/07/25, 475.00, 475.00, 475.00, 470.00, 40
02/06/25, 525.00, 525.00, 515.00, 470.00, 39
02/05/25, 534.00, 534.00, 470.00, 470.00, 4733
02/03/25, 451.00, 544.75, 451.00, 538.00, 169
01/31/25, 514.50, 514.50, 514.50, 514.50, 150
01/30/25, 450.00, 550.00, 450.00, 514.50, 4208
01/29/25, 440.00, 450.00, 440.00, 469.50, 25
01/28/25, 465.00, 468.00, 460.00, 469.50, 42
01/27/25, 469.75, 470.00, 469.50, 469.50, 280
01/24/25, 463.75, 470.00, 440.00, 465.00, 731
01/23/25, 430.00, 455.00, 412.25, 425.75, 807
01/22/25, 438.50, 465.00, 410.25, 430.00, 2353
01/21/25, 411.00, 436.00, 411.00, 437.75, 25
01/20/25, 418.75, 439.75, 418.75, 437.75, 1135
01/17/25, 424.75, 424.75, 404.75, 406.00, 75
01/16/25, 410.00, 420.75, 406.00, 406.00, 398
01/15/25, 395.00, 425.00, 390.00, 419.00, 3470
01/10/25, 412.00, 412.00, 412.00, 410.00, 1
01/09/25, 410.00, 410.00, 410.00, 410.00, 191
01/08/25, 410.00, 417.00, 410.00, 410.00, 1976
01/07/25, 390.00, 419.00, 383.00, 417.00, 1395
01/06/25, 405.00, 405.00, 385.00, 385.25, 499
01/03/25, 386.00, 400.00, 386.00, 400.00, 500
01/02/25, 383.50, 410.00, 383.50, 399.75, 1506
12/31/24, 400.50, 400.50, 380.00, 385.00, 1230
12/30/24, 414.50, 414.50, 400.25, 403.00, 1271
12/27/24, 404.25, 410.00, 401.00, 403.75, 1460
12/26/24, 415.00, 419.50, 415.00, 419.00, 490
12/24/24, 419.00, 419.00, 404.25, 405.00, 530
12/23/24, 419.00, 425.00, 405.00, 414.50, 3634
12/20/24, 418.00, 418.00, 400.00, 414.25, 2877
12/19/24, 402.25, 450.00, 400.00, 403.75, 12318
12/18/24, 328.00, 400.00, 310.50, 377.50, 9499
12/17/24, 312.00, 335.00, 310.00, 320.00, 787
12/16/24, 325.00, 325.00, 325.00, 320.00, 76
12/13/24, 324.00, 325.00, 324.00, 320.00, 30
12/12/24, 320.00, 320.00, 317.50, 320.00, 105
12/11/24, 335.00, 335.00, 310.00, 310.75, 7643
12/10/24, 340.00, 340.00, 325.00, 326.75, 403
12/09/24, 355.00, 355.00, 326.75, 342.75, 487
12/06/24, 334.00, 355.00, 334.00, 349.00, 3618
12/05/24, 330.75, 330.75, 330.75, 320.75, 5
12/04/24, 326.25, 331.00, 320.00, 320.75, 349
12/03/24, 319.50, 326.25, 319.50, 321.00, 586
12/02/24, 291.50, 315.00, 291.50, 319.75, 28
11/29/24, 310.00, 319.75, 310.00, 319.75, 11
11/28/24, 315.00, 320.00, 315.00, 319.75, 10
11/27/24, 310.00, 310.00, 310.00, 319.75, 1
11/26/24, 306.00, 310.00, 306.00, 319.75, 41
11/25/24, 315.00, 315.00, 310.00, 319.75, 27
11/22/24, 314.75, 314.75, 314.75, 319.75, 3
11/20/24, 306.25, 306.25, 306.00, 319.75, 15
11/19/24, 320.00, 320.00, 319.00, 319.75, 298
11/18/24, 310.00, 321.25, 310.00, 320.00, 751
11/13/24, 308.00, 308.00, 305.00, 301.00, 5
11/12/24, 300.00, 301.00, 300.00, 301.00, 431
11/11/24, 281.00, 300.00, 281.00, 292.00, 35
11/08/24, 283.00, 283.00, 283.00, 292.00, 14
11/06/24, 292.00, 292.00, 291.00, 292.00, 110
11/05/24, 298.00, 298.00, 298.00, 299.50, 15
11/04/24, 300.00, 300.00, 300.00, 299.50, 13
11/01/24, 312.00, 312.00, 299.00, 299.50, 247
10/30/24, 305.00, 309.75, 301.00, 301.75, 366
10/29/24, 305.25, 305.25, 303.00, 318.25, 61
10/28/24, 310.00, 310.00, 310.00, 318.25, 58
10/25/24, 318.25, 318.25, 318.25, 318.25, 100
10/24/24, 298.50, 324.00, 298.00, 300.00, 1499
10/22/24, 297.75, 297.75, 297.75, 298.00, 70
10/15/24, 262.75, 262.75, 262.75, 298.00, 1
10/14/24, 300.00, 300.00, 300.00, 298.00, 2
10/11/24, 299.75, 300.00, 295.00, 298.00, 140
10/09/24, 294.50, 299.75, 293.00, 295.50, 754
10/08/24, 294.50, 295.00, 294.50, 294.75, 250
10/07/24, 280.50, 293.75, 280.50, 294.50, 9
10/02/24, 294.75, 295.00, 290.00, 294.50, 224
10/01/24, 280.25, 294.75, 280.00, 292.75, 167
09/30/24, 294.75, 294.75, 294.75, 294.75, 100
09/27/24, 294.75, 294.75, 280.00, 283.50, 208
09/26/24, 280.00, 295.00, 280.00, 284.50, 74
09/24/24, 295.00, 295.00, 295.00, 284.50, 1
09/23/24, 295.00, 295.00, 285.00, 284.50, 18
09/20/24, 295.00, 295.00, 293.00, 284.50, 91
09/19/24, 295.00, 295.00, 290.00, 284.50, 92
09/18/24, 295.00, 297.00, 290.00, 284.50, 93
09/13/24, 297.75, 297.75, 276.25, 284.50, 97
09/12/24, 295.00, 298.00, 295.00, 284.50, 82
09/11/24, 295.00, 295.00, 295.00, 284.50, 99
09/10/24, 298.00, 298.00, 297.00, 284.50, 90
09/09/24, 298.75, 299.00, 297.75, 284.50, 80
09/06/24, 298.75, 299.00, 297.75, 284.50, 90
09/05/24, 293.00, 299.00, 293.00, 284.50, 87
09/04/24, 267.75, 294.75, 267.75, 284.50, 4
09/03/24, 299.00, 299.00, 255.50, 284.50, 3
08/29/24, 284.00, 285.00, 284.00, 284.50, 557
08/28/24, 284.25, 284.25, 284.25, 299.75, 1
08/27/24, 285.00, 285.00, 284.50, 299.75, 17
08/23/24, 299.50, 299.75, 281.00, 299.75, 52
08/22/24, 291.00, 291.00, 291.00, 299.75, 2
08/21/24, 299.75, 304.75, 297.00, 299.75, 415
08/20/24, 299.50, 300.00, 298.00, 299.00, 759
08/16/24, 295.75, 299.50, 295.75, 298.75, 302
08/15/24, 282.50, 296.00, 282.50, 282.25, 50
08/14/24, 289.75, 295.00, 289.75, 282.25, 40
08/13/24, 282.75, 290.00, 282.75, 282.25, 10
08/12/24, 281.75, 282.75, 281.75, 282.25, 179
08/09/24, 270.00, 282.00, 270.00, 272.50, 162
08/08/24, 250.00, 289.75, 249.75, 266.25, 264
08/07/24, 220.00, 250.00, 220.00, 245.25, 5713
08/06/24, 230.25, 230.25, 230.25, 230.25, 321
08/05/24, 230.50, 239.50, 230.25, 230.25, 811
08/02/24, 230.00, 242.00, 230.00, 241.00, 800
07/30/24, 242.50, 242.50, 242.50, 243.00, 1
07/29/24, 243.00, 243.00, 242.50, 243.00, 202
07/24/24, 243.00, 243.00, 220.00, 220.25, 405
07/23/24, 230.00, 230.00, 230.00, 230.00, 1012
07/19/24, 230.00, 230.00, 230.00, 247.75, 1
07/17/24, 242.50, 242.75, 242.50, 247.75, 21
07/15/24, 245.00, 245.00, 245.00, 247.75, 5
07/12/24, 245.00, 245.00, 245.00, 247.75, 5
07/08/24, 247.00, 247.00, 246.50, 247.75, 30
07/05/24, 244.75, 244.75, 244.75, 247.75, 2
07/04/24, 236.25, 236.25, 236.25, 247.75, 10
07/03/24, 240.00, 247.50, 240.00, 247.75, 4
07/02/24, 247.75, 247.75, 247.75, 247.75, 400
07/01/24, 238.50, 248.00, 238.50, 248.00, 3289
06/28/24, 235.00, 235.00, 235.00, 237.50, 4
06/26/24, 237.00, 248.00, 235.00, 237.50, 227
06/25/24, 221.00, 235.00, 221.00, 235.00, 216
06/24/24, 233.00, 233.00, 219.00, 233.00, 1150
06/20/24, 231.75, 233.00, 231.75, 233.75, 48
06/19/24, 235.75, 235.75, 235.75, 233.75, 3
06/18/24, 225.00, 237.25, 218.00, 233.75, 490
06/14/24, 222.00, 225.00, 222.00, 224.00, 116
06/12/24, 221.75, 224.00, 200.00, 212.00, 288
06/11/24, 212.00, 221.75, 212.00, 211.00, 44
06/10/24, 219.50, 222.00, 219.50, 211.00, 79
06/07/24, 195.00, 196.25, 195.00, 211.00, 8
05/31/24, 191.50, 191.50, 191.50, 211.00, 64
05/30/24, 190.50, 190.50, 190.50, 211.00, 1
05/29/24, 224.50, 224.50, 215.25, 211.00, 10
05/28/24, 215.00, 215.00, 215.00, 211.00, 24
05/27/24, 225.00, 225.00, 224.75, 211.00, 34
05/22/24, 211.00, 211.00, 211.00, 211.00, 249
05/21/24, 211.25, 211.25, 211.00, 222.00, 18
05/20/24, 220.00, 220.00, 220.00, 222.00, 10
05/17/24, 230.00, 230.00, 230.00, 222.00, 2
05/16/24, 211.75, 230.00, 211.75, 222.00, 243
05/14/24, 215.00, 215.00, 200.00, 200.25, 1433
05/09/24, 218.25, 218.25, 218.25, 201.50, 1
05/07/24, 205.00, 205.00, 205.00, 201.50, 11
05/02/24, 200.00, 220.00, 200.00, 201.50, 167
04/30/24, 200.00, 200.00, 186.00, 187.25, 970
04/24/24, 199.50, 199.50, 199.50, 200.00, 1
04/18/24, 180.00, 180.00, 180.00, 200.00, 1
04/08/24, 200.00, 203.00, 200.00, 200.00, 25
04/05/24, 196.75, 196.75, 195.00, 200.00, 86
04/04/24, 195.00, 195.00, 195.00, 200.00, 1
04/03/24, 209.00, 209.00, 193.25, 200.00, 35
04/02/24, 200.00, 210.00, 193.00, 200.00, 1386
04/01/24, 200.00, 200.00, 200.00, 200.00, 11
03/28/24, 200.00, 200.00, 200.00, 200.00, 629
03/27/24, 218.00, 219.00, 218.00, 218.25, 100
03/26/24, 188.50, 188.50, 188.50, 226.75, 10
03/22/24, 190.00, 190.00, 190.00, 226.75, 2
03/20/24, 219.00, 219.00, 219.00, 226.75, 1
03/13/24, 227.00, 227.00, 226.50, 226.75, 108
03/12/24, 189.75, 189.75, 189.75, 198.75, 2
03/11/24, 183.00, 183.00, 183.00, 198.75, 2
03/06/24, 165.25, 178.00, 161.00, 198.75, 79
03/05/24, 198.75, 198.75, 198.75, 198.75, 100
03/04/24, 179.75, 185.00, 179.75, 183.75, 260
03/01/24, 151.25, 151.25, 151.25, 151.25, 100
02/28/24, 199.00, 200.00, 199.00, 199.25, 100
02/09/24, 198.00, 198.00, 198.00, 197.75, 5
02/06/24, 161.00, 161.00, 161.00, 197.75, 10
01/30/24, 190.00, 198.00, 190.00, 197.75, 100
01/29/24, 165.50, 180.00, 165.50, 179.75, 94
01/19/24, 189.25, 189.25, 189.25, 179.75, 5
01/17/24, 155.00, 157.00, 155.00, 179.75, 28
01/16/24, 198.75, 198.75, 179.00, 179.75, 26
01/12/24, 199.00, 199.00, 199.00, 179.75, 1
01/10/24, 179.75, 179.75, 179.50, 179.75, 152
01/03/24, 178.25, 178.25, 178.25, 188.00, 5
01/02/24, 178.50, 180.00, 178.50, 188.00, 46
12/29/23, 179.00, 179.50, 178.75, 188.00, 21
12/28/23, 179.25, 179.25, 179.25, 188.00, 2
12/27/23, 180.00, 180.00, 179.50, 188.00, 7
12/18/23, 189.00, 189.00, 189.00, 188.00, 1
12/11/23, 156.00, 156.00, 156.00, 188.00, 10
12/08/23, 152.25, 152.75, 152.25, 188.00, 2
11/30/23, 188.00, 188.00, 188.00, 188.00, 110
11/29/23, 188.00, 188.00, 188.00, 190.00, 15
11/23/23, 189.75, 189.75, 189.75, 190.00, 12
11/21/23, 182.00, 182.00, 181.75, 190.00, 61
11/20/23, 181.75, 181.75, 181.75, 190.00, 10
11/09/23, 190.00, 190.00, 190.00, 190.00, 1
11/08/23, 194.50, 194.50, 190.00, 190.00, 21
11/07/23, 194.75, 194.75, 190.00, 190.00, 2
11/03/23, 188.75, 188.75, 188.50, 190.00, 29
11/02/23, 188.75, 188.75, 188.75, 190.00, 29
10/30/23, 189.75, 189.75, 189.75, 190.00, 1
10/26/23, 175.50, 175.50, 175.50, 190.00, 2
10/25/23, 199.75, 199.75, 175.25, 190.00, 51
10/23/23, 187.50, 187.75, 187.50, 190.00, 5
10/19/23, 180.00, 180.00, 180.00, 190.00, 5
10/18/23, 170.25, 180.00, 170.25, 190.00, 41
10/16/23, 189.75, 189.75, 189.75, 190.00, 3
10/13/23, 162.00, 162.00, 162.00, 190.00, 5
10/11/23, 185.75, 185.75, 185.75, 190.00, 4
10/09/23, 185.75, 185.75, 185.75, 190.00, 1
10/06/23, 186.00, 186.00, 186.00, 190.00, 2
10/02/23, 208.00, 208.00, 190.00, 190.00, 4553
09/27/23, 208.00, 208.00, 208.00, 208.00, 151
09/25/23, 191.75, 191.75, 191.75, 200.25, 2
09/21/23, 192.00, 192.00, 191.75, 200.25, 9
09/20/23, 199.75, 209.00, 199.75, 200.25, 510
09/19/23, 199.75, 199.75, 199.75, 182.75, 1
09/18/23, 208.75, 208.75, 208.75, 182.75, 2
09/15/23, 180.50, 188.25, 180.50, 182.75, 101
09/14/23, 210.00, 210.00, 210.00, 206.00, 10
09/13/23, 205.50, 206.00, 205.50, 206.00, 31
09/12/23, 204.75, 206.00, 204.75, 206.00, 1019
09/08/23, 200.00, 209.50, 200.00, 206.00, 4
09/07/23, 206.00, 206.00, 206.00, 206.00, 100
09/06/23, 197.00, 212.75, 183.00, 206.00, 166
09/01/23, 181.50, 181.50, 165.00, 177.25, 118
08/28/23, 181.25, 181.25, 181.25, 181.25, 169
08/25/23, 193.00, 193.00, 189.75, 188.00, 73
08/24/23, 193.50, 193.50, 192.00, 188.00, 14
08/22/23, 181.00, 181.00, 181.00, 188.00, 4
08/21/23, 190.00, 190.00, 187.00, 188.00, 55
08/18/23, 189.75, 189.75, 185.00, 188.00, 138
08/17/23, 188.25, 200.00, 180.00, 180.50, 1614
08/16/23, 200.00, 200.00, 197.75, 203.50, 7
08/15/23, 210.00, 215.00, 191.00, 203.50, 1171
08/14/23, 200.00, 211.00, 189.25, 200.50, 2030
08/11/23, 170.25, 189.00, 170.25, 176.00, 5
08/09/23, 182.25, 182.25, 175.00, 176.00, 315
08/07/23, 175.25, 176.00, 175.25, 171.50, 2
08/04/23, 185.75, 186.00, 185.75, 171.50, 12
07/27/23, 197.75, 198.75, 197.75, 171.50, 47
07/26/23, 171.00, 172.50, 171.00, 171.50, 8
07/25/23, 172.50, 172.50, 172.50, 171.50, 2
