Date, Open, High, Low, Close, Volume
04/07/25, 410.25, 410.25, 410.25, 410.25, 4
03/25/25, 415.00, 476.00, 380.00, 410.25, 31
03/21/25, 442.50, 442.50, 420.00, 410.25, 3
03/20/25, 415.00, 415.00, 415.00, 410.25, 5
03/19/25, 415.00, 415.00, 415.00, 410.25, 1
03/17/25, 431.50, 431.50, 431.50, 410.25, 4
03/14/25, 442.75, 442.75, 441.75, 410.25, 40
03/12/25, 444.50, 444.50, 412.00, 410.25, 58
03/11/25, 455.00, 455.00, 400.00, 410.25, 217
03/10/25, 501.50, 501.50, 501.50, 505.50, 5
03/07/25, 500.00, 505.50, 500.00, 505.50, 20
03/04/25, 452.00, 452.00, 452.00, 505.50, 1
02/25/25, 455.00, 455.00, 455.00, 505.50, 10
02/24/25, 435.50, 450.00, 430.50, 505.50, 9
02/20/25, 435.00, 435.00, 435.00, 505.50, 6
02/19/25, 500.00, 500.00, 500.00, 505.50, 2
02/18/25, 499.75, 500.00, 430.00, 505.50, 17
02/14/25, 499.00, 499.00, 499.00, 505.50, 5
02/10/25, 494.50, 494.50, 494.50, 505.50, 35
02/06/25, 504.75, 504.75, 504.75, 505.50, 1
02/05/25, 494.50, 494.50, 494.50, 505.50, 9
01/31/25, 460.00, 504.75, 460.00, 505.50, 29
01/30/25, 475.00, 504.75, 475.00, 505.50, 2
01/29/25, 505.00, 505.00, 475.00, 505.50, 15
01/28/25, 456.25, 456.25, 456.25, 505.50, 2
01/27/25, 456.00, 475.00, 455.00, 505.50, 18
01/24/25, 506.00, 506.00, 485.00, 505.50, 4
01/23/25, 450.00, 535.00, 450.00, 505.50, 537
01/22/25, 460.00, 479.50, 460.00, 440.25, 14
01/21/25, 450.00, 450.00, 450.00, 440.25, 2
01/20/25, 440.25, 440.50, 440.25, 440.25, 107
01/17/25, 442.00, 442.00, 440.00, 440.25, 224
01/16/25, 442.00, 445.00, 442.00, 471.75, 13
01/15/25, 442.00, 442.00, 442.00, 471.75, 10
01/10/25, 430.00, 440.00, 430.00, 471.75, 11
01/09/25, 430.00, 430.00, 430.00, 471.75, 5
01/07/25, 474.00, 474.00, 460.00, 471.75, 120
01/06/25, 475.00, 475.00, 430.00, 441.25, 21
01/03/25, 440.00, 477.75, 440.00, 441.25, 5
01/02/25, 416.00, 450.00, 416.00, 441.25, 376
12/31/24, 416.00, 416.00, 416.00, 416.00, 2
12/30/24, 415.75, 416.00, 415.75, 416.00, 103
12/26/24, 391.00, 395.00, 391.00, 395.00, 232
12/24/24, 394.75, 394.75, 394.75, 384.00, 1
12/23/24, 391.00, 394.75, 391.00, 384.00, 29
12/20/24, 351.00, 400.00, 350.00, 384.00, 71
12/19/24, 350.25, 385.00, 350.25, 384.00, 10
12/17/24, 384.00, 384.00, 384.00, 384.00, 123
12/16/24, 384.00, 384.00, 380.00, 383.75, 148
12/13/24, 384.00, 384.00, 380.00, 375.00, 6
12/11/24, 385.00, 385.00, 385.00, 375.00, 5
12/04/24, 390.00, 390.00, 390.00, 375.00, 5
11/27/24, 395.00, 395.00, 395.00, 375.00, 4
11/26/24, 364.00, 364.00, 364.00, 375.00, 2
11/21/24, 397.00, 397.00, 397.00, 375.00, 1
11/14/24, 375.00, 375.00, 375.00, 375.00, 10
11/13/24, 375.00, 375.00, 375.00, 375.00, 23
11/11/24, 357.00, 357.00, 357.00, 375.00, 2
11/08/24, 384.00, 384.00, 356.25, 375.00, 24
11/07/24, 355.25, 355.25, 355.25, 375.00, 3
11/05/24, 385.00, 385.00, 385.00, 375.00, 1
10/30/24, 385.00, 385.00, 385.00, 375.00, 17
10/29/24, 385.00, 385.00, 385.00, 375.00, 5
10/28/24, 353.25, 353.25, 353.25, 375.00, 2
10/24/24, 374.00, 374.00, 374.00, 375.00, 4
10/11/24, 375.00, 375.00, 375.00, 375.00, 218
10/04/24, 388.00, 389.75, 350.00, 350.00, 16
10/01/24, 351.25, 351.25, 350.00, 350.00, 206
09/27/24, 372.50, 385.00, 351.25, 350.00, 59
09/25/24, 370.00, 370.00, 370.00, 350.00, 1
09/24/24, 340.00, 365.00, 340.00, 350.00, 8
09/19/24, 365.00, 365.00, 365.00, 350.00, 1
09/18/24, 388.75, 388.75, 388.75, 350.00, 2
09/13/24, 349.50, 349.50, 349.25, 350.00, 6
09/12/24, 349.75, 349.75, 349.75, 350.00, 3
09/11/24, 350.00, 372.00, 350.00, 350.00, 6
09/10/24, 350.00, 350.00, 350.00, 350.00, 3
09/04/24, 303.00, 331.00, 302.25, 350.00, 39
09/03/24, 350.00, 350.00, 350.00, 350.00, 4
09/02/24, 350.25, 350.25, 350.00, 350.00, 392
08/29/24, 375.00, 375.00, 375.00, 375.00, 5
08/28/24, 351.00, 365.00, 351.00, 375.00, 32
08/26/24, 375.00, 375.00, 360.00, 375.00, 89
08/23/24, 375.00, 375.00, 375.00, 375.00, 470
08/22/24, 375.25, 375.25, 375.25, 376.00, 76
08/08/24, 417.75, 417.75, 417.75, 376.00, 1
07/30/24, 376.00, 376.00, 376.00, 376.00, 190
07/19/24, 380.00, 390.00, 375.00, 375.25, 331
07/17/24, 440.00, 440.00, 440.00, 429.00, 1
07/05/24, 381.00, 429.00, 381.00, 429.00, 103
07/04/24, 400.00, 400.00, 375.50, 449.00, 70
07/03/24, 449.75, 449.75, 449.75, 449.00, 2
07/02/24, 450.00, 450.00, 450.00, 449.00, 1
07/01/24, 450.00, 450.00, 448.00, 449.00, 2
06/28/24, 449.00, 449.00, 449.00, 449.00, 151
06/27/24, 453.00, 453.00, 450.00, 410.00, 6
06/26/24, 455.00, 455.00, 455.00, 410.00, 2
06/25/24, 410.00, 460.00, 410.00, 410.00, 97
06/11/24, 410.00, 410.00, 410.00, 410.00, 30
06/10/24, 376.00, 376.00, 376.00, 410.00, 2
05/31/24, 395.00, 410.00, 395.00, 410.00, 10
05/14/24, 399.75, 399.75, 399.75, 410.00, 37
05/09/24, 399.75, 399.75, 399.75, 410.00, 45
05/07/24, 400.00, 400.00, 400.00, 410.00, 3
04/26/24, 410.00, 410.00, 410.00, 410.00, 550
04/25/24, 395.00, 395.00, 395.00, 407.50, 2
04/16/24, 392.25, 399.75, 392.25, 407.50, 26
04/15/24, 395.00, 399.75, 391.00, 407.50, 14
04/08/24, 397.00, 397.00, 397.00, 407.50, 3
04/04/24, 390.00, 390.00, 390.00, 407.50, 1
04/03/24, 390.00, 402.00, 390.00, 407.50, 23
04/02/24, 405.00, 425.00, 405.00, 407.50, 227
04/01/24, 400.00, 400.00, 400.00, 398.75, 20
03/27/24, 398.75, 398.75, 398.75, 398.75, 100
03/20/24, 383.75, 383.75, 383.75, 383.75, 100
03/19/24, 419.75, 419.75, 419.75, 420.00, 47
03/18/24, 427.00, 427.00, 409.75, 420.00, 129
03/15/24, 409.75, 419.50, 409.75, 379.75, 89
03/14/24, 410.00, 410.00, 400.00, 379.75, 4
03/05/24, 420.75, 423.00, 420.75, 379.75, 27
03/04/24, 397.75, 397.75, 375.00, 379.75, 31
02/19/24, 382.00, 382.00, 382.00, 379.75, 8
02/09/24, 376.25, 399.00, 376.25, 379.75, 32
01/30/24, 379.50, 379.50, 379.50, 379.75, 25
01/18/24, 376.00, 434.75, 375.25, 379.75, 26
01/16/24, 395.50, 395.50, 395.50, 379.75, 69
01/11/24, 397.75, 397.75, 375.00, 379.75, 297
01/09/24, 400.00, 400.00, 400.00, 397.25, 26
01/08/24, 437.75, 438.00, 437.75, 397.25, 10
01/03/24, 395.25, 395.25, 395.25, 397.25, 5
12/28/23, 395.25, 415.00, 395.25, 397.25, 130
12/07/23, 391.00, 391.00, 391.00, 479.00, 2
12/05/23, 400.00, 419.75, 400.00, 479.00, 14
12/01/23, 400.50, 400.50, 390.00, 479.00, 53
11/29/23, 400.25, 400.25, 400.25, 479.00, 1
11/23/23, 450.00, 450.00, 450.00, 479.00, 1
11/20/23, 422.50, 422.50, 422.50, 479.00, 11
11/16/23, 422.50, 422.50, 422.25, 479.00, 2
11/15/23, 422.75, 422.75, 422.75, 479.00, 3
11/14/23, 423.50, 426.50, 423.00, 479.00, 4
11/13/23, 424.75, 427.00, 424.75, 479.00, 26
11/09/23, 423.75, 424.75, 423.75, 479.00, 16
10/31/23, 385.00, 385.00, 381.00, 479.00, 6
10/30/23, 377.75, 377.75, 377.75, 479.00, 37
10/16/23, 424.00, 424.00, 380.50, 479.00, 5
10/12/23, 375.25, 375.25, 375.25, 479.00, 1
10/09/23, 474.00, 474.00, 474.00, 479.00, 10
10/02/23, 410.00, 459.50, 410.00, 479.00, 11
09/25/23, 415.00, 415.00, 415.00, 479.00, 6
09/22/23, 412.75, 412.75, 412.75, 479.00, 15
09/21/23, 450.00, 450.00, 450.00, 479.00, 5
09/20/23, 450.00, 450.00, 450.00, 479.00, 11
09/15/23, 478.00, 550.00, 448.50, 479.00, 82
09/14/23, 450.00, 450.00, 450.00, 479.00, 10
09/13/23, 401.00, 450.00, 401.00, 479.00, 23
09/08/23, 460.25, 499.75, 460.25, 479.00, 156
09/05/23, 405.25, 406.00, 403.00, 420.75, 3
09/04/23, 484.75, 484.75, 484.50, 420.75, 11
08/28/23, 415.25, 415.25, 415.00, 420.75, 18
08/18/23, 465.00, 465.00, 440.00, 420.75, 78
08/17/23, 429.50, 469.50, 426.25, 420.75, 38
08/15/23, 448.00, 450.00, 448.00, 420.75, 62
08/14/23, 458.00, 464.50, 458.00, 420.75, 16
08/11/23, 460.00, 464.50, 401.25, 420.75, 118
08/08/23, 559.75, 559.75, 510.25, 530.25, 2
08/03/23, 471.00, 574.75, 470.50, 530.25, 119
08/02/23, 562.00, 585.00, 560.00, 569.25, 350
07/31/23, 471.00, 575.00, 471.00, 558.25, 184
07/28/23, 410.00, 471.50, 410.00, 464.75, 314
07/27/23, 334.50, 394.75, 334.50, 379.00, 740
07/26/23, 324.00, 339.75, 323.00, 328.50, 156
07/25/23, 325.25, 325.25, 325.25, 325.25, 10
07/24/23, 323.25, 323.25, 323.25, 325.25, 3
07/21/23, 325.00, 325.00, 323.00, 325.25, 20
07/20/23, 329.75, 329.75, 323.00, 325.25, 61
07/19/23, 329.75, 329.75, 325.25, 325.25, 26
07/18/23, 330.50, 330.50, 315.25, 325.25, 83
07/17/23, 322.25, 330.75, 322.25, 325.25, 34
07/14/23, 320.00, 334.75, 320.00, 325.25, 139
07/13/23, 339.75, 366.00, 325.25, 341.25, 246
07/12/23, 339.75, 339.75, 339.75, 328.50, 12
07/11/23, 345.75, 355.00, 320.75, 328.50, 164
07/10/23, 338.00, 375.00, 320.00, 346.50, 139
07/07/23, 338.75, 338.75, 338.75, 300.50, 4
07/06/23, 320.25, 320.25, 320.00, 300.50, 8
07/04/23, 321.00, 321.00, 320.00, 300.50, 25
06/28/23, 339.75, 339.75, 339.75, 300.50, 1
06/23/23, 310.00, 310.00, 310.00, 300.50, 17
06/21/23, 348.00, 349.75, 325.00, 300.50, 10
06/20/23, 311.25, 311.25, 300.00, 300.50, 11
06/09/23, 325.00, 325.00, 325.00, 300.50, 10
05/31/23, 372.00, 372.00, 372.00, 300.50, 1
05/30/23, 372.00, 372.00, 372.00, 300.50, 1
05/29/23, 370.00, 370.00, 370.00, 300.50, 40
05/26/23, 370.00, 370.00, 370.00, 300.50, 2
05/17/23, 306.25, 306.25, 306.25, 300.50, 7
05/03/23, 350.00, 350.00, 350.00, 300.50, 1
04/24/23, 360.00, 360.00, 360.00, 300.50, 5
04/12/23, 325.00, 351.50, 325.00, 300.50, 21
04/11/23, 340.00, 340.00, 340.00, 300.50, 9
04/06/23, 350.00, 375.00, 350.00, 300.50, 15
04/04/23, 349.50, 349.50, 349.50, 300.50, 11
03/29/23, 350.00, 350.00, 350.00, 300.50, 1
03/24/23, 350.00, 350.00, 350.00, 300.50, 1
03/23/23, 324.00, 324.00, 322.50, 300.50, 46
03/22/23, 349.75, 349.75, 330.00, 300.50, 8
03/21/23, 350.00, 350.00, 350.00, 300.50, 1
03/20/23, 370.00, 370.00, 370.00, 300.50, 2
03/16/23, 360.00, 360.00, 350.00, 300.50, 64
03/15/23, 316.00, 339.75, 316.00, 300.50, 20
03/14/23, 360.00, 360.00, 360.00, 300.50, 2
03/03/23, 350.00, 350.00, 350.00, 300.50, 20
03/01/23, 365.00, 366.00, 365.00, 300.50, 22
02/16/23, 375.50, 375.50, 360.00, 300.50, 9
02/13/23, 300.25, 325.00, 300.00, 300.50, 102
01/23/23, 321.00, 325.50, 321.00, 363.75, 18
01/11/23, 322.25, 322.25, 322.25, 363.75, 4
01/09/23, 419.00, 419.00, 418.50, 363.75, 7
12/21/22, 414.75, 414.75, 414.75, 363.75, 1
12/08/22, 363.25, 363.50, 340.00, 363.75, 92
12/06/22, 325.00, 325.00, 325.00, 363.75, 89
12/05/22, 378.75, 378.75, 378.75, 363.75, 1
12/01/22, 380.00, 380.00, 380.00, 363.75, 5
11/30/22, 370.00, 370.00, 364.00, 363.75, 14
11/29/22, 397.50, 397.75, 397.50, 363.75, 2
11/23/22, 308.00, 310.25, 308.00, 363.75, 5
11/22/22, 300.00, 300.00, 300.00, 363.75, 10
11/11/22, 400.00, 400.00, 399.75, 363.75, 2
11/02/22, 420.25, 420.25, 419.00, 363.75, 8
10/27/22, 334.00, 334.00, 334.00, 363.75, 25
10/26/22, 423.00, 423.00, 423.00, 363.75, 20
10/19/22, 354.25, 354.25, 353.00, 363.75, 50
10/17/22, 370.00, 399.00, 353.25, 363.75, 129
10/13/22, 399.25, 399.25, 399.25, 401.00, 5
10/06/22, 371.25, 371.25, 371.25, 401.00, 10
10/05/22, 404.75, 404.75, 371.00, 401.00, 29
10/03/22, 409.00, 409.00, 400.00, 401.00, 6
09/30/22, 355.00, 370.00, 355.00, 401.00, 43
09/28/22, 390.00, 390.00, 390.00, 401.00, 9
09/27/22, 400.00, 400.00, 400.00, 401.00, 15
09/22/22, 401.00, 401.00, 400.00, 401.00, 25
09/20/22, 400.25, 402.00, 400.00, 401.00, 158
09/19/22, 409.25, 410.00, 409.00, 405.00, 51
09/16/22, 410.00, 410.25, 409.00, 405.00, 50
09/15/22, 450.00, 450.00, 405.00, 405.00, 110
09/14/22, 402.00, 450.00, 402.00, 445.25, 3
09/12/22, 390.00, 445.00, 390.00, 445.25, 18
09/09/22, 445.25, 445.25, 400.00, 445.25, 32
09/07/22, 405.00, 405.00, 405.00, 445.25, 5
09/06/22, 430.00, 430.00, 430.00, 445.25, 3
09/02/22, 425.00, 455.00, 425.00, 445.25, 100
09/01/22, 364.75, 365.00, 364.75, 365.00, 610
08/31/22, 365.00, 365.00, 350.00, 365.50, 71
08/30/22, 365.00, 365.00, 365.00, 365.50, 11
08/22/22, 281.50, 281.50, 281.50, 365.50, 2
08/19/22, 410.00, 410.00, 400.00, 365.50, 3
08/18/22, 280.00, 425.00, 280.00, 365.50, 11
08/15/22, 400.00, 400.00, 400.00, 365.50, 1
08/12/22, 370.75, 420.00, 370.00, 365.50, 75
08/10/22, 370.50, 370.50, 370.50, 365.50, 38
08/09/22, 370.00, 370.00, 370.00, 365.50, 1
08/05/22, 365.50, 365.50, 365.50, 365.50, 1
08/03/22, 365.00, 369.00, 365.00, 365.50, 116
08/02/22, 365.00, 365.00, 365.00, 371.75, 4
07/29/22, 356.50, 368.00, 356.50, 371.75, 21
07/28/22, 369.00, 369.00, 369.00, 371.75, 3
07/27/22, 360.00, 375.00, 356.25, 371.75, 107
07/26/22, 360.00, 370.00, 360.00, 393.75, 54
07/25/22, 379.75, 379.75, 379.75, 393.75, 6
07/22/22, 360.00, 360.00, 352.00, 393.75, 95
07/19/22, 350.00, 390.00, 350.00, 393.75, 29
07/18/22, 355.00, 360.00, 355.00, 393.75, 3
07/15/22, 350.00, 350.00, 350.00, 393.75, 8
07/11/22, 404.00, 404.75, 400.00, 393.75, 24
07/08/22, 404.75, 404.75, 404.75, 393.75, 2
07/07/22, 450.00, 450.00, 404.75, 393.75, 17
07/06/22, 350.00, 350.00, 350.00, 393.75, 1
07/05/22, 420.00, 420.00, 420.00, 393.75, 35
07/04/22, 405.00, 405.00, 405.00, 393.75, 20
07/01/22, 313.00, 450.00, 313.00, 393.75, 19
06/29/22, 350.00, 399.00, 319.75, 393.75, 117
06/27/22, 360.00, 370.00, 360.00, 319.75, 11
06/24/22, 350.00, 385.00, 350.00, 319.75, 11
06/22/22, 380.00, 380.00, 380.00, 319.75, 1
06/21/22, 251.00, 380.00, 251.00, 319.75, 5
06/20/22, 350.00, 398.75, 350.00, 319.75, 5
06/08/22, 392.00, 392.00, 392.00, 319.75, 14
06/07/22, 399.00, 399.00, 392.00, 319.75, 49
06/06/22, 399.50, 399.50, 395.00, 319.75, 32
06/03/22, 399.50, 399.50, 399.50, 319.75, 50
05/30/22, 399.50, 399.50, 399.50, 319.75, 28
05/27/22, 399.50, 399.50, 399.50, 319.75, 2
05/25/22, 350.00, 350.00, 350.00, 319.75, 1
05/24/22, 399.00, 399.00, 399.00, 319.75, 7
05/23/22, 320.00, 398.00, 320.00, 319.75, 42
05/20/22, 330.00, 330.00, 330.00, 319.75, 1
05/19/22, 350.00, 350.00, 350.00, 319.75, 10
05/13/22, 320.00, 320.00, 319.75, 319.75, 140
05/12/22, 407.00, 407.00, 407.00, 425.00, 3
05/06/22, 410.00, 475.00, 410.00, 425.00, 11
04/28/22, 425.00, 427.00, 425.00, 425.00, 114
04/27/22, 425.00, 425.00, 425.00, 541.25, 6
04/26/22, 425.00, 425.00, 425.00, 541.25, 7
03/30/22, 425.00, 425.00, 425.00, 541.25, 30
03/29/22, 456.00, 456.00, 456.00, 541.25, 1
03/28/22, 455.50, 500.00, 455.50, 541.25, 4
03/25/22, 450.00, 540.00, 450.00, 541.25, 28
03/24/22, 450.00, 549.75, 450.00, 541.25, 17
03/23/22, 460.00, 460.00, 450.00, 541.25, 7
03/22/22, 450.00, 550.00, 450.00, 541.25, 101
03/18/22, 420.00, 420.50, 420.00, 499.00, 2
03/16/22, 425.00, 425.00, 425.00, 499.00, 1
03/15/22, 420.00, 425.00, 420.00, 499.00, 2
03/14/22, 410.00, 420.00, 410.00, 499.00, 2
03/11/22, 405.00, 500.00, 405.00, 499.00, 104
03/10/22, 430.00, 495.00, 430.00, 456.00, 6
03/09/22, 458.00, 458.25, 402.00, 456.00, 106
03/08/22, 500.00, 549.50, 500.00, 500.50, 101
03/07/22, 555.50, 555.50, 550.00, 519.75, 2
03/04/22, 402.00, 458.00, 402.00, 519.75, 12
03/03/22, 402.75, 595.00, 402.75, 519.75, 14
03/02/22, 519.75, 519.75, 519.75, 519.75, 101
02/28/22, 514.50, 514.50, 446.00, 498.25, 96
02/25/22, 440.00, 540.00, 440.00, 498.25, 219
02/24/22, 500.00, 500.00, 440.00, 442.50, 35
02/23/22, 475.25, 475.50, 440.25, 442.50, 255
02/22/22, 500.00, 500.00, 475.00, 475.25, 120
02/21/22, 599.50, 600.00, 466.00, 538.25, 147
02/18/22, 600.00, 600.00, 560.50, 568.75, 72
02/17/22, 600.00, 600.00, 600.00, 568.75, 4
02/15/22, 575.00, 640.00, 555.00, 568.75, 482
02/14/22, 620.00, 620.00, 600.00, 600.00, 16
02/11/22, 600.00, 610.00, 600.00, 600.00, 42
02/09/22, 600.00, 600.00, 570.00, 600.00, 32
02/08/22, 600.00, 614.00, 600.00, 600.00, 20
02/07/22, 618.00, 618.00, 601.00, 600.00, 8
02/03/22, 575.00, 624.75, 575.00, 600.00, 31
02/02/22, 649.00, 649.00, 640.00, 600.00, 37
02/01/22, 589.00, 649.00, 589.00, 600.00, 57
01/31/22, 601.00, 620.00, 600.00, 600.00, 24
01/28/22, 625.00, 625.00, 600.00, 600.00, 113
01/27/22, 655.00, 699.00, 651.00, 657.25, 112
01/26/22, 660.00, 700.25, 651.00, 652.00, 152
01/25/22, 700.50, 700.50, 651.50, 658.00, 141
01/24/22, 710.00, 710.00, 700.00, 708.25, 49
01/21/22, 715.00, 715.00, 715.00, 708.25, 1
01/20/22, 705.00, 750.00, 700.00, 708.25, 107
01/19/22, 715.00, 715.00, 710.00, 778.50, 59
01/18/22, 805.50, 805.50, 710.00, 778.50, 98
