Date, Open, High, Low, Close, Volume
04/11/25, 1302.00, 1302.00, 1302.00, 1476.50, 1
04/07/25, 1300.25, 1300.25, 1300.00, 1476.50, 92
03/26/25, 1300.50, 1300.50, 1300.00, 1476.50, 6
02/25/25, 1351.25, 1351.25, 1350.00, 1476.50, 25
02/24/25, 1400.00, 1400.00, 1350.00, 1476.50, 4
02/17/25, 1326.00, 1327.00, 1326.00, 1476.50, 6
02/05/25, 1478.75, 1478.75, 1478.75, 1476.50, 1
01/31/25, 1425.00, 1425.00, 1425.00, 1476.50, 25
01/29/25, 1353.50, 1400.00, 1352.50, 1476.50, 89
01/07/25, 1402.00, 1450.00, 1402.00, 1476.50, 61
01/06/25, 1401.00, 1401.00, 1401.00, 1476.50, 1
01/03/25, 1401.00, 1401.00, 1401.00, 1476.50, 3
01/02/25, 1535.00, 1599.00, 1410.25, 1476.50, 130
12/31/24, 1520.00, 1520.00, 1520.00, 1400.50, 39
12/30/24, 1550.00, 1550.00, 1525.00, 1400.50, 49
12/27/24, 1435.00, 1435.00, 1435.00, 1400.50, 4
12/26/24, 1311.00, 1440.00, 1311.00, 1400.50, 40
12/23/24, 1435.00, 1435.00, 1380.00, 1400.50, 35
12/20/24, 1435.00, 1435.00, 1435.00, 1400.50, 3
12/18/24, 1435.00, 1435.00, 1435.00, 1400.50, 1
12/17/24, 1424.00, 1424.00, 1424.00, 1400.50, 4
12/16/24, 1305.00, 1305.00, 1305.00, 1400.50, 1
12/13/24, 1420.00, 1420.00, 1420.00, 1400.50, 4
12/11/24, 1425.00, 1425.00, 1400.00, 1400.50, 131
12/10/24, 1400.00, 1420.00, 1400.00, 1334.75, 13
12/06/24, 1400.00, 1400.00, 1399.00, 1334.75, 18
12/04/24, 1399.00, 1399.00, 1399.00, 1334.75, 5
11/27/24, 1365.00, 1365.00, 1300.00, 1334.75, 10
11/26/24, 1301.00, 1370.00, 1301.00, 1334.75, 12
11/22/24, 1334.75, 1334.75, 1334.75, 1334.75, 300
11/21/24, 1425.00, 1425.00, 1425.00, 1334.75, 1
11/19/24, 1280.00, 1280.00, 1280.00, 1334.75, 86
11/18/24, 1437.00, 1437.00, 1437.00, 1334.75, 1
11/14/24, 1347.50, 1347.50, 1346.75, 1334.75, 5
11/13/24, 1348.00, 1348.00, 1347.75, 1334.75, 2
11/12/24, 1348.75, 1348.75, 1348.25, 1334.75, 3
11/11/24, 1349.00, 1349.00, 1349.00, 1334.75, 1
11/08/24, 1349.50, 1349.50, 1349.25, 1334.75, 2
11/05/24, 1335.00, 1335.00, 1335.00, 1334.75, 33
11/04/24, 1350.00, 1350.00, 1350.00, 1334.75, 2
10/30/24, 1421.00, 1421.00, 1421.00, 1334.75, 3
10/08/24, 1158.00, 1158.00, 1158.00, 1334.75, 1
10/07/24, 1438.50, 1438.50, 1438.50, 1334.75, 10
10/04/24, 1156.00, 1156.00, 1156.00, 1334.75, 1
09/27/24, 1449.75, 1449.75, 1449.75, 1334.75, 1
09/19/24, 1400.00, 1400.00, 1400.00, 1334.75, 1
09/13/24, 1334.75, 1334.75, 1334.75, 1334.75, 10
09/03/24, 1334.00, 1400.00, 1334.00, 1334.75, 14
08/30/24, 1250.00, 1250.00, 1250.00, 1334.75, 10
08/28/24, 1253.00, 1253.00, 1253.00, 1334.75, 5
08/27/24, 1300.00, 1300.00, 1300.00, 1334.75, 1
08/20/24, 1300.00, 1300.00, 1300.00, 1334.75, 10
07/17/24, 1443.00, 1443.00, 1443.00, 1334.75, 1
07/11/24, 1447.50, 1447.50, 1447.50, 1334.75, 1
07/01/24, 1300.00, 1300.00, 1300.00, 1334.75, 12
06/24/24, 1300.00, 1300.00, 1300.00, 1334.75, 3
06/12/24, 1321.00, 1321.00, 1321.00, 1334.75, 9
05/27/24, 1389.75, 1389.75, 1389.75, 1334.75, 1
