Date, Open, High, Low, Close, Volume
04/24/25, 69.80, 69.80, 69.50, 69.50, 3099
04/23/25, 70.00, 70.00, 69.50, 69.90, 1755
04/22/25, 69.60, 69.60, 69.40, 69.50, 2960
04/21/25, 71.00, 71.00, 69.40, 69.60, 3121
04/17/25, 71.80, 71.80, 69.50, 70.10, 3989
04/16/25, 69.50, 72.00, 69.50, 70.60, 3941
04/11/25, 69.00, 70.50, 68.00, 70.10, 40698
04/10/25, 67.20, 69.50, 67.20, 69.30, 154311
04/09/25, 66.00, 66.00, 63.10, 64.80, 40323
04/08/25, 64.50, 67.00, 64.50, 65.50, 272427
04/07/25, 67.00, 67.00, 63.00, 65.00, 75192
04/04/25, 70.00, 70.00, 65.00, 67.90, 22606
04/03/25, 72.50, 73.00, 69.60, 70.00, 30265
04/02/25, 73.40, 73.40, 73.00, 73.20, 10227
04/01/25, 72.10, 73.40, 69.50, 72.50, 43746
03/28/25, 72.80, 72.80, 72.40, 72.50, 33761
03/27/25, 72.70, 73.00, 72.20, 72.50, 10248
03/26/25, 73.50, 73.50, 72.70, 72.80, 11123
03/25/25, 74.00, 74.00, 73.20, 73.20, 1328
03/24/25, 73.60, 74.00, 72.20, 72.80, 23871
03/21/25, 71.00, 73.90, 71.00, 72.90, 11271
03/20/25, 70.00, 72.00, 67.00, 71.00, 9450
03/19/25, 71.00, 71.00, 69.00, 69.10, 27200
03/18/25, 70.50, 72.80, 68.00, 69.90, 77828
03/17/25, 73.40, 73.40, 70.10, 70.90, 21216
03/14/25, 73.70, 73.70, 72.00, 72.20, 17508
03/12/25, 70.10, 72.00, 70.00, 70.60, 25537
03/11/25, 73.00, 73.50, 70.00, 70.90, 46710
03/10/25, 75.00, 75.00, 73.50, 74.00, 3740
03/07/25, 74.00, 74.50, 73.50, 74.00, 14762
03/06/25, 73.50, 79.00, 73.50, 75.90, 11831
03/05/25, 72.00, 73.70, 72.00, 73.00, 13924
03/04/25, 73.00, 73.00, 72.00, 72.30, 19506
03/03/25, 75.00, 75.00, 72.70, 72.80, 109303
02/28/25, 73.00, 74.90, 72.90, 72.90, 25735
02/27/25, 72.30, 73.70, 72.00, 73.00, 30181
02/25/25, 75.00, 75.90, 71.90, 72.30, 20565
02/24/25, 77.30, 77.30, 75.00, 75.00, 31171
02/21/25, 78.10, 78.10, 77.00, 77.20, 13947
02/20/25, 78.50, 78.50, 77.00, 77.50, 4648
02/19/25, 79.10, 81.50, 78.50, 78.70, 33132
02/18/25, 79.50, 81.00, 79.00, 79.20, 73949
02/17/25, 79.50, 79.80, 79.00, 79.70, 28217
02/14/25, 79.00, 79.60, 78.60, 79.30, 58796
02/13/25, 76.20, 79.00, 76.20, 78.00, 13870
02/11/25, 79.40, 79.40, 75.00, 77.00, 135754
02/10/25, 79.90, 79.90, 79.30, 79.70, 9552
02/07/25, 79.80, 80.00, 79.70, 79.80, 14182
02/06/25, 77.80, 83.20, 77.50, 81.50, 595688
02/05/25, 82.00, 82.00, 77.80, 78.10, 38008
02/03/25, 80.10, 84.90, 80.00, 80.20, 65502
01/31/25, 82.30, 83.10, 81.00, 81.80, 198140
