Date, Open, High, Low, Close, Volume
05/06/25, 105.00, 105.00, 105.00, 105.00, 100
05/05/25, 102.00, 102.25, 101.25, 101.25, 3424
05/02/25, 100.50, 105.50, 100.50, 104.50, 3841
04/30/25, 99.00, 100.00, 99.00, 100.00, 34458
04/29/25, 97.50, 100.00, 95.50, 100.00, 15833
04/28/25, 100.00, 100.00, 92.00, 95.00, 12524
04/25/25, 93.80, 100.00, 90.10, 97.40, 6090
04/24/25, 93.50, 93.50, 90.00, 90.00, 5427
04/23/25, 90.50, 90.50, 90.50, 90.00, 2
04/22/25, 93.50, 93.50, 90.00, 90.00, 201
04/21/25, 93.40, 93.40, 93.40, 92.90, 26
04/17/25, 91.30, 93.40, 91.30, 92.90, 4522
04/16/25, 91.40, 91.40, 91.40, 91.40, 1421
04/11/25, 85.00, 91.50, 85.00, 85.50, 333
04/10/25, 91.50, 91.50, 91.40, 91.40, 305
04/09/25, 90.00, 90.00, 85.00, 89.80, 521
04/08/25, 83.00, 90.00, 80.00, 89.90, 12012
04/07/25, 87.00, 87.00, 82.20, 85.00, 12433
04/04/25, 87.00, 88.50, 87.00, 88.50, 6791
04/03/25, 89.00, 89.00, 85.50, 88.00, 49370
04/02/25, 89.90, 90.00, 89.90, 90.00, 2000
04/01/25, 84.80, 90.00, 84.80, 89.80, 12769
03/28/25, 86.40, 90.00, 86.40, 88.00, 2540
03/27/25, 86.00, 86.00, 86.00, 86.00, 119
03/26/25, 85.90, 85.90, 84.70, 85.50, 4
03/25/25, 85.90, 85.90, 85.30, 85.50, 509
03/24/25, 84.70, 85.50, 84.70, 85.10, 4178
03/21/25, 83.00, 84.70, 83.00, 84.60, 1447
03/20/25, 83.50, 84.70, 83.00, 83.00, 8243
03/19/25, 83.00, 84.70, 81.20, 81.20, 3543
03/18/25, 79.00, 83.00, 79.00, 79.10, 1013
03/17/25, 79.00, 79.00, 79.00, 79.00, 1589
03/14/25, 84.00, 85.60, 78.50, 79.00, 21172
03/12/25, 85.00, 85.00, 80.00, 83.70, 2887
03/11/25, 81.10, 81.30, 81.10, 81.30, 250
03/10/25, 85.00, 86.50, 83.00, 86.50, 2808
03/07/25, 84.00, 86.90, 83.00, 86.50, 1316
03/06/25, 82.10, 83.30, 82.10, 83.10, 9508
03/05/25, 86.60, 88.50, 86.60, 88.30, 4253
03/04/25, 82.50, 82.70, 82.50, 82.50, 2190
03/03/25, 87.30, 87.30, 86.90, 86.90, 544
02/28/25, 87.30, 87.30, 87.30, 86.60, 5
02/27/25, 86.00, 87.50, 80.30, 86.60, 1645
02/25/25, 88.00, 88.00, 84.10, 85.50, 5368
02/24/25, 83.00, 88.80, 83.00, 88.40, 4830
02/21/25, 83.00, 83.00, 83.00, 82.30, 1
02/20/25, 89.00, 89.40, 75.60, 82.30, 4805
02/19/25, 92.90, 92.90, 88.70, 89.50, 784
02/18/25, 92.90, 92.90, 88.70, 92.00, 896
02/17/25, 93.80, 93.90, 89.00, 93.00, 3288
02/14/25, 93.90, 93.90, 89.80, 89.90, 7107
02/13/25, 89.70, 89.70, 85.00, 89.70, 1603
02/11/25, 93.90, 93.90, 89.00, 89.60, 2920
02/10/25, 91.00, 94.00, 91.00, 93.90, 6100
02/07/25, 93.60, 93.90, 90.00, 93.60, 1074
02/06/25, 85.30, 94.00, 85.10, 93.60, 8777
02/05/25, 94.70, 94.70, 81.00, 84.90, 6351
02/03/25, 92.00, 94.80, 92.00, 94.30, 1668
01/31/25, 92.00, 93.90, 92.00, 92.00, 3682
01/30/25, 95.00, 95.00, 92.00, 92.00, 13297
01/29/25, 92.60, 97.50, 92.00, 92.10, 26000
01/28/25, 90.50, 93.10, 90.00, 90.20, 289
01/27/25, 90.10, 94.20, 90.00, 90.50, 883
01/24/25, 89.80, 92.10, 89.80, 90.10, 12714
01/23/25, 95.00, 95.00, 89.00, 89.50, 1462
01/22/25, 88.70, 95.90, 88.00, 91.50, 58173
01/21/25, 85.90, 92.00, 85.00, 88.50, 78203
01/20/25, 85.90, 85.90, 83.10, 83.20, 1337
