Date, Open, High, Low, Close, Volume
04/24/25, 34.90, 35.50, 34.60, 35.20, 736642
04/23/25, 35.00, 35.10, 34.60, 34.60, 89485
04/22/25, 35.00, 35.00, 34.70, 34.80, 44005
04/21/25, 35.70, 35.70, 35.00, 35.10, 47008
04/17/25, 35.80, 35.80, 35.10, 35.30, 128375
04/16/25, 34.40, 35.90, 34.10, 35.80, 1152922
04/11/25, 34.00, 34.50, 33.90, 34.10, 241783
04/10/25, 31.90, 34.50, 31.90, 34.10, 2921387
04/09/25, 31.70, 31.70, 30.70, 30.70, 269954
04/08/25, 31.00, 31.80, 30.20, 31.40, 633575
04/07/25, 32.20, 32.20, 29.50, 30.40, 1179855
04/04/25, 34.00, 34.00, 32.00, 32.60, 364296
04/03/25, 34.00, 34.00, 32.60, 33.50, 495380
04/02/25, 34.20, 34.40, 33.50, 33.70, 257928
04/01/25, 33.50, 34.00, 33.20, 34.00, 368775
03/28/25, 34.00, 34.00, 33.00, 33.20, 74408
03/27/25, 33.90, 34.10, 33.50, 33.70, 109046
03/26/25, 34.00, 35.00, 33.50, 33.80, 945201
03/25/25, 31.90, 34.00, 31.90, 33.30, 609292
03/24/25, 30.50, 32.40, 30.50, 31.60, 545335
03/21/25, 30.00, 30.60, 30.00, 30.50, 47246
03/20/25, 28.90, 29.50, 28.90, 29.50, 66531
03/19/25, 29.00, 29.30, 28.20, 28.90, 171595
03/18/25, 29.80, 29.80, 28.70, 29.00, 388195
03/17/25, 29.70, 29.90, 29.60, 29.80, 148297
03/14/25, 30.50, 30.50, 30.00, 30.00, 152048
03/12/25, 29.50, 30.80, 29.50, 30.50, 121046
03/11/25, 30.50, 31.00, 29.60, 29.70, 693379
03/10/25, 30.90, 31.20, 30.50, 31.00, 269172
03/07/25, 30.10, 31.20, 30.10, 31.00, 168756
03/06/25, 30.90, 30.90, 30.20, 30.50, 166129
03/05/25, 29.90, 30.90, 29.90, 30.20, 156879
03/04/25, 30.00, 30.20, 29.30, 29.90, 350415
03/03/25, 31.70, 31.70, 30.10, 30.20, 186297
02/28/25, 31.50, 31.50, 31.00, 31.00, 35574
02/27/25, 30.50, 31.50, 30.50, 31.40, 542580
02/25/25, 30.50, 31.00, 30.00, 30.50, 1225018
02/24/25, 31.00, 31.90, 30.50, 30.70, 268055
02/21/25, 31.10, 31.90, 31.00, 31.00, 168432
02/20/25, 32.00, 32.00, 30.40, 31.10, 252723
02/19/25, 31.00, 32.00, 30.30, 31.90, 279377
02/18/25, 31.60, 31.80, 30.00, 30.40, 369895
02/17/25, 31.80, 31.80, 31.00, 31.50, 152519
02/14/25, 31.40, 32.30, 31.40, 32.00, 207429
02/13/25, 30.80, 32.00, 30.00, 31.90, 375463
02/11/25, 31.10, 31.10, 30.00, 30.80, 120148
02/10/25, 32.40, 32.40, 30.00, 31.00, 766607
02/07/25, 31.60, 32.60, 31.50, 32.40, 700407
02/06/25, 30.10, 31.80, 30.10, 31.20, 682065
02/05/25, 32.60, 32.60, 29.50, 30.10, 1079215
02/03/25, 33.00, 33.00, 31.50, 31.80, 526035
01/31/25, 34.00, 34.00, 32.80, 33.00, 322763
01/30/25, 34.60, 34.90, 33.80, 34.00, 767940
01/29/25, 33.40, 34.70, 33.40, 34.50, 1938759
01/28/25, 30.20, 33.50, 30.20, 33.20, 5980119
01/27/25, 29.80, 30.20, 29.40, 30.00, 887533
01/24/25, 29.90, 30.20, 28.70, 29.10, 195958
01/23/25, 30.90, 31.00, 29.00, 29.60, 263493
01/22/25, 30.70, 31.50, 30.10, 30.60, 411884
01/21/25, 29.50, 30.90, 29.50, 30.10, 1099661
01/20/25, 30.10, 30.40, 29.10, 29.50, 773657
01/17/25, 28.00, 30.00, 27.50, 29.80, 848906
01/16/25, 27.20, 28.20, 27.20, 28.10, 192054
01/15/25, 26.60, 27.60, 26.60, 27.30, 107670
01/10/25, 27.10, 27.10, 26.70, 27.00, 353477
01/09/25, 27.90, 28.00, 26.80, 27.00, 905813
01/08/25, 28.60, 28.60, 27.80, 28.10, 217865
01/07/25, 27.00, 29.10, 26.70, 28.20, 1112411
01/06/25, 27.10, 27.70, 26.50, 27.10, 561533
01/03/25, 27.00, 28.70, 26.00, 27.20, 1475432
01/02/25, 26.00, 27.00, 25.00, 26.20, 690974
12/31/24, 26.50, 26.50, 25.80, 26.00, 408978
12/30/24, 26.50, 26.50, 25.90, 26.50, 734029
12/27/24, 26.50, 26.80, 26.00, 26.50, 798675
12/26/24, 26.20, 26.80, 26.20, 26.80, 398369
12/24/24, 26.10, 26.20, 25.20, 26.00, 490470
12/23/24, 25.90, 26.20, 25.20, 26.00, 1224198
12/20/24, 24.40, 26.00, 24.20, 25.50, 1402941
12/19/24, 24.40, 24.50, 24.20, 24.20, 324092
12/18/24, 24.10, 24.60, 23.80, 24.40, 533304
12/17/24, 24.90, 24.90, 23.80, 24.10, 212384
12/16/24, 24.90, 25.20, 24.20, 24.80, 264117
12/13/24, 24.50, 25.20, 24.30, 25.00, 1608801
12/12/24, 24.20, 24.70, 24.00, 24.10, 923862
12/11/24, 23.80, 24.50, 23.80, 24.10, 819864
12/10/24, 24.30, 24.30, 23.70, 23.80, 392420
12/09/24, 24.30, 24.50, 24.00, 24.00, 583244
12/06/24, 24.00, 24.30, 23.80, 24.10, 417683
12/05/24, 24.00, 24.50, 23.80, 24.00, 344342
12/04/24, 24.30, 24.40, 24.00, 24.20, 323901
12/03/24, 23.80, 24.40, 23.70, 24.30, 583465
12/02/24, 23.40, 23.80, 23.40, 23.80, 619026
11/29/24, 22.90, 23.50, 22.90, 23.10, 852290
11/28/24, 23.00, 23.40, 22.80, 22.90, 475282
11/27/24, 22.60, 23.00, 22.60, 23.00, 163862
11/26/24, 22.70, 23.20, 22.70, 23.00, 78426
11/25/24, 23.60, 23.80, 22.70, 22.80, 458461
11/22/24, 23.20, 24.00, 23.00, 23.60, 2773818
