Date, Open, High, Low, Close, Volume
04/24/25, 5.30, 5.40, 5.20, 5.20, 4375
04/23/25, 5.20, 5.40, 5.20, 5.40, 3123
04/22/25, 5.30, 5.40, 5.30, 5.40, 311
04/21/25, 5.30, 5.40, 5.20, 5.30, 2775
04/17/25, 5.40, 5.40, 5.10, 5.40, 22406
04/16/25, 5.40, 5.40, 5.40, 5.40, 1248
04/11/25, 5.30, 5.40, 5.00, 5.10, 131516
04/10/25, 5.30, 5.50, 5.00, 5.10, 33423
04/09/25, 5.30, 5.30, 5.20, 5.20, 5295
04/08/25, 5.10, 5.50, 5.10, 5.30, 30401
04/07/25, 5.30, 5.40, 5.20, 5.20, 7719
04/04/25, 5.50, 5.50, 5.50, 5.50, 5
04/03/25, 5.40, 5.60, 5.40, 5.50, 1205
04/02/25, 5.60, 5.60, 5.50, 5.60, 421
04/01/25, 5.50, 5.70, 5.30, 5.30, 2310
03/28/25, 5.50, 5.50, 5.50, 5.40, 1
03/27/25, 5.40, 5.60, 5.40, 5.40, 1214
03/26/25, 5.60, 5.70, 5.40, 5.70, 631
03/25/25, 5.40, 5.50, 5.40, 5.50, 1269
03/24/25, 5.50, 5.50, 5.30, 5.40, 1074
03/21/25, 5.30, 5.50, 5.30, 5.30, 1763
03/20/25, 5.30, 5.50, 5.20, 5.40, 3826
03/19/25, 5.30, 5.40, 5.30, 5.40, 225
03/18/25, 5.70, 5.70, 5.20, 5.30, 23557
03/17/25, 5.40, 5.50, 5.40, 5.50, 3227
03/14/25, 5.40, 5.50, 5.40, 5.50, 512
03/12/25, 5.50, 5.50, 5.40, 5.40, 80046
03/11/25, 5.60, 5.60, 5.50, 5.50, 625
03/10/25, 5.60, 5.70, 5.40, 5.60, 19430
03/07/25, 5.50, 5.70, 5.30, 5.30, 8691
03/06/25, 5.30, 5.60, 5.30, 5.50, 5210
03/05/25, 5.50, 5.50, 5.30, 5.30, 518
03/04/25, 5.40, 5.40, 5.40, 5.40, 20006
03/03/25, 5.50, 5.60, 5.40, 5.40, 5306
02/28/25, 5.60, 5.60, 5.40, 5.50, 12743
02/27/25, 5.70, 5.70, 5.40, 5.40, 27439
02/25/25, 5.50, 5.80, 5.50, 5.50, 6789
02/24/25, 5.80, 5.80, 5.50, 5.50, 24015
02/21/25, 5.80, 5.80, 5.60, 5.80, 371
02/20/25, 5.90, 5.90, 5.50, 5.60, 17531
02/19/25, 5.80, 5.80, 5.80, 5.80, 515
02/18/25, 5.60, 5.90, 5.50, 5.50, 41766
02/17/25, 5.90, 5.90, 5.60, 5.60, 22067
02/14/25, 5.80, 6.00, 5.70, 5.70, 8472
02/13/25, 5.70, 6.00, 5.70, 5.70, 20989
02/11/25, 6.00, 6.10, 5.70, 5.70, 28454
02/10/25, 6.10, 6.10, 5.90, 6.10, 131
02/07/25, 6.00, 6.10, 5.80, 6.00, 136292
02/06/25, 6.10, 6.10, 5.90, 6.00, 20912
02/05/25, 6.20, 6.20, 6.00, 6.00, 143921
02/03/25, 6.20, 6.20, 6.10, 6.10, 498176
01/31/25, 6.10, 6.30, 5.90, 6.00, 4018701
01/30/25, 6.00, 6.10, 5.80, 5.80, 17640
01/29/25, 6.00, 6.10, 5.90, 5.90, 29949
01/28/25, 6.00, 6.00, 5.90, 5.90, 7879
01/27/25, 6.00, 6.10, 6.00, 6.00, 119628
01/24/25, 5.90, 6.10, 5.90, 6.00, 18808
01/23/25, 5.90, 5.90, 5.80, 5.90, 11382
01/22/25, 5.90, 6.00, 5.90, 5.90, 73805
01/21/25, 5.80, 5.90, 5.80, 5.90, 15993
01/20/25, 5.80, 5.80, 5.60, 5.60, 14614
01/17/25, 5.80, 5.80, 5.80, 5.80, 1480
01/16/25, 5.80, 5.80, 5.60, 5.80, 16411
01/15/25, 5.90, 5.90, 5.70, 5.70, 4316
01/10/25, 5.80, 5.90, 5.70, 5.70, 6527
01/09/25, 5.90, 5.90, 5.90, 5.70, 3
01/08/25, 5.80, 5.90, 5.70, 5.70, 465
01/07/25, 5.80, 5.80, 5.70, 5.70, 42516
01/06/25, 5.90, 5.90, 5.70, 5.80, 53777
01/03/25, 6.00, 6.00, 5.60, 5.70, 73176
01/02/25, 5.90, 6.10, 5.50, 5.60, 60916
12/31/24, 6.10, 6.10, 5.90, 5.90, 3751
12/30/24, 6.20, 6.20, 6.00, 6.00, 49567
12/27/24, 6.00, 6.20, 6.00, 6.10, 78257
12/26/24, 6.00, 6.00, 5.90, 6.00, 22829
12/24/24, 6.10, 6.10, 6.00, 6.00, 18001
12/23/24, 5.90, 6.10, 5.90, 6.00, 28883
12/20/24, 5.70, 6.00, 5.60, 6.00, 198897
12/19/24, 5.70, 5.80, 5.70, 5.70, 8030
12/18/24, 5.60, 5.80, 5.50, 5.50, 5621
12/17/24, 5.60, 5.60, 5.50, 5.50, 52761
12/16/24, 5.70, 5.70, 5.60, 5.60, 36581
12/13/24, 5.90, 5.90, 5.60, 5.70, 73208
12/12/24, 5.80, 6.00, 5.80, 5.90, 32370
