Date, Open, High, Low, Close, Volume
04/24/25, 70.50, 70.50, 69.40, 69.80, 60132
04/23/25, 70.50, 70.50, 69.70, 69.80, 17886
04/22/25, 71.40, 71.40, 69.80, 69.80, 5558
04/21/25, 69.90, 71.40, 69.70, 70.00, 60622
04/17/25, 69.60, 70.10, 69.10, 69.90, 12498
04/16/25, 70.00, 70.90, 69.10, 69.50, 37808
04/11/25, 69.00, 70.50, 69.00, 70.00, 29345
04/10/25, 70.00, 71.40, 69.10, 70.10, 369756
04/09/25, 68.20, 68.20, 66.50, 68.00, 15448
04/08/25, 68.00, 68.90, 67.50, 68.20, 162547
04/07/25, 68.00, 68.00, 66.00, 66.60, 335352
04/04/25, 70.00, 70.00, 67.00, 69.00, 139158
04/03/25, 72.00, 72.00, 69.00, 70.10, 227483
04/02/25, 73.00, 74.00, 72.50, 72.70, 67083
04/01/25, 72.50, 74.00, 72.10, 73.50, 79943
03/28/25, 74.90, 75.00, 72.00, 72.40, 79517
03/27/25, 75.00, 76.90, 73.90, 74.50, 464352
03/26/25, 74.00, 74.00, 72.10, 73.10, 147782
03/25/25, 72.00, 73.70, 72.00, 73.10, 110524
03/24/25, 71.10, 73.70, 71.10, 71.80, 61412
03/21/25, 71.00, 72.80, 71.00, 71.80, 60168
03/20/25, 70.00, 71.70, 70.00, 71.00, 30788
03/19/25, 70.00, 71.40, 69.00, 69.30, 38332
03/18/25, 70.70, 71.90, 69.10, 69.60, 46198
03/17/25, 73.00, 73.50, 70.80, 71.00, 25814
03/14/25, 72.90, 74.00, 72.80, 73.00, 121958
03/12/25, 70.80, 73.00, 70.80, 73.00, 43106
03/11/25, 72.00, 73.30, 70.80, 71.10, 71714
03/10/25, 72.50, 73.50, 71.70, 72.20, 138495
03/07/25, 72.00, 73.00, 71.60, 71.90, 13040
03/06/25, 72.90, 73.50, 71.50, 72.40, 36922
03/05/25, 71.40, 73.50, 71.40, 73.00, 145933
03/04/25, 71.50, 71.60, 70.00, 70.70, 67486
03/03/25, 74.00, 74.90, 71.50, 71.70, 72528
02/28/25, 74.80, 76.00, 73.10, 73.90, 130428
