Date, Open, High, Low, Close, Volume
04/24/25, 5.50, 5.50, 5.30, 5.40, 279349
04/23/25, 5.30, 5.50, 5.30, 5.50, 24861
04/22/25, 5.50, 5.50, 5.20, 5.20, 169645
04/21/25, 5.40, 5.50, 5.30, 5.30, 31376
04/17/25, 5.30, 5.50, 5.10, 5.30, 171264
04/16/25, 5.40, 5.60, 5.30, 5.40, 144269
04/11/25, 5.40, 5.40, 5.20, 5.30, 269043
04/10/25, 5.40, 5.60, 5.30, 5.50, 445866
04/09/25, 5.20, 5.30, 5.10, 5.30, 129725
04/08/25, 5.10, 5.40, 5.10, 5.30, 330604
04/07/25, 5.30, 5.30, 5.00, 5.10, 983590
04/04/25, 5.60, 5.60, 5.00, 5.30, 2286696
04/03/25, 5.50, 5.60, 5.40, 5.50, 709217
04/02/25, 5.70, 5.70, 5.60, 5.60, 107104
04/01/25, 5.60, 5.70, 5.50, 5.60, 179798
03/28/25, 5.80, 5.80, 5.50, 5.50, 110857
03/27/25, 5.60, 5.80, 5.60, 5.60, 328139
03/26/25, 5.60, 5.70, 5.40, 5.50, 171081
03/25/25, 5.60, 5.70, 5.40, 5.50, 396089
03/24/25, 5.40, 5.60, 5.40, 5.40, 146221
03/21/25, 5.60, 5.60, 5.40, 5.40, 136173
03/20/25, 5.30, 5.60, 5.30, 5.50, 117171
03/19/25, 5.30, 5.50, 5.20, 5.30, 315379
03/18/25, 5.60, 5.70, 5.20, 5.30, 512753
03/17/25, 5.80, 5.80, 5.50, 5.50, 666429
03/14/25, 5.50, 5.80, 5.50, 5.60, 321382
03/12/25, 5.80, 5.80, 5.60, 5.60, 169477
03/11/25, 5.60, 5.90, 5.50, 5.60, 280832
03/10/25, 5.90, 5.90, 5.60, 5.60, 77950
03/07/25, 5.70, 5.90, 5.60, 5.70, 1053605
03/06/25, 5.80, 5.80, 5.60, 5.70, 112931
03/05/25, 5.60, 5.80, 5.50, 5.70, 286050
03/04/25, 5.70, 5.70, 5.50, 5.60, 887024
03/03/25, 5.90, 5.90, 5.60, 5.60, 323050
02/28/25, 5.70, 5.80, 5.60, 5.70, 513333
02/27/25, 5.80, 5.90, 5.60, 5.70, 473165
02/25/25, 5.90, 5.90, 5.60, 5.70, 1094819
02/24/25, 5.90, 6.00, 5.80, 5.80, 370976
02/21/25, 5.90, 6.00, 5.90, 5.90, 588734
02/20/25, 5.90, 6.00, 5.90, 5.90, 202399
02/19/25, 6.00, 6.10, 5.90, 5.90, 318796
02/18/25, 6.20, 6.20, 5.90, 5.90, 1051945
02/17/25, 6.20, 6.30, 6.00, 6.10, 1524175
02/14/25, 6.10, 6.20, 6.00, 6.20, 2318324
02/13/25, 5.90, 6.00, 5.80, 5.90, 1383151
02/11/25, 6.00, 6.00, 5.80, 5.80, 1270225
02/10/25, 6.00, 6.00, 5.90, 5.90, 775910
02/07/25, 6.10, 6.20, 5.90, 6.00, 976340
02/06/25, 5.90, 6.20, 5.90, 6.00, 2534574
02/05/25, 6.10, 6.20, 5.90, 6.00, 4285567
02/03/25, 6.40, 6.40, 6.10, 6.20, 1880582
01/31/25, 6.30, 6.40, 6.20, 6.30, 18260510
01/30/25, 6.40, 6.40, 6.10, 6.20, 37047078
01/29/25, 6.20, 6.40, 6.00, 6.20, 19004961
01/28/25, 6.40, 6.40, 6.10, 6.20, 976345
01/27/25, 6.00, 6.50, 6.00, 6.30, 7687524
01/24/25, 6.10, 6.10, 5.90, 6.00, 1336922
01/23/25, 5.90, 6.10, 5.70, 6.00, 3231595
01/22/25, 6.00, 6.00, 5.80, 5.80, 1343906
01/21/25, 5.90, 6.00, 5.80, 5.80, 1239041
01/20/25, 6.00, 6.10, 5.80, 5.90, 326207
01/17/25, 5.90, 6.10, 5.90, 5.90, 331434
01/16/25, 6.00, 6.10, 5.90, 6.00, 453740
01/15/25, 6.10, 6.10, 5.90, 6.00, 320708
01/10/25, 6.00, 6.10, 5.90, 5.90, 666352
01/09/25, 6.00, 6.10, 5.90, 6.00, 607552
01/08/25, 6.10, 6.20, 6.00, 6.00, 699447
01/07/25, 6.20, 6.20, 6.00, 6.10, 774171
01/06/25, 6.10, 6.30, 5.90, 6.00, 1473018
01/03/25, 6.10, 6.30, 6.00, 6.10, 3616544
01/02/25, 6.10, 6.30, 6.00, 6.10, 3520648
12/31/24, 6.20, 6.20, 6.00, 6.00, 1333183
12/30/24, 6.30, 6.40, 6.10, 6.20, 2295795
12/27/24, 6.40, 6.50, 6.30, 6.30, 2711599
12/26/24, 6.30, 6.40, 6.20, 6.30, 13846900
12/24/24, 6.40, 6.50, 6.20, 6.20, 3229354
12/23/24, 6.40, 6.70, 6.20, 6.40, 15020190
12/20/24, 6.10, 6.50, 6.00, 6.30, 8241270
12/19/24, 6.00, 6.10, 5.90, 6.00, 3198810
12/18/24, 5.80, 6.00, 5.60, 5.90, 1965532
12/17/24, 5.80, 5.90, 5.60, 5.80, 1378240
12/16/24, 5.80, 5.90, 5.60, 5.70, 2362254
12/13/24, 5.70, 5.90, 5.70, 5.70, 1037894
12/12/24, 5.90, 6.00, 5.70, 5.80, 1249737
12/11/24, 6.00, 6.10, 5.80, 5.90, 2737310
12/10/24, 5.60, 6.00, 5.60, 5.90, 2917560
12/09/24, 5.70, 5.80, 5.50, 5.60, 4079594
12/06/24, 5.80, 5.90, 5.60, 5.70, 1796321
12/05/24, 5.80, 5.90, 5.60, 5.70, 1904134
12/04/24, 5.70, 6.10, 5.70, 5.80, 6695032
12/03/24, 5.70, 5.80, 5.60, 5.70, 3266718
12/02/24, 5.80, 6.00, 5.60, 5.70, 2999801
11/29/24, 6.10, 6.10, 5.80, 5.80, 3688354
11/28/24, 6.00, 6.20, 6.00, 6.00, 686393
11/27/24, 6.00, 6.20, 5.90, 6.10, 1561523
11/26/24, 6.00, 6.00, 5.80, 5.90, 874074
11/25/24, 6.10, 6.10, 5.80, 5.90, 2230669
11/22/24, 6.20, 6.20, 6.00, 6.10, 1247022
11/21/24, 6.20, 6.30, 6.10, 6.10, 937468
11/20/24, 6.10, 6.30, 6.00, 6.20, 3230640
11/19/24, 6.20, 6.30, 6.10, 6.20, 3897860
11/18/24, 6.60, 6.60, 6.10, 6.20, 9725989
11/14/24, 6.60, 6.60, 6.40, 6.50, 1449172
11/13/24, 6.40, 6.60, 6.40, 6.50, 1329682
11/12/24, 6.30, 6.40, 6.20, 6.30, 585142
11/11/24, 6.40, 6.40, 6.20, 6.20, 366061
11/08/24, 6.20, 6.40, 6.20, 6.30, 370943
11/07/24, 6.40, 6.40, 6.20, 6.20, 272815
11/06/24, 6.50, 6.60, 6.30, 6.30, 835463
11/05/24, 6.40, 6.50, 6.30, 6.40, 1386075
11/04/24, 6.30, 6.40, 6.20, 6.30, 382152
11/01/24, 6.10, 6.30, 6.10, 6.30, 883596
10/30/24, 6.20, 6.20, 6.00, 6.00, 790275
10/29/24, 6.20, 6.20, 6.00, 6.10, 1573822
10/28/24, 6.30, 6.30, 6.10, 6.10, 1912239
10/25/24, 6.40, 6.40, 6.00, 6.20, 5313308
10/24/24, 6.40, 6.70, 6.40, 6.50, 493153
10/23/24, 6.50, 6.60, 6.30, 6.50, 219525
10/22/24, 6.40, 6.60, 6.40, 6.50, 46995
10/21/24, 6.60, 6.60, 6.40, 6.40, 1041152
10/18/24, 6.70, 6.80, 6.50, 6.70, 392266
10/16/24, 6.70, 6.90, 6.60, 6.60, 669327
10/15/24, 6.60, 6.90, 6.60, 6.80, 3467563
10/14/24, 6.40, 6.70, 6.30, 6.50, 2056385
10/11/24, 6.30, 6.40, 6.20, 6.20, 521156
10/10/24, 6.40, 6.40, 6.10, 6.20, 738411
10/09/24, 6.40, 6.50, 6.30, 6.30, 1750739
10/08/24, 6.30, 6.50, 6.30, 6.30, 45079
10/07/24, 6.50, 6.50, 6.30, 6.40, 2253258
10/04/24, 6.40, 6.60, 6.40, 6.50, 442241
10/03/24, 6.60, 6.60, 6.30, 6.50, 206418
10/02/24, 6.70, 6.70, 6.30, 6.50, 805235
10/01/24, 6.60, 6.80, 6.50, 6.60, 1609487
09/30/24, 6.80, 6.80, 6.60, 6.60, 878562
09/27/24, 6.80, 6.90, 6.50, 6.70, 1017552
09/26/24, 6.60, 7.10, 6.50, 6.70, 5106321
09/25/24, 6.20, 6.70, 6.20, 6.60, 4381564
09/24/24, 6.20, 6.30, 6.00, 6.10, 454580
09/23/24, 5.90, 6.30, 5.60, 6.00, 1945299
09/20/24, 6.00, 6.10, 5.80, 5.90, 943723
09/19/24, 5.90, 6.10, 5.80, 5.90, 1465573
09/18/24, 5.80, 6.00, 5.80, 5.90, 400041
09/13/24, 5.50, 6.00, 5.50, 5.90, 1360592
09/12/24, 5.70, 5.70, 5.50, 5.50, 29019
09/11/24, 5.60, 5.60, 5.40, 5.40, 1253580
09/10/24, 5.50, 5.60, 5.40, 5.40, 347291
09/09/24, 5.60, 5.60, 5.40, 5.50, 306902
09/06/24, 5.70, 5.70, 5.50, 5.50, 537224
09/05/24, 5.80, 5.80, 5.50, 5.60, 438064
09/04/24, 5.70, 5.80, 5.60, 5.80, 131418
09/03/24, 5.70, 5.80, 5.50, 5.70, 422809
09/02/24, 5.60, 5.70, 5.50, 5.60, 1216662
08/30/24, 5.80, 5.80, 5.60, 5.60, 765136
08/29/24, 5.90, 5.90, 5.70, 5.70, 606935
08/28/24, 6.00, 6.00, 5.70, 5.70, 243695
08/27/24, 6.10, 6.10, 5.70, 5.70, 1481515
08/26/24, 6.20, 6.20, 5.90, 6.00, 639696
08/23/24, 6.10, 6.20, 6.10, 6.10, 118489
08/22/24, 6.20, 6.30, 6.10, 6.10, 723229
08/21/24, 6.40, 6.40, 6.20, 6.20, 200118
08/20/24, 6.40, 6.40, 6.30, 6.40, 59011
08/16/24, 6.10, 6.50, 6.10, 6.30, 316622
08/15/24, 6.50, 6.50, 6.30, 6.30, 109288
08/14/24, 6.30, 6.50, 6.30, 6.30, 332035
08/13/24, 6.40, 6.60, 6.20, 6.40, 78534
08/12/24, 6.50, 6.50, 6.30, 6.40, 71645
08/09/24, 6.30, 6.60, 6.30, 6.40, 280430
08/08/24, 6.30, 6.40, 6.20, 6.30, 59873
08/07/24, 6.10, 6.30, 6.10, 6.20, 52236
08/06/24, 6.30, 6.30, 6.10, 6.20, 79573
08/05/24, 6.50, 6.50, 6.10, 6.10, 357863
08/02/24, 6.50, 6.50, 6.30, 6.40, 68139
08/01/24, 6.40, 6.40, 6.30, 6.30, 37086
07/31/24, 6.30, 6.50, 6.30, 6.30, 26490
07/30/24, 6.40, 6.50, 6.20, 6.30, 465130
07/29/24, 6.60, 6.60, 6.30, 6.30, 124613
07/26/24, 6.50, 6.60, 6.30, 6.40, 97235
07/25/24, 6.70, 6.70, 6.30, 6.50, 348004
07/24/24, 6.60, 6.70, 6.50, 6.50, 144244
07/23/24, 6.40, 6.60, 6.30, 6.50, 187216
07/22/24, 6.50, 6.70, 6.40, 6.40, 536797
07/19/24, 6.80, 6.80, 6.50, 6.60, 317069
07/18/24, 6.80, 6.80, 6.60, 6.70, 182391
07/17/24, 6.70, 6.80, 6.70, 6.70, 377236
07/16/24, 6.90, 6.90, 6.70, 6.70, 1394428
07/15/24, 6.90, 6.90, 6.60, 6.80, 176245
07/12/24, 6.80, 6.80, 6.60, 6.80, 50981
07/11/24, 6.90, 6.90, 6.60, 6.70, 107662
07/10/24, 6.90, 6.90, 6.60, 6.70, 270655
07/09/24, 6.70, 6.80, 6.60, 6.70, 225599
07/08/24, 7.00, 7.00, 6.70, 6.70, 230764
07/05/24, 6.90, 7.00, 6.80, 6.90, 177457
07/04/24, 6.90, 7.10, 6.70, 6.80, 265368
07/03/24, 6.90, 7.10, 6.80, 6.80, 430305
07/02/24, 6.90, 7.10, 6.80, 6.90, 1070153
07/01/24, 6.90, 7.00, 6.80, 6.90, 279672
06/28/24, 7.00, 7.00, 6.80, 6.80, 429532
06/27/24, 7.10, 7.10, 6.80, 6.80, 576236
06/26/24, 7.10, 7.10, 6.90, 7.00, 182362
06/25/24, 7.30, 7.30, 6.90, 6.90, 2004018
06/24/24, 7.20, 7.30, 7.20, 7.20, 146411
06/20/24, 7.40, 7.40, 7.20, 7.20, 263564
06/19/24, 7.30, 7.40, 7.20, 7.20, 873452
06/18/24, 7.50, 7.60, 7.30, 7.40, 533864
06/14/24, 7.50, 7.50, 7.20, 7.30, 1797522
06/13/24, 7.50, 7.90, 7.40, 7.50, 16864141
06/12/24, 7.00, 7.40, 7.00, 7.10, 1244272
06/11/24, 6.90, 7.10, 6.90, 7.00, 468054
06/10/24, 7.00, 7.10, 6.90, 6.90, 217393
