Date, Open, High, Low, Close, Volume
04/24/25, 22.30, 22.80, 22.20, 22.60, 1794767
04/23/25, 22.00, 22.30, 21.60, 22.00, 6345544
04/22/25, 22.10, 22.10, 21.80, 21.80, 326322
04/21/25, 22.20, 22.20, 21.80, 21.90, 2089064
04/17/25, 21.90, 22.10, 21.70, 22.00, 1034144
04/16/25, 21.80, 22.00, 21.60, 21.90, 127642
04/11/25, 21.60, 21.70, 21.50, 21.50, 124918
04/10/25, 21.10, 22.00, 21.10, 21.60, 400369
04/09/25, 21.00, 21.00, 20.30, 20.40, 466707
04/08/25, 19.90, 21.00, 19.90, 21.00, 726218
04/07/25, 21.00, 21.10, 19.20, 20.10, 1562811
04/04/25, 21.40, 21.40, 20.90, 21.10, 959950
04/03/25, 21.80, 21.90, 21.30, 21.30, 526397
04/02/25, 22.20, 22.20, 21.90, 22.00, 1912689
04/01/25, 21.90, 22.50, 21.40, 22.20, 2671652
03/28/25, 21.20, 21.80, 21.10, 21.50, 570995
03/27/25, 21.30, 21.30, 21.00, 21.10, 495617
03/26/25, 21.40, 21.40, 21.00, 21.10, 106125
03/25/25, 21.20, 21.20, 20.90, 21.10, 286764
03/24/25, 21.40, 21.40, 21.00, 21.00, 320205
03/21/25, 20.70, 21.50, 20.70, 21.10, 991116
03/20/25, 20.10, 20.60, 20.10, 20.60, 581761
03/19/25, 20.00, 20.20, 19.90, 20.00, 1493186
03/18/25, 20.00, 20.40, 19.80, 20.00, 1249349
03/17/25, 20.90, 20.90, 20.00, 20.00, 1951650
03/14/25, 20.90, 21.00, 20.40, 20.50, 1058341
03/12/25, 21.00, 21.00, 20.40, 20.70, 1031097
03/11/25, 21.30, 21.30, 20.60, 20.90, 405370
03/10/25, 21.90, 21.90, 21.10, 21.40, 219215
03/07/25, 21.60, 21.60, 21.10, 21.30, 694282
03/06/25, 22.00, 22.00, 21.50, 21.60, 585204
03/05/25, 20.80, 21.90, 20.80, 21.50, 907551
03/04/25, 21.50, 21.50, 20.00, 20.90, 1068038
03/03/25, 22.30, 22.30, 21.00, 21.10, 449889
02/28/25, 21.90, 22.30, 21.90, 22.00, 935060
02/27/25, 22.00, 22.30, 21.70, 21.80, 1533900
02/25/25, 22.50, 22.50, 21.90, 22.00, 720264
02/24/25, 22.60, 22.80, 22.10, 22.40, 314368
02/21/25, 22.90, 22.90, 22.40, 22.50, 699508
