Date, Open, High, Low, Close, Volume
04/09/25, 14750, 14750, 14750, 15000, 1
04/08/25, 15000, 15000, 14750, 15000, 8
04/07/25, 14501, 14501, 14501, 15000, 2
03/26/25, 14100, 14100, 14100, 15000, 2
03/14/25, 14900, 14900, 14900, 15000, 2
03/03/25, 15000, 15000, 15000, 15000, 10
01/29/25, 15000, 15000, 14010, 15000, 4
01/28/25, 14004, 14004, 14003, 15000, 3
01/23/25, 16000, 16000, 15000, 15000, 3
01/22/25, 15500, 15500, 15500, 15000, 1
01/21/25, 15000, 15000, 15000, 15000, 120
01/07/25, 15000, 15000, 15000, 15004, 15
12/26/24, 15000, 15000, 15000, 15004, 12
12/24/24, 15000, 15000, 15000, 15004, 18
12/23/24, 15000, 15000, 15000, 15004, 1
12/18/24, 18000, 18000, 18000, 15004, 1
12/13/24, 14500, 14750, 14500, 15004, 2
12/10/24, 15000, 15000, 15000, 15004, 10
12/09/24, 14750, 15250, 14750, 15004, 3
11/22/24, 15000, 15000, 15000, 15004, 1
11/08/24, 14750, 14750, 14750, 15004, 1
11/05/24, 14000, 14000, 14000, 15004, 1
10/09/24, 14900, 14900, 14900, 15004, 1
09/09/24, 15000, 15000, 15000, 15004, 3
09/02/24, 13200, 13200, 13200, 15004, 8
08/30/24, 15000, 15004, 15000, 15004, 8
08/27/24, 15000, 15000, 15000, 15004, 9
08/12/24, 15000, 15000, 13600, 15004, 5
08/08/24, 14900, 14900, 14900, 15004, 5
07/05/24, 15000, 15000, 15000, 15004, 1
07/04/24, 14501, 14501, 14501, 15004, 3
07/03/24, 14500, 14500, 14500, 15004, 6
06/20/24, 15000, 15000, 15000, 15004, 2
05/28/24, 15000, 15000, 15000, 15004, 5
05/07/24, 15500, 15500, 15000, 15004, 3
05/06/24, 15000, 15000, 15000, 15004, 11
05/03/24, 15000, 15000, 15000, 15004, 5
05/02/24, 15000, 15000, 15000, 15004, 2
04/26/24, 15000, 15000, 15000, 15004, 6
04/25/24, 15000, 15000, 15000, 15004, 1
04/09/24, 15000, 15000, 15000, 15004, 5
04/02/24, 15000, 15000, 15000, 15004, 1
03/11/24, 15000, 15000, 15000, 15004, 5
03/07/24, 15000, 15000, 15000, 15004, 4
02/28/24, 15000, 15000, 15000, 15004, 7
02/27/24, 15000, 15000, 15000, 15004, 8
02/01/24, 15000, 15000, 15000, 15004, 45
01/12/24, 15000, 15000, 15000, 15004, 15
12/13/23, 15500, 15500, 15500, 15004, 20
12/06/23, 15000, 15000, 13101, 15004, 4
11/28/23, 15000, 15000, 15000, 15004, 2
11/27/23, 13000, 13000, 13000, 15004, 2
11/16/23, 13000, 13000, 13000, 15004, 1
10/10/23, 18500, 18500, 18500, 15004, 2
09/20/23, 18200, 18200, 18200, 15004, 2
09/08/23, 15714, 15714, 15714, 15004, 1
08/28/23, 15501, 15501, 15501, 15004, 1
08/25/23, 15500, 15500, 15500, 15004, 3
08/14/23, 15500, 15500, 15500, 15004, 2
08/09/23, 15355, 15355, 15355, 15004, 1
07/27/23, 18000, 18000, 18000, 15004, 1
07/18/23, 17000, 17000, 15001, 15004, 4
05/23/23, 15000, 15000, 15000, 15004, 1
03/22/23, 16000, 16000, 16000, 15004, 1
03/20/23, 15996, 15996, 15996, 15004, 2
02/01/23, 15500, 15500, 15500, 15004, 1
11/18/22, 12550, 12550, 12550, 15004, 1
11/09/22, 12510, 12510, 12510, 15004, 1
09/22/22, 15999, 15999, 15999, 15004, 1
07/28/22, 12505, 12505, 12505, 15004, 5
07/26/22, 15000, 15000, 15000, 15004, 3
07/07/22, 13253, 13253, 13253, 15004, 2
06/30/22, 16999, 16999, 16999, 15004, 1
06/27/22, 16999, 16999, 16999, 15004, 1
04/06/22, 15399, 15399, 15399, 15004, 1
03/10/22, 16500, 16500, 16500, 15004, 1
02/10/22, 18379, 18379, 18379, 15004, 1
01/21/22, 14000, 14000, 14000, 15004, 1
12/20/21, 13350, 13350, 13350, 15004, 1
11/26/21, 17000, 17000, 17000, 15004, 1
11/22/21, 18000, 18000, 18000, 15004, 1
11/08/21, 15330, 15330, 15330, 15004, 1
11/05/21, 15330, 15330, 15330, 15004, 2
11/02/21, 17849, 17850, 15201, 15004, 45
10/28/21, 16500, 16500, 16000, 15004, 2
10/27/21, 15011, 17001, 15000, 15004, 589
10/18/21, 17950, 17950, 17950, 17950, 400
09/16/21, 17950, 17950, 17950, 17987, 1
08/27/21, 16100, 16100, 16100, 17987, 1
08/26/21, 15250, 15250, 15250, 17987, 1
08/24/21, 16600, 16650, 16511, 17987, 13
08/09/21, 17500, 17500, 17500, 17987, 1
08/02/21, 17899, 17899, 17899, 17987, 1
07/30/21, 18889, 18889, 18889, 17987, 1
07/27/21, 17015, 17015, 17015, 17987, 1
07/20/21, 17010, 17010, 17010, 17987, 1
07/12/21, 18550, 18550, 18550, 17987, 2
07/06/21, 18699, 18700, 18699, 17987, 2
06/22/21, 18699, 18699, 18699, 17987, 1
06/21/21, 17611, 17611, 17611, 17987, 1
06/18/21, 18105, 18105, 18000, 17987, 8
06/17/21, 18000, 18800, 18000, 17987, 18
06/16/21, 18100, 18100, 18100, 17987, 1
06/14/21, 18000, 18000, 18000, 17987, 1
06/11/21, 18003, 18003, 17600, 17987, 713
06/10/21, 18210, 18210, 18075, 18325, 28
06/09/21, 18900, 18900, 18900, 18325, 1
06/07/21, 20000, 21490, 18078, 18325, 8
06/04/21, 21500, 21500, 20000, 18325, 10
05/19/21, 17751, 17751, 17750, 18325, 13
04/21/21, 18500, 18500, 18500, 18325, 4
03/18/21, 18025, 18025, 18025, 18325, 1
03/08/21, 17500, 17500, 17500, 18325, 1
03/02/21, 16251, 16251, 16251, 18325, 1
03/01/21, 16000, 16000, 16000, 18325, 1
02/18/21, 16500, 16500, 16500, 18325, 1
02/03/21, 21500, 21500, 21500, 18325, 1
02/02/21, 18402, 18600, 18401, 18325, 17
01/29/21, 22500, 22500, 22500, 18325, 1
01/27/21, 21000, 21000, 21000, 18325, 2
01/25/21, 21800, 22800, 21800, 18325, 3
01/22/21, 20000, 20000, 20000, 18325, 3
01/21/21, 21500, 21500, 21500, 18325, 4
01/06/21, 20000, 20000, 20000, 18325, 10
01/05/21, 18000, 18000, 18000, 18325, 1
12/30/20, 18500, 18500, 18500, 18325, 2
12/28/20, 18000, 18500, 17250, 18325, 102
12/16/20, 17500, 17500, 17500, 14900, 1
12/14/20, 14900, 14900, 14900, 14900, 1
11/17/20, 14900, 14900, 14900, 14900, 1
10/22/20, 14900, 14900, 14900, 14900, 1
10/20/20, 17996, 17998, 17996, 14900, 4
06/08/20, 14000, 14000, 14000, 14900, 1
05/27/20, 14900, 14900, 14900, 14900, 3
05/14/20, 14000, 14000, 14000, 14900, 4
03/13/20, 12200, 12200, 12200, 14900, 1
02/14/20, 12000, 12000, 12000, 14900, 1
12/24/19, 14949, 14949, 14949, 14900, 1
11/01/19, 14900, 15000, 14900, 14900, 8
10/31/19, 14000, 14000, 14000, 14900, 6
10/18/19, 13900, 13900, 13900, 14900, 1
07/23/19, 14900, 14900, 14900, 14900, 1
07/15/19, 14900, 13000, 13000, 14900, 1
06/28/19, 14900, 12000, 12000, 14900, 1
05/06/19, 14900, 11304, 11300, 14900, 3
03/13/19, 14900, 14900, 14900, 14900, 122
03/12/19, 11992, 12000, 11500, 11992, 129
11/26/18, 14991, 14000, 13000, 14991, 7
11/16/18, 14991, 12015, 12005, 14991, 3
11/08/18, 14991, 12001, 12001, 14991, 5
09/21/18, 14991, 15000, 11900, 14991, 343
09/18/18, 14995, 14900, 14900, 14995, 10
09/17/18, 14995, 15000, 14850, 14995, 115
09/07/18, 12813, 9945, 9940, 12813, 5
08/02/18, 12813, 10100, 10100, 12813, 1
07/25/18, 12813, 11900, 11900, 12813, 1
07/19/18, 12813, 11900, 10005, 12813, 8
07/17/18, 12813, 10000, 10000, 12813, 6
07/13/18, 12813, 10000, 10000, 12813, 1
07/10/18, 12813, 12800, 12799, 12813, 5
07/09/18, 12813, 12800, 10000, 12813, 9
04/16/18, 12813, 10000, 9990, 12813, 13
04/09/18, 12813, 10000, 10000, 12813, 50
03/27/18, 12813, 10500, 10500, 12813, 1
03/08/18, 12813, 10500, 10450, 12813, 3
02/27/18, 12813, 9750, 9700, 12813, 6
02/26/18, 12813, 9750, 9750, 12813, 2
02/22/18, 12813, 9750, 9750, 12813, 3
02/21/18, 12813, 9700, 9700, 12813, 2
