Date, Open, High, Low, Close, Volume
04/24/25, 48.00, 48.00, 47.10, 47.40, 250850
04/23/25, 48.30, 48.30, 47.50, 47.60, 227553
04/22/25, 49.60, 49.60, 48.00, 48.10, 142037
04/21/25, 50.50, 50.50, 48.60, 49.10, 201915
04/17/25, 48.90, 50.00, 48.60, 49.60, 894589
04/16/25, 47.80, 48.90, 46.70, 48.60, 305702
04/11/25, 46.50, 47.70, 45.00, 47.20, 271175
04/10/25, 47.00, 47.50, 45.50, 46.50, 1039543
04/09/25, 45.50, 45.50, 43.30, 44.00, 229311
04/08/25, 43.20, 45.70, 43.20, 45.20, 641024
04/07/25, 45.00, 46.90, 42.00, 42.60, 905253
04/04/25, 47.30, 48.00, 45.70, 47.10, 566313
04/03/25, 48.20, 48.50, 46.50, 47.00, 613807
04/02/25, 48.60, 49.70, 48.60, 49.40, 1200856
04/01/25, 47.00, 48.50, 47.00, 48.30, 737546
03/28/25, 47.40, 47.40, 46.30, 46.60, 175905
03/27/25, 46.60, 47.40, 46.20, 47.00, 152226
03/26/25, 48.00, 48.00, 46.20, 46.50, 649597
03/25/25, 44.10, 48.00, 43.90, 47.50, 2115965
03/24/25, 43.10, 44.90, 42.10, 43.80, 331293
03/21/25, 41.40, 43.10, 41.10, 42.80, 155659
03/20/25, 41.50, 41.80, 41.00, 41.50, 79701
03/19/25, 40.70, 41.80, 40.00, 40.00, 138600
03/18/25, 42.90, 42.90, 40.10, 40.60, 69061
03/17/25, 42.00, 43.00, 41.50, 41.60, 7365
03/14/25, 43.00, 43.50, 42.00, 42.40, 37923
03/12/25, 43.60, 43.90, 42.50, 42.60, 439548
03/11/25, 44.00, 44.00, 42.50, 42.70, 69974
03/10/25, 45.00, 45.40, 43.50, 43.50, 52426
03/07/25, 44.70, 44.90, 43.60, 44.00, 65741
03/06/25, 45.50, 45.60, 43.00, 44.70, 52015
03/05/25, 42.70, 45.90, 42.50, 45.00, 668438
03/04/25, 43.00, 43.00, 41.00, 42.40, 180005
03/03/25, 43.00, 44.90, 42.90, 43.00, 395481
02/28/25, 43.00, 43.90, 42.50, 43.40, 841936
02/27/25, 41.50, 42.90, 41.50, 42.80, 31386
02/25/25, 42.20, 42.80, 41.40, 42.00, 92331
02/24/25, 43.60, 43.60, 41.40, 42.00, 230088
02/21/25, 43.00, 43.80, 42.60, 43.20, 121314
02/20/25, 44.50, 44.50, 42.00, 43.00, 88806
02/19/25, 45.30, 45.60, 43.90, 44.30, 75399
02/18/25, 45.60, 45.90, 44.60, 44.90, 70134
02/17/25, 45.40, 45.90, 45.00, 45.00, 36614
02/14/25, 45.50, 45.50, 44.00, 44.80, 199214
02/13/25, 43.50, 45.40, 43.50, 45.00, 133094
02/11/25, 45.50, 45.50, 43.10, 44.00, 244104
02/10/25, 46.00, 47.00, 45.50, 45.50, 93120
02/07/25, 47.00, 47.00, 45.20, 46.30, 72034
02/06/25, 45.20, 47.50, 44.50, 45.70, 332399
02/05/25, 48.00, 48.00, 44.80, 45.20, 802012
02/03/25, 46.00, 48.00, 45.50, 47.60, 1692540
01/31/25, 46.00, 46.20, 45.00, 45.80, 363951
01/30/25, 46.50, 47.00, 45.00, 45.60, 713287
01/29/25, 46.20, 46.50, 45.90, 46.00, 169074
01/28/25, 46.30, 46.70, 45.70, 45.90, 110120
01/27/25, 44.90, 46.70, 44.80, 46.00, 1067807
01/24/25, 45.00, 45.50, 44.80, 44.90, 509102
01/23/25, 43.90, 45.00, 43.00, 44.80, 1194009
01/22/25, 44.00, 44.50, 42.30, 43.20, 175036
01/21/25, 44.00, 44.50, 43.70, 43.90, 219342
01/20/25, 42.90, 43.90, 42.80, 43.80, 402867
01/17/25, 42.00, 43.00, 41.00, 42.00, 912938
01/16/25, 42.80, 43.00, 41.10, 41.90, 118716
01/15/25, 41.00, 43.00, 40.50, 42.40, 263356
01/10/25, 40.90, 42.00, 39.50, 41.10, 517579
01/09/25, 41.80, 42.00, 39.40, 39.90, 276671
01/08/25, 40.60, 42.00, 40.60, 41.00, 196471
01/07/25, 40.60, 41.70, 39.10, 40.40, 784976
01/06/25, 40.10, 43.20, 39.80, 40.90, 1263817
01/03/25, 41.00, 42.80, 40.00, 40.20, 900286
01/02/25, 42.00, 42.50, 40.80, 41.00, 293560
12/31/24, 42.80, 44.00, 41.70, 42.00, 718285
12/30/24, 43.30, 44.70, 42.00, 43.00, 751630
12/27/24, 42.50, 43.30, 42.40, 43.20, 526393
12/26/24, 40.60, 42.90, 40.40, 42.50, 838284
12/24/24, 39.80, 40.60, 39.00, 40.20, 321188
12/23/24, 40.00, 40.30, 39.30, 39.90, 860060
12/20/24, 39.00, 39.70, 38.70, 39.40, 1203542
12/19/24, 35.00, 38.90, 35.00, 38.00, 1891477
12/18/24, 34.10, 35.30, 33.90, 35.00, 1536597
12/17/24, 34.60, 35.20, 34.50, 34.90, 382358
12/16/24, 34.50, 35.00, 34.00, 34.60, 127830
