Date, Open, High, Low, Close, Volume
04/24/25, 22.70, 22.70, 22.70, 21.70, 1
04/23/25, 22.70, 22.80, 21.40, 21.70, 433
04/22/25, 22.80, 22.80, 22.30, 22.80, 295
04/21/25, 21.10, 22.90, 21.10, 22.90, 157
04/17/25, 22.80, 22.80, 22.00, 22.00, 1240
04/16/25, 22.00, 22.10, 21.50, 22.00, 3290
04/11/25, 22.10, 22.60, 22.10, 22.10, 1050
04/10/25, 23.00, 23.10, 22.00, 22.10, 5176
04/09/25, 21.30, 23.50, 21.10, 21.60, 2945
04/08/25, 20.90, 24.00, 20.00, 22.40, 20561
04/07/25, 20.90, 20.90, 18.20, 20.80, 589
04/04/25, 20.90, 20.90, 20.90, 20.20, 40
04/03/25, 20.30, 20.30, 20.00, 20.20, 799
04/02/25, 20.30, 21.00, 20.30, 20.40, 169
04/01/25, 20.70, 21.00, 20.10, 20.30, 3360
03/28/25, 21.00, 21.00, 20.70, 20.90, 250
03/27/25, 21.20, 21.50, 21.00, 21.10, 1182
03/26/25, 21.20, 22.00, 21.20, 21.20, 1242
03/25/25, 21.50, 21.50, 21.20, 21.50, 245
03/24/25, 22.00, 22.00, 21.00, 21.30, 310
03/21/25, 22.00, 22.00, 21.60, 21.90, 67
03/20/25, 22.00, 22.00, 22.00, 21.90, 1
03/19/25, 21.00, 21.90, 21.00, 21.90, 355
03/18/25, 22.10, 23.00, 22.00, 22.00, 6400
03/17/25, 23.40, 23.40, 22.00, 22.10, 7304
03/14/25, 23.60, 23.60, 22.00, 22.00, 741
03/12/25, 22.00, 23.00, 22.00, 22.90, 5845
03/11/25, 22.00, 22.00, 22.00, 22.00, 8032
03/10/25, 23.00, 23.00, 22.00, 22.00, 2014
03/07/25, 22.00, 23.10, 22.00, 22.00, 3706
03/06/25, 22.10, 22.10, 22.10, 22.10, 600
03/05/25, 22.00, 22.10, 22.00, 22.50, 27
03/04/25, 22.40, 22.50, 22.00, 22.50, 7950
03/03/25, 22.50, 22.50, 22.00, 22.20, 353
02/28/25, 23.00, 23.20, 22.90, 22.90, 3057
02/27/25, 23.00, 23.00, 22.00, 22.00, 1028
02/25/25, 23.30, 23.30, 22.00, 22.00, 824
02/24/25, 23.30, 23.30, 22.00, 23.00, 9366
02/21/25, 22.50, 23.40, 22.10, 22.10, 33531
02/20/25, 22.00, 23.00, 22.00, 23.00, 3405
02/19/25, 23.10, 23.10, 23.00, 23.00, 14628
02/18/25, 23.10, 23.80, 23.00, 23.00, 25480
02/17/25, 23.00, 23.00, 23.00, 23.00, 6216
02/14/25, 23.50, 23.50, 23.00, 23.00, 5693
02/13/25, 23.00, 23.10, 23.00, 23.00, 8580
02/11/25, 23.00, 23.10, 23.00, 23.00, 13000
02/10/25, 23.40, 23.50, 23.40, 23.50, 117
02/07/25, 23.10, 23.20, 23.00, 23.20, 2692
02/06/25, 23.00, 23.20, 23.00, 23.20, 19685
02/05/25, 23.00, 23.20, 23.00, 23.00, 33244
02/03/25, 22.50, 24.00, 22.00, 23.40, 9017
01/31/25, 23.50, 23.50, 21.60, 22.10, 51748
01/30/25, 24.00, 24.00, 23.50, 23.50, 2831
01/29/25, 26.00, 26.00, 23.90, 24.00, 8472
01/28/25, 25.40, 25.40, 23.80, 24.20, 64920
01/27/25, 27.00, 27.00, 25.60, 25.70, 12550
01/24/25, 24.00, 27.00, 24.00, 25.60, 123353
01/23/25, 25.00, 25.00, 24.00, 24.00, 6168
01/22/25, 23.00, 26.00, 22.70, 24.40, 38493
01/21/25, 22.80, 23.30, 22.80, 23.00, 30101
01/20/25, 22.50, 22.90, 22.30, 22.90, 5651
01/17/25, 22.50, 23.00, 22.50, 22.50, 3626
01/16/25, 22.00, 22.40, 21.40, 21.50, 4956
01/15/25, 21.40, 21.70, 21.40, 21.40, 1754
01/10/25, 21.20, 21.40, 21.20, 21.40, 8775
01/09/25, 22.30, 22.30, 21.00, 21.50, 2796
01/08/25, 22.60, 22.90, 22.30, 22.30, 9106
01/07/25, 21.70, 22.30, 21.30, 22.30, 41360
01/06/25, 22.00, 22.20, 21.70, 21.70, 1657
01/03/25, 23.00, 23.00, 22.30, 22.50, 13970
01/02/25, 22.70, 23.00, 21.90, 21.90, 38357
12/31/24, 22.10, 23.10, 22.00, 22.10, 4805
12/30/24, 22.60, 23.00, 21.80, 22.90, 50771
12/27/24, 22.90, 22.90, 22.60, 22.70, 1993
12/26/24, 22.10, 23.00, 22.00, 23.00, 18950
12/24/24, 21.00, 22.10, 21.00, 22.00, 18367
12/23/24, 21.80, 21.90, 21.00, 21.20, 5251
12/20/24, 21.30, 21.60, 20.90, 21.30, 15278
12/19/24, 21.40, 21.60, 20.80, 21.20, 5086
12/18/24, 21.10, 21.70, 20.70, 21.50, 1411
12/17/24, 21.50, 21.50, 21.00, 21.10, 4176
12/16/24, 21.80, 21.80, 21.00, 21.50, 799
12/13/24, 21.90, 22.00, 21.00, 21.80, 3264
12/12/24, 21.00, 22.00, 20.80, 21.00, 11624
12/11/24, 21.10, 21.50, 21.10, 21.30, 12476
12/10/24, 22.00, 22.00, 21.50, 21.50, 6708
12/09/24, 21.00, 22.00, 21.00, 21.80, 3284
12/06/24, 21.30, 21.90, 20.00, 20.70, 6230
12/05/24, 21.90, 22.00, 21.40, 22.00, 87515
12/04/24, 21.80, 21.80, 21.30, 21.60, 14023
12/03/24, 20.90, 22.00, 20.90, 21.80, 25230
12/02/24, 20.90, 21.00, 20.90, 21.00, 3791
11/29/24, 19.50, 21.20, 19.50, 21.00, 19984
11/28/24, 19.50, 20.40, 19.50, 19.50, 2026
11/27/24, 19.20, 20.50, 19.20, 20.00, 2297
11/26/24, 19.80, 20.00, 19.70, 20.00, 2494
11/25/24, 19.80, 19.80, 19.70, 19.80, 1003
11/22/24, 19.80, 20.50, 19.70, 19.80, 802
11/21/24, 20.00, 20.60, 19.70, 19.90, 2631
11/20/24, 19.50, 20.80, 19.50, 20.10, 8402
11/19/24, 19.30, 20.20, 19.00, 19.90, 26306
11/18/24, 18.40, 19.40, 18.40, 19.20, 1123
11/14/24, 19.30, 19.30, 19.20, 18.30, 37
11/13/24, 18.10, 19.30, 18.10, 18.30, 2440
11/12/24, 18.30, 18.30, 18.00, 18.10, 1328
11/11/24, 18.00, 19.30, 18.00, 18.20, 1881
11/08/24, 17.90, 17.90, 17.90, 17.90, 482
11/07/24, 18.10, 18.10, 17.80, 17.90, 1801
11/06/24, 18.20, 18.20, 18.00, 18.20, 1562
11/05/24, 18.70, 18.70, 18.70, 18.60, 2
11/04/24, 18.10, 18.70, 18.10, 18.60, 1330
11/01/24, 18.50, 18.50, 17.80, 17.80, 2080
10/30/24, 17.90, 18.00, 17.80, 17.80, 43377
10/29/24, 18.90, 18.90, 17.90, 18.00, 1230
10/28/24, 18.00, 18.50, 18.00, 18.50, 880
10/25/24, 18.90, 18.90, 17.80, 17.80, 985
10/24/24, 18.10, 18.90, 17.80, 18.70, 1910
10/23/24, 18.90, 18.90, 18.10, 18.20, 202
10/22/24, 18.80, 18.80, 18.40, 18.40, 2813
10/21/24, 18.40, 18.80, 18.40, 18.50, 22
10/18/24, 18.90, 18.90, 18.40, 18.50, 387
10/16/24, 18.40, 18.40, 18.20, 18.20, 100
10/15/24, 18.90, 19.00, 18.30, 18.40, 601
10/14/24, 18.50, 18.50, 18.50, 18.50, 1300
