Date, Open, High, Low, Close, Volume
04/24/25, 140.25, 141.00, 140.00, 140.75, 2879
04/23/25, 140.25, 140.25, 137.50, 137.50, 1909
04/22/25, 140.00, 140.25, 138.00, 138.25, 4522
04/21/25, 140.00, 140.50, 137.50, 140.25, 2710
04/17/25, 138.00, 140.50, 138.00, 139.75, 728
04/16/25, 137.25, 140.75, 137.25, 140.50, 930
04/11/25, 140.50, 140.75, 139.50, 140.25, 2248
04/10/25, 142.00, 142.00, 136.50, 141.00, 5971
04/09/25, 140.00, 140.00, 137.00, 137.00, 1452
04/08/25, 136.75, 139.00, 135.00, 136.00, 19557
04/07/25, 138.50, 139.00, 135.75, 137.50, 43484
04/04/25, 137.25, 140.00, 137.25, 138.75, 5117
04/03/25, 139.00, 141.00, 138.00, 138.00, 4238
04/02/25, 138.25, 141.25, 138.25, 138.50, 5605
04/01/25, 138.00, 139.25, 137.00, 139.25, 6074
03/28/25, 138.00, 139.75, 138.00, 139.25, 2134
03/27/25, 139.00, 139.00, 137.25, 138.00, 151
03/26/25, 140.00, 140.00, 138.00, 138.25, 159
03/25/25, 139.00, 140.00, 136.25, 136.25, 13961
03/24/25, 134.25, 139.00, 134.25, 137.25, 312
03/21/25, 137.00, 139.00, 134.25, 135.00, 455
03/20/25, 136.50, 139.00, 135.00, 135.50, 1006
03/19/25, 135.25, 136.50, 132.00, 136.50, 66627
03/18/25, 136.00, 139.50, 135.50, 136.00, 17920
03/17/25, 138.25, 139.00, 135.00, 137.00, 5469
03/14/25, 139.75, 140.00, 138.00, 138.75, 11059
03/12/25, 134.00, 140.00, 134.00, 137.00, 46230
03/11/25, 136.75, 136.75, 133.00, 133.25, 18226
03/10/25, 138.00, 138.00, 135.50, 137.00, 553
03/07/25, 138.00, 138.00, 137.25, 138.00, 234
03/06/25, 137.00, 139.00, 137.00, 137.00, 736
03/05/25, 132.00, 139.00, 131.50, 138.75, 5442
03/04/25, 139.75, 139.75, 133.00, 134.25, 24560
03/03/25, 141.50, 142.00, 139.50, 141.75, 1111
02/28/25, 139.00, 142.75, 135.50, 142.25, 24609
02/27/25, 134.00, 140.00, 134.00, 135.00, 40075
02/25/25, 135.75, 138.50, 134.00, 134.75, 9307
02/24/25, 137.00, 139.50, 134.25, 137.50, 22047
02/21/25, 136.25, 137.00, 136.25, 136.50, 8519
02/20/25, 137.75, 140.00, 135.00, 135.25, 28395
02/19/25, 140.00, 140.00, 138.00, 138.75, 3325
02/18/25, 143.00, 143.00, 138.25, 138.50, 4488
02/17/25, 142.00, 143.00, 138.00, 138.50, 36970
02/14/25, 142.00, 142.00, 140.00, 140.25, 5686
02/13/25, 140.00, 141.00, 138.00, 139.00, 9353
02/11/25, 144.00, 144.00, 139.50, 139.75, 11748
02/10/25, 141.50, 144.00, 140.50, 141.25, 3617
02/07/25, 144.75, 144.75, 140.75, 141.25, 3316
02/06/25, 138.00, 143.00, 137.00, 140.75, 24901
02/05/25, 148.00, 148.00, 135.00, 138.25, 154566
02/03/25, 152.00, 152.00, 148.00, 148.75, 9753
01/31/25, 153.00, 153.25, 152.50, 152.75, 4851
01/30/25, 155.25, 155.25, 153.00, 154.25, 31313
01/29/25, 152.25, 155.00, 152.25, 155.00, 80123
01/28/25, 151.25, 152.50, 151.25, 152.25, 3515
01/27/25, 152.75, 152.75, 151.25, 151.25, 14000
01/24/25, 152.00, 152.00, 151.50, 151.75, 2232
01/23/25, 151.75, 153.00, 151.50, 152.50, 1734
01/22/25, 153.75, 153.75, 151.50, 152.75, 5444
01/21/25, 153.00, 154.50, 153.00, 153.75, 8258
01/20/25, 149.25, 153.50, 149.25, 152.50, 41982
01/17/25, 150.00, 151.50, 149.00, 149.00, 19288
01/16/25, 147.00, 151.00, 147.00, 151.00, 54455
01/15/25, 146.50, 148.50, 143.25, 146.00, 22843
01/10/25, 142.25, 146.50, 142.25, 145.75, 26448
01/09/25, 143.00, 145.50, 142.50, 145.00, 25174
01/08/25, 145.00, 146.00, 143.00, 145.00, 13603
01/07/25, 143.50, 144.00, 139.00, 142.75, 58702
01/06/25, 142.00, 147.00, 140.00, 143.00, 85315
01/03/25, 143.75, 147.50, 140.00, 140.75, 124212
01/02/25, 144.00, 145.00, 143.50, 143.75, 15122
12/31/24, 139.00, 143.50, 139.00, 143.00, 79760
12/30/24, 140.00, 141.00, 138.50, 138.50, 20046
12/27/24, 140.50, 140.50, 138.50, 139.75, 23874
12/26/24, 140.00, 140.50, 138.50, 140.00, 29453
12/24/24, 135.50, 139.00, 134.25, 138.50, 103204
12/23/24, 137.00, 137.00, 135.50, 136.00, 19513
12/20/24, 137.00, 138.50, 136.00, 136.00, 28053
12/19/24, 134.50, 137.00, 134.50, 136.00, 16411
12/18/24, 136.00, 136.25, 133.00, 134.50, 20457
12/17/24, 134.00, 136.75, 134.00, 134.50, 16034
12/16/24, 137.00, 137.50, 134.00, 137.00, 41328
12/13/24, 133.00, 136.50, 131.75, 135.00, 64488
12/12/24, 131.00, 132.50, 131.00, 131.75, 3447
12/11/24, 134.75, 134.75, 131.50, 131.50, 4327
12/10/24, 134.75, 134.75, 132.00, 133.50, 14780
12/09/24, 133.00, 136.00, 130.00, 133.25, 109136
12/06/24, 129.00, 132.75, 128.25, 129.00, 86403
12/05/24, 128.00, 132.00, 128.00, 129.50, 104564
12/04/24, 128.25, 128.75, 128.00, 128.50, 12657
12/03/24, 127.75, 128.25, 126.00, 128.00, 39855
12/02/24, 126.00, 127.25, 126.00, 127.00, 17009
11/29/24, 127.00, 127.25, 125.50, 126.75, 10570
11/28/24, 126.75, 127.50, 125.00, 127.00, 23650
11/27/24, 126.00, 126.75, 125.00, 125.50, 4946
11/26/24, 126.75, 126.75, 125.50, 126.00, 28165
11/25/24, 126.75, 126.75, 125.00, 125.50, 2359
11/22/24, 124.00, 128.00, 124.00, 126.75, 5569
11/21/24, 124.00, 125.00, 124.00, 124.00, 3612
11/20/24, 124.00, 126.50, 124.00, 125.00, 3544
11/19/24, 124.00, 124.75, 122.50, 123.75, 8979
