Date, Open, High, Low, Close, Volume
04/24/25, 76.00, 76.00, 75.90, 75.90, 401
04/23/25, 72.50, 72.70, 68.00, 70.10, 1441
04/22/25, 69.90, 73.00, 69.90, 70.10, 856
04/21/25, 69.00, 69.90, 68.00, 69.10, 3321
04/16/25, 69.00, 69.00, 68.50, 68.50, 1934
04/11/25, 67.30, 68.90, 66.80, 68.90, 1023
04/10/25, 67.30, 67.40, 67.20, 67.30, 984
04/08/25, 66.00, 69.00, 66.00, 66.80, 136
04/04/25, 67.50, 67.60, 67.40, 67.60, 852
04/03/25, 68.10, 68.90, 67.40, 68.00, 630
04/01/25, 69.00, 69.00, 69.00, 69.00, 130
03/27/25, 69.70, 69.70, 69.70, 70.00, 50
03/26/25, 70.00, 70.00, 69.50, 70.00, 2561
03/25/25, 73.00, 73.00, 73.00, 73.00, 110
03/24/25, 67.00, 69.80, 67.00, 69.70, 48
03/21/25, 69.70, 69.70, 67.00, 69.70, 1043
03/20/25, 69.40, 69.50, 69.40, 69.40, 510
03/19/25, 69.30, 69.40, 66.20, 67.30, 282
03/18/25, 66.60, 69.70, 66.50, 69.30, 129
03/17/25, 66.40, 69.90, 66.00, 66.10, 746
03/14/25, 70.00, 73.80, 66.00, 67.30, 757
03/12/25, 70.00, 70.00, 68.40, 69.50, 123
03/11/25, 69.00, 70.00, 69.00, 74.50, 42
03/10/25, 74.50, 74.50, 74.50, 74.50, 240
03/05/25, 69.10, 73.90, 69.10, 69.90, 151
03/04/25, 74.00, 74.00, 69.00, 69.10, 1020
03/03/25, 74.00, 74.00, 70.00, 70.00, 5135
02/28/25, 74.00, 74.00, 74.00, 68.20, 10
02/27/25, 70.10, 70.10, 68.00, 68.20, 2869
02/25/25, 76.60, 76.60, 70.00, 70.90, 2260
02/24/25, 74.50, 77.00, 70.80, 70.90, 356
02/21/25, 76.00, 77.40, 74.50, 76.00, 581
02/20/25, 75.50, 77.00, 70.50, 77.00, 38245
02/19/25, 76.70, 78.90, 75.30, 76.60, 689
02/18/25, 78.80, 78.90, 76.70, 78.80, 1023
02/17/25, 76.70, 78.80, 76.70, 78.00, 4277
02/14/25, 79.30, 79.30, 76.60, 76.70, 878
02/13/25, 76.10, 79.40, 75.00, 77.10, 111
02/11/25, 77.50, 77.50, 76.00, 79.40, 14
02/07/25, 79.90, 79.90, 79.40, 79.40, 359
02/06/25, 78.00, 79.90, 78.00, 79.90, 278
02/05/25, 81.50, 81.50, 78.00, 78.70, 4129
02/03/25, 80.80, 81.90, 79.00, 81.80, 104
01/31/25, 80.20, 81.80, 80.20, 80.80, 173
01/30/25, 80.30, 82.00, 80.30, 80.40, 698
01/29/25, 82.90, 82.90, 82.90, 82.50, 10
01/28/25, 83.00, 83.00, 82.50, 82.50, 1313
01/27/25, 82.00, 83.00, 81.50, 82.80, 3478
01/24/25, 82.20, 83.90, 81.50, 82.00, 17458
01/23/25, 82.30, 83.90, 82.20, 82.60, 3436
01/22/25, 83.00, 84.00, 83.00, 83.90, 5769
01/21/25, 80.40, 83.80, 80.40, 83.60, 2935
01/20/25, 83.00, 84.00, 81.00, 82.70, 9354
01/17/25, 78.00, 81.80, 78.00, 80.40, 3601
01/16/25, 78.80, 78.80, 78.70, 78.80, 102
01/15/25, 81.00, 83.60, 79.00, 79.00, 2738
01/10/25, 79.50, 80.80, 78.10, 79.80, 2925
01/09/25, 83.00, 83.00, 80.00, 80.20, 2048
01/08/25, 80.00, 83.80, 80.00, 81.00, 6878
01/07/25, 79.00, 83.00, 79.00, 79.10, 3248
01/06/25, 77.10, 84.50, 77.10, 79.00, 7101
