Date, Open, High, Low, Close, Volume
04/24/25, 39.50, 39.50, 39.40, 39.00, 53
04/23/25, 39.00, 39.00, 38.90, 39.00, 10002
04/22/25, 39.50, 39.50, 39.00, 39.50, 2041
04/21/25, 39.50, 39.50, 38.70, 39.00, 9072
04/17/25, 39.50, 39.50, 39.50, 39.20, 2
04/16/25, 38.70, 39.70, 38.50, 39.20, 2600
04/11/25, 39.70, 39.70, 38.60, 39.40, 2205
04/10/25, 39.20, 39.50, 38.50, 39.00, 16554
04/09/25, 40.00, 40.00, 39.90, 39.90, 5400
04/08/25, 40.00, 40.00, 40.00, 40.00, 3600
04/07/25, 39.50, 39.60, 39.20, 39.30, 2940
04/04/25, 42.00, 42.00, 39.20, 39.30, 30215
04/03/25, 40.20, 43.90, 35.00, 42.30, 11319680
04/02/25, 41.70, 41.70, 41.00, 41.50, 127
04/01/25, 40.00, 41.70, 40.00, 41.40, 1028
03/28/25, 41.90, 41.90, 40.00, 40.10, 5657
03/27/25, 41.60, 41.60, 41.10, 41.10, 250
03/26/25, 41.90, 41.90, 41.60, 41.60, 227
03/25/25, 42.00, 42.00, 41.90, 42.00, 877
03/24/25, 42.30, 42.30, 42.30, 42.30, 810
03/21/25, 41.50, 42.40, 41.50, 42.30, 925
03/20/25, 42.40, 42.40, 42.40, 42.90, 1
03/18/25, 42.80, 43.00, 41.00, 42.90, 1179
03/17/25, 41.80, 43.10, 40.50, 40.60, 5340
03/14/25, 43.00, 43.10, 41.90, 41.90, 1793
03/12/25, 43.10, 43.30, 41.90, 41.90, 1000
03/11/25, 41.70, 43.10, 41.70, 43.00, 367
03/06/25, 43.20, 43.20, 41.50, 41.60, 7123
03/05/25, 42.50, 43.50, 42.10, 43.20, 6273
03/04/25, 43.70, 43.70, 42.00, 42.10, 2808
03/03/25, 43.70, 43.70, 42.20, 43.60, 414
02/28/25, 43.60, 43.60, 43.60, 42.20, 4
02/27/25, 43.70, 43.80, 42.20, 42.20, 61
02/25/25, 43.00, 43.70, 42.10, 42.20, 3048
02/24/25, 42.90, 43.80, 42.50, 43.60, 500
02/21/25, 43.00, 43.00, 42.90, 42.90, 415
02/18/25, 43.50, 44.70, 42.90, 44.30, 1533
02/17/25, 44.50, 44.50, 44.50, 44.50, 1200
02/14/25, 44.50, 44.80, 44.50, 44.70, 772
02/13/25, 44.30, 44.30, 44.30, 44.30, 452
02/11/25, 44.40, 44.40, 42.10, 42.30, 5579
02/10/25, 44.10, 45.00, 44.00, 44.10, 5455
02/07/25, 44.90, 45.00, 44.10, 44.10, 1230
02/06/25, 44.50, 45.00, 44.10, 45.00, 7673
02/05/25, 46.10, 46.50, 44.40, 44.50, 12883
02/03/25, 45.00, 49.00, 45.00, 45.20, 27249
01/31/25, 44.70, 45.00, 44.40, 44.50, 2970
01/30/25, 45.00, 45.00, 44.60, 44.60, 4380
01/29/25, 44.30, 44.40, 44.30, 44.30, 3233
01/28/25, 44.00, 44.00, 44.00, 44.00, 973
01/27/25, 44.50, 44.50, 43.50, 44.00, 4150
01/24/25, 44.50, 44.50, 44.20, 44.40, 140
01/23/25, 44.10, 44.50, 44.10, 44.30, 1030
01/22/25, 45.10, 45.10, 44.00, 44.10, 2550
01/21/25, 45.50, 45.60, 44.20, 44.20, 8804
01/20/25, 45.10, 45.60, 45.00, 45.20, 21365
01/17/25, 43.30, 45.10, 43.00, 45.00, 5688
01/16/25, 44.00, 45.00, 43.00, 43.10, 4805
01/15/25, 44.10, 45.00, 44.00, 44.00, 406
01/10/25, 45.50, 45.50, 45.50, 44.50, 2
01/09/25, 44.50, 45.00, 44.50, 44.50, 5999
01/08/25, 44.90, 46.90, 44.10, 44.90, 11131
01/07/25, 44.10, 44.10, 43.10, 44.10, 3242
01/06/25, 44.20, 44.40, 44.20, 44.20, 2470
01/03/25, 46.90, 47.00, 44.20, 44.40, 7074
01/02/25, 44.00, 46.90, 43.00, 45.00, 17518
12/31/24, 44.00, 45.10, 43.10, 44.00, 2707
12/30/24, 45.10, 45.10, 43.50, 44.00, 7858
12/27/24, 45.60, 48.50, 45.00, 45.00, 17364
12/26/24, 44.10, 48.00, 44.00, 45.40, 36516
12/24/24, 43.90, 43.90, 43.00, 43.30, 3621
12/23/24, 44.20, 44.20, 43.10, 43.60, 2837
12/20/24, 43.50, 45.00, 43.40, 44.00, 3470
12/19/24, 45.90, 46.00, 42.00, 43.10, 2658
12/18/24, 45.00, 45.00, 43.20, 43.20, 1217
12/17/24, 45.00, 45.00, 43.50, 45.00, 106
12/16/24, 45.00, 45.00, 43.40, 43.70, 3292
12/13/24, 43.40, 44.00, 43.00, 43.00, 6649
12/12/24, 45.00, 45.10, 43.20, 43.20, 1949
12/11/24, 44.80, 45.30, 43.20, 43.30, 3056
12/10/24, 42.10, 46.00, 42.10, 45.90, 150119
12/09/24, 40.20, 42.90, 40.20, 42.30, 3271
12/06/24, 41.40, 43.30, 41.40, 42.00, 240
12/05/24, 43.30, 43.40, 43.00, 43.30, 3650
12/04/24, 41.80, 43.40, 41.80, 42.60, 9037
12/03/24, 40.20, 41.50, 40.20, 40.20, 3491
12/02/24, 41.80, 41.80, 41.80, 40.00, 7
11/29/24, 40.00, 41.80, 39.70, 40.00, 325
11/28/24, 40.20, 40.90, 40.20, 40.20, 672
11/27/24, 40.40, 40.90, 40.20, 40.30, 244
11/26/24, 40.80, 42.30, 40.20, 41.20, 2345
11/25/24, 41.00, 41.00, 39.40, 39.90, 3898
11/22/24, 41.00, 41.00, 40.10, 41.00, 1037
11/21/24, 41.00, 41.00, 40.30, 40.50, 1350
11/20/24, 41.40, 41.40, 41.00, 41.00, 1184
11/19/24, 40.00, 41.30, 40.00, 40.60, 711
11/18/24, 40.10, 41.40, 40.10, 41.40, 2645
11/14/24, 40.50, 40.50, 40.50, 41.00, 1
11/13/24, 41.50, 41.50, 41.00, 41.00, 670
11/12/24, 41.20, 41.50, 41.20, 41.20, 386
11/11/24, 41.30, 41.40, 40.50, 41.20, 194
11/08/24, 40.00, 40.00, 39.00, 39.50, 18327
11/07/24, 40.00, 40.00, 39.70, 40.00, 1385
11/06/24, 41.50, 42.30, 40.00, 40.00, 15770
11/05/24, 41.10, 42.00, 41.10, 41.20, 152
11/04/24, 42.40, 42.40, 42.40, 41.00, 1
11/01/24, 41.00, 41.00, 41.00, 41.00, 2050
10/30/24, 42.40, 42.40, 41.00, 41.30, 263
10/29/24, 41.80, 41.80, 40.70, 40.70, 3143
10/28/24, 41.90, 41.90, 41.30, 41.30, 154
10/25/24, 41.20, 42.40, 40.50, 40.70, 5985
10/24/24, 41.90, 42.50, 41.10, 43.10, 80
