Date, Open, High, Low, Close, Volume
04/24/25, 46.10, 46.80, 45.90, 46.00, 288162
04/23/25, 46.00, 46.10, 45.90, 46.00, 232641
04/22/25, 47.00, 47.00, 46.00, 46.00, 13514
04/21/25, 47.60, 47.60, 46.10, 46.20, 500607
04/17/25, 46.70, 47.60, 46.20, 47.20, 1546
04/16/25, 47.80, 47.80, 46.10, 46.70, 6884
04/11/25, 47.30, 48.00, 47.00, 47.00, 171512
04/10/25, 47.90, 48.50, 46.00, 47.50, 3201361
04/09/25, 45.10, 46.00, 43.60, 43.70, 96732
04/08/25, 44.00, 47.00, 44.00, 45.20, 63701
04/07/25, 46.00, 46.00, 43.00, 44.60, 1988104
04/04/25, 46.00, 47.70, 45.00, 46.20, 1616829
04/03/25, 47.50, 48.50, 45.00, 46.40, 3839019
04/02/25, 50.90, 51.00, 50.80, 50.80, 690240
04/01/25, 51.10, 51.10, 50.00, 50.50, 287064
03/28/25, 52.00, 52.00, 51.00, 51.00, 1123951
03/27/25, 51.00, 51.50, 51.00, 51.10, 1600139
03/26/25, 50.80, 52.00, 50.80, 51.00, 260416
03/25/25, 51.00, 51.40, 50.60, 51.00, 34874
03/24/25, 50.30, 51.50, 50.30, 51.00, 63012
03/21/25, 49.60, 50.30, 49.50, 50.30, 181965
03/20/25, 49.00, 50.40, 49.00, 49.50, 2111085
03/19/25, 50.00, 50.30, 49.20, 49.30, 39821
03/18/25, 50.90, 50.90, 50.00, 50.10, 10737
03/17/25, 52.00, 52.00, 50.80, 51.00, 342330
03/14/25, 51.50, 51.50, 51.00, 51.50, 20211
03/12/25, 50.00, 52.00, 50.00, 51.30, 116855
03/11/25, 52.50, 52.50, 50.00, 50.20, 195203
03/10/25, 52.50, 53.10, 52.50, 53.00, 114574
03/07/25, 52.90, 53.00, 52.30, 52.50, 26286
03/06/25, 53.50, 53.50, 52.50, 52.90, 1033900
03/05/25, 52.00, 53.50, 52.00, 53.00, 411145
03/04/25, 52.50, 53.40, 51.90, 52.00, 644258
03/03/25, 53.80, 53.80, 52.40, 52.50, 647738
02/28/25, 53.50, 54.00, 52.30, 52.80, 244434
02/27/25, 53.10, 54.00, 53.00, 53.50, 437631
02/25/25, 54.30, 54.30, 52.80, 53.20, 102674
02/24/25, 57.00, 57.00, 45.00, 55.00, 81176
02/21/25, 57.40, 57.40, 55.40, 56.10, 100924
02/20/25, 57.20, 57.50, 55.40, 57.00, 91452
02/19/25, 58.50, 58.50, 56.60, 57.20, 25142
02/18/25, 58.00, 59.00, 57.70, 58.00, 1419107
02/17/25, 56.30, 59.00, 56.00, 58.00, 2607240
02/14/25, 55.00, 56.50, 55.00, 56.00, 350436
02/13/25, 55.00, 55.10, 54.30, 55.00, 123015
02/11/25, 54.30, 55.20, 54.00, 55.00, 733122
02/10/25, 54.90, 55.20, 54.60, 54.70, 309649
02/07/25, 55.00, 55.40, 54.80, 54.90, 154156
02/06/25, 54.50, 55.20, 53.60, 54.80, 4444758
02/05/25, 56.00, 56.10, 54.50, 54.80, 4554895
02/03/25, 54.40, 56.80, 54.30, 56.00, 1242788
01/31/25, 52.60, 54.50, 52.60, 54.30, 3694772
01/30/25, 52.90, 52.90, 52.00, 52.30, 186529
01/29/25, 52.40, 52.90, 52.30, 52.40, 540790
01/28/25, 52.80, 53.40, 52.10, 52.50, 94702
01/27/25, 52.60, 53.50, 52.40, 52.60, 887375
01/24/25, 52.80, 53.50, 52.10, 52.60, 1149926
01/23/25, 53.50, 54.50, 52.80, 53.00, 1739938
01/22/25, 53.90, 54.10, 53.30, 53.50, 1416658
01/21/25, 52.60, 54.20, 52.50, 53.70, 1434427
01/20/25, 51.00, 53.50, 51.00, 52.60, 6733606
01/17/25, 49.90, 50.00, 49.00, 49.50, 128681
01/16/25, 49.50, 50.10, 49.50, 50.00, 260232
01/15/25, 49.90, 49.90, 49.00, 49.20, 3482715
01/10/25, 49.60, 50.00, 49.00, 49.80, 97815
01/09/25, 51.00, 51.00, 49.90, 50.00, 395475
01/08/25, 49.00, 51.00, 48.00, 50.20, 746112
01/07/25, 49.00, 50.00, 48.00, 49.20, 589760
01/06/25, 49.80, 51.20, 48.10, 49.60, 2723873
01/03/25, 52.20, 53.30, 50.00, 50.90, 1039268
01/02/25, 52.20, 52.20, 51.50, 52.00, 252842
12/31/24, 52.60, 53.00, 52.00, 52.40, 895658
12/30/24, 52.70, 54.00, 52.50, 53.00, 3320272
12/27/24, 51.00, 53.00, 49.90, 52.20, 2049473
12/26/24, 47.20, 51.00, 47.20, 50.20, 3384466
12/24/24, 45.90, 47.90, 45.40, 47.10, 2111573
12/23/24, 46.00, 46.00, 45.00, 46.00, 761804
12/20/24, 45.90, 46.00, 45.50, 45.90, 984374
12/19/24, 45.80, 45.90, 45.20, 45.90, 557592
12/18/24, 45.00, 46.20, 44.90, 45.90, 303365
12/17/24, 44.90, 45.40, 44.60, 45.00, 1502789
12/16/24, 45.20, 46.00, 45.00, 45.90, 165234
12/13/24, 45.40, 45.60, 45.00, 45.00, 583885
12/12/24, 45.00, 45.40, 44.20, 45.30, 545372
12/11/24, 44.00, 45.20, 44.00, 44.80, 958894
12/10/24, 44.20, 44.50, 44.00, 44.00, 195526
12/09/24, 44.50, 44.60, 44.00, 44.50, 232431
12/06/24, 44.50, 44.50, 43.60, 44.40, 51875
12/05/24, 44.30, 45.00, 44.30, 44.50, 246833
12/04/24, 43.50, 44.40, 43.50, 44.40, 272376
12/03/24, 43.00, 44.10, 43.00, 44.00, 144024
12/02/24, 42.20, 44.00, 42.20, 43.80, 14863
