Date, Open, High, Low, Close, Volume
04/24/25, 105.00, 125.00, 105.00, 122.00, 57216
04/21/25, 109.50, 110.00, 109.50, 110.00, 340
04/11/25, 109.50, 109.50, 109.50, 110.00, 8
04/07/25, 110.00, 110.00, 109.00, 110.00, 90
04/04/25, 110.00, 110.00, 110.00, 110.00, 15
04/02/25, 119.00, 119.00, 119.00, 110.00, 5
03/26/25, 113.50, 113.50, 100.00, 110.00, 1113
03/25/25, 115.50, 115.50, 115.50, 115.50, 6
03/21/25, 110.25, 110.25, 110.25, 115.50, 1
03/20/25, 110.25, 110.25, 110.00, 115.50, 50
03/14/25, 117.25, 117.25, 117.25, 115.50, 1
03/12/25, 116.00, 116.00, 111.25, 115.50, 110
03/11/25, 115.25, 115.25, 111.00, 116.25, 96
03/10/25, 115.50, 115.50, 115.50, 116.25, 9
03/07/25, 111.00, 111.00, 111.00, 116.25, 5
03/06/25, 111.00, 119.00, 110.00, 116.25, 410
03/04/25, 114.00, 114.00, 114.00, 121.50, 50
03/03/25, 119.75, 121.00, 119.75, 121.50, 17
02/28/25, 119.75, 119.75, 119.75, 121.50, 25
02/25/25, 108.00, 124.00, 102.00, 121.50, 734
02/24/25, 120.25, 120.25, 110.00, 120.00, 666
02/21/25, 120.25, 120.25, 120.25, 120.25, 420
02/20/25, 120.00, 122.00, 120.00, 120.50, 889
02/17/25, 130.00, 130.00, 129.75, 130.00, 101
02/13/25, 123.25, 123.25, 123.00, 123.00, 159
02/11/25, 123.00, 127.50, 123.00, 123.25, 145
02/07/25, 127.75, 127.75, 127.75, 133.00, 3
02/06/25, 128.00, 128.00, 128.00, 133.00, 22
02/05/25, 133.00, 133.00, 128.00, 133.00, 22
02/03/25, 128.00, 128.25, 128.00, 133.00, 17
01/31/25, 132.75, 134.25, 132.75, 133.00, 177
01/30/25, 130.25, 132.75, 128.00, 130.25, 829
01/29/25, 130.25, 130.25, 120.50, 120.00, 12
01/28/25, 123.00, 123.00, 120.00, 120.00, 185
01/27/25, 122.75, 132.00, 122.75, 122.75, 128
01/24/25, 132.75, 132.75, 132.75, 129.75, 3
01/23/25, 129.00, 139.75, 121.25, 129.75, 179
01/22/25, 125.00, 125.00, 125.00, 125.00, 34
01/21/25, 125.00, 127.00, 125.00, 125.00, 695
01/20/25, 123.00, 125.00, 123.00, 123.75, 100
01/17/25, 120.00, 123.00, 117.00, 121.25, 298
01/15/25, 123.00, 124.00, 123.00, 123.75, 200
01/10/25, 115.25, 115.25, 115.25, 115.25, 400
01/09/25, 121.00, 122.00, 121.00, 123.50, 23
01/08/25, 117.00, 122.00, 117.00, 123.50, 6
01/07/25, 111.00, 125.00, 111.00, 123.50, 29
01/06/25, 124.50, 124.50, 120.00, 123.50, 802
01/03/25, 124.75, 124.75, 124.50, 125.50, 37
01/02/25, 124.75, 125.50, 124.50, 125.50, 860
12/30/24, 125.00, 131.25, 125.00, 131.50, 53
12/27/24, 132.00, 132.25, 124.75, 131.50, 227
12/26/24, 129.00, 132.50, 124.25, 129.00, 1694
12/24/24, 125.25, 125.25, 125.00, 125.00, 684
12/23/24, 132.50, 132.50, 123.25, 131.75, 144
12/20/24, 130.50, 132.50, 121.25, 130.75, 1311
12/19/24, 110.00, 132.50, 110.00, 132.50, 3782
12/18/24, 105.00, 109.50, 100.00, 106.00, 220
12/17/24, 105.00, 105.00, 99.60, 99.80, 121
12/16/24, 100.00, 105.00, 100.00, 99.80, 16
12/13/24, 101.00, 101.00, 99.50, 99.80, 401
12/12/24, 110.25, 110.25, 100.00, 100.25, 206
12/10/24, 104.00, 111.00, 97.10, 110.25, 447
12/09/24, 105.00, 105.00, 104.00, 104.00, 6
12/06/24, 111.50, 111.50, 111.50, 104.00, 1
12/05/24, 104.00, 104.00, 104.00, 104.00, 594
12/04/24, 101.00, 114.00, 101.00, 113.00, 205
12/03/24, 110.00, 115.00, 110.00, 114.75, 146020
11/27/24, 112.00, 113.50, 112.00, 113.75, 6
11/26/24, 104.00, 115.00, 104.00, 113.75, 748
11/25/24, 104.00, 105.00, 104.00, 105.25, 62
11/19/24, 104.00, 110.00, 104.00, 105.25, 13
11/11/24, 104.00, 104.00, 104.00, 105.25, 50
11/07/24, 93.60, 93.70, 93.60, 105.25, 60
10/30/24, 105.00, 105.00, 105.00, 105.25, 10
10/24/24, 104.00, 110.00, 104.00, 105.25, 33
10/23/24, 95.00, 95.00, 95.00, 105.25, 4
10/16/24, 107.00, 107.75, 107.00, 105.25, 24
10/10/24, 93.30, 93.30, 93.30, 105.25, 10
10/08/24, 100.00, 109.00, 100.00, 105.25, 574
10/02/24, 104.00, 105.00, 104.00, 104.00, 184
09/30/24, 93.20, 93.20, 93.20, 109.00, 24
09/27/24, 108.00, 108.00, 108.00, 109.00, 10
09/26/24, 97.90, 110.00, 97.90, 109.00, 549
09/24/24, 92.50, 97.90, 92.50, 99.90, 79
09/13/24, 93.30, 93.30, 93.30, 99.90, 1
09/12/24, 93.50, 100.00, 93.40, 99.90, 230
09/06/24, 101.00, 101.00, 101.00, 98.10, 3
08/29/24, 92.50, 97.00, 92.50, 98.10, 12
08/27/24, 98.10, 98.10, 98.10, 98.10, 1
08/16/24, 92.10, 100.00, 92.10, 98.10, 208
08/13/24, 93.00, 93.00, 93.00, 100.00, 2
08/09/24, 105.00, 105.00, 105.00, 100.00, 5
08/08/24, 99.60, 101.00, 90.20, 100.00, 4303
08/01/24, 98.90, 99.50, 98.90, 99.00, 215
07/31/24, 93.10, 98.90, 92.50, 94.80, 153
07/25/24, 92.50, 95.00, 92.50, 101.25, 18
07/24/24, 92.50, 103.00, 92.50, 101.25, 14
07/23/24, 107.75, 107.75, 100.00, 101.25, 9
07/22/24, 91.00, 114.00, 90.00, 101.25, 295
07/19/24, 92.00, 99.50, 92.00, 101.50, 7
07/18/24, 90.10, 90.10, 90.10, 101.50, 10
07/08/24, 102.00, 102.00, 102.00, 101.50, 2
07/03/24, 100.00, 105.00, 100.00, 101.50, 101
06/28/24, 99.80, 100.00, 91.50, 100.00, 29951
06/25/24, 99.50, 99.50, 99.40, 95.30, 43
06/24/24, 95.30, 95.30, 95.30, 95.30, 450
06/19/24, 95.00, 102.00, 95.00, 95.30, 104
06/14/24, 99.50, 105.00, 95.00, 100.00, 24104
06/13/24, 99.50, 99.50, 99.00, 95.10, 47
06/10/24, 99.50, 99.50, 99.00, 95.10, 15
06/07/24, 95.10, 95.10, 95.10, 95.10, 9
06/04/24, 96.00, 96.00, 96.00, 95.10, 64
06/03/24, 98.00, 98.00, 98.00, 95.10, 2
05/28/24, 95.10, 95.10, 95.10, 95.10, 10
05/21/24, 105.00, 105.00, 95.00, 95.10, 163
05/20/24, 95.10, 95.10, 95.10, 95.10, 5870
05/16/24, 106.50, 106.50, 106.50, 95.10, 10
05/15/24, 95.10, 100.00, 95.10, 95.10, 10
05/13/24, 97.00, 97.00, 95.00, 95.10, 1470
05/09/24, 97.00, 97.00, 97.00, 96.80, 1
05/08/24, 100.00, 100.00, 100.00, 96.80, 10
05/07/24, 110.00, 110.00, 110.00, 96.80, 18
05/03/24, 97.30, 97.30, 97.30, 96.80, 42
05/02/24, 97.00, 97.00, 97.00, 96.80, 1
04/30/24, 97.00, 103.00, 96.50, 96.80, 309
04/26/24, 95.00, 103.50, 95.00, 107.00, 31
04/18/24, 92.80, 105.50, 92.80, 107.00, 3
04/17/24, 104.00, 108.00, 104.00, 107.00, 170
04/16/24, 96.90, 105.00, 96.90, 99.20, 267
04/15/24, 97.50, 97.50, 97.50, 90.30, 5
04/05/24, 99.00, 99.00, 89.50, 90.30, 221
04/04/24, 94.90, 94.90, 89.00, 89.40, 271
04/03/24, 90.00, 95.00, 90.00, 90.20, 56
04/02/24, 97.40, 97.40, 95.00, 90.20, 13
04/01/24, 96.20, 96.20, 96.20, 90.20, 1
03/27/24, 90.50, 97.00, 90.50, 90.20, 26
03/26/24, 89.10, 90.50, 85.00, 90.20, 60
03/22/24, 91.10, 91.10, 91.10, 90.20, 5
03/20/24, 90.90, 90.90, 90.90, 90.20, 3
03/18/24, 94.50, 99.00, 94.50, 90.20, 37
03/15/24, 90.20, 90.20, 90.20, 90.20, 100
03/13/24, 91.50, 94.50, 91.50, 91.50, 88
03/05/24, 97.50, 97.50, 90.20, 91.50, 26
03/01/24, 90.00, 90.00, 89.00, 91.50, 92
02/29/24, 90.10, 90.10, 90.00, 91.50, 12
02/28/24, 92.00, 92.00, 92.00, 91.50, 1
02/27/24, 90.20, 90.20, 90.20, 91.50, 1
02/22/24, 92.00, 92.00, 91.50, 91.50, 106
02/21/24, 91.10, 91.10, 91.10, 91.10, 1
02/20/24, 91.10, 91.10, 91.10, 91.10, 100
02/19/24, 93.00, 93.00, 93.00, 92.00, 24
02/13/24, 98.00, 98.00, 98.00, 92.00, 4
02/12/24, 91.00, 91.00, 91.00, 92.00, 11
02/08/24, 97.00, 97.00, 97.00, 92.00, 85
02/07/24, 92.10, 92.10, 92.00, 92.00, 101
02/06/24, 98.90, 98.90, 98.90, 99.00, 1
01/30/24, 99.00, 99.40, 99.00, 99.00, 111
01/29/24, 95.00, 95.00, 93.00, 93.10, 92
01/18/24, 96.90, 96.90, 96.90, 93.10, 3
01/17/24, 96.90, 96.90, 96.70, 93.10, 11
01/16/24, 91.30, 91.30, 91.10, 93.10, 86
01/12/24, 93.00, 98.70, 90.70, 93.10, 33
01/11/24, 93.20, 94.00, 93.10, 93.10, 118
01/10/24, 92.20, 93.70, 92.20, 95.70, 20
01/05/24, 99.70, 99.70, 99.70, 95.70, 13
01/02/24, 94.10, 99.50, 94.10, 95.70, 183
12/22/23, 107.00, 107.00, 107.00, 105.50, 1
12/21/23, 91.60, 99.90, 91.60, 105.50, 2
12/20/23, 105.50, 105.50, 105.50, 105.50, 100
12/08/23, 94.30, 100.00, 94.30, 100.00, 36964
12/06/23, 97.00, 97.60, 94.50, 96.10, 106
12/05/23, 96.00, 96.00, 96.00, 100.75, 5
12/04/23, 94.30, 99.00, 94.30, 100.75, 16
12/01/23, 100.00, 100.00, 100.00, 100.75, 6
11/29/23, 101.50, 101.50, 100.50, 100.75, 724
11/28/23, 113.50, 113.50, 113.50, 112.75, 4
11/27/23, 91.00, 114.00, 91.00, 112.75, 7832
11/24/23, 92.00, 92.00, 90.70, 91.40, 14
11/23/23, 92.60, 96.90, 90.00, 91.40, 332
11/14/23, 100.00, 100.00, 99.00, 113.00, 5
11/10/23, 113.00, 113.00, 113.00, 113.00, 4330
11/09/23, 113.00, 113.00, 113.00, 99.90, 3
11/08/23, 100.00, 100.00, 100.00, 99.90, 80
11/07/23, 100.00, 100.00, 100.00, 99.90, 86
11/06/23, 98.40, 100.00, 98.30, 99.90, 1088
11/03/23, 98.40, 98.40, 98.40, 95.00, 1
11/01/23, 98.90, 98.90, 98.90, 95.00, 1
10/31/23, 106.75, 106.75, 95.00, 95.00, 276
10/26/23, 107.50, 107.50, 107.50, 92.40, 1
10/25/23, 108.00, 108.25, 83.00, 92.40, 429
10/24/23, 79.00, 108.25, 79.00, 105.00, 18
10/23/23, 105.00, 105.00, 104.75, 105.00, 7
10/20/23, 105.00, 105.00, 105.00, 105.00, 202
10/18/23, 105.00, 105.00, 105.00, 105.00, 423
10/16/23, 95.00, 95.00, 95.00, 105.00, 1
10/02/23, 105.00, 105.00, 105.00, 105.00, 570
09/27/23, 129.75, 129.75, 129.75, 105.00, 1
09/25/23, 105.00, 105.00, 105.00, 105.00, 6
09/15/23, 108.25, 108.25, 106.00, 105.00, 8
09/13/23, 108.25, 108.25, 108.25, 105.00, 1
09/12/23, 105.00, 105.00, 105.00, 105.00, 62
09/11/23, 108.25, 108.25, 105.00, 105.00, 2204
09/08/23, 105.00, 105.00, 105.00, 105.00, 319
09/07/23, 114.75, 114.75, 102.00, 104.00, 197
09/06/23, 106.00, 115.00, 106.00, 104.25, 35
09/05/23, 108.00, 108.00, 108.00, 104.25, 10
09/04/23, 108.00, 112.75, 104.00, 104.25, 1007
09/01/23, 107.25, 107.25, 107.00, 113.00, 7
08/31/23, 113.00, 113.00, 112.50, 113.00, 102
08/29/23, 113.50, 113.50, 113.50, 106.00, 13
08/22/23, 106.00, 106.00, 106.00, 106.00, 432
08/21/23, 102.00, 131.00, 102.00, 102.75, 206
08/18/23, 134.50, 134.50, 134.50, 135.50, 1
08/17/23, 125.00, 140.00, 111.25, 135.50, 331
08/16/23, 115.00, 115.00, 115.00, 115.00, 200
08/14/23, 110.00, 115.00, 110.00, 115.00, 35
08/11/23, 101.00, 115.00, 101.00, 115.00, 15
08/10/23, 115.00, 115.00, 115.00, 115.00, 270
08/08/23, 124.50, 124.50, 123.25, 112.75, 61
08/07/23, 114.50, 128.75, 111.25, 112.75, 59
08/04/23, 129.00, 129.00, 125.25, 112.75, 6
08/03/23, 115.25, 115.25, 112.00, 112.75, 178
08/02/23, 130.25, 130.25, 114.50, 117.00, 55
07/31/23, 131.75, 132.00, 131.00, 117.00, 5
07/28/23, 110.00, 142.75, 110.00, 117.00, 315
07/25/23, 115.00, 115.00, 115.00, 114.25, 25
07/24/23, 115.00, 115.00, 115.00, 114.25, 5
07/21/23, 115.00, 115.00, 115.00, 114.25, 71
07/20/23, 115.00, 115.00, 115.00, 114.25, 6
07/19/23, 115.00, 115.00, 100.25, 114.25, 102
07/18/23, 114.75, 115.00, 111.00, 111.00, 55
07/17/23, 109.00, 114.75, 109.00, 111.00, 106
07/14/23, 115.00, 115.00, 110.00, 121.50, 35
07/12/23, 125.00, 125.00, 125.00, 121.50, 1
07/10/23, 116.00, 130.00, 116.00, 121.50, 106
06/27/23, 117.00, 117.00, 117.00, 115.75, 5
06/23/23, 119.00, 119.00, 119.00, 115.75, 3
06/22/23, 115.50, 119.00, 115.00, 115.75, 102
06/21/23, 115.00, 115.25, 115.00, 109.00, 8
06/20/23, 100.00, 100.00, 98.00, 109.00, 72
06/16/23, 109.25, 109.25, 109.25, 109.00, 8
06/15/23, 109.00, 109.75, 109.00, 109.00, 76
06/14/23, 109.00, 109.00, 109.00, 109.00, 100
06/13/23, 108.75, 108.75, 108.75, 107.25, 24
06/09/23, 109.75, 109.75, 109.75, 107.25, 2
06/08/23, 115.00, 115.00, 115.00, 107.25, 4
06/07/23, 108.00, 108.00, 108.00, 107.25, 25
06/05/23, 108.00, 108.00, 108.00, 107.25, 16
06/02/23, 108.00, 110.00, 100.00, 107.25, 100
06/01/23, 110.00, 110.00, 99.00, 98.10, 17
05/31/23, 87.00, 111.75, 87.00, 98.10, 4393
05/30/23, 98.50, 98.50, 98.50, 98.20, 4
05/26/23, 90.00, 90.00, 90.00, 98.20, 10
05/24/23, 87.10, 87.10, 76.70, 98.20, 99
05/23/23, 87.10, 103.00, 87.10, 98.20, 3
05/19/23, 99.90, 105.00, 99.90, 98.20, 54
05/18/23, 95.00, 95.00, 95.00, 98.20, 1
05/12/23, 86.00, 86.00, 86.00, 98.20, 3
05/09/23, 90.00, 90.00, 90.00, 98.20, 70
05/08/23, 95.00, 95.00, 95.00, 98.20, 1
05/04/23, 95.00, 95.00, 95.00, 98.20, 2
04/27/23, 97.50, 97.50, 97.50, 98.20, 37
04/19/23, 95.00, 97.90, 95.00, 98.20, 63
03/24/23, 108.00, 108.00, 108.00, 98.20, 9
03/22/23, 95.10, 110.00, 95.10, 98.20, 125
03/21/23, 91.50, 101.50, 91.50, 93.00, 155
03/20/23, 109.00, 109.00, 109.00, 105.50, 16
03/15/23, 109.50, 109.50, 109.50, 105.50, 2
03/13/23, 109.00, 109.00, 109.00, 105.50, 13
03/09/23, 105.50, 109.00, 105.50, 105.50, 6
03/08/23, 109.00, 109.00, 98.00, 105.50, 36
03/07/23, 104.75, 109.00, 104.75, 105.50, 1258
