Date, Open, High, Low, Close, Volume
04/24/25, 11.20, 11.20, 11.20, 11.20, 100
04/23/25, 11.70, 11.70, 11.20, 11.20, 4247
04/22/25, 11.30, 11.70, 11.10, 11.60, 9144
04/21/25, 11.20, 11.50, 11.20, 11.30, 85
04/17/25, 11.60, 11.80, 11.10, 11.30, 24022
04/16/25, 11.90, 11.90, 11.60, 11.90, 5090
04/11/25, 11.50, 11.90, 11.30, 11.50, 1585
04/10/25, 11.90, 11.90, 11.80, 11.80, 4555
04/09/25, 10.80, 12.00, 10.80, 11.90, 21573
04/08/25, 11.30, 11.80, 10.80, 10.90, 9916
04/07/25, 11.00, 11.50, 10.70, 10.70, 67325
04/04/25, 11.70, 11.70, 11.30, 11.40, 25405
04/03/25, 12.40, 12.40, 11.70, 11.70, 16379
04/02/25, 11.20, 13.00, 11.20, 12.90, 14560
04/01/25, 11.50, 11.50, 11.20, 11.50, 491
03/28/25, 11.50, 11.50, 11.00, 11.50, 784
03/27/25, 11.10, 11.50, 11.00, 11.50, 15367
03/26/25, 11.10, 11.50, 11.10, 11.20, 320
03/25/25, 11.20, 11.20, 11.10, 11.20, 957
03/24/25, 11.00, 11.50, 11.00, 11.40, 60396
03/21/25, 10.90, 10.90, 10.50, 10.90, 295
03/20/25, 10.50, 10.90, 10.50, 10.50, 1918
03/19/25, 10.60, 10.60, 10.00, 10.50, 11005
03/18/25, 11.00, 11.00, 10.20, 10.90, 2882
03/17/25, 10.10, 11.00, 10.10, 11.00, 710
03/14/25, 11.00, 11.00, 10.00, 10.00, 46216
03/12/25, 10.70, 10.80, 10.40, 10.40, 50134
03/11/25, 10.80, 10.80, 10.60, 10.80, 5295
03/10/25, 11.10, 11.10, 10.70, 10.80, 2072
03/07/25, 10.80, 10.80, 10.70, 10.70, 771
03/06/25, 11.00, 11.00, 10.60, 10.70, 5447
03/05/25, 11.00, 11.00, 10.60, 11.00, 145
03/04/25, 10.50, 11.00, 10.50, 10.60, 7152
03/03/25, 11.40, 11.40, 10.50, 10.90, 7644
02/28/25, 11.00, 11.00, 11.00, 11.00, 3000
02/27/25, 11.60, 11.60, 10.60, 10.90, 3220
02/25/25, 11.80, 11.80, 11.00, 11.10, 14846
02/24/25, 11.60, 11.80, 11.50, 11.50, 2153
02/21/25, 11.50, 11.90, 11.50, 11.60, 83
02/20/25, 11.90, 11.90, 11.60, 11.60, 946
02/19/25, 11.60, 11.60, 11.60, 11.60, 9025
02/18/25, 12.00, 12.00, 11.60, 11.70, 26300
02/17/25, 12.20, 12.20, 12.00, 12.00, 4282
02/14/25, 11.90, 12.30, 11.60, 12.10, 1664
02/13/25, 11.90, 12.00, 11.10, 11.60, 11658
02/11/25, 11.80, 11.80, 11.70, 11.80, 119
02/10/25, 12.00, 12.00, 11.90, 11.90, 9601
02/07/25, 11.60, 12.00, 11.60, 11.90, 11200
02/06/25, 11.40, 11.80, 11.40, 11.80, 14805
02/05/25, 11.80, 12.00, 11.40, 11.50, 19860
02/03/25, 12.00, 12.00, 11.60, 11.60, 20313
01/31/25, 11.90, 12.00, 11.60, 12.00, 31606
01/30/25, 12.00, 12.10, 11.80, 11.80, 49398
01/29/25, 12.00, 12.00, 11.50, 12.00, 95455
01/28/25, 12.00, 12.30, 11.40, 11.60, 153496
01/27/25, 12.50, 12.60, 11.80, 11.90, 234856
01/24/25, 12.40, 12.70, 12.40, 12.50, 10262
01/23/25, 12.70, 12.70, 12.20, 12.50, 16987
01/22/25, 12.90, 12.90, 12.80, 12.80, 9932
01/21/25, 13.00, 13.10, 12.80, 12.90, 55470
01/20/25, 12.40, 13.20, 12.40, 13.10, 62440
01/17/25, 12.80, 13.00, 12.40, 12.80, 41142
01/16/25, 12.50, 12.80, 12.20, 12.40, 155137
01/15/25, 12.50, 12.50, 12.00, 12.00, 31629
01/10/25, 12.20, 12.50, 12.10, 12.50, 19938
01/09/25, 12.90, 12.90, 12.10, 12.20, 24735
01/08/25, 12.40, 12.80, 12.40, 12.50, 18228
01/07/25, 12.90, 12.90, 12.40, 12.60, 15073
01/06/25, 13.00, 13.00, 12.70, 12.70, 76720
01/03/25, 13.20, 13.50, 12.80, 12.90, 492671
01/02/25, 12.70, 13.20, 12.70, 12.80, 8027
12/31/24, 13.00, 13.00, 12.50, 12.50, 153724
12/30/24, 13.50, 13.50, 12.80, 12.90, 80662
12/27/24, 13.10, 13.50, 13.00, 13.10, 29472
12/26/24, 13.50, 13.70, 12.80, 13.10, 88365
12/24/24, 13.10, 13.50, 13.00, 13.40, 295413
12/23/24, 13.30, 14.00, 13.00, 13.10, 145793
12/20/24, 13.10, 14.20, 12.70, 13.30, 3229437
12/19/24, 12.60, 13.20, 12.60, 12.90, 909
12/18/24, 13.00, 13.00, 12.70, 12.80, 16417
12/17/24, 12.70, 13.50, 12.50, 13.00, 146880
12/16/24, 12.90, 13.30, 12.70, 12.70, 79006
12/13/24, 13.40, 13.40, 12.80, 12.90, 28879
12/12/24, 12.80, 13.40, 12.80, 13.20, 16016
12/11/24, 13.40, 13.50, 12.90, 13.10, 110764
12/10/24, 13.70, 13.70, 13.10, 13.20, 48545
12/09/24, 13.30, 13.80, 13.10, 13.80, 195945
12/06/24, 13.10, 13.60, 13.10, 13.30, 29274
12/05/24, 12.90, 13.60, 12.90, 13.10, 270342
12/04/24, 12.50, 14.10, 12.50, 13.50, 825927
12/03/24, 11.80, 12.70, 11.30, 12.60, 378659
12/02/24, 11.20, 11.80, 11.00, 11.30, 187846
11/29/24, 11.40, 12.00, 11.20, 11.30, 164223
11/28/24, 9.50, 11.40, 9.50, 11.10, 1124231
11/27/24, 9.00, 9.70, 9.00, 9.50, 140980
11/26/24, 9.00, 9.10, 8.80, 9.00, 8151
11/25/24, 9.20, 9.20, 9.00, 9.00, 78280
11/22/24, 8.70, 9.10, 8.70, 9.10, 46620
11/21/24, 8.90, 9.10, 8.80, 8.80, 71040
11/20/24, 8.80, 9.20, 8.80, 9.00, 126630
11/19/24, 8.30, 9.00, 8.30, 8.80, 87847
11/18/24, 8.30, 8.60, 8.30, 8.50, 21833
11/14/24, 8.50, 8.50, 8.40, 8.50, 11800
11/13/24, 8.00, 8.50, 8.00, 8.50, 26381
11/12/24, 8.20, 8.20, 8.00, 8.10, 3101
11/11/24, 8.10, 8.20, 7.90, 8.00, 2014
11/08/24, 8.20, 8.20, 8.20, 8.20, 55
11/07/24, 8.20, 8.20, 7.90, 8.20, 227
11/06/24, 8.00, 8.20, 7.80, 8.00, 3402
11/05/24, 8.10, 8.10, 8.00, 8.00, 3577
11/04/24, 8.20, 8.20, 8.00, 8.10, 1251010
11/01/24, 8.20, 8.20, 8.20, 8.00, 13
10/30/24, 8.20, 8.20, 8.00, 8.00, 13206
10/29/24, 8.20, 8.20, 8.00, 8.20, 1561
10/28/24, 8.20, 8.20, 8.20, 8.20, 629
10/25/24, 7.90, 8.20, 7.90, 7.90, 2346
10/24/24, 8.20, 8.20, 7.80, 7.90, 30435
10/23/24, 8.10, 8.10, 8.00, 8.00, 23551
10/22/24, 8.30, 8.30, 8.10, 8.10, 5951
10/21/24, 8.10, 8.40, 8.10, 8.30, 5660
10/18/24, 8.30, 8.30, 8.10, 8.20, 1570
10/16/24, 8.10, 8.30, 8.10, 8.30, 110
10/15/24, 8.30, 8.30, 8.20, 8.30, 4583
10/14/24, 8.10, 8.30, 8.10, 8.30, 10840
10/11/24, 8.20, 8.20, 8.00, 8.10, 778
10/10/24, 8.10, 8.20, 8.10, 8.10, 27134
10/09/24, 8.10, 8.30, 8.10, 8.10, 1532
10/08/24, 8.20, 8.20, 8.20, 8.20, 5168
10/07/24, 8.20, 8.20, 8.00, 8.10, 15779
10/04/24, 8.10, 8.10, 8.00, 8.00, 7000
10/03/24, 8.30, 8.40, 8.00, 8.20, 6366
10/02/24, 8.30, 8.30, 8.00, 8.00, 52164
10/01/24, 8.30, 8.40, 8.30, 8.30, 20015
09/30/24, 8.20, 8.50, 8.20, 8.30, 52204
09/27/24, 8.10, 8.20, 7.70, 8.10, 34753
09/26/24, 7.80, 8.10, 7.70, 8.10, 65207
09/25/24, 7.80, 8.10, 7.80, 8.00, 76079
09/24/24, 7.80, 7.80, 7.80, 7.80, 3297
09/23/24, 7.30, 7.40, 7.30, 7.40, 20
09/20/24, 7.50, 7.50, 7.40, 7.40, 7313
09/19/24, 7.40, 7.50, 7.40, 7.50, 10415
09/18/24, 7.30, 7.50, 7.30, 7.40, 2310
09/13/24, 7.50, 7.50, 7.20, 7.30, 10782
09/12/24, 7.70, 7.70, 7.70, 7.70, 450
09/11/24, 7.90, 7.90, 7.00, 7.60, 10983
