Date, Open, High, Low, Close, Volume
04/24/25, 60.00, 63.40, 60.00, 62.80, 1226
04/23/25, 63.20, 63.20, 63.20, 60.10, 1
04/22/25, 63.00, 63.70, 59.50, 60.10, 66
04/21/25, 63.90, 63.90, 60.00, 60.10, 11070
04/17/25, 62.30, 62.30, 62.30, 62.00, 5
04/16/25, 58.10, 63.50, 58.10, 62.00, 449
04/11/25, 64.00, 64.30, 63.90, 64.20, 8905
04/10/25, 61.30, 64.50, 60.00, 64.30, 17273
04/08/25, 60.00, 61.70, 60.00, 60.30, 567
04/07/25, 59.00, 59.00, 57.00, 58.70, 9061
04/04/25, 59.10, 59.10, 59.00, 59.00, 632
04/03/25, 59.40, 59.40, 59.30, 59.40, 256
04/02/25, 60.00, 60.00, 60.00, 60.00, 50287
04/01/25, 59.10, 59.30, 59.10, 59.10, 9584
03/28/25, 57.00, 59.00, 57.00, 58.10, 145
03/27/25, 59.30, 59.30, 59.30, 57.40, 4
03/26/25, 56.80, 56.80, 56.80, 57.40, 28
03/25/25, 57.70, 59.40, 56.80, 57.40, 253
03/24/25, 56.30, 59.70, 56.30, 58.70, 42
03/21/25, 58.70, 60.00, 58.20, 58.70, 1850
03/20/25, 58.90, 58.90, 57.50, 58.70, 323
03/19/25, 59.50, 59.50, 59.50, 55.30, 6
03/18/25, 55.10, 56.00, 55.00, 55.30, 9601
03/17/25, 58.50, 58.50, 54.10, 57.30, 4751
03/12/25, 61.00, 61.00, 58.00, 58.20, 75
03/11/25, 60.20, 62.00, 58.20, 58.20, 4210
03/10/25, 62.00, 62.00, 62.00, 62.00, 13
03/07/25, 62.00, 62.00, 62.00, 62.00, 187
03/06/25, 62.20, 62.20, 62.20, 62.20, 1000
03/05/25, 62.40, 62.40, 60.00, 60.00, 50020
03/04/25, 58.70, 58.70, 58.50, 58.60, 1792
03/03/25, 62.70, 63.70, 60.00, 61.80, 137
02/27/25, 61.10, 61.10, 58.00, 61.00, 64883
02/25/25, 59.00, 59.00, 58.10, 58.10, 16691
02/24/25, 62.80, 62.80, 58.40, 58.50, 3289
02/21/25, 62.10, 62.10, 61.10, 61.80, 144
02/20/25, 62.90, 62.90, 60.40, 62.20, 670
02/19/25, 60.60, 60.60, 60.60, 60.60, 135
02/18/25, 60.60, 60.60, 60.30, 60.60, 22678
02/17/25, 60.90, 62.00, 60.50, 62.00, 6650
02/14/25, 61.50, 61.50, 61.00, 61.10, 10640
02/13/25, 61.50, 62.00, 60.20, 61.60, 14956
02/11/25, 62.70, 62.70, 62.00, 62.00, 511
02/10/25, 64.90, 64.90, 62.70, 62.90, 263
02/07/25, 63.50, 64.90, 63.50, 64.90, 561
02/06/25, 63.00, 63.20, 62.90, 63.10, 1030
02/05/25, 66.00, 66.00, 63.00, 63.30, 540
02/03/25, 64.00, 64.00, 64.00, 64.00, 300
01/31/25, 65.00, 65.00, 64.00, 64.00, 1925
01/30/25, 65.00, 65.00, 64.60, 65.00, 1605
01/29/25, 66.00, 66.00, 65.00, 65.00, 1250
01/28/25, 66.20, 66.20, 65.20, 65.60, 4607
01/27/25, 69.30, 69.30, 66.20, 66.30, 1588
01/24/25, 68.80, 68.80, 66.20, 66.30, 216
01/23/25, 70.00, 70.00, 66.20, 66.40, 1378
01/22/25, 66.50, 70.00, 66.00, 69.80, 16933
01/21/25, 63.40, 66.50, 63.40, 65.10, 346664
01/20/25, 63.00, 63.90, 61.50, 63.80, 9178
01/17/25, 61.00, 63.00, 61.00, 61.00, 501
01/16/25, 62.90, 62.90, 62.90, 62.50, 32
01/15/25, 61.50, 62.50, 61.50, 62.50, 3779
01/10/25, 59.00, 60.00, 59.00, 60.00, 1285
01/09/25, 61.00, 61.50, 60.20, 60.60, 3041
01/08/25, 61.50, 61.50, 60.10, 61.10, 1631
01/07/25, 61.80, 61.80, 61.20, 61.20, 803
01/06/25, 64.00, 64.00, 58.00, 60.10, 30261
01/03/25, 63.00, 64.40, 61.20, 61.60, 25772
01/02/25, 62.00, 68.00, 62.00, 63.90, 1350
12/31/24, 64.00, 64.00, 60.60, 63.90, 24693
12/30/24, 68.40, 68.40, 63.10, 64.50, 5694
12/27/24, 65.20, 65.20, 64.50, 65.00, 29139
12/26/24, 64.80, 68.40, 63.20, 65.20, 99279
12/24/24, 60.00, 64.90, 60.00, 64.80, 275196
12/23/24, 60.00, 61.50, 60.00, 60.70, 10849
12/20/24, 61.50, 62.00, 60.00, 60.10, 88674
12/19/24, 61.50, 61.50, 59.90, 60.00, 100128
12/18/24, 60.10, 61.40, 60.00, 60.00, 2531
12/17/24, 60.10, 60.90, 60.00, 60.30, 56740
12/16/24, 62.50, 62.50, 60.00, 60.00, 129401
12/13/24, 60.00, 60.10, 60.00, 60.00, 9904
12/12/24, 61.20, 62.20, 61.20, 62.00, 16044
12/11/24, 61.10, 61.20, 60.00, 60.10, 13393
12/10/24, 61.10, 61.10, 60.10, 60.10, 6828
12/09/24, 61.30, 61.30, 60.30, 60.30, 1720
12/06/24, 60.30, 60.30, 60.20, 60.30, 6933
12/05/24, 60.20, 62.00, 60.20, 61.90, 261
12/04/24, 60.50, 61.90, 60.00, 60.30, 13670
12/03/24, 60.00, 62.00, 59.50, 60.00, 25130
12/02/24, 61.00, 61.50, 59.90, 59.90, 25815
11/29/24, 58.00, 60.00, 58.00, 60.00, 37969
11/28/24, 56.80, 57.80, 53.10, 57.10, 1844
11/27/24, 54.60, 56.70, 54.60, 55.00, 2726
11/26/24, 52.20, 52.50, 52.20, 52.30, 1074
11/25/24, 54.50, 55.00, 54.50, 54.80, 3604
11/21/24, 56.40, 56.40, 53.00, 53.00, 2024
11/20/24, 54.70, 55.00, 53.20, 54.90, 5264
11/19/24, 53.10, 54.70, 53.00, 54.70, 146
11/18/24, 51.90, 55.00, 51.80, 54.80, 40442
11/14/24, 51.00, 51.90, 51.00, 51.80, 15150
11/13/24, 51.10, 51.10, 50.00, 50.10, 18505
11/12/24, 48.90, 50.50, 48.90, 50.00, 56171
11/11/24, 49.00, 49.00, 47.60, 47.60, 1001
11/07/24, 47.20, 48.90, 47.20, 47.20, 1175
11/06/24, 46.90, 49.30, 46.90, 47.20, 628
11/05/24, 46.90, 46.90, 46.90, 46.90, 153
11/04/24, 49.30, 49.30, 49.00, 49.00, 34
11/01/24, 49.50, 49.50, 43.10, 49.00, 63609
10/30/24, 49.90, 49.90, 47.90, 47.90, 734
10/29/24, 47.70, 50.00, 47.00, 47.40, 192607
10/28/24, 48.70, 49.00, 47.60, 48.70, 1051
10/25/24, 48.00, 49.00, 47.60, 48.70, 10217
10/24/24, 47.70, 49.20, 47.70, 48.80, 10630
10/23/24, 47.30, 49.80, 47.30, 47.40, 566
10/22/24, 48.00, 49.90, 48.00, 48.50, 1760
10/21/24, 48.00, 50.00, 48.00, 50.00, 362
10/18/24, 50.90, 50.90, 48.00, 48.10, 468
10/16/24, 50.00, 50.00, 50.00, 50.00, 4665
10/15/24, 49.90, 50.00, 49.80, 49.80, 2452
10/14/24, 48.00, 50.00, 47.50, 47.90, 198426
10/11/24, 47.00, 48.00, 47.00, 47.90, 9925
10/10/24, 46.10, 47.50, 46.10, 47.00, 10508
10/09/24, 47.40, 47.50, 46.10, 47.00, 81
10/08/24, 46.90, 47.00, 45.00, 47.00, 37042
10/07/24, 46.50, 46.50, 46.50, 46.50, 215
10/04/24, 44.90, 47.50, 44.90, 46.90, 44727
10/03/24, 44.90, 45.00, 44.90, 44.90, 100
10/01/24, 45.00, 45.00, 44.90, 45.00, 14989
09/30/24, 45.00, 45.00, 44.90, 45.00, 28888
09/27/24, 43.10, 45.00, 43.10, 44.90, 344
09/26/24, 46.30, 46.30, 43.10, 46.00, 280
09/25/24, 43.00, 46.80, 43.00, 43.40, 534
09/24/24, 42.50, 46.90, 42.50, 45.00, 2899
09/23/24, 41.50, 46.40, 41.50, 43.00, 6768
09/20/24, 41.90, 41.90, 41.90, 41.90, 5
09/19/24, 41.90, 46.60, 41.50, 41.90, 44094
09/18/24, 41.00, 41.00, 40.20, 41.00, 1009
09/13/24, 41.50, 41.50, 40.00, 41.00, 2766
09/12/24, 41.30, 41.30, 41.30, 41.30, 100
09/11/24, 40.10, 40.10, 40.10, 40.10, 3500
09/10/24, 40.10, 41.80, 40.10, 40.10, 520
09/09/24, 40.10, 40.10, 40.00, 40.10, 3501
09/06/24, 42.40, 42.40, 40.00, 40.10, 505
09/05/24, 41.80, 42.00, 41.80, 42.00, 40602
09/04/24, 41.00, 41.00, 41.00, 41.00, 377
09/03/24, 40.10, 41.00, 40.00, 41.00, 1823
09/02/24, 41.50, 41.80, 41.00, 41.10, 4170
08/30/24, 41.50, 42.00, 41.50, 41.80, 697
08/29/24, 40.00, 41.50, 39.50, 39.50, 404
08/28/24, 41.80, 41.80, 40.00, 40.30, 807
08/27/24, 42.00, 42.00, 42.00, 42.00, 247
08/26/24, 42.00, 42.00, 41.80, 42.00, 1578
08/23/24, 42.00, 42.00, 42.00, 42.00, 1389
08/22/24, 43.00, 43.00, 42.00, 42.00, 8619
08/20/24, 41.90, 43.30, 41.90, 43.30, 200
08/16/24, 43.00, 43.30, 41.90, 43.00, 2525
08/15/24, 43.20, 43.30, 43.00, 43.10, 2015
08/13/24, 41.80, 43.30, 41.70, 43.30, 24
