Date, Open, High, Low, Close, Volume
04/24/25, 1231.50, 1231.50, 1231.50, 1225.00, 5
04/23/25, 1249.00, 1265.00, 1225.00, 1225.00, 4904
04/22/25, 1250.25, 1300.00, 1204.25, 1287.00, 363
04/21/25, 1300.00, 1300.00, 1250.00, 1250.25, 346
04/17/25, 1299.00, 1300.00, 1261.00, 1292.75, 89
04/16/25, 1292.75, 1300.00, 1292.75, 1292.75, 305
04/11/25, 1299.00, 1299.00, 1251.00, 1292.75, 11
04/10/25, 1289.50, 1300.00, 1289.50, 1292.75, 189
04/09/25, 1220.00, 1220.00, 1220.00, 1289.50, 30
04/08/25, 1300.00, 1300.00, 1220.00, 1289.50, 140
04/07/25, 1270.00, 1270.00, 1052.00, 1280.00, 98
04/04/25, 1280.00, 1280.00, 1270.00, 1280.00, 5
04/03/25, 1280.00, 1283.00, 1280.00, 1280.00, 21580
04/02/25, 1283.25, 1283.25, 1280.00, 1280.00, 52282
04/01/25, 1275.00, 1283.50, 1270.00, 1271.50, 42
03/28/25, 1283.50, 1283.50, 1270.00, 1271.50, 450
03/27/25, 1283.50, 1283.50, 1270.00, 1280.00, 130
03/26/25, 1283.00, 1283.00, 1283.00, 1283.50, 13
03/25/25, 1283.50, 1283.50, 1282.75, 1283.50, 354
03/24/25, 1283.50, 1283.50, 1283.50, 1279.25, 8
03/21/25, 1283.75, 1283.75, 1255.00, 1279.25, 26
03/20/25, 1270.00, 1280.00, 1270.00, 1279.25, 27
03/19/25, 1283.00, 1283.00, 1280.00, 1279.25, 58
03/18/25, 1280.00, 1284.00, 1279.00, 1279.25, 420
03/17/25, 1274.50, 1294.00, 1270.00, 1275.25, 2035
03/14/25, 1250.00, 1276.50, 1250.00, 1250.25, 35284
03/12/25, 1250.00, 1265.00, 1250.00, 1250.00, 53917
03/11/25, 1275.00, 1276.75, 1223.00, 1250.00, 15122
03/10/25, 1210.00, 1235.00, 1210.00, 1210.25, 551
03/07/25, 1209.00, 1209.00, 1209.00, 1201.75, 5
03/06/25, 1207.00, 1235.00, 1207.00, 1201.75, 16
03/05/25, 1235.00, 1235.00, 1235.00, 1201.75, 5
03/04/25, 1204.00, 1235.00, 1200.00, 1201.75, 406
02/28/25, 1206.00, 1279.25, 1205.00, 1278.75, 1088
02/27/25, 1260.00, 1260.00, 1255.00, 1279.50, 10
02/25/25, 1279.50, 1280.00, 1260.00, 1279.50, 409
02/24/25, 1279.00, 1279.00, 1260.00, 1279.00, 444
02/21/25, 1279.00, 1279.00, 1260.00, 1279.00, 1005
02/20/25, 1260.00, 1279.00, 1250.00, 1281.50, 20
02/19/25, 1264.00, 1264.00, 1264.00, 1281.50, 1
02/18/25, 1283.00, 1283.00, 1283.00, 1281.50, 3
02/17/25, 1250.50, 1284.75, 1250.50, 1281.50, 510
02/14/25, 1276.00, 1284.75, 1250.00, 1250.75, 222117
02/13/25, 1284.75, 1284.75, 1252.00, 1276.00, 168
02/11/25, 1284.00, 1284.00, 1255.00, 1284.50, 5
02/10/25, 1250.00, 1285.00, 1250.00, 1284.50, 145
02/07/25, 1280.00, 1288.00, 1232.00, 1278.25, 101
02/06/25, 1230.00, 1232.00, 1230.00, 1230.25, 452
02/05/25, 1245.00, 1260.00, 1233.50, 1241.75, 12771
02/03/25, 1238.00, 1238.00, 1235.00, 1234.00, 30
01/31/25, 1240.00, 1242.00, 1240.00, 1234.00, 11
01/30/25, 1236.50, 1236.50, 1234.00, 1234.00, 9510
01/29/25, 1240.00, 1240.00, 1234.00, 1234.00, 1742
01/28/25, 1269.50, 1269.50, 1260.00, 1233.50, 28
01/27/25, 1231.00, 1252.50, 1225.00, 1233.50, 124
01/24/25, 1232.25, 1280.00, 1232.00, 1232.25, 253
01/23/25, 1236.00, 1236.00, 1232.00, 1235.00, 611
01/22/25, 1290.00, 1297.75, 1230.00, 1230.25, 14047
01/21/25, 1261.75, 1298.75, 1230.00, 1231.50, 9651
01/20/25, 1270.00, 1275.00, 1252.00, 1261.75, 332
01/17/25, 1270.50, 1270.50, 1246.00, 1250.50, 1430
01/16/25, 1250.00, 1280.00, 1250.00, 1299.75, 31
01/15/25, 1250.00, 1300.00, 1250.00, 1299.75, 3231
01/10/25, 1243.50, 1244.00, 1215.25, 1243.75, 4249
01/09/25, 1220.00, 1244.00, 1208.00, 1212.25, 117301
01/08/25, 1240.00, 1243.00, 1200.00, 1201.75, 121921
01/07/25, 1240.00, 1240.00, 1200.00, 1200.00, 25057
01/06/25, 1205.00, 1250.75, 1205.00, 1248.25, 350
01/03/25, 1224.00, 1224.00, 1205.00, 1211.25, 884
