Date, Open, High, Low, Close, Volume
04/24/25, 2090.50, 2090.50, 2090.50, 2090.50, 135
04/21/25, 2111.00, 2173.75, 2111.00, 2090.50, 4
04/17/25, 2115.00, 2115.00, 2111.00, 2090.50, 45
04/16/25, 2090.00, 2110.00, 2090.00, 2090.50, 15
04/11/25, 2175.00, 2175.00, 2090.00, 2090.50, 2516
04/10/25, 2199.50, 2199.50, 2150.00, 2172.50, 799
04/09/25, 2199.50, 2199.50, 2065.25, 2190.00, 701
04/08/25, 2199.00, 2199.75, 2199.00, 2199.75, 704
04/07/25, 2052.00, 2052.25, 2052.00, 2100.00, 16
04/04/25, 2200.00, 2200.00, 2090.00, 2100.00, 3399
04/03/25, 2199.00, 2200.00, 2060.50, 2199.25, 1470
04/01/25, 2199.00, 2199.00, 2052.00, 2185.75, 4
03/28/25, 2194.00, 2200.00, 2050.00, 2185.75, 137
03/27/25, 2100.00, 2100.00, 2100.00, 2194.00, 11
03/24/25, 2195.00, 2199.00, 2150.00, 2194.00, 498
03/21/25, 2180.00, 2189.00, 2180.00, 2189.00, 478
03/19/25, 2199.50, 2200.00, 2075.25, 2190.75, 403
03/18/25, 2103.25, 2103.25, 2102.00, 2199.75, 47
03/17/25, 2199.75, 2200.00, 2199.75, 2199.75, 146
03/14/25, 2197.00, 2259.00, 2197.00, 2200.75, 570
03/12/25, 2075.00, 2100.00, 2075.00, 2100.00, 1054
03/11/25, 2075.00, 2075.00, 2075.00, 2075.00, 108
03/05/25, 2050.25, 2051.00, 2050.00, 2050.00, 408
02/28/25, 2075.00, 2075.00, 2075.00, 2136.25, 80
02/27/25, 2075.00, 2075.00, 2075.00, 2136.25, 20
02/25/25, 2050.00, 2140.00, 2050.00, 2136.25, 192
02/24/25, 2050.00, 2060.00, 2050.00, 2121.00, 68
02/21/25, 2050.00, 2130.00, 2050.00, 2121.00, 100
02/20/25, 2050.00, 2050.00, 2050.00, 2044.00, 7
02/18/25, 2050.00, 2050.00, 2050.00, 2044.00, 1
02/17/25, 2070.00, 2080.00, 2030.00, 2044.00, 248
02/11/25, 2050.00, 2050.00, 2045.00, 2099.00, 3
02/10/25, 2056.00, 2056.00, 2030.00, 2099.00, 80
02/07/25, 2329.00, 2329.00, 2030.25, 2099.00, 908
02/06/25, 2140.00, 2250.00, 2140.00, 2230.25, 686
02/05/25, 2050.00, 2050.00, 2050.00, 2043.25, 24
02/03/25, 2041.00, 2050.00, 2040.00, 2043.25, 95
01/31/25, 2150.00, 2150.00, 2040.00, 2043.25, 1684
01/30/25, 2070.25, 2070.25, 2070.25, 2067.00, 1
01/29/25, 2150.00, 2150.00, 2063.00, 2067.00, 62
01/28/25, 2198.75, 2198.75, 2063.00, 2067.00, 107
01/27/25, 2150.00, 2150.00, 2062.00, 2063.00, 916
01/23/25, 2100.00, 2100.00, 2099.75, 2099.75, 205
01/22/25, 2100.00, 2100.00, 2080.00, 2099.75, 339
01/21/25, 2100.75, 2220.00, 2100.00, 2100.00, 494
01/20/25, 2075.50, 2075.50, 2075.00, 2100.75, 2
