Date, Open, High, Low, Close, Volume
04/24/25, 308.75, 308.75, 307.00, 307.25, 1058
04/23/25, 308.50, 309.00, 307.25, 308.25, 3668
04/22/25, 306.25, 308.50, 306.25, 308.25, 1637
04/21/25, 308.00, 308.50, 306.00, 308.00, 7075
04/17/25, 307.75, 308.00, 307.25, 307.50, 578
04/16/25, 308.75, 308.75, 300.00, 302.75, 10834
04/11/25, 304.00, 308.50, 302.00, 304.50, 831
04/10/25, 295.50, 317.50, 295.50, 307.25, 1780
04/09/25, 294.75, 294.75, 294.00, 294.75, 5708
04/08/25, 294.75, 294.75, 294.00, 294.50, 6015
04/07/25, 302.00, 302.00, 290.00, 293.00, 36983
04/04/25, 300.00, 300.00, 293.00, 293.50, 33611
04/03/25, 295.00, 300.00, 295.00, 300.00, 37628
04/02/25, 304.75, 305.00, 300.00, 303.75, 9827
04/01/25, 299.75, 302.00, 299.75, 300.00, 7285
03/28/25, 294.75, 300.00, 294.75, 299.75, 3075
03/27/25, 298.00, 300.00, 294.00, 294.75, 41946
03/26/25, 296.00, 300.00, 294.00, 298.75, 47816
03/25/25, 295.00, 295.00, 294.00, 295.00, 12118
03/24/25, 298.00, 298.00, 293.50, 293.50, 20481
03/21/25, 300.00, 300.00, 294.00, 295.00, 12621
03/20/25, 294.75, 294.75, 292.50, 293.75, 3771
03/19/25, 291.50, 295.00, 290.00, 292.00, 9516
03/18/25, 297.50, 298.75, 291.50, 291.75, 9698
03/17/25, 299.00, 299.00, 295.50, 297.50, 8358
03/14/25, 300.00, 300.00, 298.25, 298.75, 20579
03/12/25, 298.00, 300.00, 296.00, 299.00, 3535
03/11/25, 300.00, 300.00, 295.00, 297.00, 9118
03/10/25, 300.00, 300.00, 297.00, 298.00, 16888
03/07/25, 299.00, 299.50, 290.00, 295.50, 7476
03/06/25, 304.00, 304.00, 295.50, 298.75, 52710
03/05/25, 298.50, 305.00, 298.50, 300.00, 21379
03/04/25, 308.00, 308.00, 296.25, 298.75, 11645
03/03/25, 312.00, 312.00, 305.25, 306.00, 9536
02/28/25, 312.00, 312.00, 310.00, 312.00, 12655
02/27/25, 307.00, 319.00, 307.00, 310.25, 49683
02/25/25, 311.75, 311.75, 305.00, 306.00, 30729
02/24/25, 309.50, 312.00, 308.00, 309.25, 7006
02/21/25, 311.25, 314.00, 309.50, 310.00, 14421
02/20/25, 315.00, 315.00, 310.50, 313.25, 2872
02/19/25, 318.25, 318.25, 312.00, 315.50, 4659
02/18/25, 317.00, 322.00, 316.00, 318.25, 6359
02/17/25, 315.50, 317.00, 314.75, 316.50, 15460
02/14/25, 315.00, 315.00, 310.00, 314.75, 8365
02/13/25, 311.00, 315.00, 309.00, 314.00, 11067
02/11/25, 315.50, 315.50, 310.00, 311.50, 6043
02/10/25, 317.00, 317.50, 314.00, 315.50, 20459
02/07/25, 317.00, 317.00, 314.00, 316.00, 4035
02/06/25, 314.00, 317.50, 314.00, 314.50, 9835
02/05/25, 315.00, 318.00, 313.00, 314.50, 16447
02/03/25, 319.00, 319.50, 316.00, 316.75, 18363
01/31/25, 319.50, 320.00, 314.50, 317.75, 20705
01/30/25, 320.00, 321.50, 316.25, 317.75, 11467
01/29/25, 315.00, 321.75, 314.00, 318.75, 7938
01/28/25, 325.00, 325.00, 310.00, 316.00, 53760
01/27/25, 339.50, 342.00, 338.00, 341.50, 33170
01/24/25, 340.00, 342.00, 337.00, 340.00, 34877
01/23/25, 340.00, 340.50, 336.00, 339.75, 33566
01/22/25, 339.75, 340.00, 337.75, 338.00, 45215
01/21/25, 339.00, 343.00, 337.75, 338.00, 57067
01/20/25, 330.00, 343.75, 330.00, 337.75, 297335
01/17/25, 315.00, 315.00, 310.50, 312.00, 16990
01/16/25, 314.00, 314.00, 307.00, 312.00, 11268
01/15/25, 320.00, 320.00, 306.00, 308.00, 24229
01/10/25, 310.00, 314.00, 305.00, 311.50, 1967
01/09/25, 300.00, 320.00, 300.00, 313.75, 22481
01/08/25, 299.75, 303.00, 293.50, 300.00, 27167
01/07/25, 293.25, 295.00, 292.00, 293.25, 14460
01/06/25, 298.00, 299.75, 292.00, 292.50, 9021
01/03/25, 299.25, 301.00, 292.00, 293.75, 34621
01/02/25, 298.00, 302.25, 298.00, 299.75, 17745
12/31/24, 300.00, 301.00, 290.00, 298.25, 19724
12/30/24, 296.25, 300.25, 294.50, 300.00, 26833
12/27/24, 302.25, 302.25, 294.00, 295.25, 23093
12/26/24, 301.00, 303.00, 300.00, 300.50, 25102
12/24/24, 298.50, 301.00, 293.00, 300.25, 7920
12/23/24, 299.00, 299.50, 294.00, 296.75, 73949
12/20/24, 292.25, 298.50, 292.25, 298.00, 33145
12/19/24, 295.00, 296.00, 292.00, 293.00, 10730
12/18/24, 293.25, 295.00, 288.00, 289.25, 5275
12/17/24, 291.25, 293.00, 288.00, 292.75, 20857
12/16/24, 295.00, 297.75, 291.00, 292.00, 14222
12/13/24, 297.50, 297.50, 294.75, 295.25, 27994
12/12/24, 298.00, 298.00, 295.00, 295.50, 5825
12/11/24, 298.00, 298.00, 295.00, 297.00, 979
12/10/24, 297.50, 297.50, 293.50, 295.25, 2294
12/09/24, 293.50, 297.00, 293.50, 295.50, 2904
12/06/24, 295.00, 295.00, 292.75, 294.75, 1721
12/05/24, 297.25, 297.50, 292.00, 294.50, 1593
12/04/24, 287.50, 297.75, 287.50, 297.00, 5585
12/03/24, 282.00, 290.00, 282.00, 287.50, 10559
12/02/24, 287.50, 287.50, 275.00, 281.75, 30399
11/29/24, 287.50, 290.00, 287.00, 287.75, 2208
11/28/24, 288.00, 288.00, 286.00, 287.50, 4136
11/27/24, 288.00, 288.00, 284.75, 285.00, 3537
11/26/24, 288.00, 290.00, 284.75, 287.50, 12618
11/25/24, 294.00, 294.00, 285.00, 288.50, 22524
11/22/24, 309.50, 311.00, 308.00, 310.00, 49338
11/21/24, 309.75, 311.00, 308.00, 308.50, 7487
11/20/24, 311.00, 311.00, 307.50, 307.75, 15062
11/19/24, 312.00, 312.00, 307.50, 308.50, 15162
11/18/24, 315.00, 317.50, 307.50, 308.25, 27804
11/14/24, 310.00, 315.00, 305.00, 310.50, 64431
11/13/24, 300.00, 300.00, 298.75, 300.00, 12174
11/12/24, 302.75, 303.00, 299.75, 300.00, 2483
11/11/24, 303.00, 303.00, 297.00, 303.00, 1533
11/08/24, 298.50, 304.00, 296.75, 304.00, 13441
11/07/24, 300.00, 300.00, 297.75, 300.00, 3211
11/06/24, 301.00, 301.00, 296.50, 300.00, 6430
11/05/24, 301.00, 301.00, 300.00, 300.75, 972
11/04/24, 307.75, 307.75, 306.00, 306.00, 14449
11/01/24, 305.00, 309.00, 305.00, 306.75, 11858
10/30/24, 304.00, 308.00, 301.25, 302.50, 8908
10/29/24, 301.00, 301.00, 295.00, 297.50, 29100
10/28/24, 302.00, 302.50, 293.25, 293.50, 11502
10/25/24, 301.00, 302.50, 301.00, 302.00, 280
10/24/24, 295.00, 304.50, 295.00, 295.75, 5811
10/23/24, 297.25, 299.50, 294.00, 295.25, 1599
10/22/24, 300.00, 300.00, 297.25, 297.75, 1674
10/21/24, 305.00, 305.00, 299.00, 300.00, 3659
10/18/24, 300.00, 307.50, 299.00, 300.25, 17570
10/16/24, 294.00, 300.00, 294.00, 298.25, 1948
10/15/24, 297.00, 297.00, 290.50, 291.00, 1106
10/14/24, 290.00, 299.00, 290.00, 290.50, 3065
10/11/24, 284.75, 295.00, 284.75, 289.00, 6915
10/10/24, 284.75, 285.50, 284.00, 284.75, 112
10/09/24, 289.00, 289.00, 285.00, 285.00, 1064
10/08/24, 285.00, 285.00, 284.75, 285.00, 1636
10/07/24, 282.50, 285.00, 282.50, 284.00, 5243
10/04/24, 286.75, 286.75, 280.00, 282.50, 9456
10/03/24, 287.00, 289.25, 287.00, 287.25, 107
10/02/24, 290.00, 295.00, 284.00, 284.25, 1839
10/01/24, 295.00, 295.00, 285.00, 285.25, 29451
09/30/24, 290.00, 294.50, 290.00, 290.25, 16458
09/27/24, 289.25, 290.00, 288.00, 290.00, 3771
09/26/24, 291.25, 294.50, 289.50, 290.00, 14432
09/25/24, 294.50, 294.50, 290.00, 293.75, 17847
09/24/24, 289.75, 294.50, 289.75, 290.50, 12642
09/23/24, 285.75, 289.75, 283.00, 289.75, 3537
09/20/24, 290.00, 290.00, 286.00, 290.00, 3928
09/19/24, 285.00, 295.00, 284.50, 285.50, 3349
09/18/24, 290.00, 290.00, 275.25, 284.75, 3017
09/13/24, 283.50, 284.75, 280.00, 280.00, 1957
09/12/24, 275.00, 283.00, 275.00, 283.00, 4663
