Date, Open, High, Low, Close, Volume
04/24/25, 63.40, 63.50, 61.50, 62.80, 90543
04/23/25, 62.10, 63.30, 61.00, 61.50, 390175
04/22/25, 62.00, 62.50, 62.00, 62.00, 146409
04/21/25, 63.40, 63.40, 62.90, 63.00, 17073
04/17/25, 63.40, 63.50, 62.10, 62.40, 5806
04/16/25, 64.00, 64.00, 62.30, 63.40, 2743
04/11/25, 63.00, 64.00, 62.50, 62.50, 129852
04/10/25, 62.50, 64.00, 62.50, 63.90, 72376
04/09/25, 61.00, 61.80, 59.00, 60.20, 66353
04/08/25, 58.10, 62.40, 58.10, 61.90, 53156
04/07/25, 61.60, 61.60, 58.00, 58.90, 134054
04/04/25, 64.60, 64.60, 62.00, 62.50, 395357
04/03/25, 65.60, 65.60, 64.00, 64.90, 186329
04/02/25, 66.00, 69.00, 65.20, 66.00, 17725
04/01/25, 64.50, 66.00, 64.00, 65.50, 184895
03/28/25, 64.60, 65.90, 64.50, 64.70, 22947
03/27/25, 64.50, 65.80, 64.50, 65.20, 5413
03/26/25, 66.00, 66.00, 64.60, 65.90, 2632
03/25/25, 64.50, 66.00, 64.00, 65.80, 84338
03/24/25, 64.50, 65.00, 64.50, 65.00, 29414
03/21/25, 64.20, 65.00, 64.20, 64.50, 42276
03/20/25, 64.70, 65.00, 64.00, 64.50, 22770
03/19/25, 63.00, 65.00, 63.00, 63.80, 279373
03/18/25, 64.60, 64.60, 63.00, 63.10, 109686
03/17/25, 65.00, 66.20, 64.50, 64.60, 156426
03/14/25, 66.30, 66.90, 64.00, 64.30, 130545
03/12/25, 64.80, 67.00, 64.00, 66.20, 87455
03/11/25, 66.00, 66.00, 64.80, 64.80, 54893
03/10/25, 66.50, 66.50, 65.80, 66.00, 41664
03/07/25, 65.00, 66.50, 65.00, 66.50, 10633
03/06/25, 66.50, 67.40, 65.10, 65.60, 37650
03/05/25, 64.50, 66.50, 64.00, 66.40, 35131
03/04/25, 65.00, 66.80, 63.50, 64.80, 105429
03/03/25, 65.30, 66.50, 64.80, 65.50, 81202
02/28/25, 67.30, 68.50, 65.10, 66.90, 129979
02/27/25, 65.10, 67.90, 64.50, 66.90, 137471
02/25/25, 67.60, 67.60, 65.00, 65.20, 138531
02/24/25, 70.00, 70.00, 68.00, 68.00, 28487
02/21/25, 69.00, 71.00, 69.00, 69.60, 439561
02/20/25, 69.80, 70.00, 68.00, 69.70, 350746
02/19/25, 70.60, 71.00, 69.50, 69.90, 262487
02/18/25, 71.40, 71.80, 70.10, 70.30, 174287
02/17/25, 68.70, 71.50, 66.50, 70.20, 491967
02/14/25, 67.40, 68.80, 67.40, 68.50, 548911
02/13/25, 64.00, 67.40, 64.00, 66.20, 87591
02/11/25, 67.00, 67.20, 64.30, 65.30, 232672
