Date, Open, High, Low, Close, Volume
04/24/25, 41.00, 42.00, 41.00, 41.00, 9668
04/23/25, 41.00, 41.00, 40.00, 40.00, 607
04/22/25, 39.60, 41.00, 39.60, 41.00, 53
04/21/25, 41.00, 41.00, 41.00, 41.00, 25
04/17/25, 40.50, 41.00, 40.50, 41.00, 3784
04/16/25, 40.50, 40.50, 39.70, 40.10, 223
04/11/25, 40.40, 40.40, 39.80, 39.80, 4858
04/10/25, 40.50, 40.90, 39.50, 39.50, 5142
04/09/25, 40.50, 40.50, 39.30, 39.30, 220
04/08/25, 40.50, 40.50, 40.40, 40.50, 1326
04/07/25, 40.50, 40.50, 38.00, 38.10, 6286
04/04/25, 39.80, 41.00, 39.80, 39.90, 364
04/03/25, 40.50, 40.50, 40.00, 40.00, 3276
04/02/25, 41.00, 41.00, 40.00, 40.00, 49415
04/01/25, 40.20, 40.20, 40.00, 40.00, 6600
03/28/25, 40.00, 40.00, 40.00, 39.50, 25
03/27/25, 40.00, 40.00, 39.50, 39.50, 717
03/26/25, 39.70, 40.00, 39.70, 39.70, 504
03/25/25, 40.00, 40.00, 40.00, 40.00, 1083
03/24/25, 39.90, 40.50, 39.90, 40.20, 1501
03/21/25, 39.50, 41.40, 39.00, 39.60, 220
03/20/25, 42.10, 42.10, 42.10, 38.40, 1
03/19/25, 38.00, 40.00, 38.00, 38.40, 27135
03/18/25, 39.90, 39.90, 37.00, 38.10, 31428
03/17/25, 39.30, 41.60, 38.30, 39.90, 2960
03/14/25, 39.70, 42.00, 39.50, 39.50, 1412
03/12/25, 40.30, 40.30, 39.10, 39.50, 648
03/11/25, 41.00, 41.00, 39.00, 39.00, 16507
03/10/25, 43.80, 43.80, 39.30, 39.60, 29011
03/07/25, 41.30, 41.30, 41.10, 41.10, 501
03/06/25, 43.50, 44.90, 41.10, 41.30, 1166
03/05/25, 40.70, 43.00, 40.70, 40.70, 271
03/04/25, 40.60, 40.70, 40.60, 40.60, 860
03/03/25, 43.90, 43.90, 43.90, 40.50, 2
02/28/25, 43.70, 43.70, 43.70, 40.50, 1
02/27/25, 43.80, 43.80, 43.80, 40.50, 2
02/25/25, 41.10, 41.10, 40.50, 40.50, 35040
02/24/25, 45.00, 45.00, 41.00, 41.60, 571
02/21/25, 42.00, 45.00, 42.00, 42.00, 5725
02/20/25, 42.20, 42.20, 42.00, 42.10, 4540
02/19/25, 44.00, 44.00, 43.10, 43.10, 1200
02/18/25, 42.00, 44.00, 42.00, 44.50, 51
02/17/25, 45.00, 45.00, 43.00, 44.50, 16109
02/14/25, 42.00, 45.00, 42.00, 42.00, 8002
02/13/25, 41.50, 42.50, 41.50, 42.40, 1502
02/11/25, 42.00, 44.70, 41.50, 43.00, 617
02/10/25, 42.50, 42.50, 42.00, 42.50, 2471
02/07/25, 42.80, 45.00, 42.50, 42.50, 2311
02/06/25, 44.00, 44.00, 43.00, 43.00, 4694
02/05/25, 45.00, 45.00, 43.20, 43.20, 19307
