Date, Open, High, Low, Close, Volume
04/24/25, 134.00, 135.00, 132.50, 132.50, 939
04/23/25, 134.75, 134.75, 131.00, 134.50, 566
04/22/25, 130.00, 135.00, 130.00, 134.25, 3976
04/21/25, 129.75, 130.00, 128.00, 129.75, 142
04/17/25, 125.25, 125.25, 123.00, 123.75, 139
04/16/25, 126.00, 128.50, 126.00, 128.50, 4765
04/11/25, 125.00, 125.00, 125.00, 128.50, 25
04/10/25, 124.00, 131.00, 124.00, 128.50, 2169
04/09/25, 129.50, 129.50, 120.25, 123.00, 711
04/08/25, 124.50, 131.00, 120.25, 121.00, 2413
04/07/25, 120.25, 120.50, 115.00, 120.00, 3882
04/04/25, 125.00, 125.00, 120.00, 123.00, 26571
04/03/25, 131.00, 131.00, 123.50, 125.25, 3058
04/02/25, 125.50, 130.00, 122.00, 124.50, 962
04/01/25, 130.00, 130.00, 130.00, 130.25, 38
03/28/25, 128.25, 131.50, 128.25, 130.25, 1486
03/27/25, 122.00, 128.75, 121.00, 122.00, 147
03/26/25, 127.75, 129.50, 121.00, 121.00, 1687
03/25/25, 128.50, 128.50, 128.25, 125.75, 2
03/24/25, 123.50, 129.75, 123.50, 125.75, 8536
03/21/25, 124.00, 130.00, 123.50, 123.75, 8365
03/20/25, 124.50, 124.75, 124.50, 120.25, 61
03/19/25, 120.00, 124.50, 120.00, 120.25, 206
03/18/25, 125.75, 125.75, 121.50, 121.50, 1568
03/17/25, 126.25, 126.25, 120.00, 121.00, 9084
03/14/25, 124.75, 128.75, 124.75, 125.25, 1248
03/12/25, 123.00, 125.00, 110.00, 123.25, 13334
03/11/25, 123.75, 125.00, 122.50, 122.50, 801
03/10/25, 125.00, 125.00, 124.00, 124.00, 541
03/07/25, 125.00, 125.00, 125.00, 126.25, 96
03/06/25, 130.00, 130.00, 125.25, 126.25, 216
03/05/25, 122.25, 123.25, 122.25, 122.50, 226
03/04/25, 130.00, 130.00, 122.00, 122.25, 1910
02/28/25, 125.00, 132.50, 124.50, 131.50, 2494
02/27/25, 126.00, 130.00, 123.00, 123.00, 3121
02/25/25, 130.00, 130.00, 120.00, 122.50, 16974
02/24/25, 134.00, 134.00, 123.25, 130.00, 4752
02/21/25, 134.00, 134.50, 133.75, 134.00, 2228
02/20/25, 140.75, 140.75, 134.00, 135.75, 6125
02/19/25, 142.00, 142.00, 137.00, 137.25, 3235
02/18/25, 140.00, 142.50, 139.75, 142.00, 2069
02/17/25, 144.00, 144.00, 136.50, 137.75, 6019
02/14/25, 136.25, 144.75, 136.25, 143.75, 1129
02/13/25, 140.00, 140.00, 136.00, 138.00, 12518
02/11/25, 134.50, 135.00, 130.00, 132.50, 5592
02/10/25, 139.00, 139.00, 135.00, 135.00, 5366
02/07/25, 139.00, 139.00, 133.75, 138.25, 2604
02/06/25, 136.75, 146.25, 135.00, 140.75, 4368
02/05/25, 148.75, 148.75, 137.00, 137.00, 14129
02/03/25, 145.75, 149.75, 140.00, 144.50, 11574
01/31/25, 155.00, 155.00, 146.00, 146.50, 23836
01/30/25, 139.75, 156.00, 135.25, 149.75, 60794
01/29/25, 136.00, 140.00, 136.00, 139.75, 3724
01/28/25, 134.25, 137.00, 134.00, 135.00, 1514
01/27/25, 136.00, 139.00, 134.25, 135.25, 11736
01/24/25, 140.00, 140.00, 134.75, 138.75, 2467
01/23/25, 142.75, 142.75, 134.00, 137.00, 18062
01/22/25, 140.00, 144.50, 135.75, 143.25, 3886
01/21/25, 140.00, 142.00, 135.00, 140.25, 17068
01/20/25, 139.00, 139.00, 132.00, 134.00, 21415
01/17/25, 133.00, 139.25, 131.25, 137.75, 20663
01/16/25, 122.75, 133.75, 122.25, 129.00, 23428
01/15/25, 119.75, 122.75, 118.00, 121.75, 9066
01/10/25, 120.00, 120.00, 115.75, 116.25, 360
01/09/25, 116.50, 120.50, 116.50, 117.50, 17047
01/08/25, 115.75, 120.75, 115.75, 116.75, 4675
01/07/25, 115.00, 120.00, 115.00, 119.50, 3799
01/06/25, 115.25, 119.25, 112.00, 113.00, 15992
01/03/25, 118.00, 121.00, 116.00, 117.75, 11729
01/02/25, 117.00, 118.75, 116.50, 117.75, 43963
12/31/24, 118.25, 118.25, 117.00, 117.00, 5286
12/30/24, 118.00, 118.75, 117.00, 117.25, 14357
