Date, Open, High, Low, Close, Volume
04/24/25, 53.30, 53.60, 53.00, 53.30, 54034
04/23/25, 53.50, 53.50, 52.10, 53.00, 36733
04/22/25, 53.50, 53.90, 52.70, 53.50, 3578
04/21/25, 53.60, 53.70, 52.50, 52.90, 46136
04/17/25, 53.90, 53.90, 53.00, 53.70, 1759
04/16/25, 53.30, 54.00, 52.00, 53.80, 72048
04/11/25, 53.50, 53.60, 53.00, 53.00, 24342
04/10/25, 52.10, 54.90, 52.00, 53.30, 769128
04/09/25, 52.00, 52.00, 50.10, 51.00, 69145
04/08/25, 50.00, 51.90, 50.00, 51.50, 127449
04/07/25, 52.50, 52.70, 49.00, 49.40, 306451
04/04/25, 54.30, 54.30, 52.00, 53.10, 91129
04/03/25, 55.00, 55.90, 54.20, 54.50, 25499
04/02/25, 55.50, 55.90, 54.60, 55.50, 172048
04/01/25, 55.00, 55.70, 54.50, 55.00, 18652
03/28/25, 55.20, 56.00, 54.00, 54.10, 86297
03/27/25, 56.50, 56.50, 55.00, 55.20, 182340
03/26/25, 56.40, 56.40, 54.80, 54.80, 42741
03/25/25, 55.00, 57.00, 55.00, 56.00, 32332
03/24/25, 55.50, 55.50, 54.00, 55.00, 41627
03/21/25, 53.60, 55.80, 53.50, 54.00, 73314
03/20/25, 52.50, 53.80, 52.50, 53.50, 32687
03/19/25, 53.50, 53.50, 52.00, 52.50, 14861
03/18/25, 54.00, 54.00, 52.50, 52.60, 18661
03/17/25, 54.30, 54.30, 52.00, 53.90, 148134
03/14/25, 55.20, 55.20, 53.50, 54.10, 97005
03/12/25, 55.00, 56.90, 53.90, 55.20, 151189
03/11/25, 62.00, 62.00, 54.50, 55.10, 706710
03/10/25, 66.00, 67.50, 66.00, 66.40, 708222
03/07/25, 67.00, 67.00, 65.90, 66.10, 60506
03/06/25, 66.00, 67.00, 65.90, 65.90, 77856
03/05/25, 66.00, 67.00, 65.80, 65.90, 24605
03/04/25, 67.00, 67.00, 65.20, 65.40, 34941
03/03/25, 68.80, 68.80, 64.70, 66.00, 99552
02/28/25, 67.00, 68.90, 67.00, 68.10, 210712
02/27/25, 66.00, 67.40, 66.00, 66.90, 46052
02/25/25, 67.50, 67.50, 65.80, 66.40, 19165
02/24/25, 67.70, 67.90, 66.00, 67.10, 16151
02/21/25, 66.00, 67.70, 66.00, 67.40, 154316
02/20/25, 67.50, 67.50, 65.80, 65.90, 99797
02/19/25, 67.00, 67.50, 66.00, 67.00, 45317
02/18/25, 67.00, 67.70, 66.00, 66.80, 106446
02/17/25, 67.00, 67.00, 65.50, 66.80, 66668
02/14/25, 67.00, 67.00, 66.50, 66.70, 31973
02/13/25, 65.90, 67.00, 65.50, 66.30, 65435
02/11/25, 65.00, 65.00, 63.90, 64.00, 40217
02/10/25, 65.90, 65.90, 64.50, 65.00, 35278
02/07/25, 65.20, 65.90, 65.00, 65.30, 15809
02/06/25, 64.20, 65.40, 64.20, 65.10, 64457
02/05/25, 67.20, 67.70, 64.00, 64.20, 103251
02/03/25, 67.00, 68.00, 66.70, 67.20, 53522
01/31/25, 66.00, 67.80, 65.90, 67.00, 153406
01/30/25, 65.00, 68.00, 65.00, 66.00, 127975
01/29/25, 64.00, 65.00, 64.00, 64.60, 220795
01/28/25, 64.50, 64.50, 63.80, 64.00, 128260
01/27/25, 64.80, 64.80, 63.50, 64.40, 139805
01/24/25, 64.00, 64.50, 63.00, 63.40, 69300
01/23/25, 63.60, 64.50, 63.20, 64.30, 148929
01/22/25, 64.00, 64.00, 63.10, 63.40, 71993
01/21/25, 63.00, 64.00, 63.00, 63.90, 132829
01/20/25, 63.50, 63.50, 62.50, 63.00, 79115
01/17/25, 62.50, 63.50, 62.50, 62.90, 174123
01/16/25, 62.40, 62.90, 61.00, 62.20, 100337
01/15/25, 62.00, 62.50, 59.80, 61.30, 175583
01/10/25, 60.10, 60.20, 60.00, 60.00, 17540
01/09/25, 61.60, 62.90, 60.00, 60.50, 32989
01/08/25, 61.00, 63.00, 60.50, 61.90, 21176
01/07/25, 59.50, 61.00, 56.90, 60.00, 91662
01/06/25, 62.20, 65.00, 58.90, 59.20, 239151
01/03/25, 65.20, 66.00, 60.00, 61.80, 361064
01/02/25, 62.00, 66.00, 62.00, 65.20, 486447
12/31/24, 60.30, 62.00, 59.60, 61.90, 190262
12/30/24, 58.10, 62.00, 58.10, 60.30, 357862
12/27/24, 57.70, 60.00, 57.40, 58.10, 127401
12/26/24, 56.50, 58.00, 56.20, 57.60, 182066
12/24/24, 56.00, 57.00, 55.00, 55.80, 43892
12/23/24, 57.00, 57.70, 56.00, 56.10, 175671
12/20/24, 54.90, 57.50, 54.00, 57.00, 304866
12/19/24, 54.70, 55.00, 54.00, 54.90, 44176
12/18/24, 53.20, 54.80, 53.10, 54.70, 34255
12/17/24, 54.90, 54.90, 53.10, 53.40, 70869
12/16/24, 54.50, 54.90, 54.10, 54.30, 23977
12/13/24, 54.80, 54.80, 53.60, 54.00, 17851
12/12/24, 54.80, 54.90, 53.50, 54.70, 45452
12/11/24, 53.90, 54.80, 53.40, 54.00, 52155
12/10/24, 53.90, 55.00, 53.20, 54.40, 261970
12/09/24, 54.50, 54.50, 53.40, 53.80, 75379
12/06/24, 54.00, 54.00, 52.90, 53.20, 82541
12/05/24, 54.70, 54.70, 53.50, 53.80, 14493
12/04/24, 54.00, 54.80, 53.50, 53.70, 50937
12/03/24, 54.70, 54.80, 53.50, 53.80, 18506
12/02/24, 54.90, 54.90, 54.10, 54.50, 3577
11/29/24, 54.10, 55.40, 54.10, 54.80, 144157
11/28/24, 52.40, 54.00, 52.00, 53.80, 192118
11/27/24, 52.00, 52.30, 51.80, 52.20, 50743
11/26/24, 52.10, 52.30, 51.40, 52.00, 12545
11/25/24, 53.00, 53.00, 50.30, 52.10, 51731
11/22/24, 52.50, 53.00, 51.70, 52.00, 11247
11/21/24, 52.00, 52.10, 51.50, 51.70, 56241
11/20/24, 52.00, 53.00, 51.60, 52.50, 67540
11/19/24, 53.50, 53.50, 52.70, 52.70, 16916
