Date, Open, High, Low, Close, Volume
04/24/25, 790.75, 800.00, 790.75, 800.00, 36
04/23/25, 798.75, 798.75, 798.75, 800.00, 19
04/22/25, 800.00, 800.00, 800.00, 800.00, 3
04/21/25, 810.00, 810.00, 800.00, 800.00, 5
04/17/25, 800.00, 800.00, 800.00, 800.00, 1
04/16/25, 810.00, 810.00, 800.25, 800.00, 15
04/11/25, 800.00, 810.00, 800.00, 800.00, 2
04/10/25, 790.00, 801.00, 775.00, 800.00, 309
04/09/25, 789.00, 789.75, 759.25, 669.00, 5
04/08/25, 610.50, 790.00, 610.50, 669.00, 314
04/07/25, 770.00, 775.00, 769.00, 770.25, 263
04/04/25, 777.00, 790.00, 770.00, 776.25, 63
04/03/25, 776.25, 777.00, 776.25, 776.25, 612
03/28/25, 772.75, 800.00, 766.25, 776.25, 105
03/27/25, 772.50, 772.50, 772.00, 760.00, 30
03/26/25, 800.00, 800.00, 800.00, 760.00, 9
03/25/25, 770.00, 770.00, 770.00, 760.00, 1
03/21/25, 800.00, 800.00, 790.00, 760.00, 35
03/20/25, 780.00, 787.00, 780.00, 760.00, 62
03/19/25, 790.00, 790.00, 780.75, 760.00, 36
03/18/25, 760.25, 760.25, 760.00, 760.00, 118
03/17/25, 790.00, 790.00, 760.00, 762.00, 177
03/11/25, 783.00, 783.00, 761.25, 788.00, 31
03/06/25, 788.00, 788.00, 788.00, 788.00, 194
03/04/25, 781.75, 790.00, 780.00, 788.00, 560
03/03/25, 782.00, 782.00, 782.00, 790.50, 7
02/28/25, 790.00, 808.50, 781.75, 790.50, 618
02/27/25, 809.00, 809.00, 808.75, 789.25, 11
02/25/25, 780.00, 780.00, 780.00, 789.25, 10
02/24/25, 789.00, 810.00, 771.25, 789.25, 7
02/21/25, 789.00, 815.00, 789.00, 789.25, 25
02/20/25, 820.00, 820.00, 815.00, 789.25, 36
02/19/25, 805.25, 820.00, 750.00, 789.25, 229
