Date, Open, High, Low, Close, Volume
04/24/25, 93.50, 94.70, 93.50, 94.10, 6575
04/23/25, 92.70, 93.50, 92.70, 93.00, 12858
04/22/25, 92.80, 92.80, 90.00, 90.50, 1037
04/21/25, 92.00, 92.70, 90.00, 91.90, 9779
04/17/25, 91.70, 93.00, 90.00, 91.30, 69070
04/16/25, 89.80, 92.00, 88.10, 88.30, 303
04/11/25, 92.90, 92.90, 86.70, 89.80, 417
04/10/25, 90.00, 93.10, 87.00, 90.00, 58131
04/09/25, 86.30, 89.30, 85.90, 86.00, 1059
04/08/25, 85.00, 89.50, 84.50, 87.30, 6342
04/07/25, 87.30, 90.00, 86.00, 86.30, 5673
04/04/25, 90.00, 90.00, 90.00, 87.30, 5
04/03/25, 90.00, 90.00, 87.30, 87.30, 465
04/02/25, 90.00, 90.00, 88.00, 88.20, 1181
04/01/25, 87.80, 90.00, 86.00, 89.60, 6191
03/28/25, 89.90, 90.00, 85.10, 85.20, 10737
03/27/25, 87.20, 90.00, 87.20, 87.90, 805
03/26/25, 90.00, 90.00, 88.00, 88.10, 7452
03/25/25, 90.00, 91.00, 90.00, 90.90, 965
03/24/25, 88.50, 92.40, 88.50, 90.10, 3327
03/21/25, 89.90, 92.00, 88.40, 88.50, 49151
03/20/25, 90.00, 90.00, 88.50, 88.50, 2316
03/19/25, 88.30, 90.00, 88.00, 88.20, 2198
03/18/25, 91.50, 91.50, 88.30, 88.40, 2555
03/17/25, 91.50, 91.50, 91.00, 91.50, 2507
03/14/25, 89.10, 91.50, 88.10, 91.00, 74794
03/12/25, 91.00, 91.00, 89.00, 91.00, 824
03/11/25, 93.30, 93.40, 89.30, 89.50, 8320
03/10/25, 94.90, 94.90, 89.00, 89.30, 4125
03/07/25, 90.00, 93.00, 89.90, 90.00, 4956
03/06/25, 92.00, 92.00, 90.00, 90.00, 148269
03/05/25, 93.50, 94.10, 90.00, 92.00, 71060
03/04/25, 93.50, 93.50, 90.00, 90.00, 38635
03/03/25, 97.80, 97.80, 91.50, 91.50, 60767
02/28/25, 95.00, 95.00, 92.50, 92.50, 35035
02/27/25, 95.00, 95.00, 93.10, 95.00, 20592
02/25/25, 95.00, 95.00, 92.50, 94.30, 27034
02/24/25, 95.00, 97.80, 94.20, 95.00, 12246
02/21/25, 99.00, 99.00, 94.20, 95.00, 79534
02/20/25, 94.50, 99.20, 94.50, 94.70, 36659
02/19/25, 100.00, 100.00, 94.30, 94.50, 73498
02/18/25, 96.00, 102.00, 96.00, 97.00, 2501
02/17/25, 97.20, 101.50, 97.10, 101.00, 42597
02/14/25, 95.50, 98.00, 95.40, 96.60, 315049
02/13/25, 96.50, 96.50, 95.00, 95.90, 19978
02/11/25, 99.50, 99.50, 94.20, 95.20, 21510
02/10/25, 97.20, 99.50, 97.20, 97.20, 236
02/07/25, 101.50, 102.00, 97.20, 100.00, 3050
02/06/25, 96.00, 102.25, 94.00, 96.20, 26319
02/05/25, 104.50, 105.00, 96.00, 96.30, 43644
02/03/25, 103.00, 104.50, 100.75, 103.25, 156804
01/31/25, 99.00, 99.00, 98.50, 98.60, 1404
01/30/25, 101.75, 101.75, 97.60, 98.90, 25292
01/29/25, 99.50, 102.00, 99.50, 100.25, 16695
01/28/25, 100.00, 106.00, 99.00, 100.00, 172682
01/27/25, 96.00, 99.90, 96.00, 98.70, 54886
01/24/25, 95.40, 99.00, 95.00, 96.10, 26107
01/23/25, 96.70, 98.90, 93.00, 95.40, 41348
01/22/25, 96.30, 99.90, 96.30, 99.30, 56477
01/21/25, 96.30, 100.00, 96.20, 99.70, 19728
01/20/25, 99.90, 99.90, 96.30, 98.00, 2480
01/17/25, 100.00, 100.00, 92.10, 99.50, 22766
01/16/25, 100.75, 101.00, 99.50, 99.70, 9031
01/15/25, 102.00, 103.75, 99.00, 100.75, 32124
01/10/25, 102.00, 102.00, 98.10, 100.00, 12720
01/09/25, 101.25, 103.00, 101.00, 101.25, 34408
01/08/25, 99.00, 104.00, 96.60, 100.75, 127742
01/07/25, 92.50, 99.00, 91.70, 97.90, 223218
01/06/25, 94.40, 95.90, 91.00, 91.70, 20810
01/03/25, 93.00, 96.10, 92.00, 92.50, 37723
01/02/25, 93.10, 95.00, 92.50, 93.00, 23206
12/31/24, 93.00, 96.00, 93.00, 93.40, 13319
12/30/24, 94.00, 95.00, 93.10, 94.00, 60020
