Date, Open, High, Low, Close, Volume
04/24/25, 64.00, 65.00, 63.90, 64.10, 585695
04/23/25, 62.60, 64.00, 62.60, 63.90, 714678
04/22/25, 63.00, 63.00, 62.20, 62.60, 69979
04/21/25, 61.20, 64.80, 61.20, 63.00, 693362
04/17/25, 61.90, 61.90, 61.00, 61.50, 158978
04/16/25, 60.00, 61.90, 60.00, 61.50, 345196
04/11/25, 57.50, 60.40, 57.00, 60.10, 943090
04/10/25, 58.00, 58.00, 57.00, 57.50, 362475
04/09/25, 55.00, 56.00, 54.80, 55.00, 86744
04/08/25, 54.00, 57.50, 54.00, 57.00, 296844
04/07/25, 55.10, 56.50, 53.00, 54.60, 243929
04/04/25, 57.00, 57.40, 55.20, 56.40, 249823
04/03/25, 58.00, 58.50, 56.00, 57.40, 549226
04/02/25, 55.00, 58.90, 55.00, 58.20, 477068
04/01/25, 55.00, 56.80, 53.20, 56.10, 209019
03/28/25, 53.70, 54.60, 53.30, 54.10, 157892
03/27/25, 53.70, 53.70, 53.00, 53.60, 34720
03/26/25, 54.10, 54.20, 53.60, 53.70, 24348
03/25/25, 53.90, 55.00, 53.00, 54.00, 86010
03/24/25, 53.00, 53.90, 52.90, 52.90, 33984
03/21/25, 52.00, 53.40, 52.00, 53.00, 94651
03/20/25, 51.00, 52.90, 51.00, 52.50, 40555
03/19/25, 51.00, 52.30, 51.00, 51.10, 62118
03/18/25, 51.40, 52.50, 51.10, 51.20, 59434
03/17/25, 52.00, 52.90, 51.40, 52.50, 11028
03/14/25, 52.00, 53.50, 52.00, 52.10, 96685
03/12/25, 51.80, 53.00, 51.40, 52.10, 185702
03/11/25, 52.00, 52.90, 51.50, 51.80, 79922
03/10/25, 53.50, 53.50, 52.00, 53.00, 89865
03/07/25, 53.00, 53.50, 52.00, 53.00, 422198
03/06/25, 53.20, 53.50, 52.00, 52.90, 114933
03/05/25, 51.50, 53.20, 51.50, 53.10, 49504
03/04/25, 50.50, 53.20, 50.50, 51.70, 97456
03/03/25, 53.30, 53.60, 50.50, 51.60, 65608
02/28/25, 53.20, 53.90, 52.30, 52.50, 24880
02/27/25, 52.90, 53.00, 51.20, 53.00, 86114
02/25/25, 54.00, 54.00, 50.10, 52.40, 82898
02/24/25, 55.00, 55.00, 53.00, 53.70, 65950
02/21/25, 54.90, 55.50, 54.50, 54.80, 23671
02/20/25, 56.00, 56.00, 54.50, 54.90, 41930
02/19/25, 56.60, 56.80, 55.70, 56.00, 43216
02/18/25, 56.80, 56.80, 55.80, 56.00, 48318
02/17/25, 56.00, 57.00, 55.90, 56.50, 296014
02/14/25, 54.20, 56.00, 53.50, 55.00, 80604
02/13/25, 53.00, 55.00, 53.00, 54.40, 10246
02/11/25, 54.70, 54.70, 51.80, 53.60, 123344
02/10/25, 55.70, 56.40, 54.00, 54.70, 37445
02/07/25, 55.50, 56.50, 55.10, 56.00, 71186
02/06/25, 55.00, 55.90, 53.50, 55.00, 197562
02/05/25, 56.50, 56.50, 50.10, 53.80, 130765
02/03/25, 56.20, 57.50, 55.00, 55.40, 186619
01/31/25, 56.60, 57.60, 56.20, 56.40, 88516
01/30/25, 57.90, 58.30, 57.00, 57.10, 63712
01/29/25, 59.00, 59.00, 57.00, 57.60, 137610
01/28/25, 58.40, 59.00, 57.80, 58.10, 320932
01/27/25, 57.50, 59.40, 56.00, 58.00, 599016
01/24/25, 58.90, 58.90, 57.80, 58.00, 96416
01/23/25, 59.90, 60.30, 59.00, 59.00, 1221979
01/22/25, 59.30, 60.40, 58.60, 59.90, 1504646
01/21/25, 57.20, 59.70, 57.20, 59.30, 851944
01/20/25, 56.70, 57.40, 56.00, 57.20, 286999
01/17/25, 56.60, 56.70, 55.60, 56.40, 136561
01/16/25, 56.00, 56.80, 55.50, 56.50, 828081
01/15/25, 54.80, 56.00, 54.40, 55.90, 1269394
01/10/25, 53.80, 54.80, 53.10, 54.40, 79261
01/09/25, 56.00, 56.50, 53.80, 54.20, 305880
01/08/25, 54.30, 56.50, 54.30, 55.00, 965516
01/07/25, 54.00, 54.30, 52.00, 54.00, 1353285
01/06/25, 55.00, 55.30, 53.10, 54.10, 2027860
01/03/25, 55.00, 55.30, 51.00, 51.60, 423631
01/02/25, 53.50, 55.40, 53.50, 54.80, 1672405
12/31/24, 52.50, 53.50, 52.50, 53.30, 2643703
12/30/24, 53.00, 53.10, 52.40, 53.00, 646823
12/27/24, 51.40, 53.90, 51.00, 52.10, 974829
12/26/24, 51.00, 52.10, 50.80, 51.70, 690241
12/24/24, 51.00, 51.40, 50.30, 51.00, 307320
12/23/24, 50.80, 51.90, 50.00, 51.00, 449822
12/20/24, 51.30, 51.30, 50.50, 50.80, 125476
12/19/24, 52.00, 52.90, 50.00, 50.50, 845061
12/18/24, 48.00, 51.80, 47.70, 50.60, 1764512
12/17/24, 48.80, 48.80, 47.60, 47.90, 142714
12/16/24, 49.60, 49.60, 47.50, 48.00, 786222
12/13/24, 49.00, 49.40, 48.60, 48.90, 309797
12/12/24, 49.30, 49.90, 48.90, 49.00, 404102
12/11/24, 48.00, 49.30, 47.00, 48.90, 1114637
12/10/24, 47.10, 48.50, 46.00, 47.50, 1212507
12/09/24, 46.50, 47.10, 45.50, 47.00, 1046040
12/06/24, 47.00, 47.00, 45.70, 46.00, 245014
12/05/24, 47.30, 47.30, 46.00, 47.00, 623074
12/04/24, 46.50, 47.50, 45.50, 46.80, 1795361
12/03/24, 44.80, 46.50, 44.60, 46.30, 387836
12/02/24, 45.10, 45.10, 44.40, 45.00, 51204
11/29/24, 45.50, 45.50, 44.90, 44.90, 110572
11/28/24, 44.90, 45.40, 44.90, 45.10, 82672
11/27/24, 43.60, 44.50, 43.40, 44.30, 87359
11/26/24, 43.50, 45.40, 43.30, 43.80, 94483
11/25/24, 44.10, 44.10, 43.20, 43.50, 50469
11/22/24, 44.00, 46.00, 44.00, 44.10, 259520
11/21/24, 45.00, 45.30, 43.80, 44.40, 85322
11/20/24, 44.20, 45.30, 44.20, 45.20, 27293
11/19/24, 45.00, 45.00, 44.10, 44.50, 61913
11/18/24, 45.90, 46.30, 44.70, 45.00, 44277
11/14/24, 45.30, 46.00, 45.30, 45.50, 32361
11/13/24, 45.10, 46.80, 45.00, 45.40, 120886
11/12/24, 44.90, 45.60, 44.90, 45.10, 113509
11/11/24, 44.80, 44.90, 44.10, 44.40, 3548
11/08/24, 44.00, 44.60, 43.80, 44.00, 107829
11/07/24, 44.30, 44.50, 44.00, 44.00, 52015
11/06/24, 45.00, 45.00, 44.00, 44.40, 32725
11/05/24, 44.00, 45.50, 44.00, 44.90, 227294
11/04/24, 44.80, 46.00, 42.60, 44.30, 65986
11/01/24, 45.00, 46.70, 45.00, 46.00, 139265
10/30/24, 46.00, 46.00, 45.00, 45.00, 974750
10/29/24, 45.20, 46.00, 44.70, 45.60, 508368
10/28/24, 44.80, 45.30, 44.70, 45.10, 98474
10/25/24, 45.20, 45.20, 44.60, 45.00, 79864
10/24/24, 45.00, 45.10, 44.50, 45.00, 801493
10/23/24, 44.10, 45.00, 43.50, 44.60, 90342
10/22/24, 44.40, 44.80, 44.00, 44.00, 18567
10/21/24, 45.00, 45.30, 44.00, 44.90, 271939
10/18/24, 43.60, 45.20, 43.50, 45.00, 1236975
10/16/24, 43.00, 43.60, 42.40, 43.40, 192314
10/15/24, 43.70, 43.70, 42.00, 43.00, 113613
10/14/24, 43.80, 44.00, 41.00, 42.00, 46986
10/11/24, 43.10, 43.60, 43.10, 43.50, 247105
10/10/24, 41.10, 43.50, 40.60, 42.50, 1041989
10/09/24, 41.50, 41.60, 41.20, 41.50, 334396
10/08/24, 41.10, 41.50, 41.00, 41.30, 25605
10/07/24, 40.90, 41.50, 40.50, 41.50, 139867
10/04/24, 40.20, 40.90, 39.80, 40.00, 114036
10/03/24, 41.80, 41.80, 40.10, 40.20, 65166
10/02/24, 40.40, 42.80, 40.40, 41.00, 108908
10/01/24, 40.50, 42.00, 40.30, 41.90, 222940
09/30/24, 40.30, 41.00, 40.30, 40.30, 478324
09/27/24, 39.10, 40.30, 38.10, 40.10, 51457
09/26/24, 40.90, 41.00, 39.00, 39.10, 110294
09/25/24, 39.00, 40.50, 38.60, 39.80, 334998
09/24/24, 38.30, 38.60, 38.10, 38.50, 17208
09/23/24, 36.40, 38.10, 36.30, 37.70, 36987
09/20/24, 38.00, 38.00, 36.30, 36.50, 257072
09/19/24, 37.00, 37.00, 36.50, 36.50, 487834
09/18/24, 36.60, 39.00, 36.20, 36.80, 537866
09/13/24, 36.60, 36.60, 36.60, 36.60, 4900
09/12/24, 36.90, 36.90, 36.30, 36.50, 4428
09/11/24, 36.00, 37.00, 36.00, 36.10, 100969
09/10/24, 36.20, 37.00, 36.00, 36.00, 30370
09/09/24, 37.40, 37.50, 36.50, 36.50, 2499
09/06/24, 37.70, 37.70, 37.00, 37.00, 426
09/05/24, 37.90, 37.90, 36.50, 36.50, 73389
09/04/24, 37.00, 37.70, 36.60, 37.00, 30217
09/03/24, 37.50, 37.50, 36.40, 36.50, 19585
09/02/24, 38.70, 38.70, 36.50, 37.10, 8962
08/30/24, 37.20, 39.50, 36.90, 37.00, 33566
08/29/24, 39.30, 39.50, 37.20, 39.00, 2680
08/28/24, 39.50, 39.50, 37.00, 37.80, 21918
08/27/24, 39.60, 40.00, 39.20, 39.20, 6057
08/26/24, 40.00, 40.80, 39.60, 39.80, 65047
08/23/24, 40.20, 40.90, 40.00, 40.00, 22868
08/22/24, 41.00, 41.00, 40.20, 40.20, 1580
08/21/24, 40.60, 40.90, 40.20, 40.90, 4702
08/20/24, 40.80, 41.00, 40.20, 40.90, 65202
08/16/24, 40.90, 40.90, 40.20, 40.40, 2766
08/15/24, 40.00, 41.00, 40.00, 41.00, 52518
08/14/24, 39.90, 39.90, 39.90, 39.90, 860
08/13/24, 39.50, 40.00, 39.00, 39.90, 116177
08/12/24, 40.90, 40.90, 40.00, 40.00, 5051
08/09/24, 40.00, 40.00, 39.40, 39.90, 26132
08/08/24, 40.00, 40.00, 39.40, 39.60, 6570
08/07/24, 41.50, 41.50, 39.70, 39.90, 13008
08/06/24, 40.00, 41.70, 39.60, 39.70, 8116
08/05/24, 40.30, 40.30, 40.00, 40.00, 47226
08/02/24, 41.00, 41.40, 40.20, 40.90, 1585
