Date, Open, High, Low, Close, Volume
04/24/25, 65.30, 66.60, 65.00, 66.40, 726111
04/23/25, 65.00, 65.40, 64.80, 65.00, 433291
04/22/25, 65.00, 65.00, 64.00, 64.90, 962537
04/21/25, 64.20, 64.60, 63.50, 63.80, 112436
04/17/25, 64.50, 64.80, 63.50, 64.00, 214601
04/16/25, 62.00, 64.50, 62.00, 64.10, 518249
04/11/25, 62.00, 62.40, 59.50, 61.20, 155348
04/10/25, 61.00, 63.90, 61.00, 61.80, 419673
04/09/25, 60.00, 60.00, 58.50, 58.80, 87847
04/08/25, 58.80, 61.00, 58.80, 60.50, 520828
04/07/25, 60.50, 60.50, 56.20, 58.50, 938248
04/04/25, 60.60, 61.70, 60.00, 60.70, 497091
04/03/25, 62.00, 62.90, 60.00, 61.20, 2312945
04/02/25, 63.00, 64.50, 62.60, 63.70, 414278
04/01/25, 59.80, 62.50, 58.90, 62.30, 985628
03/28/25, 58.30, 60.00, 57.20, 58.90, 98280
03/27/25, 58.50, 58.50, 58.10, 58.30, 54423
03/26/25, 58.40, 58.50, 57.50, 58.00, 2177629
03/25/25, 57.50, 58.40, 57.00, 58.00, 147690
03/24/25, 58.50, 58.80, 57.00, 57.00, 207322
03/21/25, 57.60, 58.60, 57.60, 58.50, 210296
03/20/25, 56.00, 57.80, 56.00, 56.90, 1032248
03/19/25, 55.00, 56.60, 54.00, 55.70, 544526
03/18/25, 56.80, 56.80, 54.00, 55.10, 2424831
03/17/25, 58.30, 58.90, 56.50, 56.80, 63957
03/14/25, 57.40, 59.00, 57.40, 58.00, 54029
03/12/25, 56.50, 58.00, 56.00, 57.30, 1492156
03/11/25, 58.30, 58.30, 56.50, 57.00, 92802
03/10/25, 59.70, 60.00, 57.80, 58.00, 58347
03/07/25, 59.00, 59.60, 58.10, 58.70, 101129
03/06/25, 59.80, 60.00, 59.10, 59.60, 90972
03/05/25, 57.50, 59.90, 57.50, 59.70, 244414
03/04/25, 58.00, 58.40, 57.20, 57.50, 111914
03/03/25, 60.90, 61.00, 57.80, 58.20, 81724
02/28/25, 60.00, 60.90, 59.80, 60.10, 177206
02/27/25, 58.90, 59.90, 58.30, 58.80, 169274
02/25/25, 60.00, 60.00, 58.30, 58.50, 432124
02/24/25, 61.70, 61.70, 58.50, 59.10, 445531
02/21/25, 62.00, 62.10, 61.50, 61.70, 332456
02/20/25, 63.10, 63.40, 61.80, 62.00, 164927
02/19/25, 64.30, 65.00, 63.00, 63.30, 140045
02/18/25, 64.60, 66.00, 64.00, 64.30, 960835
02/17/25, 64.00, 64.70, 63.90, 64.30, 237751
02/14/25, 62.20, 64.00, 62.20, 63.50, 232937
02/13/25, 60.90, 63.50, 60.90, 62.90, 305377
02/11/25, 63.40, 63.50, 60.20, 61.00, 325151
02/10/25, 63.50, 64.90, 63.40, 63.80, 147897
02/07/25, 63.50, 63.50, 62.90, 63.00, 205194
02/06/25, 61.50, 63.80, 60.00, 62.90, 385809
02/05/25, 65.00, 65.40, 56.50, 62.40, 708140
02/03/25, 65.00, 65.80, 64.60, 65.00, 178274
01/31/25, 65.70, 66.00, 65.00, 65.00, 364543
01/30/25, 66.60, 66.90, 65.60, 65.70, 356815
01/29/25, 66.50, 66.90, 66.00, 66.60, 294557
01/28/25, 67.40, 67.50, 66.00, 66.30, 434069
01/27/25, 66.50, 67.40, 65.80, 66.80, 1584937
01/24/25, 67.00, 67.70, 66.00, 66.10, 566129
01/23/25, 66.90, 68.00, 66.00, 67.20, 1174209
01/22/25, 67.00, 67.40, 66.50, 66.60, 1319992
01/21/25, 64.50, 67.00, 64.10, 66.80, 2667179
01/20/25, 64.90, 64.90, 63.90, 64.00, 220377
01/17/25, 64.30, 64.80, 63.80, 64.20, 324921
01/16/25, 64.40, 64.50, 63.90, 64.10, 602400
01/15/25, 62.30, 64.20, 62.30, 63.90, 516884
01/10/25, 62.00, 62.40, 61.10, 62.00, 886401
01/09/25, 64.00, 64.90, 61.90, 62.20, 581110
