Date, Open, High, Low, Close, Volume
04/24/25, 13.00, 13.10, 13.00, 13.10, 22479
04/23/25, 12.90, 12.90, 12.80, 12.90, 47874
04/22/25, 12.80, 12.90, 12.80, 12.90, 45253
04/21/25, 13.00, 13.00, 12.80, 12.90, 117004
04/17/25, 13.00, 13.10, 12.80, 12.90, 52677
04/16/25, 13.00, 13.10, 12.90, 12.90, 173072
04/11/25, 13.20, 13.20, 12.90, 13.00, 80263
04/10/25, 13.00, 13.20, 12.80, 13.00, 533124
04/09/25, 13.00, 13.00, 12.40, 12.50, 313521
04/08/25, 12.30, 13.00, 12.30, 12.80, 240349
04/07/25, 12.80, 12.80, 11.60, 12.30, 1414168
04/04/25, 13.00, 13.30, 12.80, 12.90, 506369
04/03/25, 13.10, 13.20, 13.00, 13.00, 144416
04/02/25, 13.30, 13.40, 13.00, 13.30, 171134
04/01/25, 13.00, 13.40, 12.80, 13.30, 466430
03/28/25, 13.10, 13.20, 12.80, 12.90, 247586
03/27/25, 12.90, 13.10, 12.90, 13.10, 257858
03/26/25, 13.10, 13.30, 12.50, 13.00, 590793
03/25/25, 13.40, 13.40, 13.00, 13.20, 104960
03/24/25, 13.30, 13.50, 13.20, 13.30, 123467
03/21/25, 12.90, 13.50, 12.90, 13.50, 415877
03/20/25, 12.60, 13.00, 12.60, 12.90, 328296
03/19/25, 12.80, 13.00, 12.50, 12.70, 618063
03/18/25, 13.20, 13.30, 12.80, 12.80, 808978
03/17/25, 13.60, 13.60, 13.20, 13.30, 655961
03/14/25, 13.70, 13.80, 13.60, 13.60, 42437
03/12/25, 13.50, 13.80, 13.50, 13.70, 273661
03/11/25, 13.80, 13.80, 13.50, 13.50, 427086
03/10/25, 13.90, 13.90, 13.60, 13.80, 391307
03/07/25, 13.80, 13.90, 13.80, 13.90, 125702
03/06/25, 13.90, 14.00, 13.80, 13.90, 212072
03/05/25, 13.80, 14.00, 13.70, 13.90, 169029
03/04/25, 13.90, 13.90, 13.70, 13.70, 307330
03/03/25, 14.00, 14.00, 13.90, 13.90, 144944
02/28/25, 14.10, 14.30, 14.00, 14.00, 368457
02/27/25, 13.90, 14.10, 13.90, 14.00, 314400
02/25/25, 13.80, 14.00, 13.80, 13.90, 292206
02/24/25, 14.00, 14.00, 13.80, 13.80, 258317
02/21/25, 13.80, 14.00, 13.80, 14.00, 237466
02/20/25, 13.90, 14.00, 13.80, 13.80, 213760
02/19/25, 14.00, 14.00, 13.80, 13.90, 132694
02/18/25, 14.20, 14.30, 13.80, 14.00, 541044
02/17/25, 14.30, 14.30, 14.00, 14.10, 239214
02/14/25, 14.20, 14.40, 14.10, 14.30, 437449
02/13/25, 13.90, 14.30, 13.90, 14.20, 245066
02/11/25, 14.20, 14.30, 13.90, 14.00, 240314
02/10/25, 14.20, 14.30, 14.00, 14.30, 278191
02/07/25, 13.80, 14.20, 13.70, 14.10, 301366
02/06/25, 13.60, 14.00, 13.60, 13.80, 430491
02/05/25, 14.00, 14.00, 13.60, 13.70, 1085977
02/03/25, 14.10, 14.20, 13.90, 14.00, 907809
01/31/25, 14.10, 14.20, 14.00, 14.10, 72468
01/30/25, 14.20, 14.20, 13.90, 14.10, 172324
01/29/25, 14.10, 14.20, 14.00, 14.20, 317836
01/28/25, 14.20, 14.20, 14.00, 14.20, 149140
01/27/25, 13.90, 14.30, 13.90, 14.10, 873823
01/24/25, 14.00, 14.10, 13.80, 13.90, 572713
01/23/25, 14.10, 14.10, 13.80, 13.90, 868473
01/22/25, 14.20, 14.40, 14.00, 14.10, 485134
01/21/25, 14.30, 14.50, 13.90, 14.00, 1498536
01/20/25, 13.80, 14.50, 13.80, 14.30, 3709625
01/17/25, 12.60, 13.80, 12.60, 13.70, 2096577
01/16/25, 12.10, 12.80, 12.10, 12.50, 1217784
01/15/25, 11.90, 12.10, 11.80, 12.00, 6242613
01/10/25, 11.80, 12.10, 11.80, 12.00, 361615
01/09/25, 11.90, 12.10, 11.80, 11.90, 245529
01/08/25, 11.90, 12.10, 11.90, 12.00, 211881
01/07/25, 12.00, 12.10, 11.80, 12.00, 400371
01/06/25, 11.90, 12.40, 11.80, 12.10, 1715942
01/03/25, 12.00, 12.50, 11.80, 11.90, 1152994
01/02/25, 11.50, 12.20, 11.50, 12.00, 3754307
12/31/24, 11.20, 11.70, 11.20, 11.50, 975184
12/30/24, 11.10, 11.30, 11.10, 11.20, 385856
