Date, Open, High, Low, Close, Volume
04/24/25, 13.50, 13.50, 13.20, 13.20, 26922
04/23/25, 13.50, 13.80, 13.50, 13.50, 21390
04/22/25, 13.40, 13.50, 13.40, 13.40, 501
04/21/25, 13.40, 13.50, 13.40, 13.50, 24518
04/17/25, 13.40, 13.60, 13.30, 13.40, 3032
04/16/25, 13.30, 13.60, 13.20, 13.40, 901
04/11/25, 13.40, 13.40, 13.20, 13.40, 1071
04/10/25, 13.40, 13.40, 13.20, 13.20, 3671194
04/09/25, 13.10, 13.40, 12.90, 12.90, 10001
04/08/25, 13.10, 13.10, 13.00, 13.10, 11606
04/07/25, 13.30, 13.50, 13.00, 13.10, 11954
04/04/25, 13.50, 13.50, 13.20, 13.40, 1697
04/03/25, 13.50, 13.50, 13.50, 13.20, 75
04/02/25, 13.20, 13.20, 13.20, 13.20, 21005
04/01/25, 13.50, 13.50, 13.10, 13.20, 20500
03/28/25, 13.50, 13.70, 13.40, 13.50, 26992
03/27/25, 13.80, 13.80, 13.50, 13.50, 1002024
03/26/25, 13.40, 13.70, 13.40, 13.50, 152
03/25/25, 13.50, 13.80, 13.50, 13.50, 1010615
03/24/25, 13.50, 13.90, 13.50, 13.60, 52234
03/21/25, 13.50, 13.50, 13.40, 13.50, 25209
03/20/25, 13.50, 13.50, 13.50, 13.50, 1001252
03/19/25, 13.40, 13.50, 13.30, 13.50, 12337
03/18/25, 14.40, 14.40, 13.40, 13.40, 248803
03/17/25, 13.70, 14.90, 13.70, 14.40, 1333228
03/14/25, 13.60, 13.70, 13.60, 13.70, 763
03/12/25, 13.60, 13.60, 13.30, 13.50, 8508
03/11/25, 13.30, 13.60, 13.30, 13.60, 42909
03/10/25, 13.40, 13.40, 13.40, 13.40, 7130
03/07/25, 13.50, 13.50, 13.20, 13.20, 8714
03/06/25, 13.50, 13.60, 13.50, 13.50, 9351
03/05/25, 13.20, 13.50, 13.20, 13.20, 11105
03/04/25, 13.40, 13.40, 13.40, 13.40, 5338
03/03/25, 13.80, 13.80, 13.50, 13.50, 700
02/28/25, 13.30, 13.50, 13.10, 13.50, 815522
02/27/25, 13.60, 13.80, 13.30, 13.30, 14550
02/25/25, 13.70, 13.70, 13.60, 13.60, 24371
02/24/25, 13.80, 13.80, 13.60, 13.70, 110975
02/21/25, 13.70, 13.80, 13.70, 13.80, 50554
02/20/25, 13.70, 13.70, 13.60, 13.70, 1031491
02/19/25, 13.50, 13.70, 13.50, 13.60, 92049
02/18/25, 13.60, 13.60, 13.50, 13.50, 101200
02/17/25, 13.50, 13.60, 13.30, 13.50, 136175
02/14/25, 13.30, 13.50, 13.20, 13.30, 17435
02/13/25, 13.40, 13.50, 13.20, 13.30, 106586
02/11/25, 13.30, 13.40, 13.10, 13.30, 19426
02/10/25, 13.30, 13.30, 13.10, 13.10, 966
02/07/25, 13.10, 13.40, 13.10, 13.10, 13880
02/06/25, 13.00, 13.40, 13.00, 13.10, 15834
02/05/25, 13.60, 13.60, 13.00, 13.20, 116190
02/03/25, 13.60, 13.60, 13.30, 13.30, 9215
01/31/25, 13.40, 13.50, 13.10, 13.30, 14402
01/30/25, 13.40, 13.40, 13.20, 13.40, 23350
01/29/25, 13.50, 13.70, 13.40, 13.60, 96880
01/28/25, 13.40, 13.40, 13.10, 13.30, 1264328
01/27/25, 13.30, 13.40, 13.10, 13.20, 24654
01/24/25, 13.50, 13.50, 13.30, 13.30, 38213
01/23/25, 13.40, 13.40, 13.00, 13.10, 43043
01/22/25, 13.30, 13.40, 13.00, 13.30, 15690
01/21/25, 13.20, 13.40, 13.00, 13.20, 50155
01/20/25, 13.00, 13.20, 13.00, 13.20, 35993
01/17/25, 13.00, 13.00, 12.90, 13.00, 120527
01/16/25, 12.80, 13.40, 12.80, 13.20, 567660
01/15/25, 13.20, 13.50, 13.00, 13.00, 88261
01/10/25, 13.00, 13.10, 12.90, 13.00, 270331
01/09/25, 13.00, 13.10, 12.90, 13.00, 11579
01/08/25, 13.10, 13.20, 13.00, 13.20, 73914
01/07/25, 13.00, 13.10, 12.80, 13.00, 10055
01/06/25, 13.00, 13.00, 12.80, 12.80, 60544
01/03/25, 13.00, 13.30, 12.90, 13.00, 157598
01/02/25, 12.80, 13.10, 12.80, 12.90, 57816
12/31/24, 13.20, 13.20, 12.80, 12.80, 41629
12/30/24, 13.20, 13.20, 12.90, 13.00, 94455
12/27/24, 13.10, 13.10, 12.80, 12.90, 120993
12/26/24, 12.90, 13.30, 12.90, 13.00, 81522
12/24/24, 12.80, 12.90, 12.60, 12.80, 72260
12/23/24, 12.70, 12.80, 12.70, 12.70, 98206
12/20/24, 12.90, 12.90, 12.70, 12.80, 52785
12/19/24, 12.80, 12.80, 12.70, 12.70, 93777
12/18/24, 12.70, 12.80, 12.60, 12.80, 77928
12/17/24, 12.60, 12.70, 12.40, 12.60, 336695
12/16/24, 12.70, 12.70, 12.50, 12.60, 43841
12/13/24, 12.80, 12.80, 12.50, 12.60, 511719
12/12/24, 12.80, 12.90, 12.80, 12.80, 47716
12/11/24, 12.80, 12.90, 12.70, 12.90, 66551
12/10/24, 12.90, 12.90, 12.70, 12.70, 471160
12/09/24, 12.90, 12.90, 12.70, 12.80, 130324
12/06/24, 12.80, 12.90, 12.80, 12.90, 24629
12/05/24, 13.00, 13.00, 12.70, 12.90, 4451531
12/04/24, 12.90, 13.10, 12.90, 13.00, 170010
12/03/24, 12.70, 13.00, 12.50, 12.70, 28829
12/02/24, 12.70, 12.90, 12.70, 12.80, 4279948
11/29/24, 13.20, 13.20, 12.60, 12.70, 287307
11/28/24, 13.00, 13.50, 13.00, 13.20, 90040
11/27/24, 13.30, 13.30, 13.00, 13.20, 95051
11/26/24, 13.40, 13.40, 13.10, 13.30, 34289
11/25/24, 13.30, 13.40, 13.10, 13.20, 13126
11/22/24, 13.60, 13.60, 13.10, 13.40, 159867
11/21/24, 13.70, 13.70, 13.30, 13.30, 9828
11/20/24, 13.40, 13.60, 13.20, 13.50, 38626
11/19/24, 13.30, 13.70, 13.30, 13.60, 17057
11/18/24, 13.80, 13.80, 13.40, 13.50, 20643
11/14/24, 13.50, 13.70, 13.20, 13.20, 339591
11/13/24, 13.90, 14.00, 13.40, 13.50, 77953
11/12/24, 13.28, 13.28, 12.82, 13.09, 117586.677194862
11/11/24, 12.72, 12.91, 12.54, 12.91, 40070.5164295381
11/08/24, 12.63, 12.72, 12.54, 12.63, 9893.1646145093
11/07/24, 12.82, 12.82, 12.63, 12.63, 32028.862833225
11/06/24, 12.82, 12.82, 12.72, 12.82, 3128.15335470286
11/05/24, 12.82, 12.91, 12.82, 12.82, 67356.1703098798
11/04/24, 12.91, 12.91, 12.72, 12.82, 173022.45729386
11/01/24, 12.63, 12.82, 12.63, 12.72, 8346.44246339756
10/30/24, 12.82, 12.82, 12.63, 12.63, 38834.0064349607
10/29/24, 12.54, 12.82, 12.54, 12.82, 21707.2583521735
10/28/24, 12.63, 12.82, 12.63, 12.82, 17277.5155294944
10/25/24, 12.72, 12.82, 12.72, 12.72, 174.62992028681
