Date, Open, High, Low, Close, Volume
04/24/25, 2.00, 2.00, 1.90, 2.00, 390850
04/23/25, 1.90, 2.00, 1.90, 2.00, 258965
04/22/25, 2.00, 2.00, 1.90, 1.90, 47756
04/21/25, 2.00, 2.00, 1.90, 2.00, 154108
04/17/25, 2.00, 2.00, 1.90, 2.00, 294313
04/16/25, 2.00, 2.00, 1.90, 2.00, 359454
04/11/25, 1.90, 2.00, 1.90, 2.00, 7015
04/10/25, 1.90, 2.00, 1.90, 2.00, 481861
04/09/25, 2.00, 2.00, 1.80, 1.90, 482427
04/08/25, 1.90, 2.00, 1.80, 1.90, 2542313
04/07/25, 1.90, 1.90, 1.80, 1.90, 1579486
04/04/25, 1.90, 2.00, 1.90, 1.90, 2198247
04/03/25, 2.00, 2.00, 1.90, 1.90, 73275
04/02/25, 2.00, 2.00, 1.90, 2.00, 248838
04/01/25, 2.00, 2.00, 1.90, 2.00, 61132
03/28/25, 2.00, 2.00, 1.90, 2.00, 6056
03/27/25, 2.00, 2.00, 1.90, 2.00, 412126
03/26/25, 2.00, 2.00, 1.90, 2.00, 966875
03/25/25, 2.10, 2.10, 1.90, 2.00, 265469
03/24/25, 2.00, 2.10, 1.90, 2.00, 79623
03/21/25, 2.10, 2.10, 1.90, 2.00, 359098
03/20/25, 2.00, 2.10, 1.90, 2.00, 1418713
03/19/25, 1.90, 2.00, 1.90, 2.00, 1123121
03/18/25, 2.00, 2.00, 1.90, 1.90, 477456
03/17/25, 2.00, 2.00, 1.90, 1.90, 83752
03/14/25, 2.00, 2.10, 1.90, 2.00, 215371
03/12/25, 2.00, 2.00, 1.90, 2.00, 187396
03/11/25, 2.00, 2.00, 1.90, 2.00, 608883
03/10/25, 2.00, 2.10, 1.90, 1.90, 1212231
03/07/25, 2.10, 2.10, 1.90, 2.00, 247147
03/06/25, 2.10, 2.10, 2.00, 2.10, 323303
03/05/25, 2.00, 2.10, 1.90, 2.00, 1628454
03/04/25, 2.00, 2.00, 1.90, 1.90, 2443385
03/03/25, 2.10, 2.10, 1.90, 2.00, 4206640
02/28/25, 2.10, 2.10, 2.00, 2.00, 590050
02/27/25, 2.00, 2.10, 2.00, 2.10, 2224160
02/25/25, 2.00, 2.10, 2.00, 2.00, 2947867
02/24/25, 2.10, 2.10, 2.00, 2.00, 1519731
02/21/25, 2.10, 2.10, 2.00, 2.10, 98275
02/20/25, 2.00, 2.10, 2.00, 2.00, 178494
02/19/25, 2.10, 2.20, 2.00, 2.10, 458412
02/18/25, 2.10, 2.20, 2.00, 2.00, 4572104
02/17/25, 2.10, 2.20, 2.10, 2.10, 2521072
02/14/25, 2.10, 2.20, 2.10, 2.20, 723032
02/13/25, 2.10, 2.20, 2.00, 2.10, 2976196
02/11/25, 2.20, 2.20, 2.00, 2.10, 2663105
02/10/25, 2.20, 2.20, 2.10, 2.10, 732637
02/07/25, 2.20, 2.20, 2.10, 2.10, 1458142
02/06/25, 2.10, 2.20, 2.10, 2.10, 5597793
02/05/25, 2.20, 2.30, 2.10, 2.20, 2955807
02/03/25, 2.20, 2.30, 2.10, 2.20, 5230600
01/31/25, 2.30, 2.30, 2.20, 2.20, 2588882
01/30/25, 2.30, 2.30, 2.20, 2.20, 1267903
01/29/25, 2.20, 2.30, 2.10, 2.30, 5129776
01/28/25, 2.20, 2.30, 2.10, 2.20, 7354700
01/27/25, 2.20, 2.30, 2.10, 2.20, 3040078
01/24/25, 2.20, 2.30, 2.10, 2.10, 6544008
01/23/25, 2.30, 2.30, 2.10, 2.20, 4295755
01/22/25, 2.20, 2.30, 2.10, 2.20, 15904640
01/21/25, 2.20, 2.20, 2.10, 2.10, 2957370
01/20/25, 2.20, 2.20, 2.10, 2.10, 893154
01/17/25, 2.20, 2.20, 2.00, 2.10, 7668585
01/16/25, 2.10, 2.20, 2.10, 2.10, 1948195
01/15/25, 2.20, 2.20, 2.10, 2.10, 3456754
01/10/25, 2.10, 2.20, 2.10, 2.20, 416912
01/09/25, 2.10, 2.20, 2.10, 2.10, 7303090
01/08/25, 2.20, 2.20, 2.10, 2.10, 1646640
01/07/25, 2.20, 2.20, 2.10, 2.10, 2718282
01/06/25, 2.20, 2.20, 2.10, 2.10, 6508714
01/03/25, 2.20, 2.30, 2.10, 2.10, 15420690
01/02/25, 2.10, 2.20, 2.10, 2.10, 3225584
12/31/24, 2.20, 2.20, 2.10, 2.10, 6607823
12/30/24, 2.30, 2.30, 2.10, 2.20, 4984157
12/27/24, 2.30, 2.30, 2.10, 2.20, 11865610
12/26/24, 2.20, 2.50, 2.00, 2.20, 193730000
12/24/24, 2.10, 2.20, 2.00, 2.10, 14429330
12/23/24, 2.10, 2.10, 2.00, 2.10, 1040382
12/20/24, 2.00, 2.10, 2.00, 2.00, 2427901
12/19/24, 2.00, 2.10, 1.90, 2.00, 3835004
12/18/24, 2.00, 2.10, 2.00, 2.00, 3943810
12/17/24, 2.00, 2.10, 1.90, 2.00, 4218843
12/16/24, 2.00, 2.10, 2.00, 2.00, 2140565
12/13/24, 2.00, 2.10, 2.00, 2.00, 1542904
12/12/24, 2.10, 2.10, 1.90, 2.00, 15884380
12/11/24, 2.00, 2.10, 2.00, 2.00, 451184
12/10/24, 2.10, 2.10, 2.00, 2.00, 6654763
12/09/24, 2.10, 2.10, 2.00, 2.10, 2289003
12/06/24, 2.10, 2.10, 2.00, 2.00, 1302657
12/05/24, 2.10, 2.10, 2.00, 2.00, 1346826
12/04/24, 2.10, 2.10, 2.00, 2.10, 1649643
12/03/24, 2.10, 2.10, 2.00, 2.00, 3594338
12/02/24, 2.10, 2.10, 2.00, 2.10, 1760087
11/29/24, 2.20, 2.40, 2.00, 2.00, 135643391
11/28/24, 2.00, 2.30, 2.00, 2.20, 17030711
11/27/24, 2.00, 2.10, 1.90, 2.00, 732860
11/26/24, 2.00, 2.10, 1.90, 2.00, 938075
11/25/24, 2.00, 2.10, 1.90, 2.00, 574303
11/22/24, 2.10, 2.10, 2.00, 2.00, 2218264
11/21/24, 2.10, 2.10, 2.00, 2.00, 778914
11/20/24, 2.10, 2.10, 2.00, 2.10, 908504
11/19/24, 2.10, 2.10, 2.00, 2.00, 3051155
11/18/24, 2.10, 2.10, 2.00, 2.10, 2344606
11/14/24, 2.10, 2.10, 2.00, 2.00, 2436481
11/13/24, 2.10, 2.10, 2.00, 2.00, 4428764
11/12/24, 2.10, 2.10, 1.90, 2.00, 3887637
11/11/24, 2.10, 2.10, 2.00, 2.10, 337560
11/08/24, 2.10, 2.10, 2.00, 2.00, 7934844
11/07/24, 2.00, 2.10, 2.00, 2.00, 175604
11/06/24, 2.00, 2.10, 2.00, 2.00, 247618
11/05/24, 2.00, 2.10, 2.00, 2.00, 22576
11/04/24, 2.00, 2.10, 2.00, 2.00, 310336
11/01/24, 2.10, 2.10, 2.00, 2.00, 148991
10/30/24, 2.00, 2.10, 2.00, 2.00, 1172857
10/29/24, 2.10, 2.10, 2.00, 2.00, 353078
10/28/24, 2.10, 2.10, 2.00, 2.00, 1747824
10/25/24, 2.10, 2.10, 2.00, 2.00, 505246
10/24/24, 2.00, 2.10, 2.00, 2.00, 1067352
10/23/24, 2.10, 2.10, 2.00, 2.10, 160652
10/22/24, 2.10, 2.10, 2.00, 2.00, 2336200
10/21/24, 2.10, 2.10, 2.00, 2.10, 1174485
10/18/24, 2.10, 2.20, 2.00, 2.10, 1439137
10/16/24, 2.20, 2.20, 2.10, 2.10, 2611177
10/15/24, 2.10, 2.20, 2.10, 2.20, 1458790
10/14/24, 2.10, 2.20, 2.00, 2.10, 2111225
10/11/24, 2.10, 2.20, 2.00, 2.10, 1913691
10/10/24, 2.10, 2.20, 2.00, 2.10, 2642409
10/09/24, 2.10, 2.20, 2.10, 2.10, 3752206
10/08/24, 2.10, 2.20, 2.00, 2.10, 7850057
10/07/24, 2.40, 2.50, 2.00, 2.10, 85230359
10/04/24, 2.40, 2.40, 2.30, 2.30, 545282
10/03/24, 2.40, 2.50, 2.30, 2.40, 383296
10/02/24, 2.40, 2.50, 2.30, 2.40, 1060307
10/01/24, 2.50, 2.50, 2.40, 2.40, 931166
09/30/24, 2.40, 2.60, 2.40, 2.50, 1632861
09/27/24, 2.30, 2.50, 2.30, 2.40, 2252694
09/26/24, 2.30, 2.40, 2.20, 2.20, 836794
09/25/24, 2.20, 2.30, 2.10, 2.20, 983678
09/24/24, 2.10, 2.30, 2.10, 2.20, 328512
09/23/24, 2.00, 2.20, 2.00, 2.20, 171483
09/20/24, 2.20, 2.20, 2.10, 2.10, 106686
09/19/24, 2.20, 2.20, 2.00, 2.10, 108544
09/18/24, 2.10, 2.20, 2.00, 2.10, 125054
09/13/24, 2.00, 2.10, 2.00, 2.10, 241152
09/12/24, 2.10, 2.10, 2.10, 2.10, 17650
09/11/24, 2.10, 2.10, 2.00, 2.10, 49209
09/10/24, 2.00, 2.10, 2.00, 2.10, 46039
