Date, Open, High, Low, Close, Volume
04/24/25, 28.40, 28.70, 28.20, 28.50, 216753
04/23/25, 28.60, 28.70, 28.00, 28.50, 144712
04/22/25, 28.80, 28.80, 28.30, 28.60, 113184
04/21/25, 28.50, 28.80, 28.40, 28.70, 327932
04/17/25, 28.40, 28.50, 28.20, 28.40, 233977
04/16/25, 28.10, 28.50, 27.70, 28.40, 283525
04/11/25, 28.10, 28.10, 27.20, 28.10, 98222
04/10/25, 27.80, 28.40, 27.80, 28.10, 494227
04/09/25, 27.50, 27.80, 26.90, 27.20, 111283
04/08/25, 26.00, 28.00, 26.00, 27.90, 384176
04/07/25, 27.00, 27.00, 25.50, 25.90, 857993
04/04/25, 27.50, 27.60, 26.50, 27.30, 558938
04/03/25, 27.90, 28.20, 27.60, 28.00, 563339
04/02/25, 28.30, 28.30, 28.00, 28.00, 155296
04/01/25, 28.00, 28.20, 27.90, 28.20, 335560
03/28/25, 28.20, 28.20, 27.90, 28.00, 76888
03/27/25, 28.00, 28.20, 27.90, 28.10, 144871
03/26/25, 27.90, 28.30, 27.80, 28.00, 291295
03/25/25, 28.00, 28.00, 27.70, 27.90, 441499
03/24/25, 27.90, 28.10, 27.50, 27.90, 629676
03/21/25, 28.50, 28.90, 28.50, 28.60, 1706142
03/20/25, 28.20, 28.60, 28.20, 28.40, 591744
03/19/25, 28.10, 28.40, 28.00, 28.10, 635559
03/18/25, 29.50, 29.50, 28.20, 28.40, 835090
03/17/25, 29.70, 29.70, 29.20, 29.20, 472424
03/14/25, 29.90, 29.90, 29.20, 29.70, 1391167
03/12/25, 28.80, 29.00, 28.50, 28.90, 166391
03/11/25, 29.70, 29.70, 28.50, 29.00, 471671
03/10/25, 29.90, 30.00, 29.00, 29.50, 503053
03/07/25, 29.00, 30.00, 28.60, 29.80, 2202494
03/06/25, 28.00, 29.30, 28.00, 29.00, 1571642
03/05/25, 25.70, 28.10, 25.70, 27.80, 1753924
03/04/25, 26.90, 26.90, 25.00, 25.30, 716434
03/03/25, 27.80, 28.70, 26.50, 26.90, 589912
02/20/25, 28.35, 28.35, 27.60, 27.80, 178104.997328425
02/19/25, 28.60, 28.60, 28.00, 28.00, 184029.99723955
02/18/25, 28.80, 28.80, 28.40, 28.55, 237539.9964369
02/17/25, 28.40, 29.00, 28.40, 28.85, 380484.994292725
02/14/25, 28.00, 28.40, 27.40, 28.10, 568109.99147835
02/13/25, 27.75, 27.90, 26.70, 27.65, 1009669.98485495
02/11/25, 28.00, 28.00, 26.40, 27.20, 763974.988540375
02/10/25, 28.00, 28.60, 27.95, 28.00, 808629.98787055
02/07/25, 29.00, 29.15, 27.10, 27.90, 1107829.98338255
02/06/25, 29.50, 29.80, 28.00, 29.20, 1162149.98256775
02/05/25, 30.45, 30.80, 29.60, 29.80, 966864.985497025
02/03/25, 30.60, 31.30, 30.40, 30.80, 349549.99475675
01/31/25, 31.55, 31.55, 30.65, 30.85, 734849.98897725
01/30/25, 31.60, 32.00, 30.75, 31.15, 686719.9896992
01/29/25, 30.40, 32.00, 30.40, 31.35, 1563034.97655448
01/28/25, 30.20, 30.70, 29.80, 30.55, 194539.9970819
01/27/25, 29.70, 30.25, 29.60, 30.05, 1247789.98128315
01/24/25, 29.20, 29.80, 29.00, 29.65, 229279.9965608
01/23/25, 29.20, 29.60, 29.00, 29.20, 359814.994602775
01/22/25, 29.60, 29.60, 29.15, 29.20, 489659.9926551
01/21/25, 29.90, 30.00, 29.30, 29.75, 417014.993744775
01/20/25, 29.00, 30.00, 28.95, 29.90, 1069349.98395975
01/17/25, 28.70, 29.05, 28.60, 29.00, 588574.991171375
01/16/25, 28.50, 29.00, 28.25, 28.80, 662309.99006535
01/15/25, 27.75, 28.60, 27.70, 28.55, 666844.989997325
01/10/25, 28.00, 28.30, 27.60, 28.20, 847159.9872926
01/09/25, 27.80, 28.30, 27.75, 28.00, 2688539.9596719
01/08/25, 27.20, 27.80, 27.10, 27.60, 1745754.97381368
01/07/25, 26.35, 27.45, 26.15, 27.20, 2220179.9666973
01/06/25, 26.00, 27.00, 26.00, 26.35, 7952434.88071348
01/03/25, 25.00, 25.70, 23.20, 24.05, 1869854.97195218
01/02/25, 25.00, 25.30, 24.70, 24.85, 972334.985414975
12/31/24, 25.90, 25.95, 25.05, 25.10, 565809.99151285
12/30/24, 25.50, 26.05, 25.50, 25.75, 856264.987156025
12/27/24, 24.60, 25.60, 24.60, 25.25, 1463519.9780472
12/26/24, 23.15, 24.70, 23.15, 24.35, 1463169.97805245
12/24/24, 22.80, 23.70, 22.75, 23.05, 828199.987577
12/23/24, 23.00, 23.00, 22.75, 22.80, 239879.9964018
12/20/24, 23.40, 23.40, 22.55, 22.75, 164464.997533025
12/19/24, 22.50, 23.40, 22.20, 23.15, 1085299.9837205
12/18/24, 22.30, 22.65, 22.00, 22.55, 415274.993770875
12/17/24, 22.60, 22.60, 22.15, 22.55, 858869.98711695
12/16/24, 22.50, 22.60, 22.40, 22.55, 757659.9886351
12/13/24, 22.40, 22.60, 22.25, 22.40, 333479.9949978
12/12/24, 22.15, 22.55, 22.15, 22.50, 675319.9898702
12/11/24, 22.50, 22.60, 22.20, 22.30, 594349.99108475
12/10/24, 22.75, 22.75, 22.05, 22.50, 434669.99347995
12/09/24, 21.90, 22.80, 21.80, 22.70, 2122869.96815695
12/06/24, 20.75, 21.60, 20.75, 21.55, 1024589.98463115
12/05/24, 20.90, 20.90, 20.55, 20.70, 215199.996772
12/04/24, 20.75, 21.05, 20.75, 20.95, 516709.99224935
12/03/24, 20.60, 20.70, 20.45, 20.50, 439824.993402625
12/02/24, 20.20, 20.60, 20.20, 20.40, 689184.989662225
11/29/24, 20.00, 20.35, 20.00, 20.10, 694904.989576425
