Date, Open, High, Low, Close, Volume
04/24/25, 25.40, 25.40, 24.00, 24.00, 141870
04/23/25, 25.00, 25.40, 24.60, 24.70, 11797
04/22/25, 25.40, 25.40, 24.50, 24.80, 7969
04/21/25, 25.40, 25.40, 25.00, 25.00, 19620
04/17/25, 25.50, 25.50, 25.20, 25.20, 14612
04/16/25, 25.00, 26.00, 25.00, 25.50, 13544
04/11/25, 24.90, 25.00, 24.80, 24.80, 35442
04/10/25, 25.00, 25.00, 24.50, 24.90, 6810
04/09/25, 24.00, 24.50, 23.10, 24.20, 47936
04/08/25, 23.60, 24.50, 23.60, 24.00, 29969
04/07/25, 24.50, 24.50, 22.90, 23.80, 90090
04/04/25, 24.90, 25.00, 24.50, 24.90, 62188
04/03/25, 24.90, 25.20, 24.50, 24.90, 6808
04/02/25, 25.10, 25.20, 25.00, 25.00, 316840
04/01/25, 25.00, 25.10, 24.80, 25.00, 29406
03/28/25, 25.10, 25.10, 24.90, 25.00, 139330
03/27/25, 24.90, 25.10, 24.90, 25.10, 17363
03/26/25, 25.20, 25.20, 24.90, 24.90, 18513
03/25/25, 25.20, 25.20, 25.00, 25.20, 9219
03/24/25, 25.10, 25.20, 24.90, 25.00, 52136
03/21/25, 25.00, 25.00, 24.90, 24.90, 76321
03/20/25, 24.90, 25.00, 24.50, 24.70, 2424
03/19/25, 24.60, 25.00, 24.60, 24.90, 78400
03/18/25, 24.90, 25.00, 24.20, 24.90, 202400
03/17/25, 25.10, 25.10, 24.90, 24.90, 12036
03/14/25, 25.10, 25.10, 24.90, 25.00, 6362
03/12/25, 25.20, 25.20, 24.90, 25.10, 10554
03/11/25, 25.00, 25.00, 24.90, 24.90, 481581
03/10/25, 25.00, 25.50, 24.90, 25.00, 49213
03/07/25, 25.70, 25.70, 25.00, 25.10, 34028
03/06/25, 25.40, 25.60, 25.10, 25.10, 44321
03/05/25, 24.80, 25.50, 24.70, 24.80, 31432
03/04/25, 24.70, 25.00, 24.50, 24.60, 46930
03/03/25, 25.60, 25.60, 24.60, 24.70, 33885
02/28/25, 25.60, 25.60, 25.00, 25.10, 6411
02/27/25, 25.90, 25.90, 24.30, 25.00, 44567
02/25/25, 25.80, 25.90, 25.70, 25.80, 369969
02/24/25, 26.00, 26.20, 25.80, 26.00, 547518
02/21/25, 26.30, 26.30, 26.00, 26.10, 62699
02/20/25, 26.90, 27.00, 26.10, 26.20, 29444
02/19/25, 27.00, 27.00, 26.60, 26.60, 10580
02/18/25, 26.90, 27.00, 26.60, 26.70, 149039
02/17/25, 27.00, 27.30, 26.80, 27.00, 764419
02/14/25, 26.00, 27.20, 26.00, 26.40, 1593007
02/13/25, 25.40, 26.00, 25.40, 25.50, 27375
02/11/25, 25.50, 26.00, 25.30, 25.30, 381775
02/10/25, 26.10, 26.10, 25.20, 25.50, 78015
02/07/25, 25.50, 26.10, 25.00, 25.80, 79643
02/06/25, 25.00, 25.60, 25.00, 25.40, 110100
02/05/25, 25.70, 25.80, 25.00, 25.10, 277741
02/03/25, 25.80, 25.80, 25.00, 25.10, 59816
01/31/25, 25.40, 25.80, 25.00, 25.30, 75738
01/30/25, 25.90, 25.90, 25.30, 25.50, 37209
01/29/25, 26.50, 26.50, 25.50, 25.90, 38240
01/28/25, 26.40, 26.50, 25.90, 26.30, 37736
