Date, Open, High, Low, Close, Volume
04/22/25, 156.00, 156.00, 156.00, 157.00, 1
04/21/25, 156.00, 156.00, 155.75, 157.00, 9
04/11/25, 155.00, 155.00, 155.00, 157.00, 20
04/10/25, 141.00, 165.00, 141.00, 157.00, 500
04/04/25, 168.50, 168.50, 168.50, 168.25, 1
04/02/25, 167.50, 167.50, 167.50, 168.25, 2
04/01/25, 168.00, 168.00, 168.00, 168.25, 1
03/28/25, 155.50, 168.50, 155.00, 168.25, 4819
03/27/25, 150.00, 169.00, 150.00, 160.50, 1480
03/25/25, 148.00, 158.00, 148.00, 148.00, 201
03/18/25, 151.00, 151.00, 143.00, 143.75, 800
03/17/25, 155.25, 157.00, 152.50, 153.25, 627
03/14/25, 152.25, 160.00, 152.25, 154.00, 201
03/11/25, 151.50, 151.50, 151.50, 170.00, 83
03/10/25, 151.25, 151.25, 151.25, 170.00, 35
03/07/25, 151.00, 151.25, 151.00, 170.00, 51
03/06/25, 167.50, 167.75, 167.50, 170.00, 28
03/05/25, 164.00, 164.00, 164.00, 170.00, 1
03/04/25, 148.50, 148.50, 147.75, 170.00, 28
02/27/25, 169.75, 169.75, 169.75, 170.00, 1
02/24/25, 170.00, 170.00, 160.75, 170.00, 2733
02/21/25, 160.75, 179.75, 160.75, 170.50, 3000
02/20/25, 158.00, 158.50, 158.00, 158.00, 106
02/19/25, 165.00, 166.00, 165.00, 166.00, 2403
02/18/25, 158.00, 158.00, 158.00, 166.00, 1
02/17/25, 166.00, 166.00, 165.50, 166.00, 256
02/14/25, 161.75, 166.00, 161.50, 162.75, 267
02/13/25, 161.75, 161.75, 158.00, 158.00, 11
02/11/25, 158.00, 158.00, 158.00, 158.00, 199
02/07/25, 164.00, 164.00, 158.00, 162.25, 244
02/06/25, 153.50, 159.00, 153.00, 154.50, 320
02/05/25, 165.00, 165.00, 155.00, 158.00, 312
02/03/25, 155.75, 166.00, 153.00, 165.00, 1046
01/31/25, 166.00, 166.00, 161.00, 164.75, 19
01/30/25, 159.00, 165.00, 159.00, 164.75, 284
01/29/25, 156.00, 156.00, 156.00, 156.75, 30
01/28/25, 156.00, 159.00, 156.00, 156.75, 114
01/27/25, 160.00, 160.00, 154.25, 157.75, 32
01/24/25, 154.25, 160.00, 154.25, 157.75, 130
01/23/25, 159.75, 160.25, 159.75, 159.25, 12
01/22/25, 153.50, 160.00, 153.50, 159.25, 150
01/21/25, 161.75, 161.75, 153.00, 162.75, 92
01/20/25, 162.00, 162.00, 162.00, 162.75, 74
01/17/25, 162.00, 162.00, 162.00, 162.75, 4
01/16/25, 153.25, 163.00, 153.25, 162.75, 405
01/15/25, 152.50, 154.75, 152.50, 152.50, 203
01/10/25, 153.00, 153.00, 152.50, 152.50, 351
01/09/25, 152.00, 152.50, 152.00, 152.00, 116
01/08/25, 155.25, 155.25, 155.25, 157.75, 20
01/07/25, 156.00, 163.50, 155.00, 157.75, 1266
01/06/25, 158.00, 158.00, 156.00, 158.00, 3004
01/03/25, 160.75, 165.75, 159.50, 160.00, 687
01/02/25, 160.25, 161.00, 160.00, 160.00, 406
12/31/24, 169.00, 169.25, 162.75, 168.75, 105
12/30/24, 165.00, 172.00, 160.00, 162.50, 2477
12/27/24, 159.00, 165.00, 156.50, 164.25, 2897
12/26/24, 153.75, 163.50, 153.00, 162.75, 841
12/24/24, 153.25, 158.50, 153.00, 155.50, 2177
12/23/24, 154.75, 154.75, 154.75, 163.75, 1
12/20/24, 161.00, 165.00, 156.00, 163.75, 960
12/19/24, 164.00, 165.00, 152.00, 154.25, 326
12/18/24, 151.50, 164.00, 151.50, 157.75, 119
12/17/24, 157.00, 157.50, 157.00, 151.25, 76
12/16/24, 155.75, 157.75, 155.75, 151.25, 13
12/13/24, 152.00, 152.00, 150.50, 151.25, 181
12/12/24, 165.00, 165.00, 151.00, 151.75, 721
12/11/24, 160.00, 164.00, 155.00, 155.75, 22
12/10/24, 164.00, 164.00, 155.00, 155.75, 718
12/09/24, 164.75, 164.75, 154.00, 154.00, 2122
12/06/24, 164.00, 165.00, 154.50, 165.00, 5
12/05/24, 164.75, 165.00, 160.00, 165.00, 4599
12/04/24, 164.00, 164.50, 160.00, 161.00, 176
12/03/24, 148.50, 180.00, 148.50, 175.75, 2901
12/02/24, 140.25, 148.50, 140.25, 149.25, 13
11/29/24, 148.50, 148.50, 140.25, 149.25, 2
