Date, Open, High, Low, Close, Volume
04/24/25, 20.00, 20.10, 19.90, 20.00, 3001104
04/23/25, 19.60, 20.00, 19.60, 19.90, 3868878
04/22/25, 20.00, 20.00, 19.60, 19.70, 7994259
04/21/25, 20.30, 20.30, 19.90, 19.90, 2007506
04/17/25, 20.30, 20.30, 19.90, 20.00, 1421364
04/16/25, 20.10, 20.20, 20.00, 20.00, 1298763
04/11/25, 20.10, 20.10, 19.90, 20.00, 2124511
04/10/25, 19.50, 20.50, 19.50, 20.10, 48065434
04/09/25, 19.70, 19.70, 19.10, 19.20, 45569719
04/08/25, 18.80, 19.80, 18.80, 19.70, 1300455
04/07/25, 19.50, 19.50, 18.30, 18.70, 49316359
04/04/25, 20.00, 20.00, 19.50, 19.60, 15387540
04/03/25, 20.20, 20.20, 19.90, 20.00, 31005750
04/02/25, 20.40, 20.50, 20.10, 20.20, 16436000
04/01/25, 20.30, 20.40, 20.20, 20.30, 3368976
03/28/25, 20.30, 20.50, 20.10, 20.20, 9494513
03/27/25, 20.10, 20.30, 19.90, 20.20, 6637644
03/26/25, 20.40, 20.40, 20.10, 20.10, 4660659
03/25/25, 20.50, 20.50, 20.20, 20.30, 1342855
03/24/25, 20.60, 20.60, 20.30, 20.40, 2418056
03/21/25, 20.50, 20.60, 20.40, 20.50, 1253042
03/20/25, 20.20, 20.70, 20.10, 20.50, 7919770
03/19/25, 20.20, 20.20, 20.00, 20.10, 7234898
03/18/25, 20.50, 20.50, 20.10, 20.20, 6676755
03/17/25, 20.90, 20.90, 20.30, 20.50, 3600836
03/14/25, 20.80, 20.80, 20.60, 20.70, 705626
03/12/25, 20.50, 20.80, 20.50, 20.70, 1300736
03/11/25, 20.90, 20.90, 20.50, 20.50, 2375440
03/10/25, 21.00, 21.00, 20.80, 20.90, 900211
03/07/25, 21.00, 21.10, 20.90, 21.00, 2060913
03/06/25, 21.00, 21.10, 20.90, 21.00, 35207527
03/05/25, 21.00, 21.10, 20.90, 20.90, 1168921
03/04/25, 21.00, 21.20, 20.90, 20.90, 7707791
03/03/25, 21.50, 21.60, 21.00, 21.10, 3411584
02/28/25, 21.40, 21.80, 21.20, 21.30, 3520788
02/27/25, 22.00, 22.00, 21.10, 21.40, 5243635
02/25/25, 22.20, 22.30, 21.90, 21.90, 7418677
02/24/25, 22.30, 22.40, 22.20, 22.20, 4348410
02/21/25, 22.30, 22.40, 22.20, 22.40, 8430923
02/20/25, 22.20, 22.40, 22.10, 22.20, 2938312
02/19/25, 22.30, 22.40, 22.10, 22.20, 7130460
02/18/25, 22.60, 22.80, 22.20, 22.30, 1118883
02/17/25, 22.90, 22.90, 22.60, 22.80, 4342462
02/14/25, 22.50, 23.00, 22.40, 22.90, 6576175
02/13/25, 22.40, 22.60, 22.20, 22.50, 9688736
02/11/25, 22.50, 22.60, 22.30, 22.40, 3014623
02/10/25, 22.80, 22.90, 22.40, 22.50, 2266035
02/07/25, 22.30, 22.80, 22.20, 22.80, 8151403
02/06/25, 22.00, 22.40, 22.00, 22.20, 4511388
02/05/25, 22.60, 22.60, 21.90, 22.00, 23174250
02/03/25, 22.70, 22.70, 22.50, 22.60, 15043940
01/31/25, 22.80, 23.00, 22.70, 22.70, 7908822
01/30/25, 22.60, 22.90, 22.60, 22.70, 13250550
01/29/25, 22.90, 23.00, 22.50, 22.60, 55594367
01/28/25, 23.10, 23.10, 22.80, 22.90, 29630660
01/27/25, 23.50, 23.60, 22.80, 23.10, 38084980
01/24/25, 23.90, 23.90, 23.40, 23.50, 18756449
01/23/25, 24.00, 24.10, 23.90, 23.90, 1274403
01/22/25, 23.80, 24.10, 23.70, 24.00, 24585660
01/21/25, 23.90, 23.90, 23.60, 23.70, 1060827
01/20/25, 24.00, 24.00, 23.80, 23.90, 4771421
01/17/25, 23.90, 24.10, 23.80, 24.00, 2082257
01/16/25, 24.00, 24.00, 23.90, 23.90, 2045060
01/15/25, 24.00, 24.10, 23.90, 24.00, 18868029
01/10/25, 23.70, 24.00, 23.60, 23.90, 9314437
01/09/25, 24.00, 24.20, 23.70, 23.80, 27332510
01/08/25, 23.80, 24.00, 23.80, 23.90, 13461280
01/07/25, 23.90, 24.00, 23.40, 23.90, 1208665
01/06/25, 24.00, 24.50, 23.50, 23.90, 33480871
01/03/25, 23.70, 24.40, 23.60, 23.80, 37656273
01/02/25, 22.60, 23.70, 22.50, 23.60, 54072727
12/31/24, 22.60, 22.80, 22.50, 22.60, 11771490
12/30/24, 22.30, 22.70, 22.30, 22.60, 29700570
12/27/24, 22.30, 22.40, 22.20, 22.30, 11082420
12/26/24, 22.40, 22.40, 22.10, 22.20, 7103263
12/24/24, 22.40, 22.50, 22.30, 22.40, 6628564
12/23/24, 22.50, 22.60, 22.30, 22.40, 1462498
12/20/24, 22.60, 22.70, 22.40, 22.50, 11034910
12/19/24, 22.40, 22.70, 22.40, 22.50, 17916250
12/18/24, 22.40, 22.50, 22.00, 22.30, 13000890
12/17/24, 21.90, 22.60, 21.80, 22.30, 29499699
12/16/24, 21.50, 21.90, 21.40, 21.70, 24740270
12/13/24, 21.50, 21.60, 21.30, 21.40, 1080862
12/12/24, 21.10, 21.50, 21.00, 21.40, 45675320
12/11/24, 21.10, 21.20, 20.90, 21.10, 49090520
12/10/24, 20.90, 21.20, 20.70, 21.00, 1142046
12/09/24, 20.80, 20.90, 20.70, 20.80, 9046921
12/06/24, 20.80, 21.00, 20.70, 20.70, 1141564
12/05/24, 20.80, 21.00, 20.70, 20.80, 9817348
12/04/24, 20.00, 20.70, 19.90, 20.60, 1109683
12/03/24, 19.90, 20.00, 19.80, 19.90, 3832565
12/02/24, 19.70, 19.90, 19.60, 19.80, 3927502
11/29/24, 20.00, 20.10, 19.70, 19.70, 1459118
11/28/24, 19.90, 20.30, 19.80, 20.00, 2039212
11/27/24, 19.80, 20.00, 19.60, 19.90, 3276977
11/26/24, 19.10, 20.00, 19.10, 19.80, 5511501
11/25/24, 19.90, 19.90, 19.10, 19.20, 16876080
11/22/24, 19.90, 20.00, 19.80, 19.90, 5885177
11/21/24, 20.60, 20.60, 19.80, 20.00, 29424910
11/20/24, 20.90, 21.00, 20.50, 20.70, 25495240
11/19/24, 21.20, 21.20, 20.40, 20.50, 14955690
11/18/24, 21.80, 21.90, 21.10, 21.20, 39100762
11/14/24, 21.70, 21.70, 21.40, 21.50, 6800338
11/13/24, 21.40, 21.70, 21.30, 21.60, 12579170
11/12/24, 21.00, 21.40, 20.90, 21.40, 5347420
11/11/24, 21.20, 21.20, 20.90, 20.90, 7702034
11/08/24, 21.60, 21.60, 21.10, 21.20, 5870648
11/07/24, 21.40, 21.90, 21.40, 21.50, 24499221
11/06/24, 21.50, 21.90, 20.60, 21.20, 57791391
10/28/24, 21.50, 21.68, 21.03, 21.25, 12791429.8720857
10/25/24, 21.08, 21.60, 21.08, 21.40, 20639139.7936086
10/24/24, 20.35, 21.10, 20.28, 20.95, 29622199.703778
10/23/24, 19.95, 20.35, 19.95, 20.30, 22301649.7769835
10/22/24, 19.80, 20.00, 19.70, 19.90, 34119809.6588019
10/21/24, 19.60, 19.75, 19.60, 19.73, 4042399.959576
10/18/24, 19.60, 19.75, 19.58, 19.70, 1844689.9815531
10/16/24, 19.65, 19.70, 19.55, 19.58, 5443799.945562
10/15/24, 19.75, 19.85, 19.60, 19.65, 16340789.8365921
10/14/24, 19.73, 19.80, 19.70, 19.70, 10670449.8932955
10/11/24, 19.80, 19.80, 19.60, 19.70, 16593979.8340602
10/10/24, 19.88, 19.90, 19.53, 19.75, 16822729.8317727
10/09/24, 19.50, 19.90, 19.50, 19.83, 23054349.7694565
10/08/24, 19.08, 19.60, 18.60, 19.38, 5897109.9410289
10/07/24, 18.65, 19.00, 18.65, 18.90, 6410059.9358994
10/04/24, 18.05, 18.70, 18.00, 18.63, 6632189.9336781
10/03/24, 18.13, 18.18, 17.95, 18.05, 2342009.9765799
10/02/24, 18.40, 18.40, 18.00, 18.15, 2104579.9789542
10/01/24, 18.00, 18.50, 18.00, 18.38, 6939569.9306043
09/30/24, 17.30, 18.05, 17.30, 17.93, 9871389.9012861
09/27/24, 17.20, 17.30, 17.00, 17.28, 13298699.867013
09/26/24, 17.15, 17.65, 17.10, 17.15, 2439299.975607
09/25/24, 16.90, 17.30, 16.75, 17.13, 15360829.8463917
09/24/24, 16.90, 17.00, 16.80, 16.90, 6836949.9316305
09/23/24, 16.65, 16.95, 16.50, 16.85, 1189289.9881071
09/20/24, 16.88, 16.95, 16.58, 16.73, 1983939.9801606
09/19/24, 16.50, 16.90, 16.50, 16.58, 1430779.9856922
09/18/24, 16.40, 16.50, 16.33, 16.45, 1067509.9893249
09/13/24, 16.30, 16.30, 16.00, 16.10, 11420169.8857983
09/12/24, 16.45, 16.45, 16.00, 16.00, 11426749.8857325
09/11/24, 16.45, 16.45, 16.00, 16.10, 9834919.9016508
09/10/24, 16.40, 16.40, 15.90, 16.10, 25500749.7449925
09/09/24, 16.76, 16.76, 16.31, 16.36, 4004608.15630218
09/06/24, 16.71, 16.71, 16.46, 16.51, 2876186.4623079
09/05/24, 16.69, 17.76, 16.56, 16.59, 7094829.12991588
09/04/24, 16.84, 16.84, 16.56, 16.66, 10287136.4273805
09/03/24, 16.71, 16.71, 16.56, 16.66, 8061923.16290204
09/02/24, 16.84, 16.84, 16.66, 16.71, 5661090.55296507
08/30/24, 17.16, 17.16, 16.86, 16.89, 2876857.95098825
08/29/24, 17.36, 17.44, 17.14, 17.16, 1194578.36233711
08/28/24, 17.46, 17.46, 17.24, 17.29, 1668980.10389263
08/27/24, 17.71, 17.74, 17.36, 17.41, 2715209.57896863
08/26/24, 17.96, 17.96, 17.66, 17.71, 954706.570166626
08/23/24, 18.16, 18.16, 17.91, 17.96, 2963169.3019606
08/22/24, 18.26, 18.26, 18.06, 18.06, 2423823.58057452
08/21/24, 18.26, 18.26, 18.16, 18.18, 1298338.39677937
08/20/24, 18.06, 18.28, 18.06, 18.21, 7523890.35221932
08/16/24, 18.16, 18.16, 17.96, 18.01, 1164130.86068198
08/15/24, 18.03, 18.26, 18.03, 18.16, 847077.959148041
08/14/24, 17.91, 18.01, 17.91, 17.96, 29235655.0092689
08/13/24, 17.76, 17.94, 17.76, 17.91, 4297768.0874787
08/12/24, 17.96, 17.96, 17.76, 17.76, 736372.526862792
08/09/24, 17.96, 17.96, 17.91, 17.94, 2405643.2751096
08/08/24, 17.91, 17.96, 17.81, 17.91, 5170142.12765951
08/07/24, 17.94, 17.94, 17.86, 17.89, 2959811.85855887
08/06/24, 17.76, 18.06, 17.76, 17.91, 8985610.96492428
08/05/24, 18.06, 18.06, 17.71, 17.76, 3006946.35503157
08/02/24, 17.51, 18.13, 17.51, 17.99, 11188234.1475296
08/01/24, 17.16, 17.66, 17.14, 17.49, 9467519.34859294
07/31/24, 18.36, 18.36, 17.06, 17.14, 21215153.677947
07/30/24, 19.08, 19.08, 18.81, 18.88, 3042886.0327588
07/29/24, 19.16, 19.16, 19.01, 19.06, 1811455.97075548
07/26/24, 19.26, 19.26, 19.01, 19.08, 4499224.71380188
07/25/24, 19.56, 19.56, 19.13, 19.16, 714163.289315797
07/24/24, 19.21, 19.56, 19.06, 19.28, 1374757.81749049
07/23/24, 19.16, 19.16, 18.98, 19.01, 1254681.61033771
07/22/24, 19.33, 19.43, 19.06, 19.08, 4145219.89041064
07/19/24, 19.38, 19.56, 19.33, 19.36, 4654929.90988948
07/18/24, 19.56, 19.66, 19.33, 19.36, 30707457.9743982
07/17/24, 19.68, 19.76, 19.36, 19.38, 30877394.7216215
07/16/24, 19.38, 19.76, 19.38, 19.51, 1602643.03560582
07/15/24, 19.38, 19.46, 19.33, 19.38, 40247788.7448227
07/12/24, 19.36, 19.56, 19.36, 19.41, 5668005.88415073
07/11/24, 19.96, 19.96, 19.36, 19.41, 6691645.27735357
07/10/24, 19.96, 20.01, 19.78, 19.86, 1526654.57031642
07/09/24, 20.11, 20.30, 19.93, 19.96, 4516843.77499665
07/08/24, 20.40, 20.40, 20.16, 20.16, 271271.404641032
07/05/24, 20.28, 20.45, 20.28, 20.30, 1203899.02610909
07/04/24, 20.40, 20.53, 20.30, 20.30, 33212922.5518399
07/03/24, 20.45, 20.48, 20.30, 20.30, 6577341.86840795
07/02/24, 20.45, 20.53, 20.35, 20.45, 1444492.41805547
07/01/24, 20.25, 20.45, 20.25, 20.35, 5294828.55560273
06/28/24, 20.55, 20.55, 20.28, 20.33, 6198171.25283237
06/27/24, 20.58, 20.58, 20.25, 20.33, 241996.50262173
06/26/24, 20.60, 20.60, 20.45, 20.55, 4901666.92215007
06/25/24, 20.50, 20.60, 20.45, 20.55, 8919995.49641337
06/24/24, 20.25, 20.73, 20.25, 20.60, 10219416.2928566
06/20/24, 20.25, 20.45, 20.06, 20.16, 48674921.5720806
06/19/24, 20.40, 20.45, 20.25, 20.25, 3051224.51905803
06/18/24, 20.35, 20.65, 20.30, 20.35, 30706816.5523751
06/14/24, 20.21, 20.50, 20.18, 20.45, 15005025.9177168
06/13/24, 20.35, 20.35, 20.25, 20.25, 5474987.96631789
06/12/24, 20.35, 20.35, 20.25, 20.25, 5786628.86953261
06/11/24, 20.33, 20.45, 20.33, 20.35, 26100324.0274426
06/10/24, 20.75, 20.75, 20.33, 20.35, 21254200.2435983
06/07/24, 20.45, 20.65, 20.45, 20.55, 1693223.85191888
06/06/24, 20.23, 20.55, 20.23, 20.45, 520864.749347881
06/05/24, 20.53, 20.55, 20.18, 20.25, 10987158.3655326
06/04/24, 20.35, 20.55, 20.35, 20.35, 223134.686257359
06/03/24, 20.55, 20.55, 20.35, 20.35, 331915.852473555
05/31/24, 20.60, 20.80, 20.58, 20.63, 5184243.3899468
05/30/24, 20.55, 20.65, 20.55, 20.65, 5012953.64314368
05/29/24, 20.75, 20.75, 20.48, 20.55, 1926460.93503878
05/28/24, 20.85, 20.95, 20.63, 20.65, 613850.89824726
05/27/24, 20.80, 20.93, 20.75, 20.85, 796946.819161547
05/22/24, 20.80, 20.85, 20.65, 20.83, 6394255.96971277
05/21/24, 20.45, 20.68, 20.45, 20.65, 13126431.1011458
05/20/24, 20.45, 20.65, 20.25, 20.55, 538874.677087931
05/17/24, 20.25, 20.70, 20.16, 20.48, 1785819.13427299
05/16/24, 20.16, 20.30, 20.06, 20.25, 14802015.8474317
05/15/24, 20.43, 20.60, 20.13, 20.16, 20944453.5397953
05/14/24, 20.75, 20.75, 20.16, 20.28, 44024020.5942732
05/13/24, 20.90, 20.93, 20.58, 20.65, 3428551.04631743
05/10/24, 20.55, 20.85, 20.55, 20.83, 7955116.37385044
05/09/24, 20.45, 20.63, 20.35, 20.55, 3752128.41249175
05/08/24, 20.23, 20.50, 20.21, 20.43, 12779351.6311593
05/07/24, 20.25, 20.30, 19.96, 20.11, 12235415.733421
05/06/24, 20.45, 20.65, 20.21, 20.25, 7897147.8585202
05/03/24, 20.83, 20.93, 20.45, 20.50, 8502409.71499049
05/02/24, 21.45, 21.75, 20.83, 20.88, 11577787.7821028
04/30/24, 20.90, 21.00, 20.83, 20.90, 29979664.4670932
04/29/24, 20.75, 20.88, 20.70, 20.80, 11165774.3545049
04/26/24, 20.95, 20.95, 20.70, 20.78, 18729994.1164214
04/25/24, 20.45, 20.95, 20.35, 20.93, 7165285.33025675
04/24/24, 20.43, 20.45, 20.43, 20.45, 1915175.9163213
04/22/24, 20.25, 20.45, 20.25, 20.45, 1461289.65728325
04/19/24, 20.35, 20.35, 19.78, 20.33, 1165704.34908219
04/18/24, 20.25, 20.35, 20.25, 20.35, 4300153.3756268
04/17/24, 19.96, 20.25, 19.96, 20.25, 908644.451138652
04/16/24, 20.25, 20.35, 20.06, 20.08, 1546157.80870381
04/15/24, 20.01, 20.25, 20.01, 20.25, 4250964.32423661
04/10/24, 19.96, 20.06, 19.96, 20.03, 2280475.78064912
04/09/24, 19.88, 19.96, 19.76, 19.93, 1954432.94857382
04/08/24, 19.88, 20.06, 19.86, 19.86, 10371944.4454864
04/05/24, 19.91, 19.91, 19.78, 19.86, 2968871.94463399
04/04/24, 19.83, 19.93, 19.81, 19.86, 8347135.4743246
04/03/24, 19.56, 19.83, 19.56, 19.81, 6312945.70607614
04/02/24, 19.36, 19.71, 19.36, 19.66, 6163313.97476899
04/01/24, 19.38, 19.41, 19.28, 19.38, 358665.155277224
03/28/24, 19.16, 19.43, 19.16, 19.36, 6741425.63967122
03/27/24, 19.06, 19.18, 19.06, 19.16, 4208510.20408811
03/26/24, 18.96, 19.13, 18.96, 19.01, 404336.407759922
03/25/24, 19.13, 19.13, 18.96, 19.01, 4427185.00284168
03/22/24, 18.73, 18.96, 18.73, 18.96, 3167672.68289311
03/21/24, 18.96, 18.96, 18.66, 18.71, 963696.500707987
03/20/24, 18.96, 19.21, 18.86, 18.88, 2887160.79223298
03/19/24, 19.26, 19.26, 18.93, 18.98, 1374036.21771459
03/18/24, 19.11, 19.26, 19.11, 19.26, 973117.386671063
03/15/24, 18.98, 19.18, 18.98, 19.16, 1474388.69765957
03/14/24, 19.16, 19.21, 18.96, 18.98, 2408098.71879147
03/13/24, 19.11, 19.16, 19.01, 19.16, 1838195.25134004
03/12/24, 19.01, 19.13, 18.96, 19.06, 465051.011126212
03/11/24, 18.86, 19.01, 18.86, 18.98, 110785.610038126
03/07/24, 18.66, 19.03, 18.61, 18.86, 9727846.48996622
03/06/24, 18.96, 18.96, 18.56, 18.58, 541400.276303564
03/05/24, 18.96, 18.96, 18.71, 18.76, 2975707.09806678
03/04/24, 18.53, 19.01, 18.53, 18.96, 3617149.16552292
03/01/24, 18.56, 18.71, 18.43, 18.46, 4409104.91956786
02/29/24, 18.76, 18.81, 18.46, 18.53, 24045057.5324066
02/28/24, 18.96, 18.96, 18.71, 18.76, 1240409.97032556
02/27/24, 18.96, 19.03, 18.88, 18.93, 1059408.69320519
02/26/24, 19.36, 19.38, 18.96, 19.06, 6409299.32059637
02/22/24, 19.16, 19.41, 19.16, 19.36, 29569344.7945248
02/21/24, 19.11, 19.23, 19.11, 19.21, 3737946.97245159
02/20/24, 18.96, 19.16, 18.96, 19.11, 6837648.96534302
02/19/24, 18.66, 19.01, 18.66, 18.96, 7392829.79292236
02/16/24, 18.81, 18.91, 18.76, 18.86, 3536530.43500485
02/15/24, 18.86, 18.86, 18.76, 18.76, 3962083.88061992
02/14/24, 18.76, 18.81, 18.76, 18.76, 2969423.16668502
02/13/24, 18.66, 18.78, 18.66, 18.76, 9386078.79610788
02/12/24, 18.46, 18.76, 18.36, 18.66, 2163566.59473499
02/09/24, 18.43, 18.56, 18.43, 18.53, 9889434.72867119
